,item,rate,num_product,num_sold,price
0,潮T現貨 Adidas Nike Puma 純棉T 愛迪達 短袖T恤 排汗衫 男女大學T 運動T恤 三葉草 短T 大碼T,36,158,11206,$180 - $350
1,原廠現貨Adidas短袖 愛迪達 短T 三葉草T恤 LOGO上衣 短袖 素面T素T圓領T套頭T班服 男女款 情侶運動T恤,360,12,8897,$390.00
2,現貨Adidas短袖T恤 愛迪達短T 三葉草短袖 LOGO上衣 印花短T 短袖 圓領短Tee 男女款 大學T 情侶速乾衣,360,0,8345,$350.00
3,現貨歐美潮牌BOY大學T 大LOGO短袖T恤 時尚印花寬鬆男女情侶短袖 運動休閒短T 素面T 馬卡龍T恤 短袖 大尺寸,360,12,8094,$550.00
4,現貨supreme 圓領短袖T恤 Aape短袖 大學T 素T 素面T 潮牌 男女款短T 運動T恤 情侶上衣 純色馬卡龍,360,12,7527,$390.00
5,原廠全新現貨Adidas/Nike/Puma 愛迪達 三葉草 純棉大學T恤 圓領短T 男女情侶短袖 大LOGO運動短T,361,12,7372,$299.00
6,日單原廠現貨champion冠軍刺繡T恤 stussy短T恤 Dickies短袖LOGO大學T 棉質圓領短袖T 男女情侶,360,0,7104,$320.00
7,原廠現貨Adidas圓領短袖T恤 愛迪達短袖 純色素面T素T恤大學T 運動休閒T恤 男 女 情侶款 機能上衣 速乾衣,360,12,6937,$350.00
8,☆衣林魔力屋☆(T117)夏日超人氣．潮流男女百搭基本素面短袖POLO衫 情侶/團體/新22色/滿額免運,8609,436,6438,$180.00
9,★現貨.附發票★GILDAN 圓領T恤 76000系 男女尺吋 短T 素T 工作服 上衣 短袖 團購 團體 棉T 百搭,3530,27,5509,$95 - $100
10,現貨Supreme 圓領短袖T恤 短袖 T恤 大學T 短T LOGO上衣 短褲 運動褲 沙灘褲 休閒褲 男 女 情侶款,361,12,5505,$390.00
11,💖黑曼巴Kobe Bryant科比短袖棉T恤上衣💖NBA湖人隊Nike耐克愛迪達運動籃球衣服T-shirt男女583,355,876,4876,$385.00
12,≡排汗專家≡【03311376】HODARLA 激膚無感衣三件組 男女短袖T恤(排汗衫 涼感衣,35223,2419,4670,$750.00
13,🔥柯瑞Stephen Curry庫里短袖棉T恤上衣🔥NBA勇士隊Adidas愛迪達運動籃球服T-shirt男女488,201,878,3692,$389.00
14,全新現貨ADIDAS/NIKE/PUMA純棉短袖T恤男女休閒T恤大學T短T圓領短袖T logo圖案T,17,15,3612,$180.00
15,現貨Adidas瑜伽服運動短褲束身褲運動服運動套裝愛迪達速乾衣涼感衣跑步健身吸濕排汗衫 機能 短袖 短T T恤 熱褲 女,49,9,3516,$350 - $850
16,GF 短袖洋裝 純棉MIT台灣製造 韓系顯瘦LA印花長版洋裝 連身裙 連衣裙 女生衣著 4色【K08842】,40123,151,3465,$188.00
17,【kobe】大量現貨當日出貨美國棉 Gildan 76000 短袖大學T 男女素T 純棉圓領 黑白灰藏青酒紅,3248,46,3400,$200.00
18,JB 專業衣廠【SJ03】男女百搭素面短袖POLO衫 22色 6件免運 滿額優惠,52084,429,3293,$180.00
19,現貨 FILA Adidas Nike Puma 短袖T polo衫 短T 男女T恤 大學T 立領 工作服,17,15,3188,$190 - $220
20,Adidas/Nike運動短袖愛迪達短袖T恤素t大學t圓領t短t吸濕排汗衫激膚無感衣速乾衣大尺碼上衣涼感衣男女情侶款加大,0,8,3020,$40 - $390
21,全新現貨Adidas/Nike/Puma 愛迪達短袖T恤 三葉草 純棉大學T恤 圓領短T 男女情侶短袖 大尺寸 運動短袖,0,8,3018,$30 - $299
22,【 Farsi 】換季出清8折 United Athle 5001 - 01 UA5001 短袖 素T 短T UA 男女,7601,55,2806,$200.00
23,銷售冠軍 青龍林 男女運動緊身衣機能衣 長袖短袖 長袖短袖可搭緊身褲束褲內搭褲臂套護臂顯瘦,14952,1856,2650,$199.00
24,現貨《限時!!!》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00022】,18541,194,2566,$99.00
25,現貨《限時一天特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00022】,18540,194,2487,$89.00
26,１００％純棉【素T之家！第二代最強素T！】重磅素T T-SHIRT 純色T恤厚內搭素面短袖T恤上衣男女黑白K28-011,7245,166,1925,$190.00
27,現貨《三件組特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00020】,16271,185,1845,$279.00
28,現貨《三件組特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00020】,16271,185,1811,$279.00
29,【§ 衫衫飾飾 §】10071【短袖S-2XL號】白大褂短袖醫師服短袖護士服藥店工作服醫生服男女實驗服美容服8S,4096,2805,1756,$298.00
30,快速出貨《買一送一》polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發印製【26-243】,16270,185,1655,$199.00
31,【限時特賣！超越G牌！】高磅重磅素T 短袖T恤 透氣 合身 上衣 男女棉質素面黑白灰圓領V領T恤韓板K25-107,7245,166,1631,$150.00
32,【活力家】男女運動緊身衣短袖短褲無袖背心7色吸濕排汗 4件免運買10送1 籃球護膝護肘內搭褲路跑單車健身房重訓 團購批發,1544,21,1486,$199.00
33,快速出貨《買一送一》polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發印製訂製【26-243】,18541,194,1467,$179.00
34,【T3】全棉素面短T 76000 素色  運動 男女皆可 短袖 T恤 簡約 舒適 百搭 潮流 大學T 素面T【MT01】,8771,1032,1450,$120.00
35,【ZITA嚴選】WF3002 EXO鹿?吳亦凡世勳藝興同款打歌服應援隊男女款短袖T恤官方應援 衣服 班服 演唱會 現+預,6087,239,1433,$190.00
36,ins短袖t卹女夏季韓版寬鬆大碼女裝中長款百搭學生下衣失踪上衣潮,4126,1092,1420,$299.00
37,≡排汗專家≡【03312086】HODARLA 男女無拘束輕彈機能短袖T恤(抗UV 圓領 台灣製 涼感 路跑,35223,2419,1314,$290.00
38,限時【買一送一】☆日韓版最新款☆送領帶修身版短袖襯衫男西裝襯衫純色喜宴正式上班免燙防皺素面女【26-568】,16271,185,1149,$319.00
39,【T3】竹節棉T T恤 短袖 女生 上衣 舒適 素面 輕柔 百搭 棉質 休閒 簡約 春夏 透氣 潮流 日韓【G32】,8769,1034,1124,$250.00
40,JB 專業衣廠【SJ03】男女百搭素面短袖POLO衫 22色  vivi lenaz風,52066,429,1121,$180.00
41,【T3】涼感運動服 段染 短袖 顯瘦 運動服 T恤 速乾 舒適 高彈性 健身 慢跑 運動 女生【B04】,8755,1033,1100,$280.00
42,【T3】竹節棉 素色T 短袖 T恤 素色竹節棉短袖 舒適 透氣 高彈性 女生 棉質【G24】,8755,1031,1091,$199.00
43,≡排汗專家≡【03310035】免運-激膚無感衣 男女短袖T恤-0秒吸排抗UV輕量吸濕排汗無著感 排汗衫 涼感衣,35223,2419,1082,$290.00
44,ins短袖t卹女夏裝韓版寬鬆大碼中長款百搭學生洋氣mschf上衣服潮,4126,1088,1075,$290.00
45,【買五送一】夏裝潮牌superme短袖簡約字母印花男女情侶裝純棉T恤半袖,1010,41878,999,$199.00
46,★現貨.附發票★GILDAN  V領 T恤 63V00系列  男女尺碼 短T 素T 中性 短袖 舒適 內衣 百搭 純棉,3523,27,965,$100 - $110
47,女雲彩短袖上衣 春夏季/跑步T-shirt/瑜珈/健身服/運動短袖/T卹/女彈力衣/緊身衣/速乾/顯瘦 現貨01 A17,9638,1630,954,$220.00
48,BANG◎段染輕涼運動短袖  運動短袖 段染 女生 顯瘦腰身設計 緊身衣 慢跑 健身衣 T恤 速乾 高彈性【B04】,19910,1111,910,$280.00
49,【§ 衫衫飾飾 §】10093【男女多款M-2XL號】夏季情侶短袖浴袍絲綢睡衣睡裙女性感睡衣男士浴袍絲綢2,4096,2805,891,$590.00
50,BANG◎三件特價 速乾T恤 涼感衣 短袖 夏天 涼感T 速乾T 男生 女生 透氣 排汗【M20】,19910,1111,883,$270.00
51,【C001】CARTERS 卡特夏款 薄棉短袖包屁衣 5件組 舒適透氣! 男寶寶/女寶寶,7585,693,864,$250.00
52,【現貨】潮牌箭頭OFF-white短T off基礎款短T 塗鴉箭頭警戒線 男女短袖T恤 大學T 箭頭印花logo純棉短T,5,12,856,$40 - $390
53,Nike/Puma/Vans/Adidas短T三葉草短T耐吉短T男女圓領短袖愛迪達T大學T運動純棉AJ飛人短T,5,12,854,$1.00
54,【限時特賣！全面優惠！】高磅重磅V領素T 短袖T恤 透氣 合身 上衣 男女棉質素面黑白灰圓領T恤韓板K25-110,7245,166,840,$150.00
55,≡排汗專家≡【03320711】HODARLA 彈力涼感短袖POLO衫(男女排汗衫 有領涼感衣,35223,2419,823,$390.00
56,【現貨】Nike/Puma/Vans/Adidas短T三葉草短T耐吉短T男女圓領短袖T愛迪達T大學T運動純棉AJ飛人短T,5,12,818,$40 - $180
57,港風純棉ins短袖t卹女夏裝韓版寬鬆大碼中長款百搭洋氣網紅上衣潮,4120,1091,809,$350.00
58,【§ 衫衫飾飾 §】10093【男女刺繡多款M-3XL號】刺繡夏季情侶短袖睡裙薄款冰絲綢浴袍龍袍韓版家居服2,4102,2805,807,$750.00
59,*漫園*現貨!高校女學生短袖白襯衫 S.M.L.XL.XXL,17125,1263,796,$169.00
60,BANG◎竹節棉T T恤 短袖 女生 上衣 舒適 素面 輕柔 百搭 棉質 休閒 簡約 春夏 透氣 潮流 日韓【G32】,19772,1106,751,$250.00
61,棉100%短袖包屁衣五件入~分男女不挑款NB/3/6/9/12/18/24(一包5件)$220,12343,2091,750,$220.00
62,【T3】 貼身顯瘦運動衣 T恤 速乾T 短袖 顯瘦 腰身 性感 文字T 性感運動衣 慢跑 健身 女生 運動【B20】,8753,1030,749,$299.00
63,出清 洪荒之力 惡搞T 素T 全棉 T恤 短袖 tshirt 男生 女生 情侶T 生日禮物 交換禮物【M21】,19861,1109,731,$199.00
64,Adidas Y3 短袖 T恤 logo男女款 短T 上衣  短T 圖案 經典基本 山本耀司 POLO 素面Y-3,1389,3,703,$690.00
65,Ω衣枝獨袖Ω夏季新款寬鬆韓版男女情侶裝閨密姐妹裝短袖T恤068,8627,3290,663,$99.00
66,【歐美狂銷！落肩戰神！】韓版落肩T恤 長版T 素T 短袖T恤情侶寬版五分袖素面上衣七分袖男女黑白灰K26-039,7245,166,655,$249.00
67,台灣製造女款細肩帶CoolMax頂級Extreme 背心 短袖 內搭 小可愛 涼感  內無Bra 排汗衣 安東機能商品,5066,106,645,$290.00
68,【重磅紮實！全面25折！】短袖T恤 短T 純棉素TSHIRT 工作服 上衣 圓領排汗團購團體男女百搭黑白K26-162,7244,166,639,$180.00
69,*後勤補給*t恤短袖女 韓范寬鬆學生ulzzang衣服百搭 蝙蝠衫,1562,470,630,$118.00
70,純棉ins短袖t卹女夏韓版寬鬆大碼女裝中長款日系卡通塗鴉上衣服潮,4126,1089,599,$350.00
71,【T3】條紋百搭短袖T 大尺碼 黑白條紋 潮T 男女 情侶 潮T 休閒 日系 百搭 棉T 圓領 學生 修身【MT03】,8774,1033,567,$199.00
72,BANG◎一字領露肩上衣 露肩吊帶百搭上衣 性感夜店 甜美 大碼女裝 韓版純色 寬鬆短袖 短袖T恤 百搭潮流【GT03】,19942,1113,562,$199.00
73,【§ 衫衫飾飾 §】10053【全背刺青美女S-6XL號】8款美女系列日系精緻印花男裝短袖冰絲滑料個性T恤,4083,2796,554,$588.00
74,◎BANG◎(線條腰身款)運動束衣 籃球緊身衣 短袖緊身衣(籃球 慢跑 自行車 男生 女生 Nike PRO【A02】,19924,1115,547,$249.00
75,☆衣林魔力屋☆(T117)口袋下標區．夏日男女經典素面短袖POLO衫/情侶/22色,8607,445,546,$200.00
76,💥雷納德Kawhi Leonard短袖棉T恤上衣💥NBA快艇隊Adidas愛迪達運動籃球衣服T-shirt男女962,209,836,542,$395.00
77,【§ 衫衫飾飾 §】10065【長短袖4色S-5XL號】職業白色襯衫女夏季韓版大碼舒適職業襯衫8S,4102,2806,535,$199 - $249
78,【限時特賣！一組三件！】高磅重磅素T 短袖T恤 透氣 合身 上衣 男女棉質素面黑白灰圓領V領T恤韓板K25-107,7245,166,533,$399.00
79,^^阿栗的精選世界^^夏季短袖精選商品親子裝/母女裝/全家裝/團體服/表演服/家庭裝,1412,493,528,$170.00
80,【§ 衫衫飾飾 §】10053【圖片色S~2XL】成本衝量夏季情侶款短袖迷彩T恤衫男生寬鬆軍訓軍歌比賽軍裝男女薄款上衣,4102,2806,516,$115.00
81,【§ 衫衫飾飾 §】10053【圖片色S~2XL】成本衝量夏季情侶款短袖迷彩T恤衫女生寬鬆軍訓軍歌比賽軍裝男女薄款上衣,4085,2795,512,$115.00
82,【阿信防皺襯衫】【女短袖】OL、業務、上班、開會、必備【白色襯衫/粉色襯衫/黑色襯衫】腰身設計、白襯衫、黑襯衫、女襯衫,2135,230,504,$320.00
83,【T3嚴選】竹節棉v領素T 大學T 女版 夏日涼爽 短袖 百搭 素T恤 竹節棉 T恤 四色可選 【STGT01】,6988,219,500,$195.00
84,【§ 衫衫飾飾 §】10093【龍化陰陽L-2XL】中國風漢服道袍和服羽織薄外套開衫五分短袖日系潮男女防曬衣大碼外套,4096,2805,498,$790.00
85,【最強折扣！最後倒數！】素色POLO衫 男短袖 襯衫 素T上班運動T翻領摺領制服白灰男女商物衫辦公免燙K26-146,7245,166,488,$199.00
86,【ZITA嚴選】EXO01 EXO 鹿?吳亦凡世勳 燦烈 伯賢 二巡演唱會 同款打歌服應援隊男女款短袖T恤 官方 應援,6087,309,484,$190.00
87,秒殺價 愛迪達短T ADIDAS 三葉草 愛迪達 衣服 短T 短袖T恤 男款 女款 情侶裝,697,224,478,$199.00
88,【T3】一字領露肩上衣 露肩吊帶百搭上衣 性感夜店 甜美 大碼女裝 韓版純色 寬鬆短袖 短袖T恤 百搭潮流【GT03】,8755,1031,453,$199.00
89,JF 短袖上衣 韓系 休閒 可愛甜美 木耳邊 花邊 條紋 圓領t恤 女t恤 短t  短袖t恤 2色【K08315】,40123,151,453,$228.00
90,BANG◎素色竹節棉短袖 舒適 透氣 高彈性 短袖 女生 棉質 竹節棉 素T T恤【G24】,19942,1113,429,$199.00
91,【T3】洪荒之力 惡搞T 素T 全棉 T恤 短袖 tshirt 男生 女生 情侶T 生日禮物 交換禮物【M21】,8702,1013,427,$199.00
92,≡排汗專家≡【03311376】免運-激膚無感衣三件組 男女短袖T恤-UPF200抗UV,35204,2379,417,$750.00
93,☆衣林魔力屋☆(T117)大尺寸．國民百搭男女潮流素面短袖 POLO衫-新22色☆滿額免運/可刷卡,8557,448,417,$180.00
94,長袖短袖都有 水手服 女學生服 學生制服 表演班服 COSPLAY 萬聖節 PARTY 生日禮物 聖誕禮物交換禮物情人節,217,16,403,$269.00
95,^^阿栗的精選世界^^P系列多彩樂趣短袖T恤親子裝/團體服/表演服/母女裝/全家裝/家庭裝/夏裝/童裝,1409,493,400,$220.00
96,【§ 衫衫飾飾 §】10093【佛鶴L-2XL】中國風漢服道袍和服羽織薄外套開衫五分短袖日系潮男女防曬衣大碼外套,4096,2805,399,$790.00
97,●BANG T3●兩件免運 運動彈力短袖 運動短袖 女生 夜跑 慢跑 瑜珈 健身 吸汗 透氣 速乾 T恤 【B33】,19942,1113,397,$299.00
98,【§ 衫衫飾飾 §】10093【4款L-2XL】漢服道袍和服薄外套開衫短袖男女個性日系大碼防曬衣九分褲,4092,2798,396,$690 - $790
99,【T3】 長版T 韓版顯瘦個性字母 寬鬆黑色短袖 黑色素面 連衣裙中長裙 少女時代 孔曉振 舒適睡衣【G20】,8769,1034,392,$199.00
100,●BANG●(貼身顯瘦款)女款運動緊身衣 短袖緊身衣 束衣 緊身衣 顯瘦款 螢光款 夜跑 健身 慢跑 女生【B00】,19864,1110,389,$249.00
101,BANG◎女生緊身短款上衣 短袖 t恤 顯瘦 性感 速乾T 腰身 慢跑 文字T 性感運動衣 健身 女生 運動【B20】,19835,1108,387,$300.00
102,GF 短袖上衣 春夏新品 台灣製造 素面V領側面抓皺公主袖 短袖t恤 短t V領t恤 女生衣著 女生t恤【K08829】,40123,152,387,$199.00
103,👍清倉特賣。賣完下架👍獨家設計NO7女運動上衣 短袖T 運動T恤 透氣 速乾 快乾 排汗 顯瘦 瑜珈 慢跑 路跑,1557,474,376,$6 - $59
104,~子甄彣璟~出清價-純棉 中國風舞獅 T恤 百搭圓領 潮流 短T 印花短袖 班服 團體服 國潮 嘻哈風 男女款情侶裝,26050,1003,374,$200.00
105,【限時特賣！一組三件！】高磅重磅V領素T 短袖T恤 透氣 合身 上衣 男女棉質素面黑白灰圓領T恤韓板K25-110,7245,166,372,$399.00
106,~子甄彣璟~純棉 雪納瑞 可愛狗狗 T恤 百搭圓領 潮流 短T 印花短袖 班服 團體服 惡搞趣味狗 小狗 男女款情侶裝,26067,1001,365,$290.00
107,👍清倉特賣。賣完下架👍獨家設計NO9女運動上衣 短袖T 運動T恤 透氣 速乾 快乾 排汗 顯瘦 瑜珈 慢跑 路跑,1559,470,361,$59.00
108,Hood By Air HBA X Been Trill 西海岸風陳冠希tee男女短袖T恤,4125,1159,350,$250.00
109,現貨【短袖上衣+網帽+半身白圍裙】三組以上免運!丙級考證照廚師服組合特惠中白色食品帽現貨男女優質布質西餐中餐考試應檢嵐陽,1516,1616,345,$395.00
110,[正妹的店]簡潔OL女短袖襯衫 白襯衫,1921,86,340,$290.00
111,Oo吉兒oO阿黑顏壞掉了少女們骷髏新娘彩色漫畫中性短袖t恤 遊戲動漫日常 春夏版【J2A4514】,53272,6646,321,$298.00
112,☆衣林魔力屋☆(T117)4XL號下標區．夏日男女素面短袖POLO衫 情侶/組合/團購22色,8568,446,303,$195.00
113,【§ 衫衫飾飾 §】10093【禪L-2XL】中國風漢服道袍和服羽織薄外套開衫五分短袖日系潮男女防曬衣大碼外套,4092,2802,299,$790.00
114,GF 短袖上衣 MIT台灣製造 俏皮恐龍手繪 短袖t恤 短t 圓領t恤 女生衣著 女生t恤 女裝【K08884】,40123,152,295,$120.00
115,健身高彈力緊身衣服女款運動短袖跑步透氣速乾衣排汗修身t恤,2231,21,294,$350.00
