,item,rate,num_product,num_sold,price
0,JB 專業衣廠【SJ03】超人氣潮男 情侶基本百搭短袖素面POLO衫  22色/多件免運,52082,429,20276,$180 - $230
1,潮T現貨 Adidas Nike Puma 純棉T 愛迪達 短袖T恤 排汗衫 男女大學T 運動T恤 三葉草 短T 大碼T,36,158,11206,$180 - $350
2,現貨Adidas/Nike 愛迪達短T 耐吉T恤 機能短袖運動衫 彈力透氣吸濕排汗衫運動健身涼感衣速乾衣 快乾運動服 男,388,6,8920,$350.00
3,原廠現貨Adidas短袖 愛迪達 短T 三葉草T恤 LOGO上衣 短袖 素面T素T圓領T套頭T班服 男女款 情侶運動T恤,360,12,8897,$390.00
4,現貨Adidas短袖T恤 愛迪達短T 三葉草短袖 LOGO上衣 印花短T 短袖 圓領短Tee 男女款 大學T 情侶速乾衣,360,0,8345,$350.00
5,現貨歐美潮牌BOY大學T 大LOGO短袖T恤 時尚印花寬鬆男女情侶短袖 運動休閒短T 素面T 馬卡龍T恤 短袖 大尺寸,360,12,8094,$550.00
6,現貨愛迪達短袖 Adidas短T 速乾圓領T恤  短袖 男 短T 運動T恤 運動短褲 運動褲 素T 潮牌 吸濕排汗上衣,361,12,7936,$390.00
7,現貨supreme 圓領短袖T恤 Aape短袖 大學T 素T 素面T 潮牌 男女款短T 運動T恤 情侶上衣 純色馬卡龍,360,12,7527,$390.00
8,原廠全新現貨Adidas/Nike/Puma 愛迪達 三葉草 純棉大學T恤 圓領短T 男女情侶短袖 大LOGO運動短T,361,12,7372,$299.00
9,日單原廠現貨champion冠軍刺繡T恤 stussy短T恤 Dickies短袖LOGO大學T 棉質圓領短袖T 男女情侶,360,0,7104,$320.00
10,原廠現貨Adidas圓領短袖T恤 愛迪達短袖 純色素面T素T恤大學T 運動休閒T恤 男 女 情侶款 機能上衣 速乾衣,360,12,6937,$350.00
11,☆衣林魔力屋☆(T117)夏日超人氣．潮流男女百搭基本素面短袖POLO衫 情侶/團體/新22色/滿額免運,8609,436,6438,$180.00
12,★現貨.附發票★GILDAN 圓領T恤 76000系 男女尺吋 短T 素T 工作服 上衣 短袖 團購 團體 棉T 百搭,3530,27,5509,$95 - $100
13,現貨Supreme 圓領短袖T恤 短袖 T恤 大學T 短T LOGO上衣 短褲 運動褲 沙灘褲 休閒褲 男 女 情侶款,361,12,5505,$390.00
