,item,rate,num_product,num_sold,price
0,現貨Supreme 圓領短袖T恤 短袖 T恤 大學T 短T LOGO上衣 短褲 運動褲 沙灘褲 休閒褲 男 女 情侶款,361,12,5505,$390
1,🔥黑曼巴Kobe Bryant科比運動籃球短褲🔥NBA球衣湖人隊Adidas愛迪達健身訓練慢跑五分純棉褲子男女417,201,878,4633,$389
2,"*幸福家* 多款任10送1免運超彈性透氣吸汗低腰安全褲/防走光低腰女內褲/低腰無痕褲/四角褲/短褲聯合促銷,天天都便宜",12199,379,4183,$38
3,現貨Adidas瑜伽服運動短褲束身褲運動服運動套裝愛迪達速乾衣涼感衣跑步健身吸濕排汗衫 機能 短袖 短T T恤 熱褲 女,49,9,3516,$350 - $850
4,Adidas運動服 瑜伽服五件套 愛迪達運動內衣 緊身褲壓力褲 運動褲 運動外套 運動短褲 運動T恤 連帽外套 排汗衫女,46,9,3000,"$850 - $1,350"
5,全館免運中ξAGLAIAξ批發零售實拍顯瘦夏裝女熱褲 胖mm流蘇闊腿褲毛邊破洞高腰加大碼牛仔短褲多款S-5XL,2967,33,2302,"$9,999"
6,BANG◎韓版夏日修身情侶短褲 兩件免運 多色窄版 鬆緊帶 束口褲 牛仔短褲 海灘褲 5分褲 男生 女生【M13】,19920,1111,1841,$350
7,【活力家】男女運動緊身衣短袖短褲無袖背心7色吸濕排汗 4件免運買10送1 籃球護膝護肘內搭褲路跑單車健身房重訓 團購批發,1544,21,1486,$199
8,現貨最好材質(裙子+褲子) 安全褲裙太陽裙 素色三分短裙 百搭短褲裙子 內含安全褲 百褶裙 迷你裙 公主裙  女裝批發,7078,78,1377,$120
9,賠本特價 運動褲 名牌長褲 銷售冠軍 專業PRO系列涼感排汗緊身長束褲緊身褲籃球內搭褲健身路跑內褲單車緊身衣短褲女運動服,14947,1857,1145,$149
10,【§ 衫衫飾飾 §】10076【僅3色S-4XL】夏季薄款韓版運動短褲女三分跑步褲寬鬆休閒超短褲熱褲真理褲8S,4102,2806,1080,$169
11,★韓版黑色學院風吊帶褲★修身顯瘦九分小開叉背帶褲潮褲哈倫褲老爺褲七分褲短褲T恤女褲,14089,383,982,$159
12,●BANG T3●韓版短褲 防走光設計 網球裝 滑面 女生短褲 熱褲 短褲 夜跑 運動褲 健身 跑步 瑜伽【B304】,19877,1112,938,$280
13,BANG 實拍影片 女生短褲 短褲 棉褲 口袋 韓版短褲 居家短褲 運動短褲 女生 慢跑 健身 睡褲 彈性材質【B03】,19910,1111,847,$180
14,【現貨】Adidas短褲 三葉草運動短褲 五分褲 愛迪達運動褲 籃球褲 海灘褲 男女純棉運動短褲 透氣寬鬆大碼短褲,5,12,824,$40 - $350
15,☆現貨☆新款 韓版 熱銷 流行 運動短褲 女生短褲 運動褲 短褲 熱褲 健身 休閒 跑步 瑜伽 睡眠 舒適感均瑪 A06,2982,1368,815,$99
16,BANG T3●出清特價 假兩件式 長褲 短褲 九分褲 女生 夜跑 緊身褲 壓力褲 拼色 速乾 排汗【B620】,19848,1109,760,$109
17,【T3】素面反摺丹寧短褲 牛仔短褲 水洗短褲 丹寧短褲 中高腰 熱褲 短褲 女生短褲 夏季超百搭 簡約素色【GM03】,8771,1032,732,$299
18,10雙免運 15D美肌性感女神款【全透明】薄透膚顯瘦絲襪短裙短褲必備MIT/黑/膚,8409,556,723,$45
19,紅豆批發泳裝2019新款熱銷韓版泳衣/男女情侶褲/ 沙灘褲/ 海灘褲/ 情侶短褲男休閒褲另售親子裝情侶裝T恤泳衣,974,2169,626,$159
20,Puma 彪馬運動休閒短褲 男女 休閒五分運動褲 黑白拼色 滾邊 夏季熱褲 健身 慢跑 寬鬆休閒 潮流 俐落百搭,2032,2290,558,$520
21,【T3】休閒棉短褲 運動褲 短褲 棉褲 居家 休閒 女生 寬鬆 運動 跑步 健身【GM01】,8756,1033,537,$159
22,【§ 衫衫飾飾 §】10076【高質感6色S-5XL】升級款綢緞夏季薄款韓版運動短褲女跑步褲寬鬆休閒超短褲熱褲真理褲8S,4096,2805,533,"$250 - $1,200"
23,【T3】女生皮褲 短褲 皮褲 PU 寬鬆 顯瘦 修身 休閒 百搭 女生 黑色 韓版【GM02】,8665,1009,532,$279
24,BANG T3◎新款  刷破牛仔褲 歐美時尚 百搭 寬鬆 顯瘦 膝蓋破洞 九分牛仔褲 牛仔褲 短褲 女生【G26】,19856,1109,517,$250
25,BANG●超短夏季運動短褲 女生短褲 熱褲 短褲 夜跑 口袋 螢光字 運動褲 休閒 健身 瑜伽【B34】,19902,1111,499,$299
26,ξAGLAIAξ批發零售2142實拍 夏裝百搭糖果色休閒短褲女韓版卷邊闊腿褲子女,2967,33,495,"$9,999"
27,☆樂活玩很大 ( A202 )  吸濕 排汗 速乾 運動 跑步 反光條 短褲-不分男女-促銷價 165元,23009,184,490,$165
28,今日限時特價 美式西岸風格螺紋鬆緊抽繩素面休閒運動短褲 海灘褲居家男女短褲子球褲七分褲五分褲 IN2 -A317帽子眼鏡,7944,336,475,$149
29,惡南宅急店【0002N】獨家版雙內裡 運動短褲 瑜伽褲 彈性酷 短褲女 路跑褲 運動短褲抽繩設計 3色/2size,137908,2062,456,$188
30,【T3】女生短褲 短褲 棉褲 口袋 韓版短褲 居家短褲 運動短褲 女生 慢跑 健身 睡褲 彈性材質【B03】,8771,1033,456,$180
31,BANG T3◎韓版皮褲 PU 短褲 皮褲 女短褲 修身 顯瘦 內搭褲 內搭 休閒褲【GM02】,19877,1112,428,$180
32,≡排汗專家≡【06360398】HODARLA 翔翼 男女三分緊身短褲(緊身褲 束褲 慢跑 路跑 台灣製,35220,2413,382,$169
33,Rainnie 無痕內褲 牛仔造型 仿丹寧短褲 印花一片式無痕內褲 底褲防走光 安全褲 女用內褲 打底褲 (現貨),12817,635,372,$45
34,大自在附發票 MIZUNO 美津濃 排球褲 短褲 V2TB7A0609 黑 V2TB7A0614 丈青 長版 男女通用,13480,4543,372,$525
35,含發票-熊超人 韓版顯瘦運動緊身褲 女運動褲顯瘦內搭褲緊身長束褲緊身褲瑜珈褲路跑緊身衣加壓褲長短褲健身路跑,14943,1859,367,$149
36,BANG◎素面反摺丹寧短褲 牛仔短褲 水洗短褲 丹寧短褲 中高腰 熱褲 短褲 女生短褲 夏季超百搭 簡約素色【GM03】,19927,1114,363,$299
37,≡排汗專家≡【06360326】INSTAR PRO 男女緊身短褲(台灣製 慢跑 路跑 同NIKE PRO版型,35223,2405,348,$199
38,【T3】女生運動短褲 寬鬆舒適 時尚輕薄小口袋設計 內搭 馬拉松 透氣 排汗 健身 夏季【B06】,8756,1033,346,$299
39,特價【純棉不起毛球休閒短褲】好穿純棉嚴選魚骨圖案休閒短褲 五分褲 男女皆可,7944,336,345,$199
40,≡排汗專家≡【06360326】INSTAR PRO 男女緊身短褲(MIT台灣製 路跑運動內褲 同NIKE PRO 版型,35223,2423,324,$199
41,🎀雷納德Kawhi Leonard運動籃球短褲🎀NBA球衣快艇隊Nike耐克愛迪達健身訓練慢跑五分純棉褲子男女509,210,853,318,$390
42,現貨最好材質(裙子+褲子) 安全褲裙太陽裙 素色三分短裙 百搭短褲裙子 內含安全褲 百褶裙 迷你裙澎湃群公主裙 女裝批發,7078,78,295,$120
43,兒童內褲 冰雪奇緣 米妮 凱蒂貓 新款嬰幼兒寶寶三角褲  童褲  男童內褲 女童?褲  大童?褲 ?棉短褲~  牧牧小舖,141,483,277,$20
44,破盤特價【純棉不起毛球素面休閒短褲】好穿純棉 嚴選品質 簡單外出短褲子 五分褲 男女皆可穿 IN DS075,7943,336,277,$188
45,【現貨】 韓版新款 運動短褲 女生短褲 三分褲 運動褲 短褲 熱褲 健身 休閒 跑步 瑜伽 睡眠 舒適感 均碼,30090,612,262,$149
46,★【開幕限時折扣】【兩件免運】2XU 男/女機能壓縮短褲 緊身/鐵馬/慢跑/跑步/三鐵 專用,2328,20,249,$550
47,GF 短褲 好質感水洗牛仔短褲 顯瘦高腰綁帶 闊腿褲 休閒褲 女生短褲 寬褲 2色【K08418】,40123,152,240,$258
48,BANG T3◎休閒居家短褲 熱褲 棉 寬鬆版 顯瘦 超顯腿長 彈性 短褲 休閒  卷邊褲 女生 短褲【GM01】,19881,1112,239,$149
49,【T3】女運動短褲 雙層 防走光 鬆緊帶 透氣網狀 馬拉松 健身 瑜珈 慢跑 夜跑 排汗【B05】,8756,1033,239,$240
50,女 短褲 熱褲 三分褲 真理褲 性感 包臀 透氣 【柔依衣坊-運動館 Zoe Sport Shop】#C28-NP001,819,259,222,$170
51,Shoestw【J2TB4A54-】MIZUNO 美津濃 短褲 路跑短褲 慢跑褲 三分短褲 七色 男女都可穿,507,960,218,$490
52,[ Y.U ] [ 清倉 售完不補 ] 跑褲 海灘 運動短褲 慢跑 排球 夏天 6色 男女,1404,53,208,$145
53,Family幸福家＊涼夏必備100%純棉中性男女海灘褲休閒褲M~6L沙灘泡湯短褲/鬆緊帶+綁帶設計C9601,12199,379,192,$190
54,台灣現貨 VS歐美大牌風 女生睡衣 三件式 仿真絲 高級綢緞蕾絲性感吊帶背心➕短褲➕睡袍 冰絲 男朋友撲倒款,3012,307,188,$450
55,Onedays§♥無痕丁字褲👍一片式純棉冰絲隱形女內褲低腰👙高彈性涼感性感小丁情趣內衣必備貼身T褲搭短褲💋C887,2068,342,171,$21
56,≡排汗專家≡【06360326】INSTAR PRO 男女緊身短褲(MIT台灣製 慢跑 路跑 緊身褲 田徑束褲 內褲,35223,2423,163,$199
57,【強磅神褲！狂銷破萬!】黑色縮口褲 七分褲 束口褲 工作褲 休閒長褲工裝褲機能褲短褲彈性男女棉褲運動褲K25-182,7245,166,160,$449
58,Q小緁童裝Q      [貨號A0178]男童女童褲 全棉童短褲 兒童休閒褲子,1714,376,153,$43
59,xs s m號下標區 * 超短T字熱褲性感超短迷你短褲迷你褲女緊身露臀超低腰比基尼牛仔褲？？？？？？？？？T？？？,1251,663,151,$499
60,≡排汗專家≡【04350992】HODARLA 男女魂動針織短褲(台灣製 排球 慢跑 路跑 休閒,35175,2415,142,$119
61,實拍Adidas三葉草 愛迪達短褲 休閒短褲 運動短褲 經典 慢跑褲 健身褲 透氣男女同款,935,393,135,$350
62,⚡清倉特賣，賣完下架🌟韓版胖mm女裝牛仔褲子休閒寬鬆大碼短褲 熱褲,1559,470,135,$8 - $79
