,item,rate,num_product,num_sold,price
0,現貨愛迪達短袖 Adidas短T 速乾圓領T恤  短袖 男 短T 運動T恤 運動短褲 運動褲 素T 潮牌 吸濕排汗上衣,361,12,7936,$390
1,現貨Supreme 圓領短袖T恤 短袖 T恤 大學T 短T LOGO上衣 短褲 運動褲 沙灘褲 休閒褲 男 女 情侶款,361,12,5505,$390
2,韓版休閑 男工裝短褲大碼多口袋五分褲原價590特價399,157,1145,5019,$399
3,🔥黑曼巴Kobe Bryant科比運動籃球短褲🔥NBA球衣湖人隊Adidas愛迪達健身訓練慢跑五分純棉褲子男女417,201,878,4633,$389
4,💥詹皇LeBron James詹姆士運動籃球短褲💥NBA球衣湖人隊Adidas愛迪達健身訓練慢跑五分純棉褲子男496,213,851,4138,$395
5,💥歐文Kyrie Irving厄文運動籃球短褲💥NBA球衣籃網隊Adidas愛迪達健身訓練慢跑五分棉褲子男407,213,851,3496,$395
6,💖柯瑞Stephen Curry庫里運動籃球短褲💖NBA球衣勇士隊Nike耐克愛迪達健身訓練慢跑五分純棉褲子男514,355,876,3328,$385
7,Adidas運動服套裝愛迪達運動短褲三條線五分褲短袖t恤素t短T大學圓領T運動T恤休閒吸濕排汗衫機能衣速乾衣涼感衣褲子男,0,8,3006,$45 - $450
8,現貨飛人運動短褲 詹姆斯運動褲 排汗運動籃球褲 厄文球褲 運動健身跑步沙灘褲 舒適透氣五分褲 鬆緊腰 休閒褲 短褲 男,52,9,3000,$350
9,《限時3折.最後一天》日韓熱賣日韓熱賣加大海灘褲休閒褲棉褲工作褲游泳褲七分褲短褲藍球褲褲子男球套裝健身【26-619】,18542,194,2340,$199
10,NUCKILY 385車褲專業萊卡布料 自行車短褲 車褲 短車褲 男短車褲 腳踏車褲 AC0701【B0186】1203,230272,1302,2252,$455
11,升級《限時買一送一》日韓熱賣TOP1加大海灘褲傘繩手環休閒褲棉褲工作褲游泳褲七分褲短褲藍球褲牛仔褲褲子男【26-561】,18541,194,2232,$299
12,《殺到底!售完下架》送皮帶 韓國熱賣TOP1 韓版休閒褲棉褲工作褲七分褲短褲束腳褲牛仔褲束口褲褲子長褲男【26-179】,16271,185,2086,$299
