,item,rate,num_product,num_sold,price
0,🎀黑曼巴Kobe Bryant科比運動背心🎀NBA湖人隊Nike耐克愛迪達健身籃球衣服內搭排汗無袖上衣T恤男女568,210,853,4724,$390
1,【塑身專賣店】人氣熱門商品~簡便機能型防駝背心束衣【托胸帶集中防外擴不下垂】美胸超爆乳女星推薦款！買過的都追加再追加,7783,243,2814,$100
2,現貨《限時!!!》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00022】,18541,194,2566,$99
3,夏季男女背心純棉無袖t恤外穿坎肩馬甲打底寬鬆籃球跑步運動健身衣,38,9,2500,$190
4,現貨《限時一天特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00022】,18540,194,2487,$89
5,現貨《三件組特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00020】,16271,185,1845,$279
6,現貨《三件組特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00020】,16271,185,1811,$279
7,❤❤Fairy Cat❤❤現貨出清❤❤ 歐美潮流嘻哈男女必備網紗洞洞背心 籃球衣背心  舞台表演街舞背心43款 現貨,3488,76,1768,$129
8,快速出貨《買一送一》polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發印製【26-243】,16270,185,1655,$199
9,【活力家】男女運動緊身衣短袖短褲無袖背心7色吸濕排汗 4件免運買10送1 籃球護膝護肘內搭褲路跑單車健身房重訓 團購批發,1544,21,1486,$199
10,快速出貨《買一送一》polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發印製訂製【26-243】,18541,194,1467,$179
11,°☆星光小舖☆ 女人我最大推薦款托胸防駝背心˙一件防駝 超爆乳集中˙超低優惠特價中˙9903 追加+現貨,18855,543,1280,$99
12,樂兒館※ 1-3歲 條紋背心套裝│男童女童可穿 上衣+褲子 夏天無袖T恤 不挑款 A191b,15001,774,1089,$79
13,◎BANG T3◎三件免運 運動背心 束衣 背心 籃球束衣(緊身 束褲 透氣 慢跑 自行車 男生 女生 PRO【A01】,19896,1111,1051,$210
14,[免運費] 韓版修身背心 挖背背心 運動吊嘎 掉嘎 男 女 媲美 stage uniqlo lativ a&f gap,11294,9669,1015,$220
15,無鋼圈拉鍊運動內衣 專業/高強度/防震/運動背心/跑步/健身/女瑜珈服/文胸/聚攏/小可愛/緊身內衣/防滑 現貨 A12,9648,1630,936,$250
16,【T3】字母運動內衣 運動內衣 無鋼圈 英文字母 無鋼圈運動內衣 限時特價 運動背心 交叉背心 女生 運動【GU01】,8771,1032,844,$139
17,BANG◎限時特價 字母無鋼圈運動內衣 運動內衣 基本款 運動內衣 交叉背心 女生 無鋼圈內衣【GU01】,19864,1110,802,$145
18,Ω衣枝獨袖Ω【150】新款夏季情侶男女印花無袖運動連帽背心,8617,3286,795,$297
19,BANG◎美背交叉運動內衣 加寬式肩帶 女生 運動內衣 背心 露背內衣 健身 慢跑 瑜珈 透氣排汗【B18】,19861,1109,746,$299
20,BANG◎雙層高防震飽滿型運動內衣 前拉鏈式 無鋼圈 運動內衣 內衣 運內 運動背心 健身 女生【B13】,19884,1111,700,$349
21,無鋼圈拉鍊運動內衣 專業/高強度/防震/運動背心/跑步/健身/女瑜珈服/文胸/聚攏/小可愛/緊身內衣/防滑 現貨 A12,3742,1684,656,$250
22,台灣製造女款細肩帶CoolMax頂級Extreme 背心 短袖 內搭 小可愛 涼感  內無Bra 排汗衣 安東機能商品,5066,106,645,$290
23,[免運費] 韓版百搭高質感棉西裝背心 男 女 媲美 stage uniqlo lativ g2000 levis gap,11293,9568,603,$390
24,【§ 衫衫飾飾 §】10062【均碼19色】亮絲針織吊帶女韓國性感小吊帶上衣無袖小可愛打底衫短款內搭背心8S,4102,2805,570,$19 - $189
25,BANG◎運動鏤空背心 背心 小可愛 女生 內搭 運動背心 健身 跑步 慢跑 夜跑 透氣 簡單【B12】,19874,1110,553,$300
26,【T3】運動鏤空背心 背心 小可愛 女生 內搭 運動背心 健身 跑步 慢跑 夜跑 透氣 簡單 工字背心 交叉【B12】,8721,1017,510,$299
27,BANG◎露背式運動內衣 無鋼圈 具可拆式胸墊 露背 運動內衣 內衣 運內 運動背心 健身 女生【B17】,19924,1115,479,$300
28,【T3】雙層高防震飽滿型運動內衣 前拉鏈式 無鋼圈 運動內衣 內衣 運內 運動背心 健身 女生【B13】,8755,1031,475,$350
29,BANG T3◎露背速乾顯瘦背心 寬鬆 罩衫 工字背心 彈力 運動背心 女生 夜跑 慢跑 瑜珈 健身 透氣【BN01】,19884,1111,473,$239
30,【塑身專賣店】無痕美體機能瘦身衣防駝背心＊托高集中塑腰塑腹美胸防外擴無痕鎖邊束衣不露痕跡女人的小心機塑身衣極為好穿舒適透,7783,243,450,$290
31,無鋼圈拉鍊運動內衣 專業/高強度/防震/運動背心/跑步/健身/女瑜珈服/文胸/聚攏/小可愛/緊身內衣/防滑 現貨 A12,5574,1603,407,$250
32,【ZITA嚴選】A010 運動內衣 女背心式無鋼圈薄款跑步防震瑜伽睡眠胸罩內搭褲 籃球 自行車 緊身長褲,6087,239,389,$299
33,≡排汗專家≡【03311755】INSTAR 男女 雙面穿拼接籃球背心(運動背心,35167,2429,323,$150
34,≡排汗專家≡【03311755】INSTAR 男女 雙面穿拼接籃球背心(運動背心,35208,2379,300,$150
35,超彈力涼感《倒數買一送一》polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發印製【26-1384】,18542,194,288,$249
36,男女美背美體衣 美背防駝背心雕塑背心 透氣美肩背心帶調整美體衣 防駝塑身內衣凸肚剋星塑身 四季可穿兒童挺胸背心 現貨台灣,11836,431,265,$249
37,快速出貨《買一送一》polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發印製訂製【26-243】,18520,194,260,$179
38,★韓之谷★滿額免運 現貨＜運動無袖背心＞連帽背心 彈性無袖上衣 純棉無袖 彈力沙灘坦克背心 白色帽T 黑色帽T 男女背心,8647,471,226,$268
39,♀後勤補給♀帶胸墊吊帶背心女無鋼圈免文胸罩杯一體瑜伽運動修身打底衫,1559,471,224,$199
40,≡排汗專家≡【03311757】INSTAR 男女雙面穿籃球背心(台灣製 運動背心,35208,2379,220,$99
41,女背心 工字背心 挖背背心 小可愛背心 女背心 女夏天背心 貼身背心 透氣背心 內搭背心 挖肩背心【091】,9321,641,200,$49
42,自拍網◎美姿美儀X型防駝背心D047-MZ02男女成人兒童挺胸帶美姿勢脊椎背部駝背矯正帶矯姿挺背帶滑鼠肩糾正帶學生,61705,4905,200,$135
