,item,rate,num_product,num_sold,price
0,台灣製[東急]140D男塑身衣 塑身背心 瘦身背心 收腹塑身背心  黃金比列款 {買四送一},9981,22,10640,$300
1,[東急速購]140D台灣製 男士塑身衣 塑身背心 瘦身背心 束腰收腹.收腹塑身背心 黃金比列款 {買四送一}  ,9980,22,6418,$300
2,運動背心束胸 塑胸 Cosplay服裝 Cos男角必備/魔鬼粘 掛鉤款/吸汗透氣好穿/白黑/魔鬼氈 半身款,13504,292,5237,$130
3,🎀黑曼巴Kobe Bryant科比運動背心🎀NBA湖人隊Nike耐克愛迪達健身籃球衣服內搭排汗無袖上衣T恤男女568,210,853,4724,$390
4,🎀詹皇LeBron James詹姆士運動背心🎀NBA湖人隊Nike耐克愛迪達健身籃球衣服內搭排汗無袖上衣T恤男570,210,853,4240,$390
5,💥柯瑞Stephen Curry庫里運動背心💥NBA勇士隊Adidas愛迪達健身籃球衣服內搭排汗無袖上衣T恤男571,210,851,3584,$395
6,【3件免運】束胸 緊胸衣 長款運動束胸 美背背心 純棉背心 束胸衣 男角必備 魔鬼粘掛鉤款 外穿背心 束胸cos,11949,836,3468,$350
7,【尺寸任選→買三送一！男士塑身背心】男塑身衣 塑身背心 背心 塑身內衣 束身衣 短袖 運動背心 聖誕節,143812,697,2764,$279
8,【新增背部交叉設計】男生塑身衣 男塑身內衣 男背心 (小腹 啤酒肚 胖肚子 肥 腰夾瘦身衣束腹束腰束腰帶婚禮結婚新娘秘書,13507,293,2603,$200
9,【現貨-免運費！台灣寄出】型男塑身衣 瘦身衣 男 內衣 塑身衣 男 背心 束腰 朔身衣 男士 塑身 束腹 男生 肚子,24337,494,2597,$309
10,現貨《限時!!!》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00022】,18541,194,2566,$99
11,夏季男女背心純棉無袖t恤外穿坎肩馬甲打底寬鬆籃球跑步運動健身衣,38,9,2500,$190
12,現貨《限時一天特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00022】,18540,194,2487,$89
13,【winshop】B2572 撕名牌背心/跑男/奔跑吧兄弟/running man/可撕名牌遊戲/可重覆使用/魔鬼氈名牌,74929,4213,2467,$19
14,【快速出貨.限時買一送一】運動束胸緊身衣 束胸背心款束胸衣 TT男角必備三排扣TT束胸塑身緊胸衣Cos服【26-354】,18542,194,1948,$299
15,《衣匠》☆ MIT 第2代 台灣製 涼感抑菌 吸濕排汗 男款背心內衣﹝BC03B﹞,33937,438,1938,$145
16,現貨《三件組特賣》大尺碼polo衫短袖寬鬆落肩素面T恤潮T背心健身運動內衣班服吸汗排汗女男批發【A1-00020】,16271,185,1845,$279
