,item,rate,num_product,num_sold,price
0,韓版之家高領長袖t恤純色打底衫男保暖毛衣彈力磨毛針織衫 B196,5150,2331,10391,$188.00
1,JB 專業衣廠【SJ09】 優質秋冬男女~百搭素面長袖POLO衫  22色 /多件免運,52070,429,7814,$210 - $260
2,現貨NIKE/Adidas/Puma連帽長袖 三葉草愛迪達耐吉帽T大學T長袖T恤素T男女大LOGO純棉帽衫衛衣連帽外套,360,12,7507,$390.00
3,JB 專業衣廠 【JOH09】日系潮流 男女基本款 百搭圓領長袖棉素T 16色 多件免運,52070,429,6588,$150 - $170
4,原廠現貨Adidas/Nike/Puma 三葉草 愛迪達 耐吉 圓領長袖T恤純棉T長T大學T恤頭衫素色衛衣男女情侶上衣,361,12,6443,$390.00
5,韓版 修身男士 純17色百搭白色長袖襯衫-叫阿潮【H1688-236492】,20612,651,4734,$299.00
6,💥黑曼巴Kobe Bryant科比長袖連帽T恤上衛衣💥NBA湖人隊Adidas愛迪達運動籃球衣服大學純棉T男女766,213,851,4537,$795.00
7,【享逸生活館】保暖刷毛發熱衣 長袖立領圓領刷毛{單件售不含褲} 男款 女款 保暖衣 內搭衣 衛生衣 睡衣☆另售柏格☆,3790,321,4221,$100.00
8,韓版之家男裝T恤韓版修身男士時尚英倫休閑長袖t恤  A635,5157,2410,4013,$299.00
9,全新現貨春秋款FILA/ADIDAS/NIKE/PUMA純棉連帽T恤男女休閒帽T大學T連帽外套長袖T帽衫,17,15,3701,$390.00
10,【國綿男仕用(高領-V領-圓領-厚棉-刷毛-磨毛)】長袖衛生衣褲厚織-棉柔溫暖【帕來坊】保暖發熱衛生衣/衛生褲,9149,329,3602,$100.00
11,💖歐文Kyrie Irving厄文長袖連帽T恤上衛衣💖NBA籃網隊Nike耐克愛迪達運動籃球衣服大學棉T男905,355,876,3548,$785.00
12,🎀柯瑞Stephen Curry庫里長袖連帽T恤上衛衣🎀NBA勇士隊Nike耐克愛迪達運動籃球衣服大學純棉T男695,210,853,3480,$790.00
13,COCO SHOP【PW02】秋冬．舒適．視覺玩色．男女百搭不敗單品．棉質長袖網眼POLO衫~人氣22色/團購/滿額免運,14654,424,3190,$210.00
14,【 Farsi 】GILDAN 88000  大學T 長T 素T 百搭款 刷毛 鋪棉 素面 衛衣 長袖 男女 9色,7602,55,2989,$300.00
15,現貨Adidas帽T外套Nike運動T恤Puma運動外套VANS連帽T恤男女大學T愛迪達三葉草帽T外套長袖T恤,48,7,2919,$980.00
16,銷售冠軍 青龍林 男女運動緊身衣機能衣 長袖短袖 長袖短袖可搭緊身褲束褲內搭褲臂套護臂顯瘦,14952,1856,2650,$199.00
17,韓版之家男尖修身領長袖襯衫 A582,5150,2331,2353,$199.00
18,【§ 衫衫飾飾 §】10071【男女款S-2XL號】白大褂長袖醫師服長袖護士服藥店工作服醫生服男女實驗服8S,4088,2798,1988,$350.00
19,~厚織-棉柔保暖發熱衛生衣/衛生褲【男仕用長袖衛生衣(V型領&圓領&高領&刷毛)】【帕來坊】,9117,332,1665,$100.00
20,JB 專業衣廠【SJ09】 優質秋冬男女~百搭素面長袖POLO衫 22色 /多件免運,52059,429,1665,$210.00
21,⚡台灣現貨馬上出⚡假胸巾男裝長袖襯衫紋裝飾,17959,798,1613,$199.00
22,⚡台灣現貨馬上出⚡  多色可選* 胸口條紋男裝長袖襯衫紋裝飾,17958,798,1527,$199.00
23,🎀KD杜蘭特Kevin Durant長袖連帽T恤上衛衣🎀NBA籃網隊Nike耐克愛迪達運動籃球衣服大學純棉T男970,207,837,1426,$790.00
24,{超值家}2020*新款*純色男士*兩用*男衛生衣長袖男T恤內搭衣發熱衣保暖衣打底內衣貼身內搭衣男衛生衣男保暖舒服.,3264,79,1366,$95.00
25,☆衣林魔力屋☆(T119)秋冬人氣百塔暢銷．潮流男女情侶素面長袖POLO衫/新22色/滿額免運,8603,445,1222,$210.00
26,●BANG●(兩件免運)運動束衣 緊身長袖 緊身衣(籃球 束衣 慢跑 自行車 男生 Nike PRO 聖誕節【A04】,19942,1113,1144,$239.00
27,【綠色運動】促銷1.5mm 2.5mm 3mm 男女長袖連體潛水衣 防曬服 潛水服 水母衣 防寒衣 衝浪衣 沙灘釣魚衝浪,10080,4322,1121,"$1,425.00"
28,【勁褲工場】100%台灣製 男士/女士內裡輕柔細緻刷毛 機能蓄熱保暖長袖內衣,4020,65,1095,$90.00
29,⚡台灣現貨馬上出⚡熱銷男裝長袖襯衫紋裝飾,17959,798,1082,$179.00
30,【T3】素面長袖棉T 大學T 刷毛 素面 圓領 長袖 棉質 保暖 秋冬 百搭 簡約 潮流 男女 上衣 T恤【M34】,8775,1033,1050,$399.00
31,出清特賣↘【素面襯衫！韓系立領襯衫】棉麻立領襯衫 寬鬆風格襯衫 長袖襯衫 學院風 男襯衫 男裝 襯衫,143945,694,1033,$165.00
32,JB 專業衣廠【SJ09】優質秋冬男女 百搭素面長袖 POLO衫 /22色/尺碼/組合/團購/日韓,52070,429,915,$210.00
33,JB 專業衣廠 【JOH09】日系潮流 男女基本款 百搭圓領長袖棉素T 15色 多件免運,52008,429,911,$150.00
34,JB 專業衣廠 【SJ09】優質秋冬男女.素面長袖POLO衫 22色系 vivi 風/滿額免運/多種尺寸/團購,52066,429,908,$210.00
35,現貨 OFF WHITE 純棉長袖T恤 男女大學T OW圓領套頭長袖T恤 潮T,48,7,897,"$1,100.00"
36,韓版之家純色男款襯衣 韓版修身時尚男士休閑長袖襯衫 男 A470,5156,2410,890,$250.00
37,【限時三天.買一送一】☆立領版最新款☆送領帶修身版長袖襯衫男西裝襯衫純色喜宴正式上班免燙防皺素面【26-556】,16268,185,887,$349.00
38,BANG◎素面長袖棉T 大學T 刷毛 素面 圓領 長袖 棉質 保暖 秋冬 百搭 簡約 潮流 男女 上衣 T恤【M34】,19877,1112,860,$399.00
39,【§ 衫衫飾飾 §】10093【男女長袖刺繡多色多款M-3XL號】刺繡情侶睡衣絲綢大碼冰絲家居服薄款套裝2,4102,2805,832,$750.00
40,💥大鬍子James Harden哈登長袖純棉T恤上衛衣💥NBA火箭隊Adidas愛迪達運動籃球衣服圓領大學T男662,209,835,814,$795.00
41,爆款暖襯衫男加絨加厚一體絨長袖襯衫修身男士襯衣,3840,61,806,$350.00
42,蕎琪☞男生圓領長袖科技發熱衣 輕薄 細柔 透氣 彈性 衛生衣 保暖衣 輕磨毛 男內衣 發燒衣男生內衣長袖內衣NO.91,28043,296,773,$99.00
43,《日韓爆賣.限時下殺3折》棒球外套棒球領長袖防風街頭外套飛行外套休閒外套男太空外套防曬黑連帽素機車車衣【72-425】,16270,185,735,$449.00
44,☆衣林魔力屋☆(T119)口袋下標區．秋冬潮流百塔．男女素面長袖 POLO衫/新22色,8607,445,730,$230.00
45,【 Farsi 】  GILDAN 76400 76400L 男女 長T 素T 美國棉 素面 衛衣 內搭 長袖,7603,55,729,$150.00
46,COCO SHOP【PW02】大尺碼/秋冬．視覺玩色 男.女百搭不敗單品/棉質長袖網眼POLO衫~人氣22色/團購,14656,424,694,$210.00
47,【3件免運】 萊卡面料 PRO 運動緊身衣 S~3L 長袖 內搭衣 束衣 男 速乾 跑步 健身 藍球 自行車 訓練衣,4919,593,651,$233.00
48,韓版男女童/加厚磨毛/高領長袖T恤/保暖衣/限時特殺 三件以上$99/件,2862,659,650,$99.00
49,緻語❃有效升溫 輕薄保暖男生圓領 發熱衣 超透氣 舒適好穿 暖暖衣 長袖男內衣 內搭保暖衣 男上衣 衛生衣發燒衣輕摩毛,924,216,646,$99.00
50,????現貨馬上出????長袖休閒連帽衛衣男士加絨青少年潮牌寬鬆情侶,17944,831,642,$299.00
51,★現貨.附發票★Gildan 柔棉長袖 76400 男女尺碼 內搭 內搭衣 睡衣 長板 素T 長素T 長袖 大學T,3507,27,631,$139 - $159
52,《3折最後一天!》高磅數棒球外套棒球領長袖防風街頭外套飛行外套休閒外套男太空外套防曬黑白連帽素機車車衣【26-389】,16261,185,621,$450.00
53,【阿信防皺襯衫】【經濟款-男長袖】男士、面試、表演【白襯衫/水藍色/黑色/寶藍襯衫】白色襯衫、黑色襯衫、領子下備有暗扣,2135,230,605,$280.00
54,【§ 衫衫飾飾 §】10053【5色M-5XL號】男式襯衫長袖潮流新款男士休閒襯商務襯衫免燙襯衫8S帝,4092,2798,599,$690.00
55,【§ 衫衫飾飾 §】10053【6色M-9XL號】格子襯衫男胖子潮大碼港風加肥加大肥佬寬鬆休閒男士長袖格紋襯衫,4083,2796,599,$690.00
56,≡排汗專家≡HODARLA 男激膚無感長袖衣 (T恤 長T 慢跑 路跑 健身 台灣製【03370682】,35223,2419,596,$349.00
57,《意生》輕便雨衣 一次性雨衣 拋棄式雨衣 長袖雨衣成人雨衣演唱會造勢跨年活動登山露營免洗拋棄式男女輕便雨衣,24762,1399,586,$13.00
58,⚡台灣現貨馬上出⚡長袖襯衫紋裝飾中大尺碼 商務襯衫 襯衫 男生襯衫 女生襯衫 SIRTW3男裝 純色襯衫,17958,798,564,$199.00
59,BANG◎秋冬男士菱格紋毛衣 麻花 混色 圓領 長袖 上衣 針織衫 T恤 情侶 男士 韓版 修身 潮流 毛衣【M37】,19881,1111,542,$399.00
60,秋冬男生條紋毛衣 韓版 顯瘦 針織衫 毛衣 套頭 男生 長袖 圓領【M38】,19874,1110,537,$450.00
61,✰省錢大王GILDAN 88600 美國 連帽外套 百搭款 刷毛 鋪棉 長袖 男女 9色現貨✰另有88000 76000,2045,6,526,$330.00
62,【阿信防皺襯衫】【男長袖】男士、上班、面試、業務、開會、必備款【白色襯衫/黑色襯衫/水藍色襯衫/粉紅襯衫】白襯衫、黑襯衫,2135,230,515,$420.00
