,item,rate,num_product,num_sold,price
0,原廠現貨Adidas長褲 愛迪達運動褲 運動休閒褲 運動長褲 三葉草LOGO褲子 男女情侶慢跑褲 束腳褲 訓練褲 運動服,388,6,10471,$480
1,原廠現貨 adidas 愛迪達 三葉草 運動褲 長褲 運動長褲 慢跑褲 瑜伽褲 束腳褲子 彈力 緊身褲 健身 速乾 女 ,361,12,9505,$399
2,adidas 愛迪達 三葉草 運動褲 長褲 運動長褲 慢跑褲 束腳褲子 學生褲 男女 情侶款 棉質 休閒褲,128,32,6751,$499
3,BANG◎兩件免運◎現貨 束褲 運動束褲 緊身褲 束口褲 緊身長褲 內搭褲 籃球 男生 女生【A05】,19940,1113,5949,$299
4,兩件免運 現貨 運動束褲 緊身長褲 緊身褲 束褲 內搭褲 籃球 男生 女生【A05】,19931,1115,5461,$299
5,換季出清！【恆溫37度+3秒發熱(衣+褲)套裝】發熱衣 男 女 透氣排汗衣 保暖衣 修身長褲 衛生衣 內衣 蓄熱衣,143809,697,3473,$99
6,現貨！加厚刷毛｜內搭褲 保暖褲 發熱褲 女長褲 保暖抗寒 高腰收腹 踩腳設計 不易起毛球｜HFL7C1,42046,343,3348,$149
7,≡排汗專家≡【06360348】INSTAR 男女蛻變緊身長褲(台灣製慢跑緊身褲 路跑內搭褲束褲,35176,2410,3286,$390
8,≡排汗專家≡【06360285】INSTAR 起點 男女緊身長褲(台灣製 緊身褲 慢跑 路跑 籃球內搭褲束褲#全民體育課,35192,2414,2963,$349
9,現貨夏季男女休閒運動褲 簡約百搭 三線褲 休閒褲 修身 長褲 透氣 速乾 運動長褲 縮口 束腳褲 九分褲,38,9,2508,$290
10,≡排汗專家≡【06360285】INSTAR 起點 男女緊身長褲(台灣製 緊身褲 慢跑 路跑 內搭褲 束褲 ,35214,2382,2489,$349
11,現貨 街潮嘻哈風男女休閒褲 三線 運動褲 寬鬆 束腳褲 顯瘦長褲 縮口褲 ,17,15,2103,$290
12,換季出清！【超薄3秒發熱套裝(衣+褲)】透氣排汗衣 發熱衣 男 女 保暖上衣 修身長褲 衛生衣 打底衫 內衣 蓄熱衣,143863,694,2096,$99
13,BANG(兩件免運)女生款運動束褲 夜跑 緊身褲 團購 運動褲(內搭褲 籃球 束褲 緊身長褲 女生 PRO【A06】,19942,1113,2056,$299
14,≡排汗專家≡【06360327】INSTAR PRO 男女緊身長褲(慢跑緊身褲 路跑內搭褲束褲 同PRO版型#全民體育課,35175,2415,1713,$199
15,現貨💕健身褲💕泳褲 黑色運動 緊身褲 彈力褲 女長褲 瑜伽顯 水母褲 瘦身褲 跑步褲 訓練褲 打底褲 潛水褲,2415,257,1466,$250
16,BANG T3◎素面假兩件式運動褲 假兩件長褲 運動褲 夜跑 女生 健身 壓力褲 慢跑 內搭褲 緊身褲【B621】,19936,1114,1262,$250
17,賠本特價 運動褲 名牌長褲 銷售冠軍 專業PRO系列涼感排汗緊身長束褲緊身褲籃球內搭褲健身路跑內褲單車緊身衣短褲女運動服,14958,1848,1151,$149
18,JF 長褲 糖果色鬆緊七分綁帶哈倫褲休閒褲 女生褲子【K070298】現貨,40123,152,1109,$120
19,≡排汗專家≡【06360348】INSTAR 男女蛻變緊身長褲(台灣製 慢跑 路跑 內搭褲 束褲,35203,2390,1084,$390
20,蕎琪  L點點優雅中腰棉質生理褲(建議26~32腰)透氣包臀舒適好穿 加長褲底防水布 女內褲 NO.13108-1,28025,296,1000,$33
21,【T3】假兩件式長褲 緊身褲 兩件式 運動褲 小腿超顯瘦 修身 透氣 排汗 顯瘦 女生 束褲 內搭褲【BP01】,8771,1032,900,$270
22,愛迪達束口褲 Adidas運動褲 三葉草運動褲 男女運動長褲 情侶休閒褲 NIKE慢跑褲 休閒衛褲 運動衛褲,5,12,855,$40 - $390
23,【下殺破盤特價】男女運動緊身褲 運動束褲 透氣彈力訓練健身跑步長褲NBA籃球褲跑步 自行車 單車車褲,6496,28,844,$250
24,【T3】寬鬆亞麻休閒褲 長褲 修身 鬆緊帶 休閒褲 哈倫褲 小腳褲 多色 女生 韓版 春夏新款【GP02】,8776,1033,817,$299
25,現貨Adidas褲子 愛迪達運動褲 三葉草運動褲 男女運動長褲 情侶休閒慢跑褲 束褲衛褲經典三條杠學生褲運動褲,0,12,812,$1
26,▲韓瘋塔▲鬆緊褲休閒褲街舞褲情侶褲 慢跑褲嘻哈褲運動褲籃球褲 睡褲垮褲直筒褲 灰色棉褲藍色褲黑色長褲 男褲女褲,6310,476,812,$288
27,BANG T3●出清特價 假兩件式 長褲 短褲 九分褲 女生 夜跑 緊身褲 壓力褲 拼色 速乾 排汗【B620】,19848,1109,760,$109
28,BANG T3◎女生運動白線束口褲 運動褲 寬鬆 顯瘦 速乾 吸汗 瑜珈 健身褲 跑步 長褲 束口 小腳【BP03】,19938,1114,739,$350
29,◎BANG T3◎超彈性運動時尚緊身褲 運動長褲 滑面 壓力褲 夜跑 健身 慢跑 束褲 內搭褲 女生 緊身褲【B520】,19932,1115,696,$399
30,【T3】素面假兩件式運動褲 假兩件長褲 運動褲 夜跑 女生 健身 壓力褲 慢跑 內搭褲 緊身褲 路跑造型穿搭【B621】,8755,1031,676,$225
31,【T3】鬆緊寬褲 寬褲 休閑褲 西裝褲 女九分褲 挺版寬褲 高腰 9分休閒褲 顯瘦長褲 單色寬褲 現+預【GP04】,8776,1033,599,$299
32,≡排汗專家≡【06360285】INSTAR 起點 男女緊身長褲(台灣製 緊身褲 慢跑 路跑 內搭褲 束褲 ,35162,2429,575,$349
33,【T3】百搭棉褲 束口鬆緊帶 彈力棉褲男 運動棉長褲 修身 情侶男女褲 日系秋冬 休閒 運動 潮流長褲【MP01】,8756,1033,556,$499
