,item,rate,num_rate,num_sold,price
0,厚款薄款棉衣保暖情侶外套 薄厚款外套 男生連帽外套 大呎碼運動外套 反光拉練休閒外套 防風外套 風衣鋪棉外套,4.8,800,"1,534",$485 - $590
1,【熱銷特賣】現貨 adidas 愛迪達外套 愛迪達領夾克外套 男款外套 adidas防風外套 愛迪達外套 外套,4.9,11,25,$489
2,jennie同款 短款t恤女 短袖針織衫 荷葉邊上衣 針織外套V領上衣 針織v領鏤空t恤顯瘦短款上衣露臍短袖T恤鏤空上衣,4.9,284,827,$109
3,【26000】六色可選 薄款寬鬆復古素色格子西裝外套上衣開衫女,4.9,"4,049","9,314",$249
4,❁☫✧牛仔外套女2019春秋新款韓版寬松蝙蝠袖學生短款港味上衣短外套女,4.8,194,325,$219
5,格子襯衫 長袖襯衫 女生防曬衣  外套罩衫 多顏色中長款秋季新款復古格子寬松學生長袖襯衫防曬衫外套女防曬衣ins,4.7,485,"1,479",$157
6,蝦皮優選防曬衣男 薄外套 防曬外套 外套男 薄外套男 六色夏季超薄透氣防曬連帽外套 薄外套 情侶外套女防曬外套 百搭 男生薄外套,4.8,255,616,$188
7,[快速出貨]外套 新款複古韓版蝙蝠袖牛仔外套女短款百搭寬松bf夾克牛仔外套女生 短外套 牛仔外套 短版牛仔外套,4.9,"1,448","3,288",$289
8,現貨免運 韓版通勤 冰絲防曬衣 長袖防曬外套 速乾透氣涼感 戶外遮陽 披肩遮臉 防紫外線 抗UV 機車防曬衣女 八色可選,4.8,99,239,$32 - $179
9,蝦皮優選老闆不賣了!日系小清新亞麻襯衫 七分袖立領襯衫 棉麻襯衫 長袖 襯衫 罩衫 防曬 薄外套 大尺碼 捲邊襯衫 女-杜達女孩,4.8,"2,280","4,401",$182
10,新款複古韓版蝙蝠袖牛仔外套女短款百搭寬鬆bf夾克牛仔外套女生 短外套 牛仔上衣 牛仔外套 短版牛仔外套 短款牛仔外套女裝,4.9,156,443,$210
11,秋冬季中長款雪紡印花衫防風防曬衣 女七分袖防紫外線度假風開衫外套 薄外套,4.6,71,327,$99
12,蝦皮優選老闆不賣了!蝦皮最低 多色 秋冬 針織外套 女 長袖外套 罩衫 開襟外套 短 小外套 針織外套 薄外套 大尺碼-杜達女孩,4.9,"1,489","4,775",$199 - $229
13,不怕曬夏季外套韓版百搭素面雪紡開衫薄款蝙蝠袖襯衫寬鬆空調衫 防曬衣女 薄外套 防曬衫 女生防曬外套 罩衫 透視外套,4.8,94,225,$129
14,❄️冰絲棉舒服開衫小外套❄️ 女外套 女上衣 防曬衫 空調衫 薄外套 針織外套,4.9,54,222,$199
15,🌱Comeandbuy🙋格子襯衫女長袖女裝 寬鬆外套 網紅薄款短款防曬服 韓版寬鬆港味復古防曬外套 襯衫,4.7,57,161,$139
16,【十色可選】韓國外套 空調外套 女 針織開衫 長袖女生外套修身毛衣外套開襟外套小外套 簡約外套 薄外套 防曬衣 防曬衫,4.8,76,237,$142
17,[下殺] 外套 薄外套 襯衫 長袖襯衫 韓版寬鬆襯衫 韓版復古港風美女印花長袖女襯衫POLO衫寬鬆上衣,4.7,150,482,$132
18,[出清]薄外套 防曬衫 透視 早秋必備款  長袖外套 外搭薄款空調衫夏季韓版防曬衫長袖v領針織開衫女上衣,4.9,227,595,$125
19,蝦皮優選老闆不賣了!百搭親膚羊绒衫針織外套 100%舒適V領針織外套 長袖 包心紗 外套毛衣外套 外搭上衣 女 大尺碼-杜達女孩,4.9,550,"1,492",$249
20,外套 牛仔外套 韓國爆款 人氣爆款 短版牛仔外套 韓版復古韓版蝙蝠袖牛仔外套女短款百搭寬鬆bf夾克,4.9,"1,730","3,964",$271
21,女生襯衫 格子襯衫 女學生韓版寬松防曬衣女長袖夏裝外套女上衣春秋季中長款,4.5,129,315,$113 - $136
22,防曬衣 防曬衫 夏天必備 中長款開衫防曬衣女海邊沙灘服百搭薄款外套 透視外套 軟妹必備 女生防曬衣著,5.0,99,232,$154
23,蝦皮優選牛仔外套 杜米服飾 韓版刷色百搭顯瘦短款牛仔外套-防曬外套-實拍S-2XL碼 外套女 實拍照,4.8,644,"1,318",$279
24,蝦皮優選老闆不賣了!簡約韓風翻領西裝外套 雪紡氣質薄款西裝外套 中長版 休閒寬鬆 外套 雪紡外套 西裝外套 小西服 女-杜達女孩,4.9,181,373,$375
25,22479實拍韓系襯衫寬鬆顯瘦個性時尚格子格紋短袖襯衫薄外套女上衣,4.8,"1,843","3,997",$179
26,[新品搶鮮]日系小清新亞麻襯衫 七分袖立領襯衫 棉麻襯衫 長袖 襯衫 罩衫 防曬 薄外套 大尺碼 捲邊襯衫 女,4.7,395,956,$119
27,UV100 防曬 抗UV-涼感口罩連帽長版外套-女 -【AL71018】,4.9,128,209,"$1,699"
