,item,rate,num_rate,num_sold,price
0,英國代購正品極度乾燥 Superdry 純色外套 防風 防潑水 防寒 連帽外套男女款夾克衝鋒衣,4.8,132,240,$780
1,買就送⚡️台灣製快速出貨⚡️機能防潑水風衣外套｜風衣 輕量 抗UV 防風 防潑水 運動 大碼 登山 戶外運動 男款 外套,5.0,19,28,$499
2,蝦皮優選防曬衣男 薄外套 防曬外套 外套男 薄外套男 六色夏季超薄透氣防曬連帽外套 薄外套 情侶外套女防曬外套 百搭 男生薄外套,4.8,256,617,$188
3,夏季大尺碼男港風原創沙灘情侶短袖花襯衫 韓版寬鬆休閒短袖襯衫 夏威夷新款海灘度假襯衫外套 襯衣防曬衫 正韓上衣 男生衣著,4.9,212,690,$289
4,【8個顏色 M-4XL】黑色大尺碼薄外套 英文織帶防風外套 男外套 韓版連帽外套 教練夾克 修身外套 男生衣著 禮物,4.8,"1,949","4,616",$195
5,蝦皮優選【限時下殺】西裝外套 M-2XL 男外套 單排扣簡約外套 韓版潮流西服 休閑寬松男士正裝 韓國夾克  正韓衣著 現貨,4.8,583,"1,373",$379
6,【S-7XL防風外套】春秋季夾克男女韓版帥氣風衣男修身情侶運動服休閒外套潮男生衣著男生外套長袖女生衣著女生外套,4.8,168,360,$229 - $269
7,ADIDAS 愛迪達 免運超強防曬韓版棒球外套 現貨 MA1 飛行外套 防風外套 情侶裝 男外套 男生風衣 教練外套,4.8,685,"1,324",$350 - $399
8,蝦皮優選防曬衣男 5色入 薄外套 夏季超薄透氣 防曬連帽外套 情侶外套薄外套 沙灘度假防曬衣 韓版青年男生經典款防曬服防蚊外套,4.8,57,187,$178
9,【限時特價】工裝襯衫男 多口袋短袖襯衣 日系休閒棉麻男生短袖亨利領襯衣 原創素色工裝短袖薄外套 大碼ulaazing男裝,4.6,76,281,$58 - $196
10,蝦皮優選薄外套 防曬外套 薄外套男 男生外套 夏季防風防曬透氣連帽外套 男生薄外套 防曬衣男 情侶外套 男薄外套 現貨,5.0,35,85,$179
11,蝦皮優選【限時特賣】薄外套 防風防水衝鋒外套 男生外套 外套男生 防風外套 班服 團服 男生連帽外套 外套男 防曬衣男 防曬外套,4.9,58,167,$228
12,【新款現貨】INS潮夏威夷風印花襯衫男 春夏季短袖襯衣外套男女情侶裝 港風潮流寬松大碼沙灘上衣寸衫 古樹葉印花打底衫男裝,4.9,16,91,$55 - $155
13,情侶外套防風外套 防曬外套 薄夾克 連帽風衣 韓版拼接夾克 男夾克 情侶外衣,4.8,63,128,$290
14,黑襯衫男格子復古慵懶冷淡風個性學院風格花短袖   夏威夷沙滩花衬衫  韓版寬鬆ins風,4.4,21,58,$188
15,蝦皮優選黑色襯衫 素色襯衣 五分袖 韓版襯衫 男裝 落肩襯衫男 黑色襯衫 薄襯衫 外套 襯衫 休閒襯衫 間約襯衣,4.9,142,329,$187
16,蝦皮優選現貨 素色襯衣 韓版襯衫 男裝 衣服 襯衫男 黑色襯衫 薄襯衫 外套 襯衫 休閒襯衫 簡約襯衣 男生衣著,4.7,106,303,$178
17,【現貨速發】短袖花襯衫男 夏威夷復古韓版痞帥印花襯衣外套 港風潮海邊旅行度假必備款古著 大碼印花男生短袖上衣 現貨,4.9,8,46,$55 - $155
18,OUTSIDER / 現貨+預購 實拍影片 韓版 西裝外套 黑/深卡其 男 韓國 寬鬆,5.0,246,484,$770
19,蝦皮優選💥台灣出貨【大量現貨不必等】💥破洞牛仔外套 男外套 韓版修身外套 外套 牛仔外套 休閒夾克 男士上衣,4.8,229,428,$299
20,【滿1500免運】 時尚百搭牛仔外套 高品質  秋裝質檢牛仔夾克修身牛仔衣男牛仔外套丹寧外套 薄外套夾克 男生衣著 現貨,4.7,"2,484","5,738",$260
21,現貨  當天發貨℡❣❈亞麻襯衫男短袖襯衣寬松大碼男裝中國風棉麻長袖男士休閑外套上衣,4.8,12,41,$184 - $220
22,蝦皮優選薄外套 防曬衣男 男生薄外套 夏季超薄透氣防曬連帽外套 防曬衣 情侶外套 男薄外套 男女外套 透氣外套 現貨,4.9,48,101,$188
23,蝦皮優選正韓牛仔外套男 可拆帽 連帽 牛仔外套 丹宁牛仔  寬鬆 夾克 丹寧 情侶 連帽牛仔外套  吳亦凡 落肩 保暖,4.9,458,767,$395
