,item,rate,num_rate,num_sold,price
0,[全網最低價] 修身短袖  短版T恤 短袖上衣 短款 V領 針織v領縷空T恤女可愛小仙女短款上衣 小宅女 原版設計,4.9,"2,472","6,350",$140.00
1,jennie同款 短款t恤女 短袖針織衫 荷葉邊上衣 針織外套V領上衣 針織v領鏤空t恤顯瘦短款上衣露臍短袖T恤鏤空上衣,4.9,284,828,$109.00
2,上衣設計感女小眾心機性感夏裝韓版洋氣短款寬鬆氣質顯瘦chic百搭襯衫,4.8,623,"1,558",$148.00
3,蝦皮優選老闆不賣了!推韓色系列 小西裝領短袖襯衫 百搭簡約純色襯衫 氣質OL上班族 雪紡襯衫 短袖襯衫 雪紡上衣 女-杜達女孩,4.9,125,457,$279.00
4,[現貨]短袖圓領T恤女 人頭字母印花上衣,4.9,"4,300",12000,$99.00
5,韓妞必備 女生短袖T恤 V領 素t 正韓上衣 T恤 白t 百搭韓版寬松圓領T恤女夏季基礎V領短款上衣短袖Ins洋氣,4.7,314,"1,433",$69.00
6,短袖睡衣套裝 家居服 兩件式套裝 學生睡衣 可愛家居服 夏季睡衣 薄款睡衣 睡衣女 流行睡衣家居服 睡衣女 c,4.7,186,"1,196",$99.00
7,歐米雅時尚BF日系原宿風歐美爆款美女印花百搭寬鬆大袖子英倫學院潮牌港味韓版女短袖T恤可愛學生潮流短袖復古紡舊顯瘦,4.9,"1,278","4,459",$79.00
8,Adidas 愛迪達 短袖 女2019新款 三葉草 刺繡 休閒 運動 圓領 經典 T恤,4.7,271,"1,104",$280.00
9,🔥限時下殺 特價 現貨🔥 短袖 素T 男t 短袖t恤 笑臉T卹男 短袖超火情侶半袖 國潮嘻哈五分袖 鬼臉女上衣,4.9,70,259,$98.00
10,(JDUDS)純棉百搭彈力修身露肚短袖T 歐美 T恤女 短袖 短T 修身 顯胸 度假上衣 T恤 短袖 短版上衣,5,101,474,$79.00
11,後背印花2020夏裝休閒女式新款中長款短袖T卹女寬鬆上衣,4.9,56,162,$198.00
12,蝦皮優選[新品特價]十色可選 V領上衣 短版上衣 女生短袖T恤 短袖上衣女 泫雅風修身顯瘦百搭短袖上衣女薄針織上衣 閨蜜裝,4.9,88,617,$69.00
13,蝦皮優選夏天短袖時尚 休閒套裝 運動套裝 短褲套裝女韓版寬鬆顯瘦 兩件式套裝 👕加👖,4.7,310,651,$199.00
14,[下殺] 短袖襯衫 韓版襯衫格子襯衫 韓版簡約百搭格子襯衫女網紅同款寬鬆顯瘦短袖上衣女,4.8,962,"2,393",$155.00
15,【現貨免運 M-5XL任選】2020春夏季新款冰絲睡衣女 仿真絲短袖睡衣兩件套裝 可愛薄款冰絲綢韓版夏天家居服,4.9,40,192,$118 - $150
16,浪女裝 2020新款夏裝短袖女白色t恤韓版修身大碼寬鬆字母印花圓領半袖潮T,4.9,23,140,$49.00
17,[優質現貨]POLO領 短袖襯衫  襯衫女生 學生上衣 薄襯衫 夏季韓版寬鬆百搭純色設計感小眾洋氣港風上衣 女襯衫韓版,4.8,161,500,$139.00
18,T恤 短袖T恤 短版上衣 短T 素T V領白T 黑T 圓領純色AA短款短袖上衣女 女生衣著 韓版ins基礎款圓領V領T,4.8,539,"1,972",$97.00
19,WG SHOP現貨 夏季純棉女睡衣 短袖短褲背心家居服吊帶心形可愛居家服套裝【有胸墊】,4.7,99,370,$119.00
20,短版上衣短袖T恤百搭修身顯胸露肚短袖T歐美棉TT恤女短袖上衣女短T顯胸度假上衣T恤短版,4.8,"1,932","5,858",$118.00
21,Movingpeach 運動短袖純色打底訓練健身女性感緊身跑步速幹T恤健身上衣露臍短款瑜伽服運動上衣舞蹈修身T恤 FTE,4.9,398,"1,076",$298.00
22,蝦皮優選🍎台灣現貨女襯衫長袖襯衫寬鬆性感男友風白襯衫白色襯衫不透OL襯衫女生短袖襯衫女士上衣男朋友襯衫上班工作襯衫大尺碼,4.9,"2,945","6,983",$190 - $259
23,蝦皮優選現貨❤七分袖蕾絲襯衫+格紋高腰半身裙。套裝圓領長袖荷葉邊上衣 襯衫女格子裙及膝裙泡泡袖裙子連身仙女洋裝日系短袖洋裝森林系,4.9,419,999,$99 - $290
24,短袖 短版上衣 短T 短袖上衣 短袖T恤 T恤 字母刺繡短袖T恤女 插肩袖抽繩短款寬松高腰露臍上衣,4.8,43,178,$99.00
25,chic短袖女 3色入 M-3XL 小清新 港味短袖t恤 學院風 學生短袖 女生短袖 短袖t恤女 韓版ins短袖衫 現貨,4.8,122,367,$69.00
26,2020夏日清涼套裝女短袖T恤短褲ulzzang原宿閨蜜裝運動休閑兩件套,4.9,39,189,$137.00
27,襯衫 短袖襯衫 夏季新款襯衣韓版寬鬆休閒短袖襯衫女網紅同款polo衫學生打底上衣,4.8,948,"2,278",$199.00
28,印花简约寬鬆百搭休閒韓版短袖短袖T恤 女可爱夏裝女裝圓領印花彈力學生打底衫韓範ins衣服潮,4.9,74,160,$79.00
29,🌱Comeandbuy🙋碎花襯衫女復古港味夏季新款碎花荷葉邊泡泡袖襯衫 收腰甜美百搭短袖短袖娃娃衫,4.9,47,169,$145.00
30,蝦皮優選✨現貨✨春夏韓版新款女時尚寬鬆顯廋 兩件式套裝 短袖+哈倫九分褲吊帶褲👕加👖,4.8,680,"1,260",$199.00
31,韓國代購 現貨/ muahmuah短T 正版2020最新款 短袖上衣 短T 短袖男 短袖女 夏季透氣 韓版T恤 明星同款,5,7,353,$349.00
32,【現貨】女運動衣 瑜伽 慢跑 健身 休閒 t恤 短袖排汗 超彈力透氣 機能衣 健身 涼感衣  排汗衣 運動服 圓領,4.9,224,632,$99.00
33,短袖T恤女 正韓上衣t恤女 閨蜜裝 時尚圓領寬鬆上衣 百搭大學T 女生休閒短袖 短版T恤 寬鬆學生百搭上衣女,4.9,48,159,$96.00
34,蝦皮優選【CHIC.shop】大尺碼現貨真絲 睡衣冰絲睡衣女夏季開衫短袖兩件套裝韓版清新學生真絲綢家居服性感 睡衣,4.9,273,946,$175.00
35,蝦皮優選🍎 台灣現貨 襯衫 S-5XL 女生襯衫 短袖襯衫 白襯衫 襯衫 女襯衫 長袖襯衫 短袖白襯衫 上衣 白襯衫 大尺碼,4.9,"1,064","2,831",$199.00
36,黑色t恤女短袖2020新款夏季韓版寬鬆韓版潮牌女裝半袖體恤衫ins潮 大學t女生衣著 恆良,4.7,106,306,$99.00
37,短版T恤 針織v領縷空T恤 修身短袖 短袖上衣 短款 V領 女可愛小仙女短款女生上衣,4.8,224,545,$99.00
38,Adidas 愛迪達 短袖 女2019新款 三葉草 刺繡LOGO 休閒 運動 圓領 經典 T恤,5,84,281,$280.00
39,Nike 耐吉   短袖T恤 運動排汗衫 運動上衣 冰絲速乾衣 涼感T恤 薄款短T 大尺碼T恤  生短袖 休閒服 運動服,4.9,241,771,$142.00
40,短袖T恤 素T 短款 針織衫 鏤空上衣 V領 韓版新款純色復古針織v領縷空T恤女可愛小仙女短款上衣修身顯瘦氣質短袖上衣,4.9,399,964,$125.00
41,現貨台灣】睡衣女夏季短袖套裝純棉夏天可外穿韓版薄款學生ins家居服兩件套,4.6,54,151,$257.00
42,21736實拍 顯白短袖圓領打底上衣拼接撞色純色t恤女,4.9,"1,978","4,491",$135.00
43,小雛菊 碎花 小清新 韓版小個子套裝復古港風韓版碎花背心雪紡衫兩件套女,4.8,72,207,$195.00
44,實物拍攝 短袖任選5件650 三葉草 愛迪達 AD 短袖T恤 男短T 女短T 加大碼 純棉短T 男女短袖 情侶裝,4.9,45,306,$160.00
45,蝦皮優選🍎 台灣現貨 襯衫 S-10XL 女生襯衫 長袖襯衫 短袖襯衫 黑襯衫 黑色襯衫女襯衫 修身襯衫上衣 白襯衫 大尺碼,4.9,864,"2,589",$199 - $299
46,4色可選 韓國chic復古蕾絲上衣 蕾絲打底衫 純色薄款短袖襯衫上衣 早春立領重工蕾絲衫女 洋氣個性百搭寬松蕾絲襯衫,5,74,182,$199.00
