,item,rate,num_rate,num_sold,price
0,韓國代購 附小票/ muahmuah短T 正版2020新款 短袖上衣 短T 短袖男 短袖女 夏季透氣 韓版T恤,5.0,49,678,$9 - $350
1,蝦皮優選台灣製 天絲棉 現貨 男短袖內衣 TENCEL 吸溼排汗 輕薄透氣  T-9912【Dlala】批發 現貨,5.0,"1,063","5,633",$98
2,【滿299免運 特價 現貨不用等】夏季男生短袖T恤男潮牌ins潑墨上衣寬鬆短袖潮流大尺碼半袖青年百搭5五分袖歐美T恤,4.9,398,"1,139",$99
3,【夏季必備】涼爽衣 速乾T 短袖T 男上衣 短袖 上衣 素T 涼感 排汗 舒爽 快適 吸濕 排汗 柔軟 排汗衫 涼感衣,4.9,"1,006","4,863",$80
4,蝦皮優選My♡╯POLOPARTY 涼感男短袖衫 超涼爽纖維 台灣製 吸排 涼感衣 涼感短袖 超涼爽衣 NO.912,5.0,"1,583","6,327",$100
5,2020最新款 Adidas(愛迪達) 經典透氣 排汗 合身 短袖 圓領 男款 運動 休閒 愛迪達 男 短袖 運動上衣,4.8,232,762,$130 - $160
6,短袖T恤 男士短袖T恤 休閒上衣男 韓版修身短T恤 時尚潮牌上衣男 短袖套頭T恤 2020夏季新款 青少年潮流內搭打底衫,4.7,163,330,$69
7,Adidas 短袖 男短袖 愛迪達短袖 短袖T恤  純棉踢恤 運動上衣  經典款男女款夏季黑白情侶潮流休閑運動短袖T恤,4.8,136,539,$179
8,🇹🇼台灣製 吸濕排汗機能短T 短袖排汗衣 排汗衫 素T 運動衣 素色短T圓領T恤短T 跑步短袖T恤 運動衫 涼感衣,5.0,"2,263","9,026",$249
9,【現貨】排汗衫 涼感衣 男短袖 排汗衣 吸濕排汗圓領運動休閒T恤 男士迷彩涼感衣  涼感吸濕透氣舒適彈性佳短袖夏季T恤,5.0,392,"1,678",$99 - $594
10,BOBORA 親子裝 夏裝韓版女童短袖T卹 純棉男兒童米奇卡通ins寶寶打底衫 短袖T卹 舒適T卹,4.9,80,509,$68 - $89
11,[現貨] 男女 舒適透氣機能乾爽 素面 T恤 上衣 AB紗 涼感 男上衣  情侶裝  短袖上衣 (百搭多色),4.8,206,865,$75 - $95
12,🔥99免運🔥批發價🔥 🇹🇼POLOPARTY 涼感男短袖衫 超涼爽纖維 臺灣製 吸濕排汗 涼感衣 涼感短袖,5.0,300,"1,517",$90
13,全场任選5件680⚠️男短袖T恤 短袖短T rootsT恤 純棉T恤 海狸短T 大尺碼短袖  男女情侶裝 潮T 現貨,4.9,72,462,$160
14,蝦皮優選【夏日必備】台灣製 陽離子 涼感衣 素T 上衣 涼感 透氣 短袖 柔軟 親膚 純色 速乾 排汗 男上衣 防皺 統棉 冰涼,5.0,59,281,$95 - $120
15,🔥限時下殺 特價 現貨🔥 短袖 素T 男t 短袖t恤 笑臉T卹男 短袖超火情侶半袖 國潮嘻哈五分袖 鬼臉女上衣,4.9,70,260,$98
16,【2件減20】潮T 男生T恤  短袖T恤【現貨】港風休閒短袖男士 潮牌ins百搭T恤衣服 夏季韓版潮流寬鬆 男短袖,4.6,111,312,$89
17,蝦皮優選國綿牌 男大 羅紋 圓領 短袖 內衣 汗衫( M /L /XL),5.0,188,"1,776",$60
18,【排汗T】台灣SGS認證 排汗素T 短袖T 運動衣 排汗衫 涼感衣 男短袖 排汗衣吸 亞規吸濕排汗圓領運動休閒T恤,5.0,280,"1,655",$110
