,item,rate,num_rate,num_sold,price
0,休閒短褲 透氣棉麻寬鬆大碼薄款休閒褲女 高腰顯瘦闊腿褲短褲 大尺碼熱褲短褲 女生衣著休閒短褲 韓版褲子寬褲直筒褲夏季短褲,4.9,"1,989","7,727",$69.00
1,【22923】五色可選 送腰帶 顯瘦捲邊單寧牛仔短褲女,4.9,"6,513",15000,$185.00
2,【免運】 牛仔短褲 春夏新款熱賣翻領口袋牛仔短褲時尚牛仔學院風女寬松顯瘦牛仔短褲,4.7,"4,840",15000,$99.00
3,⚡虧本下殺🚨女生短褲 a 字褲 顯瘦高腰休閑短褲 短褲女 闊腿褲 正韓 棉麻短褲 鬆緊腰 寬鬆休閑褲 閨蜜姐妹裝,4.9,33,323,$59.00
4,蝦皮優選老闆不賣了!經典口碑~涼感純色棉麻短褲 寬褲 短褲 A字褲 鬆緊腰運動短褲 寬鬆 闊腿褲 休閒短褲 女 大尺碼-杜達女孩,4.9,256,736,$119.00
5,【S-5XL】运动短裤女 高腰瑜伽跑步真理褲 阔腿褲 休闲韩版宽松加大居家睡褲熱裤女生 夏季薄款大尺码沙灘三分短褲女,4.8,570,"2,330",$59 - $69
6,M~XXL  夏季必備運動短褲 真理褲 棉質短褲 棉短褲 短褲 棉褲 女短褲 熱褲 運動瑜伽跑步熱褲,4.9,153,651,$79.00
7,[2件折30] 牛仔褲 女生衣著 牛仔短褲 高腰褲 軟妹必備 百搭卷邊彈力高腰淺色純色修身牛仔短褲女 海外直送,4.8,"1,882","5,101",$169.00
8,韓妞必備運動短褲防走光 外出 居家 大尺碼 鬆緊腰繫帶休閑女生熱褲跑步 瑜伽褲女,4.8,90,327,$99.00
9,全網最低價 現貨 adidas愛迪達新款女运动短裤速干透气防走光宽松跑步短裤假两件健身瑜伽裤女款健身必備,4.9,935,"2,380",$239.00
10,【HOT 本舖】牛仔短褲 休閒短褲 韓版 大碼牛仔褲 毛邊 a字形 闊腿褲 女 夏季新款 學生 高腰 寬鬆顯瘦 熱褲,4.8,157,369,$144.00
11,[全網最低價]現貨批發 棉麻褲女 休閒寬鬆褲 夏季薄款 顯瘦中腰直筒寬鬆裤 九分褲 女水洗褲小腳褲子 爆款 哈倫褲,4.9,311,"1,125",$140.00
12,運動休閒套裝時尚 夏裝新款女兩件套韓版學生寬鬆上衣配短褲運動服,4.8,534,"1,474",$142.00
13,蝦皮優選老闆不賣了!好口碑~涼感格子棉麻短褲 寬褲 口袋 A字褲 格子 鬆緊 寬鬆 褲裙 闊腿褲 休閒短褲 女 大尺碼-杜達女孩,4.8,"2,540","6,152",$125.00
14,🌱Comeandbuy🙋睡衣女 夏季短褲韓版清新吊帶兩件套 性感帶胸墊純棉家居服女,4.8,142,514,$109 - $159
15,[免運]牛仔短褲熱褲女 毛邊前短後長熱褲 個性時尚,4.8,"5,513",14000,$99.00
16,[618特價] 短裤 牛仔短裤 夏季韩版高腰阔腿短裤女宽松显瘦热裤牛仔工装短裤子,4.8,108,318,$99.00
17,#免運  春夏韓版莫代爾寬鬆女裙褲 褲裙  休閒褲  居家褲,5,"1,669","3,400",$55 - $88
18,S-5XL 大碼短褲100公斤可穿 運動短褲 大碼闊腿褲 睡褲女 寬鬆短褲 鬆緊帶短褲休閒短褲 胖mm短褲睡衣褲休閒短褲,4.9,838,"3,235",$78.00
19,蝦皮優選免運款 新增五件套 新款帶胸墊吊帶睡衣短褲女性感睡裙睡袍四件套絲綢睡衣 仿真絲系列 絲滑絲綢帶胸墊睡衣套裝家居服,4.9,721,"1,535",$420 - $580
20,DM 夏季韓版 原宿bf風 街頭百搭 運動五分褲 寬松闊腿 五分褲 中褲運動短褲   短褲女  批發優惠,4.8,79,299,$143.00
21,蝦皮優選夏天短袖時尚 休閒套裝 運動套裝 短褲套裝女韓版寬鬆顯瘦 兩件式套裝 👕加👖,4.7,310,651,$199.00
22,蝦皮優選女 安全褲 夏季 涼感安全褲 防走光 女生安全褲 超薄透氣 冰絲安全褲,4.9,403,"1,913",$25.00
23,蝦皮優選✿MERCI SHOP 附發票✿ 超火紅🔥真理褲🥇逆天長腿 棉質舒適好穿棉褲 女短褲 棉質真理褲 棉短褲 短褲 棉褲,4.9,361,899,$89.00
