,item,rate,num_rate,num_sold,price
0,【M-4XL大尺碼】短褲男夏天休閒褲子男士沙灘褲夏季寬鬆運動短褲潮男生短褲休閒褲五分褲,4.8,607,"2,097",$149.00
1,蝦皮優選限時促銷 男士短褲 運動鬆緊抽繩速乾短褲 五分褲 條紋拼色加大碼工作短褲 休閒褲 夏季薄款運動褲 輕薄速乾透氣五分短褲男,4.9,"2,076",10000,$99.00
2,【M世代】大尺碼到40腰 休閒短褲 街頭風格 破壞丹寧 男牛仔短褲  破洞短褲 五分褲  破褲男生(55759),4.8,"1,394","2,929",$259.00
3,短褲男夏季潮流五分潮牌嘻哈寬鬆ins超火港風休閒中工裝短褲,4.8,448,"1,192",$198.00
4,蝦皮優選【限時下殺】M-8XL 男生短褲 工作短褲男 大碼五分褲 美式短褲 夏季多口袋短褲 日系寬鬆工裝短褲 現貨 男生衣著,4.9,131,476,$215.00
5,蝦皮優選男生牛仔短褲男 28-34 夏季短褲男 學生破洞牛仔短褲 休閑個性牛仔5五分褲 韓版薄款直筒中褲 修身五分乞丐褲男,4.8,369,839,$186.00
6,蝦皮優選【小J購物 台灣現貨】🎉帥氣休閒短褲🎉  大小碼 休閒短褲 男五分褲 純色 男 鬆緊褲 沙灘褲 卡其褲 短褲 休閒褲,4.8,132,543,$120.00
7,蝦皮優選短裤 五色可選 M-3XL 夏季五分短褲 休閒中褲 運動沙灘短褲男 簡約學院風短褲,4.9,151,703,$89.00
8,【現貨四色可選】男士運動鬆緊抽繩速乾短褲五分褲三條杠加大碼工作短褲 休閒褲 夏季薄款運動褲 輕薄速乾透氣五分短褲男,4.7,669,"2,438",$119.00
9,工作短褲 夏季 美式 男生短褲 休閒短褲 口袋 工裝 五分褲 短褲 男 膝上短褲 5分褲(LYMD102),4.8,165,500,$185.00
10,【大呎碼M-7XL】Nike 耐吉工裝短褲 男韓版潮流多口袋寬鬆褲 休閒短褲 大碼五分褲 潮牌夏薄款短褲,4.8,255,740,$256.00
11,Under Armour UA 安德瑪 男 五分短褲 迷彩短褲運動休閒 兩側拉鏈口袋 速乾褲休閒短褲 海灘褲 短褲 男生,4.9,301,766,$200.00
12,蝦皮優選男士短褲夏季沙灘褲男寬鬆休閒短褲男五分褲速幹大褲衩男大碼潮流 優選速乾滌綸面料,4.9,48,226,$99.00
13,【現貨】【限時特賣】六色可選 海邊度假潮流韓版短裤男夏天运动休闲五分大裤衩潮夏季五分褲宽松速干男士沙滩裤海灘褲,5,16,323,$49.00
14,M-5XL高品質純棉男士短褲 休閒短褲 韓版簡約素色百搭大尺碼短褲 寬鬆直筒五分褲 運動哈倫褲 海灘褲 正韓褲子 男衣著,4.9,134,392,$159.00
15,蝦皮優選【現貨 免運費！球星經典同款】彈力運動褲 籃球褲 附拉鍊口袋 球褲 運動短褲休閒短褲 運動服 男運控褲 男生衣著,4.9,"2,430","5,496",$299.00
16,蝦皮優選【教練先生】美津濃 Mizuno 排球褲 慢跑短褲 運動短褲 排球短褲 快乾 台灣代理公司貨 V2TB7A06,5,224,610,$480 - $500
17,Adidas 男生短褲 素色短褲 膝上短褲 愛迪達 男短褲 鬆緊帶休閒短褲 五分褲 現貨【四色可選】【M-5XL】,4.7,97,270,$399.00
18,蝦皮優選重磅 迷彩工裝短褲男生工裝褲潮牌ins余文樂潮流運動中褲寬鬆五分褲休閒褲子男工作褲 短褲 工作短褲 休閒短褲 男生衣著,4.9,378,789,$570.00
19,Under Armour  安德瑪 男 UA短褲 運動短褲 休閒 兩側拉鏈口袋 速乾褲休閒短褲,5,86,196,$149.00
20,道夏季新款美式休閒工裝五分褲日系青少年寬鬆短褲男夏天褲子潮男生褲子短褲,4.9,222,564,$195.00
21,蝦皮優選【28-44】現貨 休閒短褲 牛仔褲子 破壞丹寧 男牛仔短褲 韓版直筒破洞短褲膝上 五分褲  淺色休閒褲 破褲男生短褲,4.8,602,"1,610",$299 - $399
22,限時搶購【2條288】Adidas 愛迪達短褲 男短褲 五分褲 大尺碼短褲 運動短褲 速乾褲 NIKE 彪馬UA,4.6,116,444,$116.00
23,夏季棉麻短褲男原創綁繩日復古寬男亞沙松亞褲大系年五棉中褲男潮,4.7,62,261,$91.00
24,爆款【M-5XL】青年男士夏季韓國INS原宿貼標休閒短褲 復古素色大尺碼短褲 亞麻男生五分褲 運動褲 寬鬆運動褲 褲子男,4.8,"1,250","4,172",$95.00
25,蝦皮優選【S-3XL】短褲 oversized 夏季工作短褲 工裝短褲男 寬松 休閑 韓版潮流男士五分褲 嘻哈直筒褲 簡約短褲,4.9,126,334,$139.00
26,【現貨下殺】健身短褲 慢跑褲 短褲男 運動短褲 透氣 網眼褲 戶外 訓練 假兩件短褲 休閒五分褲 海灘褲 跑步 籃球褲,4.8,75,368,$159.00
27,現貨+出清價買完為止 男短褲 棉質短褲 流行短褲 男休閒褲 青少年短褲  男休閒五分短褲 男運動短褲,4.8,210,470,$85.00
28,現貨+賠錢出清特價賣完即停+短褲 男短褲 五分短褲 休閒短褲 運動褲 沙灘褲 海灘褲  速乾輕薄好穿好搭夏天首選,4.8,70,200,$99.00
29,20年夏裝多色休閒短褲男 五分短褲  寬鬆短褲 運動短褲 熱褲 鬆緊 大呎碼短褲 白色短褲 素色海灘褲 沙灘褲運動服飾男,4.7,224,715,$99.00
30,【M-5XL】冰絲七分褲男寬松夏季薄款休閑中褲大碼運動直筒速幹短褲7分褲子健身 男生衣著,4.9,25,92,$138.00
31,CPMAX 牛仔刷破短褲 牛仔五分褲 大尺碼短褲 膝上短褲牛仔 男五分褲 五分牛仔褲 刷破牛仔短褲 單寧牛仔短褲 J60,4.8,40,137,$199.00
32,【壹號站】 潮流日系 工裝短褲 夏季 大尺碼 男生短褲 男 休閒短褲 港風 寬鬆 五分褲 5分褲 膝上短褲(DD526),4.7,71,266,$176.00
33,ONE DAY 台灣製 360 透氣棉短褲 短褲 棉褲 寬鬆短褲 寬鬆綿短褲 運動褲 籃球褲 男帥酷,4.9,125,479,$139.00
34,夏季日系高品質迷彩工裝休閒短褲 M-5XL寬鬆大尺碼短褲 青年男士百搭工作褲 五分褲 吸汗透氣運動褲 海灘褲男 正韓褲子,4.9,564,"1,487",$155.00
35,現貨＜鬆緊短褲＞免運 短褲 黑褲 白褲 韓系休閒褲男 純色五分褲 滑板褲 沙灘褲 素色短褲 素面情侶褲 鬆緊褲【韓瘋谷】,4.8,"2,662","7,148",$200.00
36,台灣現貨附發票 📣限時超低價 休閒五分褲 男運動褲 藍球褲 跑褲 休閒褲 舒適 棉褲【短褲】 訓練 健身 居家褲,4.8,375,935,$199.00
37,Denim休閒短褲 百搭褲 五分褲  男 短褲 薄款  休閒褲 男生 工作褲,4.9,719,"2,442",$198.00
38,【M-5XL大尺碼】夏季港風寬鬆嘻哈沙灘休閒短褲潮流男運動五分中褲百搭潮牌籃球褲男生衣著短褲休閒短褲,4.8,48,135,$149.00
39,蝦皮優選《衣匠》通風透氣 吸濕排汗﹝DK14L﹞ 彈性速乾 兩側口袋 男運動褲 運動短褲,5,350,755,$240.00
40,最新爆款UnderArmourUA安德瑪男五分短褲運動休閒口袋速乾褲休閒短褲縮口褲沙灘褲短褲,4.9,209,512,$193.00
41,蝦皮優選【形男】工作短褲 夏季 美式 男生短褲 休閒短褲 口袋 工裝 五分褲 日系 寬鬆 大尺碼短褲 男 膝上短褲 5分褲,4.9,49,142,$169.00
42,蝦皮優選現貨《純色情侶褲》素面直筒褲男 綁帶休閒褲男 素色鬆緊褲 短褲 五分褲 沙灘褲 海灘褲 男褲 白色褲子 白褲「韓瘋之子」,4.8,152,580,$199.00
43,限時促銷 男士短褲 運動鬆緊抽繩速乾短褲 五分褲 條紋拼色加大碼工作短褲 休閒褲 夏季薄款運動褲 輕薄速乾透氣五分短褲男,4.9,47,273,$89.00
44,蝦皮優選中國風亞麻哈倫褲七分褲休閑褲 春季日系大碼男褲子 寬松大碼棉麻七分褲中國風男大褲衩胖子7分褲闊腿亞麻休閑短褲夏,4.8,48,126,$159.00
45,《2020JOECITY-MIT》男-黑色-拉鍊款雙線排汗短褲-尺寸：M.L.XL.2L,5,40,115,$100.00
46,蝦皮優選【形男優品】男牛仔短褲 破褲男生 膝上短褲牛仔 男五分褲 五分牛仔褲 男休閒短褲 刷破牛仔短褲 單寧牛仔短褲 水洗牛仔褲,4.8,496,"1,156",$279.00
47,XL-10XL  在大都穿的下 男速乾運動短褲 寬鬆5分短褲 沙灘褲 路跑褲 籃球褲 加大碼,4.9,90,243,$250.00
48,蝦皮優選全店免運 牛仔短褲 ins韓版牛仔破壞短褲男 修身牛仔褲 男生衣著 夏季休閒短褲 牛仔五分褲 破洞牛仔褲男 破褲,4.8,61,151,$299.00
49,蝦皮優選大小碼現貨🎉型男 魚骨 休閒短褲🎉 休閒短褲 男五分褲 純色休閒褲 男鬆緊褲 沙灘褲 卡其褲 短褲 男 休閒褲,4.9,25,105,$120.00
50,蝦皮優選現貨 夏季短裤 五色入 S-3XL 五分短褲 休閒中褲 運動沙灘三分褲子男 學院風短褲,4.9,15,86,$98.00
51,@TT旗艦店 日系男裝短褲男士五分中褲衛褲韓版潮流休閒褲男寬鬆百搭大尺碼短褲棉短褲男生短褲短褲膝上 (QBK901),4.5,49,137,$159.00
52,【UNDER ARMOUR】男 LAUNCH5英吋短褲 (1289312-008),4.9,136,240,"$1,280.00"
53,現貨+賠錢出清價賣完即停 棉質短褲 流行短褲 男休閒褲 韓系休閒短褲 男五分短褲 男休閒褲 男運動短褲 男短褲,4.8,74,182,$88.00
54,實拍 FOG Fear of God Essentials 2020 反光 Logo 男 短褲 運動褲 休閒褲 五分褲,5,75,159,"$1,000.00"
55,【虧本下殺】男士短褲夏季沙灘褲男寬鬆休閒短褲男五分褲速幹大褲衩男大碼潮流 優選速乾滌綸面料 沙灘褲 短褲,4.5,11,87,$39.00
56,男海灘褲 女海灘褲 沙灘褲 短褲 速乾 輕薄 休閒 送防水袋,4.9,192,984,$90 - $150
57,原單李維斯levi's夏季新款破洞牛仔短褲 男裝薄款中褲 青年學生休閑男短褲 寬鬆五分褲男士中腰復古破洞修身直筒韓版短褲,4.5,34,90,$499.00
58,蝦皮優選【M-8XL】男生短褲 五分褲 運動短褲 薄款短褲 大尺碼短褲 休閒短褲 男夏天運動褲夏季大碼五分褲男褲子,4.9,33,80,$129.00
