,item,rate,num_rate,num_sold,price
0,蝦皮優選💜戀愛物語💖日系安心無痕無鋼圈聚攏舒適大碼跑步背心瑜伽運動內衣女文胸C735,4.9,284,"1,627",$19 - $55
1,【JDUDS】冰絲 涼感 睡衣  女無痕背心 -六色任選,4.9,724,"3,213",$79.00
2,蝦皮優選✿MERCI 附發票✿ 現貨特價 莫代爾棉質內搭背心 莫代爾背心 內搭 小可愛 內搭衣 防曝光 背心 女背心 細肩帶背心,4.9,"1,475","6,286",$49 - $69
3,細肩帶罩杯一體式背心 升級版帶胸墊《免穿內衣》無鋼圈 露背性感莫代爾棉胸罩女上衣【LaVie洛薇】TB0037,4.9,"2,339","7,870",$139.00
4,蝦皮優選老闆不賣了!純色系超柔方領上衣 軟針織吊帶背心 仿冰絲背心 無袖背心 復古方領上衣 背心 外穿 上衣 露肩 女-杜達女孩,4.8,751,"2,521",$119.00
5,蝦皮優選【狸曉媄】泰國乳膠無痕內衣 女蕾絲運動睡眠文胸一片式無鋼圈泰國乳膠 內衣 安心薄款 運動內衣女防震跑步無鋼圈背心批發文胸,4.9,131,750,$109.00
6,背心 吊帶背心 夏裝新款短上衣法式設計感泫雅風心機皺褶吊帶背心女外穿,4.9,168,609,$119.00
7,背心 吊帶背心 小可愛 修身性感顯瘦打底上衣網紅同款內外穿針織吊帶背心女,4.7,"1,883","6,839",$55 - $79
8,🔥年末特惠送購物袋🔥正品 耐吉 Nike運動內衣 女文胸 中高強度防震瑜伽背心 健身跑步緊身內衣 Nike BRA,4.8,653,"2,704",$455.00
9,[虧本出售] 背心 吊帶背心 無袖背心 打底 純色吊帶背心女多色打底衫上衣,4.7,149,547,$59.00
10,蝦皮優選『衣點點』罩杯一體式帶胸墊吊帶三排扣背心女抹胸無鋼圈運動調節內衣女bra 女性內衣,4.9,289,"1,210",$84.00
11,【Hanna】現貨 Classic背心 經典 瑜珈背心 運動健身背心 運動內衣 細肩 文胸 性感 小背心 內衣 女,5,97,391,$298.00
