,item,rate,num_rate,num_sold,price
0,「歐拉亞」台灣出貨 純棉背心 男打底衫 緊身背心 修身背心 內搭衣 運動背心 露背 工字 吊嘎 彈力背心,4.9,895,"5,134",$59 - $69
1,蝦皮優選台灣製 天絲棉 現貨 男短袖內衣 TENCEL 吸溼排汗 輕薄透氣  T-9912【Dlala】批發 現貨,5.0,"1,063","5,633",$98
2,男背心 素色合身 超柔莫代爾/萊卡背心 吸汗排汗 夏天完全不熱 襯衫內搭或直接單穿 高回購率 不一樣的材質 E08,4.9,"2,634","8,311",$100
3,蝦皮優選【L0201】男生 冰絲背心 內衣 涼感背心 無痕背心 不悶熱 V領四季 莫代爾背心 夏季 快乾 健身衣 男背心 涼爽,4.9,163,536,$49
4,蝦皮優選天絲棉涼感背心 吸濕排汗 素面男內衣 男生背心【綾羅綢緞】,4.9,599,"3,686",$99
5,蝦皮優選多色可選❤排汗素T 短袖T 運動背心 運動衣 排汗衫 涼感衣 網眼背心男運動透氣鏤空冰絲夏季無袖t,4.8,759,"4,155",$89
6,蝦皮優選【現貨-免運費！台灣寄出】型男塑身衣 瘦身衣 男 內衣 塑身衣 男 背心 束腰 朔身衣 男士 塑身 束腹 男生 肚子,4.8,"2,834","8,380",$299
7,【M世代】6色男背心 運動背心 內搭背心 男內衣 無袖T恤 修身 健身緊身運動 纯棉背心 (50336),4.8,773,"4,474",$75
8,[現貨] 舒適透氣機能乾爽 涼感  男內衣 背心 男背心(百搭多色),4.9,622,"2,352",$70
9,蝦皮優選【免運費 12H出貨】透氣涼感內褲 吸濕排汗 男四角褲 透氣舒爽 男內褲 男四角褲 男平口褲 男生內褲,4.9,452,"3,000",$49
10,蝦皮優選💥台灣出貨【100%棉】💥內搭背心 男背心 男內衣 無袖T恤 修身背心 健身緊身運動 背心 纯棉背心,4.8,667,"3,379",$68
11,蝦皮優選多色可選❤排汗素T 短袖T 運動背心 運動衣 排汗衫 涼感衣 網眼背心男運動透氣鏤空冰絲夏季無袖t恤寬肩薄款,4.8,381,"2,022",$109
12,蝦皮優選My♡╯POLOPARTY 涼感男背心 超涼爽纖維 台灣製 吸排 涼感衣 涼感背心 超涼爽衣 NO.913,5.0,"1,195","4,415",$100
13,蝦皮優選台灣製 天絲棉 男吊嘎 男內衣 男背心TENCEL 吸濕排汗 觸感柔順 M~XXL T-8916【JiaJia機能館】,5.0,273,"1,382",$98
14,蝦皮優選背心 INS 簡約背心 潮牌背心 坎肩汗背心男 韓版寬松背心 運動無袖t恤男 港風chic個性上衣 跑步T,4.8,178,606,$125
15,CPMAX 男背心 運動背心 夏天背心 內搭背心 男內衣 無袖T恤 修身背心 健身緊身運動 背心 纯棉背心【T03】,4.8,"2,101","8,366",$65
16,【台灣現貨】糖心小姐 大碼可選 冰絲無痕男士背心男夏季修身型運動跨欄無袖內衣打底汗衫,4.9,49,264,$65
17,涼感背心 莫代爾男背心冰絲 無痕圓領 滑順不悶熱 牛奶絲材質 男生無袖四季內搭背心 夏季無痕速干健身衣 冰爽有彈力,4.8,120,544,$88
18,蝦皮優選My♡╯Nonno 涼感男背心 圓領 無袖 儂儂 涼感衣 吊嘎 涼感背心 NO.90035,5.0,421,"2,014",$90
19,台灣出貨 男性 純棉背心 男打底衫 緊身背心 修身背心 內搭衣 運動背心 露背 工字 吊嘎 彈力背心,4.9,123,617,$59 - $69
20,蝦皮優選【現貨 免運費！束腰收腹男性必備】塑身衣 運動背心 男生內衣 束身衣 瘦身背心 男塑身衣 男士 短袖 男生衣著,4.9,"3,348","9,847",$299
21,蝦皮優選多色可選❤排汗素T 短袖T 運動背心 運動衣 排汗衫 涼感衣 網眼背心男運動透氣鏤空冰絲夏季無袖t,4.9,284,"1,215",$130
22,現貨AJ背心 Air Jordan 飛人喬登 男 戶外籃球休閒運動跑步健身背心 舒適透氣柔順耐磨排汗吸濕速乾彈力寬鬆背心,4.9,192,498,$187
23,Nike 耐吉 背心 圓領無袖背心 網孔背心 男 休閒運動背心 籃球上衣 跑步健身背心 舒適輕薄透氣吸濕速乾彈力修身背心,4.9,202,682,$210
24,蝦皮優選【現貨 免運 快速到貨】純棉男背心【限量買４送１】打底背心 緊身 修身 內搭衣 運動背心 方領 彈力背心 舒適質感,4.8,208,"1,055",$89
25,【林柏】莫代爾  加大尺碼  背心  透氣 乾爽 男背心 共5色   4XL-6XL  購買6件以上每件160元,4.9,223,"1,062",$180
26,【現貨-免運費！男士塑身背心塑身縮腰】運動背心 男塑身衣 瘦身背心 塑身內衣 男束身衣 男生背心 男生內衣束腰束腹收腹,4.8,951,"3,177",$299
27,天絲棉涼感背心 吸濕排汗 素面男內衣 男生背心【Uneed】,4.9,338,"1,676",$99
28,🔥🏆現貨出貨⚠️ 背心運動健身彈力工字 男打底緊身吊嘎吸汗修身 透氣夏季 背心男 夏季素色背心,4.1,8,151,$19
29,CPMAX 帥氣萬用百搭螺旋背心 運動背心 夏天背心 內搭背心 男內衣 無袖T恤 修身背心 健身緊身運動 背心 VE11,4.4,79,461,$39
30,蝦皮優選天絲棉涼感圓領內衣 短袖涼感衣 TENCEL 男內衣 吸濕排汗 輕薄 柔軟 M~XXL W-982【JiaJia機能館】,5.0,273,"1,276",$98
31,🏆免運+台灣設計🔥⚡瘦身內衣 塑身背心 男生背心 男內衣 短背心 束身衣 瘦身背心 塑身束腰束腹收腹,5.0,10,229,$30 - $139
32,蝦皮優選蜂巢涼感 背心 吸濕排汗杉/快乾透氣/ 野狼涼感衣/男背心/吊嘎 985 兔子媽媽,5.0,72,377,$95
33,蝦皮優選My♡╯天絲棉 涼感男背心 野狼涼感衣 TENCEL天絲棉纖維  NO.980,4.9,815,"2,659",$95
34,【台灣現貨】大小姐  大碼可選 冰絲無痕男士背心男夏季修身型運動跨欄無袖內衣打底汗衫,4.6,33,200,$69
35,📢台灣現貨📢涼感背心 牛奶絲材質  無痕V領    男背心 男生無袖四季內搭背心 無痕剪裁,4.6,20,234,$29 - $79
36,🔴台灣現貨🔴❄️🌬️涼感無痕背心 男生背心 健身背心 涼感背心 涼感吊嘎 莫代爾男背心冰絲 滑順不悶熱內搭背心,4.8,54,303,$88
37,蝦皮優選台灣製 天絲棉 吊嘎 現貨 男生背心 男內衣 吸濕排汗 輕薄透氣 T-8916 【Dlala】批發 火速出貨,5.0,272,"1,139",$98
