,item,rate,num_rate,num_sold,price
0,蝦皮優選【S-4XL】多色可選 襯衫男士長袖襯衣修身韓版潮流青少年學生純棉薄款寸衫商務休閑西裝打底白寸衫韓版潮流修身男,4.9,808,"3,000",$98.00
1,CPMAX 日系長袖襯衫 上班襯衫 大尺碼襯衫 百搭襯衫 帥氣襯衫 男長袖襯衫 長袖襯衫 男襯衫 型男必備襯衫 B10,4.8,59,192,$192.00
2,蝦皮優選【內有影片】七分袖 長袖可選 男生素色襯衫 男士長袖襯衫 商務襯衫 韓版修身男襯衣 商務襯衫 大碼男裝 男士職業襯衫,4.8,783,"2,466",$199.00
3,蝦皮優選【299免運】亞麻襯衫 男襯衫 棉麻日系寬鬆襯衫 ins超火七分袖襯衫 薄款休閒襯衫 潮牌襯衫 男生衣著,4.9,150,384,$198.00
4,M-5XL春季日系原創工裝男士長袖襯衫 青年韓版多口袋翻領襯衫 韓系學院風素色百搭大尺碼襯衫 休閒襯衣 正韓上衣 男衣服,5,131,348,$199.00
5,『夏季夯貨』立領苧麻襯衫男七分袖素色細條紋長袖襯衫 古著 度假風 棉麻透氣吸汗 舒適3/4短袖亞麻襯衫,4.8,74,169,$419.00
6,【S-7XL防風外套】春秋季夾克男女韓版帥氣風衣男修身情侶運動服休閒外套潮男生衣著男生外套長袖女生衣著女生外套,4.8,169,360,$229 - $269
7,蝦皮優選6色 男士長袖襯衫 韓版修身襯衫 休閒條紋短袖潮流襯衣 男七分袖襯衫,4.9,76,236,$193.00
8,蝦皮優選【形男】七分袖 長袖 加绒可選 多色 男士七分袖襯衫男韓版修身中袖襯衣 百搭素面短袖襯衫 大尺碼長袖男襯衫  正韓上衣,4.8,377,907,$199 - $399
9,蝦皮優選【3色可選】長袖襯衫男 M-2XL 格紋襯衫 韓版襯衫 複古港風學生長袖襯衣 寬松沙灘襯衫 學院風學生格紋襯衫 現貨,4.8,593,"1,452",$159.00
10,英倫學院派日韓初高中學生校服班服長袖白襯衫制服 男,4.9,234,762,$50 - $179
11,台灣現貨 韓版修身亞麻襯衫 亞麻襯衫 長袖襯衫 男襯衫 韓版襯衫 休閒襯衫 上班襯衫 大學襯衫 亞麻襯衫 透氣襯衫,4.7,617,"1,468",$194.00
12,現貨男士運動健身緊身衣 跑步排汗訓練服男長袖T恤,4.9,126,442,$129.00
13,【樹葉先生】多色可選 襯衫男士長袖襯衣修身韓版潮流青少年學生純棉薄款寸衫商務休閑西裝打底白寸衫韓版潮流修身男,4.8,140,813,$79.00
14,蝦皮優選長袖襯衫男 S-5XL oversized 大碼男裝 男士職業襯衣 商務休閒修身襯衫 百搭工裝襯衫 男士百搭襯衫,4.8,132,344,$178.00
15,男士長袖t恤圓領青年男冰絲打底衫 薄款純色休閒外穿秋衣體恤男潮,4.8,239,704,$79.00
16,◇大尺碼男飾◇【金棉內衣】休閒外穿.紅.白.黑.藍四色【40-54最大54號】【長袖210元.短袖190元】100%純棉,5,95,552,$190 - $210
17,亞麻春季薄款帥氣男士襯衣白襯衫男長袖韓版潮流立領寸衣服男生衣著襯衫長袖襯衫,4.6,25,88,$198 - $219
18,現貨  當天發貨℡❣❈亞麻襯衫男短袖襯衣寬松大碼男裝中國風棉麻長袖男士休閑外套上衣,4.8,12,41,$184 - $220
19,【現貨 實拍】無領襯衫男長袖棉麻寬松韓版潮流日系小清新立領麻料亞麻男士襯衣,4.6,9,78,$139 - $229
20,回購率超高，超人氣推薦 白襯衫 男 (台灣現貨 有口袋)上班族白襯衫  長袖   mcps20,4.9,360,"1,005",$399.00
21,蝦皮優選長袖襯衫男 M-2XL 工裝襯衣 素色襯衫 韓版休閒襯衫男 黑色/白色 ins長袖衣著 日系寬松長袖襯衣 學院風百搭襯衫,4.9,207,619,$195.00
22,◇大尺碼男飾◇【金棉內衣】休閒外穿.紅.白.黑.藍四色【40-54最大54號】【短袖190元.長袖210元】100%純棉,4.9,53,276,$190 - $210
23,M-6XL 大尺碼短袖T恤 大尺碼t恤 純棉t恤 春秋男士加肥加大碼寬松長袖T恤男 胖子肥佬運動新款秋衣男裝,4.8,102,416,$199 - $256
24,現貨＜白色襯衫＞滿額免運 素色休閒襯衫 韓版白色長袖襯衫男 大學生免燙襯衫男 商務襯衫修身素面襯衫 白襯衫【韓瘋谷】,4.9,652,"1,802",$299.00
25,14色入 現貨素面純色秋季長袖Polo衫男 速乾透氣 吸溼排汗 素面POLO衫 翻領立領網眼棉 大尺碼Polo 工作服,4.7,105,779,$129.00
26,【限時下殺】 黑襯衫男白襯衫復古慵懶冷淡風個性學院風設計感長袖 韓版寬鬆 ins風,4.8,13,32,$155.00
27,【限時特價】日系浮世繪飞鹤七分袖道袍 薄款五分袖開衫襯衫外套 和服男 原宿風INS披風 oversize大碼花襯衫 現貨,4.8,80,314,$58 - $158
28,【滿299免運】 男生素色襯衫 S-3XL 男士長袖襯衫 男士商務襯衫 韓版修身男襯衣 大碼男裝 純色長袖 男士職業襯衫,4.7,391,"1,483",$99.00
