,item,rate,num_rate,num_sold,price
0,現貨 實拍歐美潮流新款ins潮牌街拍女裝創意飄帶褲 多口袋束腳 工裝褲女 工裝褲布褲 工作褲直筒寬鬆 休閒束腳工裝褲,4.9,318,945,$169
1,[特價] 長褲 牛仔長褲 牛仔褲 寬褲 闊腿褲 夏季港味老爹褲泫雅風墜感水洗牛仔闊腿長褲女顯瘦高腰休閒直筒褲,4.8,"2,739","6,327",$188
2,MOVINGPEACH 女運動長褲蜜桃提臀裸感面料無痕高腰壓力褲拒絕尷尬線超輕薄舒適瑜伽褲 HLL,4.9,"1,650","4,227",$378
3,現貨 爆款時尚 工裝褲女寬鬆韓版學生ulzzang百搭ins超火BF束腳hiphop運動褲冬潮,4.9,651,"2,232",$160
4,韓版長褲  高腰長褲 顯瘦長褲工裝褲 女韓版學生高腰顯瘦秋夏季超火街舞嘻哈休閑寬松九分束腳褲,4.8,689,"1,774",$201
5,蝦皮優選《泛黃年代》3件350 L~3L快乾排汗褲 女吸濕排汗褲 女運動褲 加大女運動褲 大尺碼女運動褲  排汗女長褲,4.9,346,"1,281",$130
6,【新品搶購】寬褲 拖地褲  九分褲 落地褲 冰絲闊腿褲女春秋高腰垂感黑色寬松夏季薄款拖地休閑直筒墜感長褲,4.9,185,495,$168
7,現貨下殺 國潮工裝褲女寬鬆bf直筒束腳高腰顯瘦束口美式闊腿港風ins學生褲子 多口袋工作褲,4.8,398,"1,170",$175
8,蝦皮優選老闆不賣了!2020新色到 仙女垂感雪紡褲裙 假兩件闊腿褲 九分褲 寬鬆褲裙 長褲 雪紡寬褲 女 褲裙 大尺碼-杜達女孩,4.8,621,"1,360",$229
9,工裝褲女寬松韓版學生運動休閑黑色哈倫百搭九分束腳褲子女寬松 MOSY,5.0,70,220,$135 - $219
10,【100%麻】新款棉麻鬆緊腰艺文百搭休閒褲 韓版夏寬鬆仿棉麻鬆緊腰百搭闊腿褲女寬褲 燈籠褲哈倫褲棉麻褲大尺碼休閒長裤,4.8,56,192,$265
11,【Silly優品】（新款13色）高腰瑜伽褲女提臀運動健身服顯瘦緊身高腰小腳九分褲壓力褲運動長褲瑜伽褲跑步健身塑身長褲,5.0,486,"2,838",$398
12,長褲 牛仔長褲 破洞牛仔褲 丹寧顯瘦褲 女裝韓版高腰彈力破洞牛仔褲女chic學生緊身小腳褲潮,4.8,"1,102","2,741",$199
13,蝦皮優選老闆不賣了!CP質爆表 新款含腰帶 寬褲 蝴蝶結 闊腿褲 女 長褲 百搭直筒系 綁帶 九分褲 高腰褲 大尺碼-杜達女孩,4.7,"1,404","3,361",$169
14,27803杏色牛仔褲女寬鬆休閒直筒褲,4.8,"1,791","3,868",$169
15,【贈送禮物 現貨】春夏女外穿百搭大碼彈力顯瘦打底褲緊身鉛筆褲九分黑色褲子薄款,4.7,966,"2,959",$89
16,蝦皮優選老闆不賣了!秋季款棉麻九分褲 哈倫小腳褲 直筒褲 寬鬆休閒褲 水洗棉麻褲 長褲 休閒長褲 女 鬆緊 大尺碼-杜達女孩,4.8,372,941,$179
17,免運台灣現貨附發票💖小編穿給妳看實拍+影片【吊帶褲】 JCH獨家-減齡顯瘦牛仔吊帶長褲 背心 單寧牛仔 褲子女 牛仔褲,4.9,793,"1,534",$188 - $299
18,☬超高腰牛仔褲女2020春秋季新款緊身顯瘦鉛筆小腳褲韓版九分長褲子【預售：3月20日發完】,4.7,92,166,$151 - $228
19,【現貨】Movingpeach 健身褲女運動訓練緊身褲帶口袋高彈力蜜桃速幹褲高腰瑜伽褲壓力褲緊身褲小腳瑜伽長褲 FLZ,4.9,"1,878","4,133",$378
20,MOVINGPEACH 女運動長褲升级面料裸感無T區無駱駝蹄瑜伽長褲高腰提臀彈力小腳緊身褲健身訓練長褲壓力褲 HLS,4.9,497,"1,395",$479
21,蝦皮優選西裝褲XS-2XL【現貨】👗👗正韓西裝褲📣📣韓國版夏季新款休閑褲九分直筒西裝褲女鬆緊腰薄煙管褲小腳西褲子 韓妞必,4.9,974,"2,245",$289
22,[優質現貨] 長褲 運動褲 大口袋 鬆緊腰 飄帶工裝褲 束腳褲 寬鬆顯瘦休閒褲 嘻哈休閒 哈倫褲 休閒長褲 長褲女,4.9,236,645,$168
23,【i揪團】(現貨)🍭莫代爾棉女薄款打底褲 外穿春秋九分褲緊身內穿顯瘦內搭褲,4.9,141,430,$99
24,長褲 吊带褲 牛仔褲 背帶褲 新款韩版百搭牛仔背帶褲女夏季新款2019學生韓版寬松ins百搭闊腳顯瘦破洞褲子,4.8,718,"1,752",$106 - $208
25,女褲 長褲 工裝褲 側口袋工作褲 直筒寬鬆女生休閒長褲 多口袋工裝褲女 長褲縮口褲 嘻哈 復古 港風 顯瘦束腳褲 哈倫褲,4.8,166,511,$179
26,MovingPeach 瑜伽褲女跑步緊身運動健身褲緊身褲壓力褲蜜桃臀褲訓練瑜伽長褲小腳ELT,4.9,"1,913","4,564",$381
27,【M~4XL碼】100%棉 大碼仿棉麻七分褲女2020夏季新款寬松闊腿直筒休閑褲女,4.8,22,130,$126
28,mistletoe  超推必買🌈韓范寬鬆基礎款小西裝外套+顯瘦短裙+顯瘦直筒褲西褲長褲長袖套裝 韓國外套女,4.9,536,"1,614",$299 - $399
29,蝦皮優選現貨在台 超好評 不規則高腰排扣牛仔褲女緊身小腳褲顯瘦韓版chic彈力九分鉛筆褲秋,4.9,"1,039","2,406",$389
30,[特價]褲子 寬褲 闊腿褲 寬鬆長褲 適合大腿根粗的褲子女春夏韓版寬鬆百搭墜感闊腿褲直筒高腰長褲潮 宅女潮衣,4.8,190,685,$99
31,【限時免運】運動褲女怪味少女學生春秋新款韓版寬松休閑哈倫束腳燈籠長褲子顯瘦,4.8,230,804,$128
32,蝦皮優選✨現貨✨春夏韓版新款女時尚寬鬆顯廋 兩件式套裝 短袖+哈倫九分褲吊帶褲👕加👖,4.8,680,"1,260",$199
33,ღ筆芯ღ超薄高彈尼龍連褲襪/工作襪/絲襪批發女春秋 耐勾無痕不易勾破絲襪透膚美肌的彈力絲襪 百搭美腿黑色絲襪,4.8,30,"1,334",$14
34,蝦皮優選老闆不賣了!春夏必備 莫代爾大擺褲裙 甩褲 大擺裙 闊腿褲 瑜珈褲 寬褲 寬鬆棉質 運動長褲 休閒褲 長褲 女-杜達女孩,4.9,"1,320","3,246",$175
35,【現貨】萬薇  超瘦彈小黑褲  打底褲女外穿緊身褲2018新款秋季薄款百搭顯瘦小腳鉛筆褲,4.8,"1,031","3,183",$148
36,❄️冰絲涼感柔軟甩甩褲❄️ 女長褲 寬褲 闊腿褲 莫代爾彈力長褲,5.0,44,235,$219
37,【HOT 本舖】休閒長褲 闊腿褲 春夏新款 女 西裝褲 垂墜感 黑色顯瘦 高腰長褲 直筒褲 ins超火 正韓 時尚百搭,4.8,79,210,$175
