,item,rate,num_rate,num_sold,price
0,蝦皮優選【原創27-38】彈力 牛仔褲男 牛仔長褲男 牛仔小腳褲 工作褲 男褲 男裝 褲子 休閒褲男 窄管褲 男生長褲 男生衣著,4.8,10000,37000,$189.00
1,工裝褲 工作褲 休闲長褲 韓版長褲夏季男生薄款男褲子工裝褲男士潮牌束腳韓版哈倫寬松學生九分休閑褲男,4.8,242,841,$196 - $198
2,蝦皮優選【4色入】工裝褲男 長褲 M-3XL 現貨 直筒寬鬆裤 日系工作褲 休閒褲 棉褲 軍褲 潮牌側口袋工作褲,4.8,"2,568","8,412",$229.00
3,{新店促銷工廠直營}緊身褲男 健身跑步運動籃球打底訓練長褲高彈速幹壓縮褲內搭褲打底褲 束褲 慢跑褲,4.9,556,"2,486",$88.00
4,蝦皮優選【現貨】西褲 九分西褲男 男裝 褲子 小腳休閑褲 韓版潮流直筒褲 垂感西裝褲  ins 百搭休閑褲 現貨 貨到付款,4.9,"1,065","3,230",$198.00
5,蝦皮優選💥台灣出貨【熱銷現貨】💥《現貨不必等》休閒褲 長褲 小腳褲 工作褲 男褲子 直筒長褲 韓版男裝 修身男褲,4.8,879,"2,250",$250.00
6,M-5XL男士潮牌同款大尺碼工裝褲 青年韓版素色百搭休閒長褲 時尚寬鬆舒適小腳哈倫褲 縮口工作褲男 正韓褲子 男生衣著,4.9,561,"1,629",$195.00
7,【M-5XL】春夏休閒長褲 男生長褲 寬鬆工作褲 多口袋大尺長褲 工裝褲 港風潮牌束腳褲 日系復古縮口褲 運動褲 褲子男,4.9,"5,633",16000,$195.00
8,【現貨】硬漢男褲IX7戰術褲男長褲休閒戶外迷彩登山褲執政官速幹夏防水耐磨男士工裝褲,4.8,137,358,$159 - $299
9,蝦皮優選S-5XL ins潮牌工裝褲男 大碼寬鬆休閒褲 九分褲 韓版男百搭長褲 哈倫褲 工作褲 束腳褲 縮口褲 日系潮牌 現貨入,4.8,429,"1,310",$197 - $237
