,item,rate,num_product,num_sold,price
0,《台灣現貨 120w強吸力》4合1 汽車吸塵器 乾濕兩用 車用吸塵器 手電筒/輪胎打氣筒/照明 【VR0000C2】,96053,756,29451,$690.00
1,【現貨暢銷】正品公司貨 超強吸力粉刺機 吸黑頭粉刺神器 粉刺吸塵器 粉刺機 現正最夯 吸黑頭神器 毛孔清潔,29076,199,21800,$749.00
2,《台灣現貨 120W大功率 附保固》汽車吸塵器/強力吸塵器/乾溼兩用吸塵器/有線吸塵器/無線吸塵器【VR00A299】,96053,756,16211,$450 - $690
3,【THOMSON 法國無線吸塵器】乾濕兩用 家用吸塵器 車用無線充電吸塵器 汽車吸塵器 清潔 汽車百貨【DE294】,143657,697,10800,"$1,290.00"
4,迷你無線吸塵器 輕巧手持 車用 桌用 家用 沙發 縫隙 USB充電 迷你吸塵器 吸塵 吹塵 吹吸兩用 ARZ【A273】,233685,1047,8548,$150 - $980
5,《台灣現貨 USB迷你吸塵器》迷你吸塵器 吸塵器 居家清潔 縫隙清潔 USB吸塵器【VR000A28】『潮段班』,96017,757,6263,$279.00
6,現貨！乾溼兩用｜手持吸塵器 無線吸塵器 車用吸塵器 LED照明 強大吸力 低噪音 可拆濾網 車家兩用｜HCM881,42294,343,5408,$129 - $499
7,【現貨-免運費！台灣寄出 實拍+用給你】充電式桌面吸塵器 桌上型吸塵器 桌面清潔器 usb充電迷你吸塵器 鍵盤書桌清潔 ,24224,490,4482,$299.00
8,【現貨-免運費！台灣寄出實拍+用給你看】迷你吸塵器 電池吸塵器 桌上吸塵器 小型吸塵器 小縫隙清潔,24356,494,4425,$379.00
9,【THOMSON法國除塵螨機】現貨供應！含實測影片-超輕量除塵蟎機 吸塵器 除塵螨 除塵瞞機吸塵器 除螨機,143945,694,3441,"$1,990.00"
10,(現貨有折扣)GPLUS 省電 大吸力 無線吸塵/除螨 充電式手持吸塵器 GP-T09 (250w),16774,456,3387,"$6,790.00"
11,【winshop】B0559 蘑菇吸塵器/香菇吸塵器/桌上型吸塵器，筆電、鍵盤、書桌的清潔小幫手，最佳贈禮品,74820,4201,3380,$85.00
12,現貨！鍵盤清理｜迷你吸塵器 無線吸塵器 夾縫清理 強大吸力 輕巧便攜 多用途 噪音小 堅固耐用｜HNC911,42294,343,3087,$356.00
13,【最給力120W無線/有線款-強磁渦輪！電機吸塵器】乾溼兩用 無線吸塵器 小型吸塵器 手持式吸塵器 吸塵器 車用吸塵器,143945,694,3076,$89 - $799
14,Mr.Smart 小紫 智能UV除蟎吸塵器 輕量手持 殺菌 吸塵蟎 除溼 棉被床鋪 除蟎機 小型塵蟎機ARZ【B045】,233683,1050,2829,"$588 - $1,980"
15,多送濾網(共2濾網)銷售第一!幸福媽咪二代加強版HEPA旋風吸塵器(CJ-829/幸福媽咪一代吸塵器(CJ-688)停產,33224,657,2177,"$1,279 - $1,330"
16,"通用型 吸塵器 集塵紙袋 吸塵袋 集塵袋 三洋/日立/HITACHI/三菱夏普SHARP,NEC歌林三星東元東芝富士通",13506,293,2169,$17.00
17,【12H出貨→無線版吸力再升級！迷你吸塵器】車內小縫隙清潔+鍵盤清潔 無線吸塵器 小型吸塵器 手持式吸塵器,143945,694,2155,$288 - $469
18,( 衝評價) 原廠日立﹝CV-P6 / CVP6﹞吸塵器集塵紙袋~買家請自行更改合併運費喔,3858,1728,2134,$115.00
19,【現貨-免運費！台灣寄出實拍+用給你看】三合一智能掃地機 掃吸拖 掃地機器人 拖地 吸地 吸塵器 自動掃地機 掃地機,24386,494,2013,$648.00
20,【拒絕蟎蟲入侵！消滅過敏原】小白除蟎機 紫外線吸塵器 紫外線除蟎機 除蟎吸塵器 塵滿機 除蟎機,64113,748,1999,$99 - $990
21,Mr.Smart 小紫 智能UV除蟎吸塵器 輕量手持 殺菌 吸塵蟎 殺菌 除溼 除塵 棉被床鋪枕頭 除蟎機 小型塵蟎機,4252,403,1992,"$588 - $1,980"
22,【高效能x安全x不痛！送妙鼻貼】正品公司貨 超強吸力粉刺機 吸黑頭粉刺神器 粉刺吸塵器 粉刺機 現正最夯 黑頭神器,143945,694,1964,$739.00
23,【現貨 +用給你看】充電式桌面吸塵器 充電桌上型吸塵器 桌面清潔器 usb充電桌面迷你吸塵器 鍵盤書桌清潔除塵打掃,4165,131,1908,$399.00
24,【現貨-免運費！台灣寄出】【 Pantone聯名家電歌林無線除塵蟎機】歌林除蟎機除塵螨器除塵蟎吸塵器防塵蟎【KH036】,26905,596,1889,"$3,600.00"
25,【12H寄出！超迷你吸塵器】小縫隙清潔 USB吸塵器 電腦主機 鍵盤 小型吸塵器 手持式吸塵器 居家清潔,143945,694,1766,$288.00
26,【台灣保固一年 強勁吸力  HEPA濾心 電機吸塵器】乾溼兩用 無線吸塵器 小型吸塵器 手持式吸塵器 吸塵器 車用吸塵器,6385,109,1672,"$1,099.00"
27,《台灣現貨 120W渦輪吸力》車用吸塵器 手持吸塵器  乾濕兩用 居家車用 吸塵器【VR030235】,96053,756,1628,$100 - $690
28,【可吸起兩隻手機】汽車吸麈器 車用吸塵器 5米長附配件 乾濕兩用 120瓦 120W 車充 手提 點菸器 usb 軟下巴,7894,119,1625,$259.00
29,【四合一台灣現貨】車用吸塵器  胎壓 家用 手持吸塵器 補胎 汽車吸塵器 乾濕 多用 多功能 吸塵器 汽車美容 桌上無線,7882,115,1572,$849.00
30,【現貨-免運費！台灣寄出實拍+用給你看】車用吸塵器 旗艦7件組 乾濕兩用 汽車 吸塵器 小型吸塵器 車用 無線吸塵器,24356,494,1544,$59 - $590
31,迷你 USB吸塵器 電腦吸塵器 USB鍵盤吸塵器【滿額免運】鍵盤刷 鍵盤清潔器 筆電 主機  辦公桌面(20-569),130761,998,1514,$35.00
32,【全館現貨】『附發票』2019升級款 USB充電乾溼兩用 無線吸塵器 HEPA濾網 120W 手持吸塵器 車用吸塵器,16414,51,1512,$79 - $770
33,【支持台灣品牌！CHIMEI 奇美】氣旋式 超強力手持吸塵器 直立兩用吸塵器 家用吸塵器 吸塵器 免集塵袋【DE437】,143809,697,1496,"$1,990.00"
34,【12H出貨→無線版吸力再升級！迷你吸塵器】車內小縫隙清潔+鍵盤清潔 無線吸塵器 小型吸塵器 手持式吸塵器,143945,694,1461,$288 - $469
