,item,rate,num_product,num_sold,price
0,【附發票 賣貴請告知】兒童安全鎖.安全扣 防護鎖 抽屜鎖 帶扣鎖 酒櫃鎖冰箱鎖 衣櫥鎖 微波爐鎖 烤箱鎖 櫃門鎖廚櫃鎖,128963,2338,2032,$7
1,雲母片 微波爐絕緣片 微波爐雲母片 加厚0.4mm 微波爐絕緣紙 15公分×12公分,24048,1018,1783,$20
2,加厚矽膠手套 隔熱手套 防燙手套 防滑手套 防滑夾 防燙夾 隔熱夾 熱鍋夾 微波爐 顏色隨機(80-1034),130757,998,1755,$29
3,約翰家庭百貨》【SA360】日式粉彩方塊超強吸力磁性掛勾 磁鐵掛鉤 微波爐 冰箱 無痕免釘 隨機出貨,102645,1154,1245,$35
4,天鑫生活 日式粉彩方塊超強吸力磁性掛勾 磁鐵掛勾 掛鉤 冰箱掛鉤 磁石掛鉤 廚房掛鉤 微波爐 冰箱 辦公 無痕免釘,3291,169,1025,$25
5,【贈送掛鉤！經久耐用】雙層廚房置物架 微波爐置物架 廚房置物櫃 調味罐收納 碗盤收納 置物架 調味架,64071,746,1010,$599
6,☆精品社☆【磁鐵掛鉤】 超強魔力吸鐵磁性無痕掛勾 廚房冰箱微波爐強力磁鐵糖果色掛勾,140569,1939,1007,$20
7,✿禎巧妙✿方形馬芬杯 布丁杯 果凍模  矽膠蛋糕模具 DIY 手工皂模具矽膠 圓形高溫蛋糕杯 微波爐烤箱用,8812,348,978,$10
8,【傻瓜批發】(ZU-57)磁鐵掛鉤 加強吸力馬卡龍方塊磁性掛勾 磁鐵掛勾 無痕掛勾免釘 微波爐掛鈎 冰箱板嬌現貨,88838,1865,979,$18
9,【四件組矽膠保鮮膜】食品級矽膠保鮮膜可重複使用冰箱密封保鮮蓋微波爐多功能碗蓋,501,46,787,$89
10,【雜貨店】長方形磁性掛鈎 超強吸力 微波爐 磁鐵冰箱無痕掛鈎 磁鐵掛勾25元,39742,1873,702,$25
11,食品矽膠密封保鮮蓋 食物保鮮膜 碗蓋透明矽膠密封蓋冰箱保鮮膜可重複使用廚房微波爐加熱蓋子保鮮蓋【BE215】,26891,595,697,$49
12,【金光閃閃】110V 220V 10W 15W 25W E14 微波爐 烤箱 烤爐 燈泡 300度 耐高溫 鎢絲燈泡,2098,585,562,$60
13,♞空間特工♞ 鍍鋅免螺絲角鋼 烤箱架_冷凍設備_廚房系統_冷藏架_電鍋架_微波爐架 ~超高耐重+超高防鏽,10059,1120,505,$10
14,(無法超取)7009微波爐用多功能萬用伸縮置物架收納架麵包機/鞋櫃咖啡機電鍋瓶罐架,5970,202,466,$490
15,【T3】矽膠保鮮膜 食品級 四件組 耐冷耐熱保鮮膜 透明矽膠密封蓋 冰箱保鮮膜 碗蓋 廚房微波爐 加熱蓋子【HH04】,8776,1033,455,$199
16,柚子貓【C2002059】兒童安全鎖.安全扣防護鎖抽屜鎖帶扣鎖酒櫃鎖冰箱鎖衣櫥鎖微波爐鎖烤箱鎖馬桶鎖櫃門鎖廚櫃鎖,13732,945,448,$10
17,廚房微波爐隔熱手套 隔熱墊 防燙手套【賣貴請告知】,128600,2324,444,$18
18,絕緣銅帶 扁銅線漆包線/紗包線/玻璃絲包線1*7mm 微波爐變壓器改裝超好用,4363,446,405,$20
19,BANG◎矽膠保鮮膜 食品級 四件組 耐冷耐熱保鮮膜 透明矽膠密封蓋 冰箱保鮮膜 碗蓋 廚房微波爐 加熱蓋子【HH04】,19886,1110,402,$199
20,國際牌微波爐 ：迴轉盤，迴轉環，馬達、高壓二極體，保險絲 ，高壓保險絲，薄膜開關，燈炮，高壓電容器、電腦板，另售其它廠牌,5977,171,384,$280
21,廚房矽膠隔熱手套矽膠手套烤箱手套焚火台手套防滑手套微波爐手套烘培手套露營野炊抓魚荷蘭鍋手套防火手套防燙手套廚房矽膠隔熱手,1176,79,375,$74
22,全新微波爐保險管 5KV0.75A 高壓保險絲 158-05632,20846,297107,372,$4
23,【兒童安全鎖】安全扣防護鎖 抽屜鎖帶扣 鎖酒櫃 鎖冰箱鎖衣櫥鎖 微波爐鎖 烤箱鎖 馬桶鎖 櫃門鎖 廚櫃鎖,17680,1269,363,$10
24,[韓風童品] BEBOO 寶寶防開冰箱鎖 櫥櫃防護鎖 抽屜鎖 門櫃鎖 微波爐鎖 兒童安全鎖 馬桶鎖,1841,775,341,$25
25,【99網購】超強吸力馬卡龍方塊掛勾/磁鐵掛勾/掛鉤/冰箱掛鉤/冰箱/辦公/無痕/磁石掛鉤/廚房掛鉤/微波爐,9412,536,339,$25
26,(現貨免運費)國際牌25L微電腦微波爐 NN-ST34H~隨貨附發票及保固貼,6167,311,329,"$3,790"
27,**東順網路** 微波爐高壓保險絲 5KV 0.75A 6.5x40mm,9399,3976,320,$10
28,◎SA部屋◎[缺]超強吸力-方塊磁性掛鉤.磁鐵掛勾.無痕掛鈎.冰箱掛鈎.微波爐掛鈎-特價16元,10409,631,314,$999
29,微波爐配件 微波爐雲母片 絕緣片 10X15 158-05863,21112,297094,296,$10
30,微波爐 高壓保險絲 5KV 0.75A 0.8A 0.9A,1025,50,286,$10
31,微波爐高壓二極體 HVM12     CL01-12可替换HVM10、CL01-12、HVR-1X3、T3512、T4512等,2594,440,244,$50
32,OMRON 歐姆龍15A 250V 微動開關 微波爐 電子鍋可用V-15-1C25,1028,437,241,$20
33,〈中壢〉微波爐 高壓二極體 微波爐維修 微波爐零件 微波爐材料 可自取,389,12,238,$35
34,【牛牛柑仔店】超強吸力-方塊磁性掛鉤.磁鐵掛勾.無痕掛鈎.冰箱掛鈎.微波爐掛鈎,20234,553,235,$20
35,Panasonic  NN-ST65J 微波爐,12066,882,217,"$5,000"
36,＊架式館＊極致美學 120x45x180cm 五層沖孔烤黑鐵板架 /鐵架/電器架/微波爐架/倉儲架/收納架,20368,1469,216,"$2,349"
37,Glasslock明星商品強化玻璃分格保鮮盒670ml/920ml/1000ml 玻璃分隔微波爐便當盒 野餐盒 密封盒,4053,737,214,$210 - $475
38,☆160小舖☆【磁鐵掛鉤】 超強魔力吸鐵磁性無痕掛勾 廚房冰箱微波爐強力磁鐵糖果色掛勾,24274,1780,212,$20
39,[含稅]電磁爐 微波爐 高壓二極體 微波爐CL01-12 通用T3512與HVM12V,14888,109561,205,$6
40,不銹鋼置物架 不銹鋼收納架 廚房置物架 廚房收納架 微波爐架 烤箱架 廚房架 儲物架 鍋架,1432,259,204,"$880 - $1,780"
41,原價百貨》小孩 兒童安全鎖，長安全扣 抽屜鎖 冰箱鎖 衣櫥鎖 烤箱鎖 微波爐鎖 櫥櫃鎖 (204),12930,374,204,$9
42,電磁爐 微波爐專用高壓二極體 微波爐CL01-12 通用T3512與HVM12 223-01220,21096,297095,200,$4
43,特加厚微波爐雲母片 小毛病別把微波爐丟了，只要查明 自己換修最便宜  11*15公分 兩片65，四片優待120元,4363,446,195,$33 - $120
44,原價百貨》小孩 兒童安全鎖 ，短安全扣 抽屜鎖 冰箱鎖 衣櫥鎖 烤箱鎖 微波爐鎖 櫥櫃鎖 (209),12949,374,194,$9
45,<大發電子> 微波爐高壓保險絲 5KV ~0.6A0.65A0.7A0.75A0.8A0.85A0.9A高壓保險管玻璃,2729,806,190,$10
