,item,rate,num_product,num_sold,price
0,【迷霧天堂】主機+煙彈+皮套+果汁Vaporesso RENOVA ZERO POD小煙油小菸油 【A151】,53965,571,6015,$899
1,針油瓶5、10、15、20、30ml、50、100cc，酸鹼醒油瓶針嘴瓶尖嘴瓶尖頭PE瓶煙油果汁HP噴墨印表機墨水填充筆,7370,460,5856,$1 - $10
2,(超商限1罐)康健有機 義大利歐芙O'Fruit有機蘋果汁 1000ml【A25103】,30968,1259,4695,$125
3,現貨！半年保固｜隨身果汁機 榨汁機 隨身果汁杯 果汁機 調理機 附杯刷 USB充電 500ml｜HNK891,42294,343,3263,$699
4,【買五送一】特調 10ml精油 果汁 自調 煙油 電子主機配件 大煙 小煙 煙油 無丁鹽,5368,516,2923,$50
5,🌺針油瓶🌺5ml10ml15ml~120長針管PE注油瓶黑色，尖嘴瓶，筆桿型量杯挖棒印表機墨水菸油瓶漏斗滴管果汁蒸氣,1035,1507,2548,$2 - $15
6,【迷霧天堂】含果汁Joyetech BLIZZARD冰雪暴小煙主機VAPE電 子菸電 子煙小煙油小菸油丁鹽油【A108】,53965,571,2165,"$1,215"
7,2017年馬力升級~全配版~新潮流食品調理機 TSL-122  果汁機-冰沙機 (冰沙~豆漿~精力湯) 免運費,6444,22,1642,$750
8,KINYO 迷你隨行杯果汁機 電動榨汁機+環保杯 二合一 方便快速 攜帶外出 蔬果汁調理機 果汁杯 ARZ【B047】,233685,1047,1587,$549 - $649
9,KINYO 多功能食物調理機 自動切割食物 嬰兒食品調理 切菜機 絞肉器 碎冰機 果汁機 攪拌機 ARZ【A095】,233685,1047,1512,$899
10,【每日五蔬果！營養帶著走】隨身果汁機 隨行果汁機 電動榨汁機 調理機 果汁機 榨汁機 料理機 果汁杯,64208,753,1504,$599
11,2020新款六刀磨細緻家庭迷你榨汁機便攜式多功能USB充電水果榨汁杯小型電動果汁杯孩童婦嬰更適合,20004,4530,1492,$338
12,KINYO 多功能食物調理機 自動切割食物 嬰兒食品調理 切菜機 絞肉器 碎冰機 果汁機 攪拌機 攪拌器 【A095】,4245,400,1388,$899
13,KINYO 迷你隨行杯果汁機 電動榨汁機+環保杯 二合一 方便快速 攜帶外出 蔬果汁調理機 果汁杯 果汁機【B047】,4252,403,1359,$549 - $649
14,【勳風】全能級冰沙果汁機生機調理機(HF-3675)台灣製造,33212,657,1329,"$3,280 - $3,305"
15,随身果汁机情侶套杯英國皇太太迷你榨汁機家用水果小型便攜式充電榨汁杯電動炸果汁杯,234,131,1257,$598
16,母親節禮物 現貨 小米有品 17PIN 星果杯 400ml 隨行杯 果汁機 榨汁機 攪拌杯 果汁杯 便攜榨汁 環保杯,44991,1196,1161,$789
17,【蒸氣迷霧】含果汁JustFog Minifit KIT微風電子式主機vape非 電 子菸煙小煙油小菸油丁鹽【A090】,4683,504,1160,"$1,050"
18,【現貨-免運費！台灣寄出】富士電通 多功能隨行杯冰沙調理機 FT-JEM5725R 果汁機研磨攪拌器【HTK075】,3397,534,1076,"$1,490"
19,諾麗果汁酵素---一次買2瓶-請勿下4瓶-調整體質、調節生理機能的優良補給品-特價期間每瓶只要250元,923,15,1071,$500
20,【台灣三洋原裝正品！隨行果汁機】隨鮮杯 果汁機 榨汁機 碎冰 冰沙 不含雙酚A 電動果汁杯 鮮菓炫冰杯 玻璃隨身瓶 隨身,143657,697,1024,$890
21,【現貨-免運費！台灣寄出】富士電通 多功能隨行杯冰沙調理機 FT-JEM5725R 果汁機研磨攪拌器【HTK075】,26994,599,1005,"$1,490"
22,【台灣現貨】防疫 6葉 USB充電式 隨身果汁杯 維他命USB果汁機 隨行果汁機 隨行果汁機 行動果汁機 榨汁機果汁杯,52088,339,847,$279
23,【KINYO】時尚簡約多功能果汁機/調理機(JR-20)刀片#301不鏽鋼,33225,657,838,$680
24,【打果汁好簡單】超可愛 充電式隨身果汁杯 果汁機 攪汁機 隨身冰沙機 榨汁機 AE0001,16893,1971,774,$499
25,意大利進口LIQUA果汁 【正品30ml清新果香口味】 打火機補充液,4307,42,689,"$360 - $1,780"
26,一機多用充電式電動果汁機 攪拌機 (可超取)【320ml適中飲用容量】市價899↘超值價369元！ 3色可選！※9,17899,1143,656,$369
27,【蒸氣迷霧】超划算主機+煙彈+皮套+果汁Vaporesso RENOVA ZERO POD小煙電子小菸 【A151】,4683,504,652,$899
28,【買五送一】特調 10ml精油 果汁 自條 煙油 電子主機配件 大煙 小煙,2140,495,625,$50
29,送縫隙刷三件組❤可充電USB隨身果汁機 隨行果汁杯 VITAMER 維他命榨汁杯 露營 行動榨汁機 隨行杯,2886,15,553,$360 - $795
30,Voelkel 維可有機蘋果汁 6瓶以上免運.18瓶3060元加贈28元瀉鹽3包 效期新,3487,262,487,$190
31,【送魔布3條】TSL新潮流健康食品調理機~果汁機~豆漿~研磨~輕巧好收納~現貨,5489,269,452,$598
32,Z&G / bink 冰殻小煙主機 果汁,123,1,451,$300 - $880
33,老闆頭痛區~PHILIPS 飛利浦活氧果汁機 HR2100/HR-2100,6029,357,445,$699
34,新款熱銷 破壁機 榨汁機 小型 榨汁杯 便攜式USB充電 榨果汁機 水果機 調理機,70,82,432,$399
35,【迷霧天堂 】含果汁Geekvape  Flint Kit火石電子主機套裝非 電 子菸煙小煙油小菸油丁鹽鹽油【A115】,53951,571,399,$882
36,全佳豪派樂5合1果菜料理刨冰機 榨汁機-共底杯(含製冰碗3+保鮮蓋3)-刀削冰淇淋旋風刨蘿蔔絲雕花榨果汁機剉冰沙機冰風暴,1467,1110,391,$529
37,【台灣現貨】玻璃款 便攜式迷你榨汁機 電動榨汁杯 6葉USB充電果汁機 電動榨汁杯學生隨行杯果汁機 隨身攜帶,52088,339,381,$459 - $599
38,<搞啥飛機>5個 2公升HDPE塑膠桶分裝瓶不透光白色全新料 酒精/消毒水/次氯酸水可用 果汁桶農藥桶汽油桶煤油桶 含稅,21125,2790,376,$175
39,[台灣現貨] 0丁美國香精果汁 30ML 0MG 15種口味 煙量大 適合所有注油式小煙主機 石中劍 咖哩棒 ZERO,779,23,364,$180
40,【迷霧天堂】大全配主機+果汁+煙彈Uwell Amulet Pod手錶電 子菸煙小煙油小菸丁鹽鹽油【A149】,53958,571,345,$888
41,德國維可 Voelkel 有機蘋果汁 12瓶加送瀉鹽x6包 Demeter 1000ML/,14934,1452,340,"$2,040"
42,<搞啥飛機>1公升 HDPE半透明透光塑膠桶 全新料生產 遙控燃油分裝瓶 果汁桶蜂蜜桶農藥桶 汽油桶煤油桶 含稅價,21171,2790,326,$20
43,大耐用馬達可提式隨行杯玻璃杯果汁機連鎖保固尚朋堂SJ-0600運動壺鎖扣大容量450ML勝歌林國際牌飛利浦勳風大同冰沙機,53287,788,307,$749
44,Panasonic 國際牌果汁機MX-V188的杯蓋,12098,880,275,$60
45,新潮流食品調理機-果汁機 TSL-122 (輕巧版 主機+果汁杯) (冰沙~豆漿~精力湯),6444,22,274,$590
46,【迷霧天堂】Modefined Lyra 200w溫控主機含霧化器+電池套裝送果汁 vape 【A088】,53965,571,257,"$2,980"
47,LC電器 國際牌果汁機 上下連軸、杯蓋、碳刷、開關、刀刃、果汁杯、墊圈、喇叭刀座 MX-185V.MX-V188,5975,171,252,$110
48,小煙08：熱門推薦 AURORA PLAY 小煙主機專用皮套 Zero二代 Vaporesso 不含果汁  霧化,4163,15,242,$50 - $60
49,Panasonic 國際牌果汁機MX-V188的碳刷,12115,881,221,$35
50,【迷霧天堂】現貨送果汁JustFog Minifit KIT微風 小巧口感主機　停不下來的好滋味 含果汁套裝【A090】,53965,571,202,"$1,050"
51,2018 外銷升級版第二代迷你電動榨汁杯(手機充電寶功能+照明)源頭廠家 多功能榨汁果汁杯 迷你充電研磨機,19951,4522,198,$959
52,【國際牌 PANASONIC 台灣松下】果汁機玻璃杯◎請參考內容資料◎MX-V188/MX-185V/MX-X47,4146,820,196,$370
53,(彰農米糧)有機系列~豆漿機專用  有機燕麥薏蓮子 500g 多穀物米漿 調理機 電鍋+果汁機,7815,52,192,$120
54,【蒸氣迷霧】大煙Modefined Lyra 200w溫控主機含霧化器+25R電池套裝送果汁 電 子煙 菸【A088】,4683,504,186,"$2,980"
55,【威利家電】德律風根 六件組食物調理機 / 料理棒 / 調理棒 / 果汁機 LT-HB1702DC,5260,327,186,$930
56,PHILIPS 飛利浦活氧果汁機~HR2101/HR-2101冰沙機-調理機-濾網型,14375,615,186,$830
57,【愛蒸氣】送果汁30ML+貼紙 正版克萊鵬堡壘MINI 80W大煙 霧化器套裝vape (非電子主機煙非菸,9462,142,173,"$1,790"
58,【買五送一】特調 10ml精油 果汁 自條 煙油 電子主機配件 大煙 小煙,2045,623,163,$50
59,【可加購替杯&贈清潔刷】美國 OSTER-Ball Mason Jar隨鮮瓶果汁機 BLSTMM (四色可選),50855,1201,163,"$1,309"
60,~玩美主義~MA-6208升級款.鍋寶隨身杯果汁機研磨機(SJ-220-D)雙杯設計.前100名贈玫瑰刀.超取限2台,3073,258,160,"$1,199"
61,【迷霧天堂】含果汁套裝Joyetech Exceed Grip Starter Kit小型主機套裝 小煙【A117】,53954,571,159,"$1,332"
