,item,rate,num_product,num_sold,price
0,台灣賣家 氣炸鍋 噴霧式油瓶 100ml 油壺 分裝瓶 酒精分裝瓶 噴油瓶 噴油壺 噴油罐 噴油瓶 噴霧式 氣炸鍋噴油瓶,22385,176,5551,$65
1,【商檢認證x買就送噴油瓶】科帥大容量5.5L 氣炸鍋 AF606空炸鍋 液晶觸控氣炸鍋 氣炸鍋 雙鍋5.5L,64203,753,2227,"$1,990 - $2,380"
2,【噴霧式油瓶】廚房噴油罐 酒精噴瓶 分裝瓶 燒烤噴油壺 霧狀調味罐 料理醋瓶 烘焙噴霧罐 氣炸鍋控油罐,140658,1933,1724,$60
3,【現貨x台灣發貨附發票】比依 AF-25A 液晶觸控氣炸鍋 陶瓷塗層 6.4L 大容量氣炸鍋 比依氣炸鍋,64203,753,1648,"$2,980 - $3,480"
4,現貨！商檢認證｜品夏 氣炸鍋 空氣炸鍋 電炸鍋 氣炸鍋 液晶觸屏 高溫脫脂 BSMI認證 保固一年｜HNK9C1,42077,343,1569,"$389 - $2,788"
5,【氣炸鍋專用！料理幫手】304不鏽鋼防噴油網 防噴油蓋 防油網 噴油網 濾油網 過濾網 科帥 比依,64203,753,1558,$249
6,科帥 液晶觸控氣炸鍋AF606 雙鍋5.5L 大容量氣炸鍋 多功能無油煙空氣炸鍋 陶瓷內膽 電炸鍋 電烤爐 空炸鍋,64040,748,1505,"$299 - $1,880"
7,直筒玻璃噴霧瓶 噴油瓶 化妝水分裝瓶 調味噴霧 氣炸鍋噴油 精準控制油量 玻璃瓶 分裝罐 按壓瓶 噴瓶ARZ【A081】,233687,1046,1467,$99
8,【台灣發貨附發票x送12件烘焙組】比依 AF-25A 液晶觸控氣炸鍋 陶瓷塗層 6.4L 大容量氣炸鍋 比依氣炸鍋,64113,748,1301,"$3,280"
9,【台灣總代理現貨】【黑貓貨到付款】【宅配刷卡免運費】【1年保固】比依AF-25A液晶觸控氣炸鍋6.4L大容量氣炸鍋 雙鍋,2056,64,1142,"$2,399 - $2,749"
10,【氣炸鍋烘培紙100入！圓型蒸籠紙】防油料理紙 氣炸鍋 烤盤紙 7吋 8吋 防沾黏 烘培蒸籠紙 雙面矽油紙 科帥品夏比依,143812,694,1035,$79 - $120
11,現貨！氣炸鍋專用｜天然檸檬油清潔泡 衣麗亮白 油垢清潔劑 除油劑 洗碗精 清潔劑 廚房清潔 強效去汙｜HTE009,42298,343,1029,$199
12,【品夏氣炸鍋】 BSMI認證  品夏 氣炸鍋 烤箱 空氣炸鍋電炸鍋空炸鍋 保固一年,16942,1962,1028,"$1,680"
13,【溫柔清香！強力去污】天然檸檬油清潔泡泡 氣炸鍋適用 純天然 洗碗精 椰子油 檸檬油 清潔劑 除油劑,64170,751,1024,$199
14,【噴霧式油瓶】廚房噴油罐 酒精噴瓶 分裝瓶 燒烤噴油壺 霧狀調味罐 料理醋瓶 烘焙噴霧罐 氣炸鍋控油罐,24368,1773,905,$60
15,台灣現貨 原廠公司貨 韓秀氣炸鍋 HX-702A 液晶觸控氣炸鍋8.2L大容量氣炸鍋 雙鍋 電炸鍋,2056,64,893,"$2,500 - $2,899"
16,萬用不繡鋼鍋夾 好神器防燙夾 碗夾 防熱手套 烘培手套 隔熱手套 防燙萬用夾 電鍋夾 鍋夾 隔熱鍋夾 氣炸鍋 氣炸鍋配件,22366,176,890,$45
17,台灣發貨 氣炸鍋 噴霧式油瓶 100ml 油壺 分裝瓶 酒精分裝瓶 噴油瓶 噴油壺 噴油罐 噴油瓶 噴霧式 氣炸鍋噴油瓶,22351,174,584,$99
18,【科帥總代理x通過商檢認證】科帥 液晶觸控氣炸鍋 AF606 雙鍋5.5L 大容量氣炸鍋 空氣炸鍋 電炸鍋,64170,751,546,"$399 - $2,380"
19,【台灣現貨！兩日速達】新款8L大容量 科帥AF708大容量110V台灣電壓 無油空氣炸鍋 氣炸鍋 電炸鍋 炸薯條機M,43,162,500,"$2,799"
20,現貨~比依110V臺灣空氣烤箱全自動大容量空氣炸鍋新品特價智能空氣炸機,196,128,500,"$4,290"
21,大特價頂級免解凍高級不沾鍋氣炸鍋旋風烤箱 Arlink philo炸薯條烤爐勝飛利浦 Philips電鍋烤麵包機飛樂,53277,785,441,"$3,480"
22,【加送噴油瓶x一年保固】科帥氣炸鍋 8L加大 AF708 液晶觸控 空氣炸鍋 電炸鍋 電烤爐 氣炸鍋配件,64184,753,331,"$399 - $3,280"
23,【氣炸鍋必備！配件神器】氣炸鍋配件組 7吋8吋 烘焙12件組 氣炸鍋周邊 烘焙組 噴油瓶 防燙夾 蒸【H0134】,64071,745,326,$69 - $599
24,【獨家限時現貨全台最低價】品夏台灣代理商 送4大豪禮 品夏氣炸鍋 空氣炸鍋 電炸鍋 比依 科帥 生日 母親節,2519,131,304,"$1,669 - $2,169"
25,噴霧式油瓶 噴油瓶 噴油罐 氣炸鍋 料理醋瓶 烘焙噴霧罐 控油罐 玻璃罐 銀色(V50-2470),130021,1000,295,$98
26,【均勻控油！料理必備】玻璃噴霧瓶 氣炸鍋噴油瓶 噴霧罐 噴霧容器 噴油罐 調料瓶 噴油壺 噴壺 油壺【G5003】,64203,753,266,$99
27,🔥台灣現貨🔥一體式全矽膠刷 食品級耐高溫矽膠油刷 氣炸鍋配件 燒烤刷 油刷 蛋糕工具 烘焙刷 烤肉刷【K0178】,51990,350,229,$39
28,【超越巔峰】氣炸鍋烘焙紙 洞洞烘焙紙 烤盤紙 蒸籠紙 有孔烘焙紙 氣炸鍋配件/飛樂arlink 科帥 karalla適用,2292,195,211,$40 - $60
29,全新破盤免運伊瑪imarflex 2.2公升氣炸鍋IAF-1002 通過BSMI 商檢局認證 字號R35214,10472,44,181,"$1,399"
30,【黑貓貨到付款】【宅配刷卡免運費】【1年保固】原廠出貨 比依AF-25A液晶觸控氣炸鍋6.4L大容量氣炸鍋 雙鍋 電炸鍋,2056,64,177,"$2,399 - $3,999"
31,【大王家電館】【原廠配件四重送 煎烤盤+烘烤鍋+蛋糕模+創意料理食譜】PHILIPS 飛利浦健康氣炸鍋 HD9642,7898,639,168,"$8,800"
32,【料理幫手！兩用蒸架】不鏽鋼兩用蒸架 氣炸鍋配件 不銹鋼蒸架 電鍋蒸架 雞蛋蒸架 蒸蛋架 隔熱架 蒸菜架【G5004】,64184,753,165,$79
33,【氣炸鍋專用】6/7/8 吋氣炸鍋配件組/噴油瓶/烘焙紙 飛利浦 Arlink 飛樂 科帥【AAA6264】,4270,5809,163,$99 - $990
