,item,rate,num_product,num_sold,price
0,【附發票 賣貴請告知】兒童安全鎖.安全扣 防護鎖 抽屜鎖 帶扣鎖 酒櫃鎖冰箱鎖 衣櫥鎖 微波爐鎖 烤箱鎖 櫃門鎖廚櫃鎖,128963,2338,2032,$7
1,【台灣出貨附發票x保固一年】比依空氣烤箱 多功能電烤爐 氣炸烘烤爐 智能烤箱 電烤爐 烘烤爐 烘烤鍋 烤箱,64203,753,2011,"$3,680"
2,兒童『布帶』安全鎖 冰箱鎖 衣櫃鎖 簡易櫃門鎖 馬桶鎖轉角烤箱鎖 避免意外,7515,171,1470,$9
3,【現貨-免運費！台灣寄出】【Kolin 8L雙旋鈕電烤箱】歌林家用烤箱火烤爐餅乾【KH018】,3405,537,1381,"$1,450"
4,【現貨-免運費！台灣寄出】【Kolin 8L雙旋鈕電烤箱】歌林家用烤箱火烤爐餅乾【KH018】,26961,597,1095,"$1,450"
5,[平信寄送10元 附:固定夾]　金屬管 溫度保險絲 (10A)　65°~285°C 電子鍋 電磁爐 烤箱 吹風機 電爐,8865,1241,1072,$12 - $15
6,【Kolin x Pantone聯名家電】8L雙旋鈕電烤箱 歌林家用烤箱 烤吐司 烤麵包機 上下火烤爐餅乾【DB001】,143449,687,1028,"$1,499"
7,【品夏氣炸鍋】 BSMI認證  品夏 氣炸鍋 烤箱 空氣炸鍋電炸鍋空炸鍋 保固一年,16942,1962,1028,"$1,680"
8,【台灣三洋認證合格！多功能旅行鍋】出國110V雙電壓 迷你旅行鍋 便攜式 電熱杯 電子鍋烤箱 電鍋 電煮鍋 小火鍋 廚具,143939,694,1011,"$2,180"
9,[最新電路版] 烘焙烤箱 電子溫度計 熱電偶 K-TYPE TM902C TM-902C 烘培咖啡,4492,64,982,$125 - $330
10,✿禎巧妙✿方形馬芬杯 布丁杯 果凍模  矽膠蛋糕模具 DIY 手工皂模具矽膠 圓形高溫蛋糕杯 微波爐烤箱用,8812,348,978,$10
11,《北投可自取》TATUNG大同9公升電烤箱 TOT-907A  可開式集屑盤，清理無負擔,4083,125,749,$950
12,"附發票＊東北五金＊日本耐熱冷烤漆,耐熱噴漆,排氣管,鍋爐,烤箱皆可用,全面優惠中(銀)",81863,22773,582,$160
13,加厚耐熱高溫布  不沾烤盤布 烘焙油布 烤箱專用 烘焙工具,1082,354,569,$45
14,【金光閃閃】110V 220V 10W 15W 25W E14 微波爐 烤箱 烤爐 燈泡 300度 耐高溫 鎢絲燈泡,2098,585,562,$60
15,現貨大馬力攪拌機攪麵機攪拌器攪麵糰機料理機打蛋機和麵機揉麵機調理機和麵糰機蛋糕麵包攪肉機絞肉機魚丸肉丸烘焙貢丸烤箱壓麵機,2867,721,550,"$4,500"
16,『正典UCHI電子』烤箱定時器 計時60分鐘,10836,1397,524,$100
17,台灣製 MIT ~超高耐重+超高防鏽~ ♞空間特工♞ 廚房用品置物架 烤箱架 電器架 冷凍設備 廚房系統 鍍鋅免螺絲角鋼,10059,1120,515,$10
18,♞空間特工♞ 鍍鋅免螺絲角鋼 烤箱架_冷凍設備_廚房系統_冷藏架_電鍋架_微波爐架 ~超高耐重+超高防鏽,10059,1120,505,$10
19,現貨~比依110V臺灣空氣烤箱全自動大容量空氣炸鍋新品特價智能空氣炸機,196,128,500,"$4,290"
20,450w 烤箱電熱絲 電熱線,24012,1017,479,$35
21,耐熱700度 10米長 防火 隔音棉 台灣製造 輕隔間 隔熱棉 保溫棉 保冷 吸音 烤箱 汽車 陶瓷 厚度5公分 不怕水,1945,37,457,"$1,450"
22,柚子貓【C2002059】兒童安全鎖.安全扣防護鎖抽屜鎖帶扣鎖酒櫃鎖冰箱鎖衣櫥鎖微波爐鎖烤箱鎖馬桶鎖櫃門鎖廚櫃鎖,13732,945,448,$10
23,Panasonic NB-H3801 烤箱 (送德國雙人西餐牛排刀叉湯匙組),12058,880,447,"$4,990"
24,大特價頂級免解凍高級不沾鍋氣炸鍋旋風烤箱 Arlink philo炸薯條烤爐勝飛利浦 Philips電鍋烤麵包機飛樂,53277,785,441,"$3,480"
25,[平信寄送10元 附:固定夾]　金屬 溫度保險絲 15A　85°C~280°C　適用 電子鍋 電磁爐 吹風機 暖爐 烤箱,8839,1241,435,$15 - $18
26,全新耐高溫矽膠杯子蛋糕模-圓型 ，讓烤箱可同時烤很多個,6035,309,417,$9
27,"[好烘焙]*Dr. Goods烤箱*新品,烤盤皆原廠!可到貨付款,含運*",447,4,394,"$8,500"
28,烤箱 調溫開關 溫控開關 溫度控制 A式,24012,1017,394,$115
29,✿禎巧妙✿ 蛋糕紙杯 底直徑5CM烤箱用高溫紙杯 糯米糍蛋撻 馬芬蛋糕紙托巧克力紙托  防油紙杯 、瑪芬蛋糕杯約100個,8800,354,382,$59
30,廚房矽膠隔熱手套矽膠手套烤箱手套焚火台手套防滑手套微波爐手套烘培手套露營野炊抓魚荷蘭鍋手套防火手套防燙手套廚房矽膠隔熱手,1176,79,375,$74
31,3500W調速器 調壓器 砂輪機 電鑽 電爐 烤箱 燈泡  變壓器 升壓器 發電機 風力發電機 太陽能 穩壓器,3537,255,369,$290
