,item,rate,num_product,num_sold,price
0,現貨【Thermos膳魔師德藝鍋具組】不銹鋼平底鍋平煎鍋不鏽鋼雙耳湯鍋不沾鍋廚具電磁爐雙鍋組【KH012】,27038,603,1489,"$1,999"
1,【歌林kolin！觸控式黑晶電陶爐】不挑鍋具 黑晶爐 烹飪器具 電陶爐 電磁爐 電磁爐烤盤 微晶爐 電子爐【DE394】,143812,697,1281,"$2,199"
2,【微電腦智慧控制！歌林定時電磁爐】Kolin 烹飪器具 電陶爐 電磁爐烤盤 微晶爐 電子爐 黑晶爐 觸控電磁爐 電烤爐,143945,694,1073,"$1,499"
3,[平信寄送10元 附:固定夾]　金屬管 溫度保險絲 (10A)　65°~285°C 電子鍋 電磁爐 烤箱 吹風機 電爐,8878,1241,1072,$12 - $15
4,【維修必備】輕觸開關 微動開關 電磁爐 按鍵 6x6x17h 銅腳 157-06005,20524,297125,510,$1
5,[平信寄送10元 附:固定夾]　金屬 溫度保險絲 15A　85°C~280°C　適用 電子鍋 電磁爐 吹風機 暖爐 烤箱,8839,1241,435,$15 - $18
6,鍋寶微電腦陶瓷變頻電磁爐一代(IH-8966-D)/二代微晶玻璃(IH-8900-D)/電陶爐EH-9500-D 不挑鍋,4270,514,370,"$980 - $1,480"
7,[平信寄送10元 附:管夾]　金屬管 溫度保險絲 (15A)　85°~280°C 電子鍋 電磁爐 電烤箱 吹風機 電暖爐,8847,1241,356,$15 - $18
8,【維修必備】輕觸開關 微動開關 電磁爐 按鍵 6x6x17 銅腳 6*6*17 223-00020,21111,297094,300,$1
9,綸綸廚房用品 嘉士廚16CM不沾鍋高品質小煎鍋平底鍋煎蛋鍋明火電磁爐通用,2432,907,300,$320
10,【圖騰咖啡】全新日本寶馬牌細口壺/手沖壺/開水壺650cc電磁爐可用JA-S-077-040,8167,329,244,$590
11,【珍愛頌】K045 電磁爐專用韓式烤盤 塗層烤盤 不粘鍋 導油設計 煎牛排 不沾鍋 韓國烤盤 滴油烤盤 無煙烤盤 烤肉盤,63774,1179,237,$399
12,【歌林 】智慧變頻電磁爐 CS-SJM13挑鍋,3210,190,217,$980
13,[平信寄送10元 附:固定夾]　金屬管 溫度保險絲 (10A)　65°~285°C 電子鍋 電磁爐 烤箱 吹風機 電爐,8875,1241,209,$12 - $15
14,【99網購】加厚# 韓國麥飯石烤肉盤/麥飯石不沾鍋/韓式烤盤/韓國烤盤/瓦斯爐專用/岩谷/電磁爐,9423,536,208,$85 - $315
15,[含稅]電磁爐 微波爐 高壓二極體 微波爐CL01-12 通用T3512與HVM12V,14888,109561,205,$6
16,電磁爐 微波爐專用高壓二極體 微波爐CL01-12 通用T3512與HVM12 223-01220,21096,297095,200,$4
17,1尺過年烤肉均勻 LAPOLO低脂岩燒電烤盤禮物過年送禮 LA-9121 鋁合金導熱快煎煮烤炒炸勝烤箱象印電火鍋電磁爐,53252,786,198,$679
18,【珍愛頌】K045 電磁爐專用韓式烤盤 塗層烤盤 不粘鍋 導油設計 煎牛排 不沾鍋 韓國烤盤 滴油烤盤 無煙烤盤 烤肉盤,63774,1179,184,$399
19,【大王家電館】【現貨免運 旋轉觸控技術】PHILIPS 飛利浦超薄型智慧變頻電磁爐 HD4991 / HD-4991,7896,639,171,"$2,400"
20,3W200K 全新金屬膜電阻 電磁爐電阻 158-00939,20981,297103,160,$2
21,全新原裝 電磁爐電容 1200V 0.33UF 157-03831,20731,297109,156,$9
22,電磁爐 黑晶爐  燈管 (飛利浦) HD4412/HD4413/ HD4414/ HD4415,1109,26,152,$160
23,【台北市實體店面】PHILIPS智慧變頻電磁爐,4827,29,149,"$1,480"
24,《安安寶貝家》免運費 PHILIPS 飛利浦 HD4988 黑晶爐/ 電磁爐/ 不挑鍋 電陶爐 另售HD4989,16464,1443,133,"$1,820"
25,限量 下殺了！ 大家源微電腦不挑鍋 微晶爐/黑晶爐/ 電陶爐 / 電磁爐 TCY-3911 另有 歌林 Apple 鍋寶,1574,346,121,"$1,290"
26,《安安寶貝家》宅配免運費 歌林 不挑鍋電子爐/電磁爐/黑晶爐 KCS-MNR13/KCS-MN06,16469,1438,121,$780
27,IH 日本 24cm不沾平底小炒鍋 湯鍋 電磁爐可用,13444,753,116,$299
28, 輕觸開關 微動開關 6x6x5 6*6*5mm 4腳直插電磁爐電視機按 230-00726,20929,297103,112,$1
29,【24H出貨】TECO 東元 微電腦觸控電陶爐 XYFYJ-576  電陶爐 黑晶爐 電磁爐,7853,593,112,"$1,280"
30,滿199免運電磁爐配件 輕觸開關 6X6X9.5mm高度 按鍵開關 電磁爐開關6*6*5 190-02994,9531,261623,100,$1
31,滿199免運6x6x5 紅頭 電磁爐開關 紅頭按鍵電磁爐按鍵 6*6*5MM 輕觸開關 190-00649,7640,261764,100,$1
32,滿199免運輕觸開關 微動開關 電磁爐 按鍵 6x6x12h 155-02023,9835,261604,100,$1
33,6*6*5 DIP4 液晶顯示器開關 立式 輕觸按鍵 四腳 電磁爐按鍵 177-00997,21126,297092,100,$1
34,二手 【日本進口】MF58-104F-3950 1%的NTC熱敏電阻 100K 電磁爐專用 155-01359,19816,297258,100,$1
35,【大王家電館】【現貨+贈304不鏽鋼兩用鴛鴦鍋】PHILIPS HD4991/HD-4991 飛利浦超薄型智慧變頻電磁爐,7892,653,96,"$2,880"
36,現貨 日本米雅可鑄鐵岩燒烤盤27cm◆雙耳圓形27公分健康烤盤/凹槽設計/適電磁爐/烤箱/韓式燒烤盤/鑄鐵烤盤【諾非亞】,6492,857,96,$795
37,★貝比童館★韓國電磁爐烤盤 韓國烤盤 麥飯石烤 /電磁爐卡式瓦斯爐 電陶爐皆可使用 戶外野營野炊鍋 韓式燒肉 烤肉 煎牛,3357,944,95,$339
38,千里網購  FGA25N120  電磁爐功率管 ,2066,11961,93,$27
