,item,rate,num_product,num_sold,price
0,"【萬國牌】""臉書分享免運""【3年保固】3.6.10.15人不鏽鋼厚釜電鍋AQ10 ST改220V請+$350非大同電鍋",6236,179,2070,"$380 - $2,500"
1,【台灣廠商 保固一年 台灣出貨】 台灣出貨 電煮鍋 蒸鍋 燉鍋 不鏽鋼鍋 泡麵鍋 快煮鍋 電鍋 電火鍋 料理鍋,6385,109,1926,$849
2,"#電鍋維修DIY【低故障！正廠品質！電熱片 2線】大同電鍋電熱片 適用10,11人份電鍋加熱片 加熱器 電鍋不熱",5903,29,1292,$110
3,虎尾創意電子(含稅)溫度保險絲10A/250V 142/169/172/184/216/240度 溫度保險絲熱電鍋電暖器,3708,447,1114,$5
4,"【萬國牌】【3年保固】""臉書分享免運""3,6,10人夢幻AQ-10S改220V+$350.非大同電鍋乾蒸口罩消毒",6236,179,1068,"$380 - $1,470"
5,A14 (3.6.10人份電源插銷) 大同電鍋10人份電鍋插銷 電鍋插銷組 電鍋 電源 銅腳組 電鍋零件 (一組兩隻裝),24048,1017,1037,$40
6,【台灣三洋認證合格！多功能旅行鍋】出國110V雙電壓 迷你旅行鍋 便攜式 電熱杯 電子鍋烤箱 電鍋 電煮鍋 小火鍋 廚具,143939,694,1011,"$2,180"
7,A10《同原廠製造》(送原廠 黑頭 捏手 )大同電鍋6人10人 份適用 電鍋彈跳開關 恆溫板組 跳板組 (買十送一),24048,1017,1007,$195
8,萬用不繡鋼鍋夾 好神器防燙夾 碗夾 防熱手套 烘培手套 隔熱手套 防燙萬用夾 電鍋夾 鍋夾 隔熱鍋夾 氣炸鍋 氣炸鍋配件,22366,176,890,$45
9,"【10人2線 .3線 】大同電鍋電熱片 ,大同電鍋加熱片,大同電鍋加熱器",35549,418,832,$110
10,★最新款 可超商取貨付款 10人份《臺灣製造》【紅色 綠色 】大同電鍋《TAC-10L/TAC-10A》,4084,125,829,"$1,980"
11,"【萬國牌】""臉書分享免運""3人份超可愛小電鍋AQ-3S【台灣製】改220V+$250非大同電鍋乾蒸口罩消毒",6236,179,823,"$1,000"
12,【大頭峰電器-綠色現貨】聖火牌 3人份電鍋 CY-280A鋁製內鍋 ~居家、外工作唸書、單身貴族的的最愛 ~,50840,1209,768,$480
13,A46《同原廠製造》大同電鍋 240度 216度 192度  溫度保險絲 組,24012,1017,747,$60
14,可乾蒸口罩免運費超厚中鍋加高鍋蓋也是全316不鏽鋼分離式電鍋11人份Perfect理想牌勝10人份304 TR-1688,53282,787,686,"$2,799 - $2,899"
15,A28 大同電鍋 指示燈 氖燈(只售燈泡)《同原廠製造》,23969,1018,649,$10
16,A09 (維修零件 大同電鍋零件)《同原廠製造》大同電鍋 捏手 跳板黑頭,24048,1018,627,$25
17,A08 (維修零件 大同電鍋零件)大同電鍋 6人10人 保溫片(40W) 買10送1,23996,1017,623,$60
18,"【萬國牌】【3年保固】""臉書分享免運""10/11人份不鏽鋼加高鍋蓋組【台灣製】非大同電鍋",6236,179,602,$600
19,有現貨 附發票＊元元家電館＊TATUNG 大同 11人份 全304不鏽鋼電鍋 TAC-11J-MM,28423,1452,565,"$3,980"
20,《好媳婦》台灣製造【適用10人份大同電鍋蒸籠組/2層蒸籠+1蒸盤】#304不鏽鋼/安全無毒，適用10/11人份大同電鍋!,13767,2383,550,$180 - $680
21,♞空間特工♞ 鍍鋅免螺絲角鋼 烤箱架_冷凍設備_廚房系統_冷藏架_電鍋架_微波爐架 ~超高耐重+超高防鏽,10059,1120,505,$10
22,A46(維修零件 大同電鍋零件)《同原廠製造》大同電鍋 240度 溫度保險絲 組,24048,1017,503,$60
23,牛頭牌 BUFFALO 21-2012 304#不鏽鋼 雅登方型便當盒 大(L) 可電鍋蒸 飯盒 環保餐盒,21372,1386,479,$320
24,A05 電鍋6人 10人 電鍋 插頭 插座(125V/10A),24012,1017,477,$25
25,(無法超取)7009微波爐用多功能萬用伸縮置物架收納架麵包機/鞋櫃咖啡機電鍋瓶罐架,5970,202,466,$490
