,item,rate,num_product,num_sold,price
0,★台灣廠商台廠出貨 保固一年 精製盒裝★ 超靜音USB風扇復古金屬鋁葉迷你小風扇電風扇電扇 usb 風扇,6386,109,12737,$149.00
1,超便宜 優佳麗 HD-160R 16吋 遙控壁扇 掛壁扇 太空扇 壁式通風扇 電風扇 壁掛扇 定時壁扇 (台灣製造),30291,350,10718,"$1,150.00"
2,『超優惠』遙控型 14吋 遙控壁扇環島 家用壁扇 吊扇 電扇 電風扇 掛壁不占空間 掛壁扇 通風扇 壁掛扇 (台灣製造),30286,350,10146,"$1,100.00"
3,2用超級省電免安裝水冷氣冰冷扇冰冷氣水冷扇變頻電風扇移動式冷氣 Lapolo la-826 zs-998 la-825,53287,788,7881,"$1,000 - $8,990"
4,台灣24小時內發貨 頸掛風扇 掛脖雙風扇 頸掛式風扇 掛脖風扇 電風扇 雙頭風扇 懶人風扇 USB風扇 隨身風扇 充電風,22385,176,7472,$150.00
5,(現貨)USB充電風扇 3段調整風速 內附電池 摺疊風扇 手持風扇 USB+充電二用風扇+手電筒 可行動電源供電,16769,456,6883,$120.00
6,USB電風扇   迷你風扇   送18650電池+USB充電線   另售電池50 元單槽充電器40元  雙槽充電65元,4632,248,6729,"$1,190.00"
7,【2019最新款】USB充電風扇 手持風扇 手拿扇 手風扇 桌面風扇 夏天電扇 風扇 降溫風扇  迷你風扇 小風扇,29072,199,5869,$80 - $168
8,【最強散熱效果！可調角度】超靜音款-筆電散熱器 筆電散熱座USB筆電風扇 散熱墊 散熱架 筆電散熱 冰魔4 冰魔6,143939,694,5261,$290 - $579
9,18吋 16吋 360度涼風扇 電風扇 外旋式風扇 360度循環扇 360旋轉立扇 風扇 循環電扇 超導流電扇 涼風,30291,350,5240,$100 - $750
10,『超便宜』18吋 工業用電扇 變速擺頭工業電扇 升降電扇 工業電風扇 立扇 電風扇 旋轉風扇 工業電扇 (台灣製造),30291,350,5204,$650.00
11,良科牌 20吋 強力型230W 昇降電扇 立扇 電風扇 升降工業扇 三支腳工業扇 通風扇 升降電扇 電扇,30291,350,5178,"$1,500.00"
12,『超優惠』ST150 調速電風扇 超強風45度多角度 多翼式送風機 電風扇 手提電扇 手提鼓風機 手提通風扇,30291,350,5141,"$2,200.00"
13,《台灣現貨 7.4吋伸縮噴霧風扇》噴霧+夜燈+遙控+摺疊 電風扇 摺疊伸縮電扇 加濕電扇 電風扇【VR030490】,96053,756,5022,$980.00
14,【台灣總代理！共田正品】共田風扇 USB風扇 迷你風扇 電風扇 小風扇 芭蕉扇 小電扇 USB電風扇,143945,694,4966,$168 - $199
15,【大風力才夠涼！】現貨供應 原裝正品 娃娃車夾扇 充電風扇 推車風扇 usb風扇  電風扇桌夾 USB風扇 充電式風扇,29076,199,4718,$99 - $499
16,『超優惠』18吋 黑巨鯨 170W 座立扇 升降電扇 電風扇 直立扇 座立兩用扇 工業扇 工業電扇 鋁葉型 桌扇,30291,350,4707,$750.00
17,【現貨-免運費！台灣寄出實拍+用給你看】車用空調風扇 冷氣出風口風扇 車用風扇 汽車空調風扇 USB車用電風扇 車載風扇,24386,494,4399,$199.00
18,可調高度/角度 桌上型小型風扇 USB充電 三段風速/自然風 小夜燈 電風扇 小電扇 桌面風扇 站立風扇 【B106】,4252,403,4249,$568.00
19,【現貨供應】16吋 無葉風扇 無扇葉 無葉扇 電風扇 電扇 循環扇 落地扇 空氣循環扇 空氣倍增器,336,44,3848,"$300 - $1,499"
20,夾式迷你風扇 自動擺頭 大電量 居家/車用/辦公室 三段風速 桌面站立 USB充電 小夾扇 電風扇 ARZ【B164】,233683,1050,3748,$288 - $489
21,超靜音款-筆電散熱器 筆電散熱座USB筆電風扇 散熱墊 散熱架 英雄联盟LOL 筆電散熱 超強制冷降溫,741,33,3608,$468 - $688
22,【四段風速！三檔定時】定時顯屏桌面風扇 電風扇USB 桌上型電風扇 USB電扇 小型電風扇 電風扇 風扇,64203,753,3501,$99 - $369
23,頸掛風扇 掛脖雙風扇 頸掛式風扇 掛脖風扇 電風扇 雙頭風扇 懶人風扇 USB風扇 隨身風扇 充電風,230329,1295,3251,$129.00
24,【工廠直銷台灣出貨】 八吋USB風扇 充電風扇 折疊風扇 伸縮風扇 USB充電風扇 迷你風扇 落地扇 直立扇,29076,199,3123,$699.00
