,item,rate,num_product,num_sold,price
0,【居家百科】三福 檸檬酸 1公斤 - 原食品級 清潔 水垢  洗飲水機  洗熱水瓶,35933,987,8257,$50
1,《台灣現貨 循環過濾才有用!》寵物飲水器/自動循環/活氧飲水/貓喝水器/寵物濾水器/小花飲水機【VR030461】,96053,756,5048,$179 - $579
2,三福化工進口 高品質~保證最低50元~原食品級  檸檬酸-1公斤洗~飲水機水垢(石灰)專用 1kg pe袋加厚袋,7125,167,4221,$50
3,【現貨-免運費！台灣寄出】電動抽水器 智能 抽水機 桶裝水 飲水器 飲水機 自動 飲水 抽水器 水桶 吸水器 自動出水器,24386,494,3986,$399
4,►647◄船型開關 小風扇飲水機電源開關 2腳2檔 10*15mm,82212,1747,2218,$4
5,【寵物泡泡飲水機！免插電自動飲水器】寵物飲水機 泡泡飲水機 濾水器 貓咪飲水機 狗狗飲水機 寵物濾水器 自動循環,143945,694,2124,$299
6,4*6mm 10元/半米 矽膠管 食品級 無毒 透明 飲水機適用 強度好 耐溫260度,10656,360,2018,$10
7,光禾館~5x8 8/尺 25元/米 台灣製矽膠管 最便宜 食品級 無毒 飲水機適用 醫療材用 強度好 耐熱260度,4695,183,2014,$25
8,自動智能抽水器 桶裝水抽水器 飲水機 一鍵自動出水 觸控按鍵 USB充電 家用飲用水電動出水器 ARZ【A259】,233683,1050,1997,$480
9,【正妹店長】GE047 TDS 水質測試筆 黑白時尚款 水質檢驗 水質檢測儀 水族 RO 淨水器 飲用水 測試筆 飲水機,31243,776,1838,$89
10,自動智能抽水器 桶裝水抽水器 飲水機 一鍵自動出水 觸控按鍵 USB充電 家用飲用水電動出水器 電動給水器【A259】,4252,403,1760,$480
11,【龍門淨水】10吋PP5m棉質濾心 餐飲濾水器 淨水器 水族箱 RO純水機 飲水機(貨號66),10235,1398,1757,$15
12,【日安】5號-不鏽鋼吸管刷~刷毛直徑:0.5公分 長約:22CM~奶瓶吸管水壺吸管不銹鋼吸管刷飲水機茶壺嘴保溫瓶清潔刷用,42120,1481,1611,$6
13,【澄品淨水網】(台灣製造) 10英吋1微米 棉質PP濾心 100% MIT (RO逆滲透 淨水器 過濾器 飲水機 ),11539,478,1540,$17
14,醫療級 矽膠管  蒸氣管 耐高溫  汽車車門隔音 橡膠管 膠管 餵食 飲水機 水冷 橡皮管 軟管 德國原料 台灣製造,1922,126,1517,$10 - $100
15,【澄品淨水網】(NSF認證)2分PE管 RO管1米8元 RO逆滲透 淨水器 過濾器 飲水機,11539,478,1506,$8
16,現貨！自動循環｜寵物飲水機 餵水機 喝水機 寵物用品 循環活水 安靜低噪 可拆設計 可控水流｜HAP941,42294,343,1432,$49 - $249
17,《台灣現貨 桶裝水自動抽水》 全自動 桶裝抽水器 自動抽水器 飲水機 【VR030191】,95985,758,1228,$299
18,【現貨-免運費！台灣寄出】飲水機 電動桶裝水抽水器 桶裝水抽水機 飲水機 打水器 水桶抽水器 自動抽水【BE503】,3391,533,1202,$399 - $499
19,【七星淨水】10英吋PP棉質濾心.濾水器.RO淨水器.水族魚缸除污除泥水.電解水機前置飲水機.水塔過濾器.貨號2027,1841,1260,1180,$12
