,item,rate,num_product,num_sold,price
0,【日安】天球CR2032鈕釦電池/3V CR-2032水銀電池鈕扣電池-翻譯機電腦主機板汽車遙控器體重計算機機車防盜器用,42226,1483,31461,$3
1,【日安】天球CR2032鈕釦電池/3V CR-2032水銀電池鈕扣電池~電腦主機板體重計算機翻譯機電玩汽車機車遙控器用,42281,1485,5957,$3
2,絕美漸層LED螢幕體重計 限定藍牙版 連接手機APP 智能開關機 USB充電 夜視螢幕 鋼化玻璃 體重機 體重器 ARZ,233683,1050,4301,$498
3,【現貨-免運費！台灣寄出實拍+用給你看】Meilen電子秤 BMI 體重計 體重機 體重 電子體重計 體重器 體重秤,24386,494,4197,$590
4,【日安】天球CR2032鈕釦電池/3V CR-2032水銀電池鈕扣電池-體重計算機電腦主機板翻譯機電玩汽車機車遙控器用,42207,1483,4197,$3
5,【繁體中文版台灣公司貨】 買再送皮尺 LED數字顯示體重計 鋼化玻璃 圓角設計 防爆可秤180KG,29076,199,3133,$399
6,【唯美漸層x現貨附發票】LED藍芽體重計 LED螢幕藍芽體重計 電子磅秤 電子秤 體重計 體重機 體重秤,64113,748,2534,$399
7,【文山區面交】CR2032電池 1顆8元 體重計 青蛙燈 電子秤 電腦主板 文曲星 遙控器 電子手錶 小家電供電使用,32138,763,2068,$8
8,絕美漸層 LED螢幕體重計 限定藍牙版 連接手機APP 智能開關機 USB充電 夜視螢幕 鋼化玻璃 體重機 體重器,4237,401,1910,$368
9,☆精品社☆【5mm】強化安全玻璃公斤KG.磅LB 180KG電子圓形體重計人體秤,140569,1939,1766,$149
10,【日安】新版GP超霸CR2032鈕扣電池-3V CR-2032水銀電池鈕釦電池-電子秤體重計算機汽車遙控器電腦主機板用,42207,1483,1625,$7
11,《台灣現貨 智能體重機》體重計 體重機 手機連線 鋼化玻璃 測量精確/電量顯示/溫度顯示,2868,439,1570,$399
12,【LED電子式！數位BMI 體重計】SANLUX 台灣三洋公司貨 數位體重計  家用體重機 體重機 体重機,144018,694,1564,$690
13,現貨【台灣三洋SANLUX BMI 體重計】 SYES-302數位體重計電子秤家用體重機身高測量【KH023】,26866,594,1474,$700
14,【SANLUX三洋！數位體重計】台灣公司貨 電子體重計 磅秤體重機 液晶顯示體重計 迷你 體重機,144018,694,1430,$550
15,【現貨-免運費！台灣寄出】【台灣三洋SANLUX BMI 體重計】 數位體重計電子秤家用體重機身高測量【KH023】,3415,538,1425,$700
16,10顆賣場=天球代工CR2032 水銀電池 鈕扣電池 計算機/手錶/計時器/電玩/玩具/主機板/遙控器/體重計鋰電池,1813,39,1316,$2
17,【Q萌體重計】可愛卡通夜視版 強化安全玻璃公斤KG.磅LB 180KG電子體重秤 4號電池人體秤☆精品社,140658,1933,1311,$168
18,"""新款藍光旗艦版 "" 嬰兒、寵物 體重計、秤 藍色液晶LED背光 150Kg 公斤 精密度100g 監控體重-可秤物",3372,288,1275,$399
19,【現貨】小米體重計2 小米 智能體重計 體重機 體重秤 電子體重計 體重計 APP紀錄 平衡力評估,44897,1207,1159,$449
20,【日安】天球CR2025鈕釦電池/3V CR-2025水銀電池鈕扣電池-體重計算機電玩電腦主機板計機車防盜器汽車遙控器用,42206,1486,1156,$3
21,【日安】天球CR2016鈕釦電池/3V CR-2016水銀電池鈕扣電池-電子秤汽車遙控器體重計算機翻譯機筆電機車防盜器用,42179,1487,1064,$3
22,500顆賣場=天球代工CR2032 水銀電池 鈕扣電池 計算機/手錶/計時器/電玩/玩具/主機板/遙控器/體重計鋰電池,1813,39,1014,$2
23,【日安】新版GP超霸CR2032鈕扣電池-3V CR-2032水銀電池鈕釦電池-電子秤體重計算機汽車防盜器電腦主機板用,42176,1487,913,$7
24,【大頭峰電器】TANITA BMI 電子體重計 HD325 / HD-325,50835,1218,819,$735
25,【日安】新版GP超霸CR2032鈕扣電池-3V CR-2032水銀電池鈕釦電池-電子秤體重計算汽車機車防盜器電玩主機板用,42200,1486,807,$7
26,源動力~天球CR1616鈕釦電池/3V CR-1616水銀電池/鈕扣電池電腦主機板體重計算機翻譯機電玩具機車汽車遙控器用,20644,1732,687,$4
27,【日安】天球CR2025鈕釦電池/3V CR-2025水銀電池鈕扣電池-機車防盜器體重計算機電玩電腦主機板汽車遙控器用,42192,1486,648,$3
28,【大頭峰電器】SAMPO 聲寶 超薄電子式體重計 BF-L1501ML 超大螢幕|四點傳感,50854,1201,613,$287
29,【珍愛頌】I023 CR2450 水銀電池 鈕扣電池 搖控器電池 電子秤 體重計 萬年曆 胎壓計 計算機 碼表 手錶,63759,1179,562,$10
30,小潮批發【R007】主機版 迷你秤 體重計 汽車遙控器 水銀電池 紐扣電池 CR2016 CR2025 CR2032,16383,374,551,$4
31,【藍牙版可連結APP LED螢幕漸層體重計 USB充電 鋼化玻璃 圓角設計】防爆可秤180KG  體重機 體重計 體脂計,15141,152,540,$288
32,【藍牙版可連APP 鋼化玻璃鏡面體重計 可站立當化妝鏡 自動開關機 USB充電】小巧便利好攜帶 體重機 體重計,15154,152,513,$299
33,升級款 USB充電體重計 LED屏 家用人體秤 精準體重機 成人體重機 健康人體秤,230329,1295,495,$249
34,圓型玻璃體重計-小/透明玻璃體重計/強化安全玻璃電子秤/人體秤 體重秤【賣貴請告知】,128805,2331,486,$140
35,雲火-超低價GP-CR2032鈕扣電池-3V CR-2032水銀電池電子秤體重計算機汽車遙控器電玩主機板用電子產品,5375,243,476,"$99,999,999"
36,【日安】CR2450鈕釦電池/3V CR-2450水銀電池/鈕扣電池-鐵捲門遙控器萬年曆汽車胎壓計防盜器電子秤體重計用,42176,1487,463,$18
37,【日安】天球CR1616鈕釦電池/3V CR-1616水銀電池/鈕扣電池電腦主機板體重計算機翻譯機電玩具汽車機車遙控器用,42192,1486,442,$4
38,源動力~新版GP超霸CR2032鈕扣電池-3V CR-2032水銀電池/鈕釦電池-電子秤體重計算機機車防盜器電玩主機板用,20672,1721,406,$7
39,源動力~新版GP超霸CR2032鈕扣電池-3V CR-2032水銀電池/鈕釦電池-電子秤體重計算機機車防盜器電玩主機板用,20672,1722,400,$7
40,【珍愛頌】I018 CR1616 3V 高品質 鈕扣電池 水銀 計算機 手錶 主機板 體重計 電子秤 非CR2032,63674,1180,381,$3
41, 強化玻璃 液晶 電子體重計 公斤.磅可切換  方型/圓形/三代,1500,347,377,$175
42,【花朵體重計】強化玻璃公斤kg.磅lb電子人體秤 體重秤【2.5kg~180kg】☆精品社,139735,1938,351,$179
43,【日安】CR2430鈕釦電池/3V CR-2430水銀電池/鈕扣電池-鐵捲門遙控器萬年曆汽車胎壓計防盜器體重計電子秤用,42176,1487,347,$18
44,鈕釦電池 3V CR-2032水銀電池鈕扣電池寵物發光項圈電腦主機板汽車鐵捲門遙控器體重計算機機車防盜器藍牙無線產品,148,123,340,$4
45,【十字體重計】帶溫度計電量顯示夜視版強化安全玻璃公斤KG 180KG電子體重秤 4號電池人體秤 自動上秤型☆精品社☆,140361,1951,322,$229
46,頂好電池-台中 日本製造 MAXELL 一次性鋰電池 CR2032 遙控器 體重計 碼表電池 W,7120,2107,313,$12
47,日本AWSON沖牙機AW-2200/AW-3300家庭型AW-2100/AW-2110行動型AW-9000免電池體重計,4268,514,304,"$382 - $1,212"
48,【coni shop】小米體重計2 現貨 當天出貨 原廠公司貨 米家 智能體重計 體重機 體重秤 平衡力評估,13980,416,267,$390
49,雲火-超低價GP-CR2032鈕扣電池-3V CR-2032水銀電池電子秤體重計算機汽車遙控器電玩主機板用電子產品,5432,245,260,$5
50,母親節限量優惠（可開統編）小米體重秤 (現貨)  小米體重器2 官方正品 小米體重計2 小米體 計,1649,259,249,"$1,150"
51,"""新款藍光旗艦版 "" 嬰兒、寵物 體重計、秤 藍色液晶LED背光 150Kg 公斤 精密度100g 監控體重-可秤物",6073,576,247,$399
52,【日安】天球CR2025鈕釦電池/3V CR-2025水銀電池鈕扣電池-體重計算機電玩電腦主機板計汽車遙控器機車防盜器用,42281,1483,245,$3
53,小齊的家 天球 CR1616 體重計/遙控器/電子錶/手錶/遙控器/ 3V鋰電池 鈕扣電池 水銀電池,27143,7901,244,$4
54,TANITA機械式BMI體重計HA552(HA-552體重器/體重計/量體重),19838,1331,229,$380
55,【日安】新版GP超霸CR2025鈕扣電池-3V CR-2025水銀電池/鈕釦電池-電子秤體重計算機機車遙控器電腦主機板用,42176,1487,201,$7
56,【Q萌體重計】可愛卡通夜視版5mm強化安全玻璃公斤KG.磅LB 180KG電子體重秤 4號電池人體秤☆160小舖☆,24482,1755,198,$168
57,【日安】CR2450鈕釦電池/3V CR-2450水銀電池/鈕扣電池-鐵捲門遙控器萬年曆汽車胎壓計體重計防盜器電子秤用,42205,1486,192,$18
58,【日安】新版GP超霸CR2025鈕扣電池-3V CR-2025水銀電池/鈕釦電池-電子秤體重計算機汽車遙控器電腦主機板用,42176,1487,194,$7
59,【日安】新版GP超霸CR2016鈕扣電池-3V CR-2016水銀電池鈕釦電池-翻譯機電子秤體重計算機汽車機車遙控器用,42176,1487,193,$7
60,《iCshop1》負重傳感器-50kg●368030200137●感測 體重計 秤重 load sensor 半橋式,61759,17121,182,$35
61,28CM豪華加大款+夜視帶室溫顯示 6MM強化玻璃 電子體重計 液晶電子秤，不挑色，有賣電池(十元 兩顆) 數位體重計,5000,397,176,$288
62,【日安】新版GP超霸CR2016鈕扣電池-3V CR-2016水銀電池鈕釦電池-電子秤體重計算機車汽車遙控器電玩主機板用,42162,1487,164,$7
63,源動力~新版GP超霸CR2016鈕扣電池-3V CR-2016水銀電池/鈕釦電池-電子秤體重計算機機車防盜器電玩主機板用,20667,1727,161,$7
64,小齊的家 天球 CR1220 體重計/遙控器/電子錶/手錶/遙控器 鐵捲門 防盜 電池 3V鋰電池 鈕扣電池,26967,7890,154,$4
65,小潮批發【R006】筆電 計算機 遙控器 體重計 電子秤 鈕扣電池 水銀電池 CR1220 CR1616 CR1620,16358,374,157,$4
66,"A體重計 LX01 還在用不準的玻璃體重計嗎- "" 橘光旗艦版 ""精準體重計/人體秤 超質感 液晶 LED背光精密度",41509,3316,156,$249
67,萌萌小舖  迷你電子體重計(可選色)電子體重機/電子磅秤/體重機/體重器/人體秤,1036,15,156,$175
68,《安安寶貝家》免運費 TECO東元電子體重計/體重秤 XYFWT381,16475,1438,155,$345
69,防疫特價【日本AWSON歐森】USB充電式沖牙機洗牙機AW-2100/AW-2110美國原料/AW-9000免電池體重計,4273,515,148,"$380 - $1,010"
70,【D&F小舖】小米體重計 台灣官網公司貨,190,13,148,$800
71,現貨可自取 小米體脂秤2 台灣現貨 BMI 體脂率 基礎代謝 APP記錄 智能體重器 體重秤 米家原廠智能體重計,3732,443,147,$669
72,【winshop】B2187 3公斤電子秤-白/液晶螢幕電子式3KG電子秤/料理秤/廚房秤/體重計,74934,4213,147,$75
73,【日安】新版GP超霸CR2016鈕扣電池-3V CR-2016水銀電池/鈕釦電池-電子秤體重計算機車汽車防盜遙控器電玩用,42274,1483,142,$7
74,【大頭峰電器】現貨! SAMPO 聲寶 電子體重計 BF-L904ML,50667,1235,141,$320
75,【大頭峰電器】TANITA BMI 電子體重計 HD325 / HD-325,50793,1217,134,$735
76,源動力~新版GP超霸CR2025鈕扣電池-3V CR-2025水銀電池/鈕釦電池-電子秤體重計算機機車防盜器電玩主機板用,20667,1724,130,$7
77,【日安】CR2430鈕釦電池/3V CR-2430水銀電池/鈕扣電池-鐵捲門遙控器萬年曆汽車胎壓計防盜器電子秤體重計用,42205,1486,127,$18
78,【自在批發網】平價環保高電量 CR2032鋰電池 鈕釦電池 水銀電池 3V 一顆6元 一卡5顆販售體重計/計算機/翻譯機,11168,518,125,$6
79,【十字體重計】帶溫度計電量顯示夜視版強化安全玻璃公斤KG 180KG電子體重秤 4號電池人體秤 自動上秤型☆160小舖☆,24378,1769,116,$229
80,雲火-超低價GP-CR2032鈕扣電池-3V CR-2032水銀電池電子秤體重計算機汽車遙控器電玩主機板用電子產品,5426,245,104,$5
81,小齊的家 天球 CR1620體重計/遙控器/電子錶/手錶/遙控器 鐵捲門 防盜 電池 3V鋰電池 鈕扣電池,27203,7918,103,$4
82,【阿貴家電坊】~附發票~【德國博依beurer】電腦傳輸多功能體重計(BF480),5066,454,101,"$1,480"
83,電池高品質CR2032 3V 寵物發光項圈鈕扣電池計算機汽車鐵捲門遙控器體重計算機機車防盜器藍牙無線產品,147,122,100,$4
84,【自在批發網】平價環保高電量 CR2032鈕釦電池 水銀電池 3V 一顆6元 一卡5顆販售 體重計/計算機/翻譯機,11178,513,94,$6
85,"305010.{電子嬰兒秤}全新嬰兒體重計5gx20kg寶寶電子秤體重器,Baby體重計體重秤.寵物秤",8308,157,92,"$1,700"
86,海水 汽水域 比重計+溫度計 玻璃 缸 軟體 珊瑚 鹽度計 測試 素 海 鹽 小丑魚 河豚 娃娃 海產 魚缸 水族箱,6711,1470,87,$30
87,【露天A店】(精準體重計/人體秤 紅光旗艦版)  超質感液晶 紅色LED背光 150Kg 公斤 精密度 100g 迷你體重計,47225,1342,78,$260
88,體重計 超質感 體重機 CP值爆表 180kg 精準體重計 夜視 【Z90522】,6894,665,77,$299
89,特價品【OSUMA】超薄型強化玻璃電子體重計《HY-1636》,3793,237,77,$250
90,《米粉家族》【原廠正品】小米手環炫彩腕帶 官網原廠公司貨 另有小米體重計 小蟻攝影機 小米行動電源16000,4661,383,73,$99
