,item,rate,num_rate,num_sold,price
0,蝦皮優選限量折扣碼⚠️ 小紫公司貨 現貨快出✈️送豪禮✨Mr.Smart 塵蟎吸塵機  UV紫外線 除蟎機 塵蟎機,5,"5,306",12000,"$79 - $1,980"
1,靚殼小舖 現貨+免運費 加送靜電抹布 車用吸塵器 迷你無線吸塵器 車載吸塵器 車用吸塵器 吸塵器 家用吸塵器 小米吸塵器,4.9,114,201,$198 - $698
2,【GreenR3 】Dyson 戴森 V8 吸塵器鋰電池 3000mAh BSMI認證 【續航力提升50%】,5,178,297,
3,[限時免運]小紫UV除蟎吸塵器 熱銷 Mr.Smart 手持式吸塵器 塵蟎吸塵器 除蟎吸塵器 UV紫外線 除蟎機,4.9,569,"1,714","$85 - $1,980"
4,㊣宇慶S舖㊣3期0利率｜SW12Li｜日本ASAHI 21V鋰電工業吸塵器 12L不銹鋼桶身 靜音款 乾溼吹三用,4.9,10,22,"$1,300 - $3,990"
5,蝦皮優選限量折扣碼⚠️ 小紫公司貨 現貨快出✈️送豪禮✨Mr.Smart 塵蟎吸塵機  UV紫外線 除蟎機 塵蟎機,5,"5,306",12000,"$79 - $1,980"
6,蝦皮優選【現貨-免運費！台灣寄出實拍+用給你看】車用吸塵器 旗艦7件組 乾濕兩用 汽車 吸塵器 小型吸塵器 車用 無線吸塵器,4.9,"3,081","7,656",$59 - $550
7,【台灣現貨+免運費+實拍】2020升級款 紫外線除螨機 除塵螨吸塵器 除螨儀 除塵螨機 迷你吸塵器 手持吸塵器 塵螨機,5,58,"5,032","$80 - $1,080"
8,蝦皮優選小紫公司貨❤️送神秘禮物🎁現貨快出✅網路熱搜NO.1 小紫 - 塵蟎機 UV紫外線 除蟎  塵蟎吸塵器 除蟎 吸塵器,5,"2,433","4,978","$95 - $1,980"
9,[限時免運]小紫UV除蟎吸塵器 熱銷 Mr.Smart 手持式吸塵器 塵蟎吸塵器 除蟎吸塵器 UV紫外線 除蟎機,4.9,569,"1,714","$85 - $1,980"
10,【折扣代碼EXCL0615】小米有品 德爾瑪無線吸塵器 手持無線吸塵器 靜音 無線 强力 吸塵器 單手輕鬆清潔,4.9,"1,528","2,684","$159 - $1,699"
11,[領券現折]HERAN 禾聯無線除塵蹣吸塵器 HVC-23E1 手持無線吸塵器 除塵蹣吸塵器 寵物毛髮,5,"1,926","2,788","$3,990 - $4,240"
12,【台灣出貨👍】升級版大功率 120W車用吸塵器 手提 汽車強力乾濕兩用 車載吸塵器 12V 家用車用吸塵器 汽車吸麈器,4.9,"1,038","1,837",$279 - $399
13,蝦皮優選副廠 dyson無線吸塵器過濾網 V6 V7 V8 V10 V11 DC62 過濾棒 hepa 前置濾網 後置濾網 配件,5,196,629,$80 - $299
14,蝦皮優選公司貨【歌林】直立手持兩用HEPA吸塵器 KTC-MN1136 車用吸塵器,4.9,821,"1,732",$150 - $638
15,【台灣現貨-極速出貨】車用吸塵器 家用 手持吸塵器  含原裝濾網汽車吸塵器 乾濕兩用 多功能吸塵器  汽車美容 桌上無線,4.9,448,915,$60 - $565
16,蝦皮優選『免運在台現貨🔥快速出貨』三合一智慧型掃地機器人 充電 吸塵器 智能 掃地機 自動掃地機 家用清潔器 掃地 吸地 擦地,4.7,442,932,$6 - $549
17,【德國IF設計獎】👍5.5KPA強大吸力 小米有品 德爾瑪手持無線吸塵器 VC20 除螨機 車載吸塵器 HEPA濾網,4.9,167,352,"$120 - $1,799"
18,蝦皮優選【雲林現貨供應】 桌上型吸塵器 蘑菇吸塵器 香菇吸塵器 學生交換禮物 畢業禮物,4.9,557,"2,335",$20 - $83
19,蝦皮優選【難用可退貨】【台灣公司現貨】【 吸塵暴君】吸塵器 無線吸塵器 乾濕兩用無線吸塵器  車用吸塵器  手持吸塵器 小吸塵器,4.9,375,993,$60 - $899
20,蝦皮優選台灣現貨【一年保固】塵螨吸塵器 除塵螨 除螨儀 除螨吸塵器 滅塵螨 迷你吸塵器 手持吸塵器 紫外線殺菌 除螨機 塵螨機,4.9,72,226,$50 - $900
21,現貨快出免運 小紫UV除蟎吸塵器 Mr.Smart 塵蟎吸塵機 ✈️ UV紫外線 除蟎機 塵蟎機,5,19,352,"$80 - $1,690"
22,《小柏力克》含發票 台灣配送 大功率 120W車用吸塵器 手提 汽車強力乾濕兩用 車載吸塵器 12V 家用 汽車吸麈器,4.9,203,357,$320.00
23,蝦皮優選【新版配件】Mr.Smart 小紫 塵蟎吸塵機 專用濾網 HEPA 濾心 濾網 LAPOLO,4.9,113,590,$86.00
