,item,rate,num_rate,num_sold,price
0,【免運】台灣現貨 置物架 收納架 DIY組裝 微波爐置物架 木紋雙層 雙層置物架 雙層廚房置物架【00333】,5.0,2,2,$399
1,【SPeed-快速出貨】不鏽鋼廚房置物架 廚房收納層架 微波爐置物架 烤箱置物架 電磁爐支架 瓦斯爐蓋板 燃氣灶蓋板,5.0,111,179,$399
2,宅配免運【到港現貨】置物架 收納架 DIY組裝 微波爐置物架 雙層置物架 雙層廚房置物架【00333】,4.8,263,478,$399
3,【樂扣樂扣】極品保鮮耐熱玻璃8/10件組(可進烤箱、微波爐、免運),5.0,"1,179","2,102","$899 - $1,199"
4,【全新品快速出貨】美國富及第Frigidaire美型20L微波爐 2色可選,5.0,73,144,"$1,780 - $2,080"
5,【S0931901757】可刷卡免運費含發票新格 20L轉盤式微波爐 SRE Ac2020全省配送,5.0,23,39,"$1,450"
6,HOVER COVER 美國磁力微波保護蓋防濺蓋 微波爐蓋,4.8,60,160,$49
7,福利品-美國富及第20L微波爐-市集代購,4.9,60,110,"$1,770"
8,蝦皮優選【Mr&Miss】附發票 雲母片加厚0.4mm 云母片 微波爐 起火花 雲母板 絕緣片 A15,4.9,35,131,$25 - $45
9,【24h出貨】韓國  🍉 ins 查理 史努比 透明 可愛 卡通 情侶 印花 耐熱 微波爐 耐用 少女心 雜貨鋪,4.9,117,280,$92
10,【矽膠保鮮膜蓋】OLD75 可愛卡通多功能 微波爐冰箱保鮮碗透明密封蓋KIM,4.8,95,282,$19
11,蝦皮優選全新品(免運費)美國富及第Frigidaire美型20L微波爐 2色可選,5.0,128,237,"$2,150 - $2,650"
12,🌟限量1+1增量組🌟加倍鮮 150度耐高溫 保鮮膜 100尺 微波爐專用,5.0,10,56,$55
13,蝦皮優選~小珍妮精品~🇯🇵日本帶回 日本製inomata  微波爐蓋 加熱蓋 (吊掛孔設計),5.0,20,38,$55
14,INOMATA 微波爐蓋 加熱蓋-日本製,5.0,65,141,$55
15,SAMPO聲寶25L平台式微波爐 RE-N725PR,4.9,33,52,"$2,790"
16,蝦皮優選【矽膠保鮮膜蓋】OLD75 可愛卡通多功能 微波爐冰箱保鮮碗透明密封蓋BAN,4.8,48,165,$19
17,HERAN禾聯 20公升轉盤式微波爐,5.0,6,12,"$1,790"
18,蝦皮優選【限時免運費 附發票】國際牌 微電腦 20L 微波爐 NN-ST25JW 全新 公司貨Panasonic,5.0,18,31,"$2,880"
19,限時優惠運費！!全新未拆!保固一年~【禾聯】20L轉盤式微波爐(HMO-20G1T),5.0,14,24,"$1,700"
20,【HITACHI 日立】31L過熱水蒸氣烘烤微波爐,5.0,7,8,"$25,000"
21,Haier海爾 700W微電腦微波爐 20L 20PX98-LP 免運,4.8,10,13,"$1,990"
22,日本製inomata  微波爐蓋 加熱蓋 (吊掛孔設計),5.0,74,184,
23,新品上市&國際牌小體積nn-st25jw微波爐20L解凍/加熱/料理一鍵完成,5.0,7,17,"$2,750"
24,矽膠食品級多功能矽膠冷凍膜蓋微波爐蓋,4.6,90,317,$31
25,[韓國&日本正品九老街]日本多用途安全碗 NAKAYA日本餐具 泡麵碗 耐熱高可用於微波爐 (櫻花粉/薄荷綠1.25L),4.9,7,20,$10 - $39
26,蝦皮優選【矽膠保鮮膜蓋】OLD75 可愛卡通多功能 微波爐冰箱保鮮碗透明密封蓋GOGO,4.8,21,64,$19
27,【Panasonic國際牌】32公升微電腦變頻微波爐 NN-ST65J  智慧節能更省電  自動烹調 快速料理好幫手,5.0,8,14,"$4,500"
28,輸碼享九折 TATUNG大同 17公升微波爐 TMO-17MD 大同微波爐 台灣公司貨 原廠保固,5.0,23,41,"$1,780"
29,《可議價》Panasonic國際牌【NN-SM33H】25L機械式微波爐 小蔡電器,4.9,16,42,"$2,777"
30,🎁輸碼即享九折優惠  TATUNG大同 17公升微波爐 TMO-17MD 大同微波爐 台灣公司貨 原廠一年保固,4.9,20,42,"$1,790"
31,HERAN禾聯 20公升平台式微波爐 20G5-HMO,5.0,2,5,"$2,790"
32,日本 不動化學 洗淨 消臭 橘子油 微波爐清潔海綿,4.8,13,48,$38
33,UYEKI 微波爐專用蒸氣除菌紙(5枚入) 日本製,4.8,25,48,$189
34,『附發票+保固貼』Panasonic國際牌 27公升微電腦變頻微波爐 NN-SF564無轉盤平面設計,5.0,6,13,"$5,340"
35,台灣快速出貨 磁吸式微波爐防噴濺蓋 微波爐防噴蓋,5.0,3,10,$59
36,Panasonic 微波爐 NN-SM33H（公司貨）,5.0,4,8,"$2,590"
37,矽膠 微波爐 防滑夾 防燙夾 隔熱夾 熱鍋夾 顏色隨機,4.6,5,25,$35
38,"【SYNCO新格】20L轉盤式微波爐 , SRE-AC2020 , 免運!!!",5.0,5,6,"$1,499"
39,日本 不動化學 橘子油微波爐清潔海綿 洗淨 除菌 消臭【H81208】,4.8,5,15,$59
40,Panasonic國際牌 32L 變頻微波爐 NN-ST65J 廠商直送 現貨,5.0,4,6,"$4,680"
41,微波爐懸停蓋 塑膠安全磁鐵蓋 防潑濺 防溢出【3J010P501】,4.8,17,34,$89
42,✪hotwind✪北歐棉麻布藝通用微波爐罩,5.0,7,12,$99
43,Panasonic國際牌20L微電腦微波爐 NN-ST25JW,5.0,20,27,"$3,090"
44,IKEA PRICKIG 微波爐用餐盤蓋,5.0,6,16,$59
45,蝦皮優選@貨比三家不吃虧@ ANGRY MAMA 微波爐 快速清潔 生氣媽媽  3色 憤怒媽媽 物理清潔 消毒器 除異味 除菌,4.8,16,51,$49
46,HITACHI系列  過熱水蒸氣烘烤微波爐 小烤架,5.0,10,19,"$1,420"
47,【矽膠保鮮膜蓋】OLD75 可愛卡通多功能 微波爐冰箱保鮮碗透明密封蓋AAA,4.6,7,28,$19
48,Panasonic 國際牌NN-ST25JW微電腦微波爐20L(全新公司貨),5.0,15,20,"$2,750"
49,優惠-送高壓原裝現貨格蘭仕微波爐磁控管M24FB-610A微波爐配件格微波管,4.8,8,19,$168
50,Panasonic NN-ST25JW 微電腦微波爐(公司貨),5.0,1,4,"$2,660"
51,蝦皮優選現貨 Panasonic國際微波爐 NN-S215 NN-S235 玻璃轉盤  微波爐轉盤 玻璃盤  全新品【皓聲電器】,5.0,12,25,$450
52,蝦皮優選惠而浦微波爐AKM2064ES 滾輪支架  原廠材料  滾輪 支架【皓聲電器】,5.0,4,10,$250
53,CL01-12微波爐高壓二極體 二極體 單向 高壓二極體,4.8,13,49,$25
54,蝦皮優選小麥秸稈餐具套裝 小麥秸稈卡通熊貓碗勺 兒童防燙防摔 微波爐可用,4.6,9,15,$23
55,促銷特賣 原廠 公司貨 SYNCO新格 20L轉盤式微波爐SRE-AC2020,5.0,1,2,"$1,399"
56,可刷卡免運費【SYNCO新格】20L轉盤式微波爐SRE-AC2020,5.0,1,2,"$1,580"
57,🏆小麥秸稈餐具套裝環保小麥秸稈卡通熊貓碗勺 兒童防燙防摔 微波爐可用,5.0,1,2,$11
58,🔥用蒸氣微波板蓋通風口碟封面微波爐飛濺封面,4.3,6,17,$31
59,微波爐加熱蓋 | INOMATA,4.9,22,42,$63
60,Panasonic 國際牌變頻微波爐 NN-SF564 附贈 二入保鮮盒,5.0,95,139,"$5,800"
61,《可議價》Panasonic 國際牌 【NN-ST65J】32公升微電腦變頻微波爐 優質家電,5.0,9,15,"$4,790"
62,陶瓷保鮮碗 微波爐可用密封保鮮碗三件套,5.0,8,24,$50 - $230
63,✌雲朵生活美學🎌日本FCC 不動化學 SANADA 橘子油微波爐清潔海綿 微波爐清潔海綿 烤箱清潔 微波爐清潔 除菌,5.0,3,8,$35
64,Panasonic國際牌20公升微波爐 NN-ST25JW,5.0,3,6,"$2,700"
65,微波爐 高壓 二極體 HV-03,5.0,4,10,$50
66,微波爐專用雲母片/雲母板/絕緣片 各廠牌微波爐都可使用(尺寸：13公分*13公分),4.5,2,6,$100 - $270
67,TOSHIBA東芝25L燒烤料理微波爐ER-SGS25 (K) TW,5.0,3,3,"$3,750"
68,迷你光波爐  Midea美的M3-L205C微波爐  家用阿里智能WIFI操控多功能,5.0,1,2,"$2,616 - $10,729"
69,微波爐專用雲母片：2片,5.0,27,41,$80
70,MoMo商品 美國惠而浦微波爐 AKM2064ES,5.0,2,3,"$2,300"
71,國際牌27L無轉盤變頻蒸烘烤微波爐 NN-BS603,5.0,1,1,"$13,500"
72,HITACHI 日立 微波爐 MROLV300T 專用燒烤盤 MROLV300007,5.0,1,1,"$1,800"
73,爆款折扣促銷-{特價}現貨供應原裝正品Galanz/格蘭仕M24FA-410A微波爐磁控管,4.6,8,10,$294
74,▧☜韓式蕾絲微波爐罩蓋布烤箱防塵罩適用于格蘭仕美的蓋巾布藝防塵套,1.0,1,1,$191
75,"【專速】NE-V32E,NN-C236,NN-SD688 薄膜面板 薄膜開關 國際牌微波爐",5.0,6,14,$400 - $650
76,新品 微波爐高壓二極體 CL01-12 可代替HVM10 HVR-1X3 T3512 T4512 HVM12,4.9,7,11,$60
77,【領券再折】Panasonic 國際牌 NN-BS603 27公升 烘燒烤變頻微波爐,5.0,1,1,"$15,105"
78,【Kyut家居生活家】歐式鄉村風《春日十里》清新田園手繪小花釉下彩耐高溫陶瓷 烤箱微波爐洗碗機適用早餐碗盤組【G026】,5.0,3,4,$318 - $998
79,10張耐高溫微波爐絕緣雲母片,5.0,1,1,$109
80,【聲寶SAMPO】21L天廚平台式微波爐 RE-N921PM,5.0,1,1,"$3,490"
81,全新 Panasonic 國際牌 25公升 NN-SM 33H 機械式 微波爐,5.0,2,2,"$2,700"
82,蝦皮優選【霏霓莫屬】日本製 不動化學 微波爐專用除菌海綿 微波爐清潔海綿組,5.0,13,29,$45
83,蝦皮優選【ANGRY MAMA微波爐快速清潔神器】生氣媽媽微波爐清潔器,5.0,14,27,$89
84,《聊聊可現折》HITACHI日立 泰製22公升水蒸氣烘烤微波爐 MROVS700T,5.0,12,28,"$15,210"
85,【聲寶SAMPO】28公升天廚機械式微波爐 RE-N328TR,5.0,3,4,"$2,990"
86,[KOMAX] 小豬鼻 微波爐專用蓋 3入組 [韓國直送],5.0,7,10,$146
87,《可議價》Panasonic國際牌【NN-ST34H】25公升微電腦微波爐 小蔡電器,4.7,55,184,"$3,253"
88,蝦皮優選(可刷卡分期)Panasonic國際牌32L蒸烘烤變頻微波爐BS1000/NN-BS1000/水波爐/無轉盤,5.0,11,19,"$25,790"
89,【國際牌Panasonic】32L微電腦變頻微波爐 NN-ST65J,5.0,8,15,"$4,680"
90,Panasonic國際牌【NN-GF574】27公升光波變頻燒烤微波爐 小蔡電器,4.8,12,35,"$6,603"
91,🍎HOVER COVER微波爐磁吸防濺蓋防護罩 批價：$ 79,5.0,6,17,$79
92,【SAMPO聲寶】 28公升天廚機械式微波爐 RE-N328TR,4.3,3,8,"$2,990"
93,【國際牌Panasonic】23L烘燒烤微電腦微波爐 NN-C236,5.0,1,3,"$8,080"
94,交朋友批發購物網 INOMATA 1719 微波用煮飯器 飯桶 日本原裝進口 微波爐,5.0,13,17,$155
95,[急速出貨]  磁吸式微波爐防噴濺蓋  微波爐防噴蓋,5.0,1,1,$55
96,TOSHIBA東芝燒烤料理微波爐 34L ER-SGS34 34公升,5.0,3,6,"$4,990"
97,Haier海爾 700W微電腦微波爐 20L 20PX98-LP,5.0,1,3,"$1,990"
98,BIOS TX 拜歐斯 防電磁波 高頻 輻射 微波爐 電磁爐 防護布罩 公司貨,5.0,46,65,$690 - $990
99,Haier海爾 900W 25L微電腦燒烤微波爐 25PG50W,5.0,2,4,"$2,688"
100,日本製不動化學微波爐專用除菌消臭海綿橘油蒸氣除菌清潔除臭海綿 /013877,5.0,4,12,$60
101,日本山崎 CONDOR 小海豹微波爐潔淨擦 (綠/橘),5.0,1,1,$88
102,現貨供應 北歐麋鹿--加厚棉麻微波爐罩,5.0,1,1,$85
103,Panasonic NN-ST25JW 微波爐,5.0,4,6,"$2,800"
104,Panasonic 國際牌微波爐NN-BS1000的雙面烤盤（限宅配）,5.0,21,33,"$2,100"
105,◎日本販賣通◎(代購)IRIS OHYAMA ricopa 復古造型 微波爐 馬卡龍色 IMB-RT17,5.0,1,1,"$3,880 - $4,260"
106,聲寶天廚21L微電腦微波爐RE-N921TM,5.0,8,14,"$2,390"
107,Panasonic NN-ST65J 微波爐,5.0,121,174,"$5,000"
108,《可議價》Panasonic國際牌【NN-BS603】27公升蒸氣烘烤水波爐微波爐 優質家電,5.0,1,2,"$14,300"
109,國際牌 NN-BS603 原廠 蒸氣烘烤微波爐 NN-BS603 專用烤盤 F1764-0470 BS603,5.0,12,17,"$1,480"
110,NN-SF564 國際微波爐,5.0,4,5,"$5,200"
111,蝦皮優選🐻熊麻麻精品🐻 🇯🇵日本帶回 日本製inomata  微波爐蓋 加熱蓋 (吊掛孔設計),5.0,1,2,$55
112,Panasonic 國際牌 NN-GF574 微電腦變頻燒烤微波爐 27L (公司貨 / 附發票),5.0,1,1,"$6,450"
113,※便利購※附發票 鍋寶 強化耐熱餐具5件組碗 強化玻璃 碗 銀杏花紋 適用於微波爐 及洗碗機  4.5吋碗*5,5.0,5,8,$139
114,心動賣場6原裝正品美的meide微波爐配件磁控管威特WITOL 2M219J 微波頭通用,4.6,8,8,$426
115,TECO東元] 20公升轉盤微波爐 YM2003CB,5.0,154,242,"$1,750"
116,【公司貨】Panasonic 國際牌 NN-ST65J 變頻微波爐 32公升,5.0,1,1,"$5,215"
