,item,rate,num_rate,num_sold,price
0,★6葉最強版★台灣現貨 升級玻璃款★迷你便攜式果汁機 電動果汁杯 鮮菓炫冰杯 迷你鮮果榨汁機 嬰兒輔食機隨行杯電動果汁機,4.7,"2,072","5,318",$28 - $288
1,[現貨] 不鏽鋼手動榨汁機 24H出貨 台灣現貨【小麥購物】【Y283】不鏽鋼 手動榨汁機 水果榨汁器 壓汁器 檸檬夾,4.9,"1,941","3,938",$38
2,現貨+發票 最強版6刀片 行動果汁機 迷你便攜式果汁機 usb充電 隨行杯電動 果汁機,4.9,235,777,$195
3,618購物節🥤《限量😍萬元補貼》小米有品 德爾瑪無線杯果汁杯 電動迷你榨汁機 全自動果蔬料理果汁機 隨行杯 副食機,4.9,700,"1,497",$49 - $499
4,蝦皮優選【免運費 12H出貨👉6葉榨汁機】 電動榨汁杯 電動果汁機 USB果汁機  隨身杯榨汁機  隨身果汁機 迷你榨汁機,4.7,492,"1,114",$249
5,蝦皮優選🔥台灣出貨 6葉最強版 免運活動🔥迷你榨汁機 果汁機 電動果汁杯 隨行杯 電動果汁機【C0016】,4.8,566,"1,241",$299
6,蝦皮優選✨現貨✨6葉迷你榨汁機 便攜式多功能電動榨汁杯學生隨行杯果汁機 隨身攜帶 果汁機 usb充電 隨身杯榨汁機,4.8,"1,470","3,525",$80 - $249
7,《小柏力克》手拉式切菜器多功能食物處理器易拉轉拉拉刀強力三刀頭手動蔬果調理機果汁機 手持料理棒切菜神器旋風切菜機拉繩式,4.8,974,"2,301",
8,【 現貨 】 隨身果汁機 隨身榨汁機 隨行杯 USB果汁機 調理機 榨汁機 果汁杯 果汁機 攪拌機,5.0,215,439,$350 - $600
9,蝦皮優選福利品【富士電通Fujitek】冰沙果汁機 調理機 榨汁機 冰沙 調理器FT-LNJ02,4.8,160,271,$580
10,現貨寄出【爆款可擕式迷你家用榨汁機】便捷式多功能全自動榨汁杯充電果汁杯學生隨行杯果汁機隨身攜帶果汁機USB充電小型榨汁杯,4.6,974,"2,740",$90 - $197
11,蝦皮優選🍄►台灣現貨 USB隨身果汁杯  VITAMER 維他命 台灣保固隨行杯果汁機 果汁杯 果汁機 榨汁機,5.0,892,"1,813",$340 - $675
12,Kolin 歌林 隨鮮杯 果汁機 雙杯組 果汁 吸管 隨身 JE-LNP13,5.0,300,524,$360 - $890
13,不鏽鋼手動榨汁機 蜂蜜檸檬 柳丁 檸檬 鮮榨 現榨 嬰兒食品 果汁 飲料 健康 壓汁【J224】米菈生活館,4.9,262,599,$35
14,蝦皮優選福利品【歌林kolin】隨行杯果汁機(藍) 果汁機 榨汁機 冰沙果汁機 攪拌機KJE-MNR5761,5.0,369,698,$560
15,【現貨】2019新款迷你水果榨汁機便攜式榨汁杯 小型家用充電電動果汁機  便攜式迷你榨汁機 防水榨汁杯 磁力USB果汁機,4.9,107,218,$459
16,🔥限時免運 2019網紅爆款 便攜式多功能電動榨汁杯 優質學生隨行杯果汁機 隨身攜帶 果汁機 usb充電 隨身杯榨汁機,4.9,245,632,$356
17,現貨 20新款 隨行果汁杯 水果榨汁機 便攜式果汁機迷你榨汁機 隨時榨汁杯 小型家用多功能 usb充電 榨果汁 杯子,4.5,4,218,$10 - $355
18,【送七好禮】充電式果汁機 迷你榨汁機 電動果汁機 戶外隨身杯 果汁機 野餐現榨果汁 榨汁機  露營玻璃杯 迷你果汁機,4.9,498,883,$549
19,🔥台灣現貨🔥最強6葉 易攜榨汁機 便攜式多功能 電動榨汁杯 學生果汁機 隨身攜帶 usb充電 隨身杯榨汁機,4.7,482,"1,408",$2 - $246
20,蝦皮優選JOY購【TSL 新潮流】健康食品調理機(TSL-122A) 果汁機 打泥 冰沙 豆漿 研磨 台灣製,4.9,149,242,$330 - $499
21,現貨 六葉便攜式 USB可充電 榨汁機 電動榨汁機 隨行果汁機 果汁杯 水果 榨汁器 果汁機 隨行果汁機 水果機 榨汁杯,4.6,43,139,$219
22,新品特惠 爆款 便攜式多功能電動榨汁杯學生隨行杯果汁機 隨身攜帶 果汁機 usb充電 隨身杯榨汁機,4.9,71,181,$355
23,(現貨)Kolin歌林健康隨鮮杯果汁機雙杯組 JE-LNP13(含玻璃杯2入),5.0,376,678,"$1,060"
