,item,rate,num_rate,num_sold,price
0,台灣現貨直發♥️比依氣炸鍋 升級版,5.0,537,896,"$2,750 - $2,780"
1,【未來實驗室】AIRFRYER渦輪氣炸鍋 無死角加熱 一鍵料理 氣炸鍋 炸雞塊 氣炸鍋食譜 2020推薦,4.9,"1,210","2,140","$1,980"
2,[送噴油瓶]  比依氣炸鍋 AF-25A 陶瓷塗層攝氏度顯6.4L 台灣版專用110V 家用七代空氣炸鍋,4.9,202,358,"$2,980 - $3,280"
3,【台灣保固一年 品夏氣炸鍋+送四樣豪禮】氣炸鍋 PERSHOW 液晶觸控氣炸鍋 比依 科帥 品夏 空炸鍋電炸鍋 聖誕禮物,5.0,86,165,"$69 - $2,368"
4,蝦皮優選【全台熱銷第一】送4大豪禮 🇹🇼 品夏台灣代理商 🎉 品夏氣炸鍋 氣炸鍋 空氣炸鍋 電炸鍋 生日 廚房 電器,4.9,"3,215","5,835","$1,599 - $2,099"
5,現貨！免運！衝衝衝！象內人 氣炸鍋 品夏氣炸鍋 氣炸鍋 空氣炸鍋 電炸鍋 空炸鍋 氣炸 無油 健康薯條 雞塊 烤雞,5.0,"2,454","3,804","$1,599"
6,[現貨] 廚房蒸菜架 24H出貨 台灣現貨【小麥購物】【G222】不銹鋼蒸架 多功能蒸菜架 蒸架 碗盤蒸架 氣炸鍋蒸架,4.9,663,"1,361",$15
7,【未來實驗室】AIRFRYER渦輪氣炸鍋 無死角加熱 一鍵料理 氣炸鍋 炸雞塊 氣炸鍋食譜 2020推薦,4.9,"1,210","2,140","$1,980"
8,[現貨] 不鏽鋼防噴鍋蓋 24H出貨 台灣現貨【小麥購物】【C229】防油噴網 不鏽鋼鍋蓋 防油蓋 鍋蓋 氣炸鍋 防噴蓋,4.9,446,"1,039",$59 - $79
9,廚房大師-買10送1台灣製（加粗)正304不鏽鋼烤肉串 燒烤針 燒烤串 肉針  竹串 氣炸鍋專用 烤肉串 鴨尾針 鴨肉串,4.9,138,"2,693",$15 - $35
10,【當天下標，隔天到貨 】❤️比依氣炸鍋 AF-25❤️ （保固一年）陶瓷空氣炸鍋家用觸屏大容量6.4L臺灣110V,4.8,797,"4,623","$2,599 - $2,966"
11,💠咖秀💠台灣保固 現貨免運【全台最便宜】科帥AF606智能氣炸鍋-5.5L大容量無油無慮(R37023),5.0,800,"2,169","$40 - $1,709"
12,台灣現貨【台灣保固一年】品夏氣炸鍋 多功能氣炸鍋 電炸鍋 氣炸鍋 空氣炸鍋,5.0,263,433,"$1,550"
13,現貨❤️304不鏽鋼 飛利浦氣炸鍋 HD9642 HD9904 燒烤針  安晴 串燒叉 燒烤串 串籤,5.0,124,"1,333",
14,【SPeed-快速出貨】天然檸檬油清潔泡泡 衣麗亮白 氣炸鍋適用 專用清潔劑 純天然 洗碗精 椰子油 檸檬油 清潔劑,5.0,299,"1,048",$180
15,垣戊氣炸鍋 專用隔油網 (現貨),5.0,268,550,$399
16,原廠正品PHILIPS 飛利浦 炸鍋炸籃不銹鋼防濺蓋 氣炸鍋 HD9642 HD9645 HD9980 HD專用無煙上蓋,5.0,719,"1,315",$479
17,品夏氣炸鍋 LQ-3501B 多功能氣炸鍋 家用大容量 無油煙電炸鍋 炸薯條機 電烤爐 無油煎炸鍋 蝦皮24h 現貨,5.0,547,962,"$1,599"
18,現貨 PHILIPS 飛利浦 氣炸鍋 hd9642  炸鍋蓋 炸籃蓋 炸鍋炸籃不銹鋼防濺蓋 氣炸鍋 無煙上蓋 防噴油蓋,5.0,319,566,$485
19,🚚快速出貨一年保固🚚 科帥 5.5L雙鍋 AF606 液晶觸控氣炸鍋110V 中文介面 氣炸鍋 空氣炸鍋,5.0,33,57,"$1,550 - $2,099"
20,[限量10組]日本NICOH 2.4公升氣炸鍋型號:AF-240通過BSMI 商檢局認證 字號R3B207,4.9,179,328,"$1,180"
21,免運費 一年保固 臺灣現貨 8寸15件套 LQ-3501B多功能氣炸鍋 家用5.5L大容量 無油煙氣炸鍋 炸薯條機氣炸鍋,4.9,225,440,"$1,599 - $2,088"
22,520愛你免運 隔天到貨 加碼選送15件超值禮包 噴油瓶 保固一年比依 AF-25A 氣炸鍋 智能無油煙110v觸控面板,4.7,351,673,"$999 - $3,200"
23,比依 液晶觸控氣炸鍋 AF-25A 一年保固 台灣規格 6.4L 陶瓷塗層,4.9,89,157,"$2,699"
