,item,rate,num_rate,num_sold,price
0,蝦皮優選福利品【歌林】6L雙旋鈕烤箱 電烤箱 小烤箱 KBO-SD1805/KBO-LN066,4.9,347,643,$520
1,【樂扣樂扣】極品保鮮耐熱玻璃8/10件組(可進烤箱、微波爐、免運),5.0,"1,179","2,102","$899 - $1,199"
2,米徠45公升循環/發酵烤箱 MCOF-015,4.9,227,369,"$1,980"
3,比依空氣烤箱 AF-602A 大容量11L 多功能電烤爐 智能氣炸烤箱 電烤爐,5.0,3,177,"$4,302"
4,臺灣現貨德國透氣矽膠墊法式麵包烤墊silpain37x57cm耐高溫商用烤箱烤網（奥）,5.0,207,774,$55 - $163
5,【晶工牌】45L上下火可單獨控溫旋風烤箱(JK-7450),5.0,201,317,"$2,680 - $3,100"
6,蝦皮優選現貨可刷卡 買10送一 正304不鏽鋼烤肉串燒烤針燒烤串 肉針 竹串 氣炸鍋 烤箱專用 烤肉串 鴨尾針 鴨肉串多種尺寸,5.0,5,59,$17 - $22
7,【ikiiki伊崎】日系美型12公升智能氣炸烤箱【楊桃美食網】,4.8,381,700,"$4,980"
8,現貨滿 額免運費 304不鏽鋼烤肉串 燒烤針 燒烤串 氣炸鍋 烤箱專用 烤肉串 鴨尾針 鴨肉串多種尺寸 買10送一,5.0,1,80,$16 - $20
9,【耐熱玻璃】加厚耐熱玻璃沙拉碗 透明耐熱玻璃 水果 沙拉 和麵碗 可微波 可烤箱 七種尺寸 高硼矽玻璃碗,5.0,10,37,$70 - $170
10,蝦皮優選【嚴選SHOP】【SN1577】三能 台灣製 304不鏽鋼烤箱網架 家用不銹鋼平網盤(電解) 冷卻網 烤箱烤架 冷卻架,5.0,208,390,$225
11,蝦皮優選【歌林】6公升雙旋鈕烤箱 烤箱 電烤箱  溫控雙旋鈕（盒損福利品）KBO-SD1805/KBO-LN066,4.9,242,437,$550
12,(台灣現貨) 不鏽鋼304掛鉤燒烤串 烤肉叉  燒烤串 烤肉串籤 竹籤代替品 串燒叉 烤肉串 烤串 氣炸鍋 烤箱專用,5.0,2,45,$12 - $15
13,免運+一年保固+24H出貨【7450晶工牌45L雙溫控旋風烤箱】大容量烤箱 烘焙烤箱 家用烤箱 營業用烤箱,4.9,86,171,"$2,699"
14,【公司貨超取免運】KOLIN 歌林 6公升雙旋鈕烤箱 烤箱 電烤箱 電磁爐 微波爐 麵包機 烤土司機 KBO-LN066,5.0,83,159,$630
15,【麥焙】Bluedrop藍點 透氣矽膠烤墊 烤麵包餅乾通風透氣麵包烤網 德國透氣矽膠墊法式麵包烤墊 耐高溫商用烤箱烤網,5.0,22,47,$120 - $160
16,LOBO泰式辣雞翅醃料粉《現貨》《可烤箱/油炸/氣炸》,5.0,102,"1,033",$39
17,MIT騎龍矽膠💕矽膠墊 無印刷超大尺寸 矽膠墊 桌墊 餐墊 揉麵墊 烤箱墊 保護桌面 美觀大方 方便清洗 歐盟檢測合格,5.0,101,308,$249 - $299
18,蝦皮優選【嚴選SHOP】25入 (小) 烘烤紙杯 可直接放入烤箱 【F5040】,4.9,419,"1,052",$30
