,item,rate,num_rate,num_sold,price
0,【CAROTE】麥飯石炒鍋不沾鍋平底鍋深型平底炒鍋24/28/30/32CM 輕量煎炒兩用全能鍋 電磁爐燃氣灶適用,4.9,"1,571","2,593",$699 - $899
1,Mojito日式玉子燒不沾鍋 日本大金塗料 煎蛋鍋 15X18cm 電磁爐可用,5.0,"1,887","4,460",$99 - $259
2,【CAROTE】麥飯石不沾平底鍋平底不沾鍋20/24/26/28CM 輕量煎牛排煎蛋煎鍋 電磁爐燃氣灶適用 瑞士進口塗層,5.0,"1,123","1,832",$479 - $649
3,蝦皮優選【99網購】加厚# 韓國麥飯石烤肉盤/麥飯石不沾鍋/韓式烤盤/韓國烤盤/電磁爐專用/烤肉/方形烤盤/中秋露營/戶外,4.9,"1,003","2,100",$85 - $275
4,24H出貨💯Kolin歌林黑晶鑄鐵電子爐 不挑鍋 (KCS-MNR10)電磁爐 電烤爐~喬依,4.9,852,"1,505",$536 - $636
5,現貨免運 110v 電磁爐燒烤架 燒烤盤 不沾盤超省心 烤肉盤   鐵板燒  火鍋烤肉一體鍋鴛鴦鍋 戶外野炊 無煙電烤盤,5.0,11,134,"$300 - $1,800"
6,蝦皮優選【99網購】加厚# 韓國麥飯石電磁爐烤肉盤/麥飯石不沾鍋/韓式烤盤/韓國烤盤/電磁爐專用/烤肉/方形烤盤/中秋露營/戶外,4.9,292,617,$85 - $315
7,＊台灣現貨24H出貨＊科帥AF606氣炸鍋的12件配件組及 噴油瓶 及 不鏽鋼304防噴油網,5.0,42,94,$99 - $699
8,【CAROTE】Air系列-麥飯石不沾平底鍋20/24/28CM 輕量排煎蛋煎鍋 電磁爐燃氣灶適用 無蓋 現貨極速配送,5.0,288,506,$389 - $569
9,【CAROTE】麥飯石不沾奶鍋16/18/20CM 多功能深型輕量家用寶寶輔食鍋油炸鍋雪平鍋奶鍋 電磁爐燃氣灶適用 帶蓋,5.0,562,986,$229 - $699
10,【CAROTE】麥飯石不沾湯鍋/燉鍋 20/24/28CM 深型輕量家用煮鍋燜燒煮鍋多功能 電磁爐燃氣灶適用,5.0,365,694,$299 - $959
11,【CAROTE】美國華福麥飯石BP不沾奶鍋/燉鍋16/18/20CM 輕量泡面鍋奶鍋油炸鍋雪平鍋 電磁爐燃氣灶適用 帶蓋,4.9,116,219,$499 - $699
12,現貨✥歌林IH智慧變頻電磁爐(CS-SJM13)台灣製造另賣CS-SJM12/IH-1666不鏽鋼鍋適用/挑鍋,4.9,795,"1,401",$990
13,🌟仿真 聲光效果 餐廚具36件套裝 辦家家酒玩具 過家家廚具 電磁爐玩具 燒烤BBQ玩具 角色扮演 兒童廚師 兒童廚具,5.0,160,253,$299
14,蝦皮優選🌟台灣製造🌟PERFECT 不沾玉子燒鍋 【適用電磁爐】玉子燒 煎蛋鍋 不沾鍋 平煎鍋 平底鍋 玉子燒煎鍋 煎鍋,5.0,240,695,$100 - $229
15,日式麥飯石 平底鍋 / 牛奶鍋 不沾鍋 不粘鍋 平底炒菜鍋 可電磁爐 可明火 煎蛋鍋 早餐小煎鍋 粉色 湯鍋 煎鍋,5.0,83,170,$299
16,【現貨可到付】台灣版 110V烤盤 電烤盤 烤肉盤 烤爐 電烤爐 燒烤爐 韓式電烤盤,4.8,280,"5,374","$699 - $1,199"
17,【現貨】蒸籠 包子 電磁爐 套裝 水果切切樂兒童過家家廚房玩具,5.0,7,36,$138 - $268
18,蝦皮優選飛利浦萬用鍋內鍋上蓋/內外膠條/密封圈/浮子閥/蒸架(適用HD2133.HD2105/HD2175/HD2171),4.9,65,278,$40 - $200
19,煎蛋鍋 四格煎蛋鍋 四孔煎蛋鍋 非鋁製 瓦斯爐  電磁爐適用 24cm/26cm附發票,5.0,9,35,$159
20,【公司貨超取免運】KOLIN 歌林 6公升雙旋鈕烤箱 烤箱 電烤箱 電磁爐 微波爐 麵包機 烤土司機 KBO-LN066,5.0,83,159,$630
21,Kolin歌林智慧電磁爐CS-SJM13,4.9,141,244,$990
22,蝦皮優選《日漾》韓式麥飯石電磁爐烤盤  韓式烤盤  電磁爐專用  麥飯石塗層 烤肉 燒烤 烤盤,4.9,293,540,$308
23,【公司貨 超取免運】Philips 飛利浦 智慧 變頻 電磁爐 HD4925 電陶爐 電子爐 HD4924 電磁爐,5.0,178,"1,007","$1,660"
24,【SPeed-快速出貨】不鏽鋼廚房置物架 廚房收納層架 微波爐置物架 烤箱置物架 電磁爐支架 瓦斯爐蓋板 燃氣灶蓋板,5.0,111,179,$399
25,Tefal法國特福 新極致饗食系列32CM不沾炒鍋加蓋(電磁爐適用),5.0,135,217,"$1,588"
26,【CAROTE】90S-麥飯石不沾奶鍋/油炸鍋16/18/20CM 抗黃變輕量泡面鍋奶鍋油炸鍋雪平鍋 電磁爐燃氣灶適用,5.0,35,82,$229 - $679
27,蝦皮優選【B002】韓式電磁爐烤盤 卡式爐可用~ 戶外野營野炊鍋 烤肉 煎牛排 壽喜燒 不沾鍋 露營 野餐 烤盤 韓國烤盤,4.9,963,"1,797",$300 - $337
28,蝦皮優選【限量折70 輸碼VQ6KBSB 全家免運 附發票 公司貨】飛利浦 變頻 HD4925 無火烹煮更 黑 電子爐 電磁爐,5.0,457,811,"$1,650"
29,【超值現貨速發热卖】新款電磁爐置物架 鐵藝噴塑家用微波爐架子 廚房油鹽調料收納架 廚房瓦斯爐蓋板底座 收納置物架 氣炸鍋,5.0,16,40,$139
30,**I-Stage流行館** 新款鐵制廚房爐台電磁爐置物架 廚房瓦斯爐蓋板底座 收納置物架 氣炸鍋架,4.9,86,169,$269
31,【CAROTE】美國華福麥飯石不沾奶鍋油炸鍋16/18/20CM 深型輕量鍋輔食鍋泡面鍋雪平鍋 電磁爐燃氣灶適用 帶蓋,4.9,218,371,$499 - $699
32,【CAROTE】麥飯石不沾早餐鍋 28CM 輕型多功能煎鍋煎蛋多功能 電磁爐燃氣灶適用 無蓋,5.0,94,144,$699
33,蝦皮優選飛利浦萬用鍋不鏽鋼/鋁內鍋上蓋/內外膠條/密封圈/浮子閥(適用HD2133/HD2105/HD2175/HD2172),5.0,292,"1,092",$80 - $350
34,🔥🔥現貨-台灣公司貨 米家手持吸塵器Lite/小米空氣清淨機3/米家電磁爐,5.0,21,25,"$3,800 - $3,900"
35,【台灣現貨】110v多功能烤爐 家用電烤肉機 韓式無煙電烤盤 陶瓷室內不黏燒烤爐,5.0,1,75,"$2,499"
36,【2天到貨】菲仕德 大號68公分烤盤 韓式烤盤 110V家用無煙烤盤 不黏鍋烤盤 大號電烤爐  韓式電烤盤,5.0,8,96,"$1,299 - $1,499"
37,蝦皮優選【知久道具屋】仙德曼森活大理石七層不沾平底鍋20CM.24CM.28CM.30CM 電磁爐可使用,4.9,63,121,$330 - $500
38,【現貨】麥飯石紋玫瑰金鍋具鍋平底鍋炒鍋湯鍋奶鍋少煙鍋電磁爐燃氣通用鍋麥飯石不粘平底鍋26/32/34,4.5,19,86,$100 - $129
39,蝦皮優選🌟台灣製🌟 PERFECT 理想 不沾玉子燒鍋 13CM18CM【適用電磁爐】 煎蛋鍋 不沾鍋 平煎鍋 玉子燒 煎鍋,5.0,18,64,$100 - $360
40,☆CP籽☆日製 杉山金屬 電磁爐瓦斯可用 可拆式包料三明治夾 DX 不沾三明治烤盤 雙面煎鍋 戶外露營可用 烤土司鍋,5.0,105,169,$799
41,商用 營業用 3500W大火力定時預約智慧 電磁爐 8段火力控制 預約定時功能 220V 茶飲店 鍋燒 高湯 安全性高,4.9,115,315,"$3,700 - $4,900"
42,蝦皮優選❤免運天天出貨❤東元 TECO 零輻射 微電腦觸控 電陶爐 電磁爐 黑晶爐 XYFYJ576/XYFYJ577,5.0,368,633,"$1,260 - $1,460"
