,item,rate,num_rate,num_sold,price
0,12H出貨【一年保固】小不記 110V超快煮不粘美食鍋 多功能電熱鍋 電火鍋 不粘電煮鍋 電鍋 蒸煮鍋 快煮鍋 料理鍋,4.9,"1,772","3,413",$559
1,蝦皮優選防燙夾 不鏽鋼 防燙 電鍋 碗盤 耐熱 烹飪 料理 多功能不鏽鋼防燙夾 Color me【J119】,4.9,"1,420","3,461",$18 - $22
2,12h出貨-保固 小不記液晶微電腦【智能快煮鍋】110V超快煮不粘美食鍋 多功能電熱鍋 電火鍋 不粘電煮鍋 電鍋 快煮鍋,5.0,157,282,$699
3,防燙夾  不鏽鋼 廚房 微波爐 電鍋 碗盤 耐熱 烹飪 料理 多功能不鏽鋼防燙夾 米菈生活館【J119】,4.9,834,"1,761",$18 - $22
4,蝦皮優選不沾鍋★【快煮鍋】110V快煮美食鍋 多功能電熱杯 電火鍋 湯鍋 快煮鍋 電火鍋 勝大同電鍋 炒鍋 電鍋,4.8,200,518,$49 - $349
5,蝦皮優選【電鍋加熱片 2線 3線 10人份 15人份】TATUNG 大同／電鍋／電熱片／加熱片／加熱器／大同電鍋維修／DIY維修,5.0,277,575,$110 - $160
6,🎁輸碼可打九折宅配免運 🎁 大同電鍋 10人份 不鏽鋼電鍋 TAC-10L-MBK曜石黑 星河銀,5.0,510,858,"$780 - $3,150"
7,生活好物購  台灣製304不鏽鋼 10人電鍋蒸籠 11人電鍋蒸籠 蒸籠層 蒸盤 電鍋蒸籠層 蒸層 大同電鍋蒸籠,4.9,408,"1,410",$100 - $170
8,蝦皮優選多功能不鏽鋼防燙夾 不鏽鋼廚房 微波爐 防燙夾 電鍋 碗盤 耐熱 烹飪 料理 【J119】168批發倉庫,4.9,250,507,$18 - $22
9,TATUNG大同 10人份全不鏽鋼電鍋TAC-10L-MBK曜石黑【愛買】,5.0,234,485,"$3,290"
10,一鍋康 3.0L【快煮鍋】110V快煮美食鍋 多功能電煮鍋 電火鍋 湯鍋 電火鍋 勝大同電鍋 炒鍋 電鍋 料理鍋 快煮鍋,4.6,30,83,$49 - $329
11,[現貨] 不鏽鋼碗夾 24H出貨 台灣現貨 【小麥購物】【Y388】防燙夾 碗夾 取碗夾 電鍋夾 盆碗夾 雙柄夾 防滑夾,4.9,115,223,$40
