,item,rate,num_rate,num_sold,price
0,【USB充電式手持風扇-贈送底座】USB風扇 靜音 電風扇 充電電池風扇 迷你風扇 隨身風扇 桌上迷你風扇 手持扇 風扇,5,10,31,$99 - $178
1,【台灣現貨】8吋伸縮折疊風扇  折疊扇  折疊伸縮風扇 伸縮立扇  USB風扇 迷你風扇 落地扇 直立扇 立扇 電風扇,5,"1,674","3,271",$599.00
2,【現貨 免運費！頸掛風扇三代+香薰燈片】頸掛式風扇 掛脖風扇 掛頸風扇 隨身風扇 電風扇 懶人風扇 雙頭風扇 USB風扇,4.8,450,"1,419",$125 - $299
3,蝦皮優選【現貨 免運費！擺頭夾式站立三合一】自動擺頭小夾扇 電風扇 小風扇 隨身電風扇 usb風扇 電扇 靜音電風扇 夾扇,4.9,648,"1,281",$490.00
4,蝦皮優選【現貨 免運費！三代 彩燈+香薰片】 頸掛風扇 RGB掛脖風扇 頸掛風扇 運動風扇 免手持風扇 懶人風扇 香薰風扇 風扇,4.9,78,273,$39 - $299
5,[送長掛繩] SOLOVE N9 手持風扇 USB手持風扇 隨身風扇 迷你風扇 風扇台扇,4.9,"4,737",13000,$235.00
6,【現貨免運】多功能兩用風扇 超涼 可換認證電池夾扇 夾式娃娃車推車風扇 迷你桌扇 嬰兒車夾式電風扇 極巓USB充電小風扇,4.9,"8,076",22000,$5 - $289
7,【SPeed-快速出貨】極巔 720度兩用迷你風扇 JD199B 嬰兒車風扇 娃娃車夾扇 推車風扇 USB風扇 迷你風扇,4.9,"2,483","8,113",$8 - $199
8,蝦皮優選【現貨 免運費！可更換充電電池】手持風扇 隨身風扇 USB風扇 小電扇 靜音風扇 迷你電風扇 桌扇 手拿扇,4.8,"4,355",13000,$9 - $159
9,【超高CP】USB充電風扇 超低價 充電小風扇 電風扇 簡約大方 風力強勁 清涼一夏 小風扇 出行必備 手持風扇,4.8,"2,499","9,447",$30 - $89
10,[認證電池] 夾式小風扇 可站立可換電池靜音 夾扇 嬰兒車風扇 推車電扇 迷你風扇 迷你電扇 電風扇 電扇 風扇 ARZ,4.9,"3,875",14000,$5 - $289
