,item,rate,num_rate,num_sold,price
0,【台灣公司貨】A2質感LED螢幕漸層藍芽體重計 USB充電 鋼化玻璃 圓角設計 防爆可秤180KG 馬卡龍色系電子體重機,4.9,"6,093",11000,$259.00
1,【Blade】小米體重計2 現貨 當天出貨 APP記錄 原廠公司貨 米家 智能體重計 體重機 體重秤 平衡力評估,5,"4,201","7,920",$390.00
2,【NCC認證】藍芽APP 智能LED精準數據體重計 A1 鋼化玻璃 圓角設計 防爆 體重秤 體重機 電子秤 準確測量,4.9,"4,430","8,177",$330.00
3,LED藍牙體重計 LED螢幕 智能漸層電子秤 USB充電 鋼化玻璃 圓角設計 防爆 可秤180公斤 馬卡龍色 體重機,4.9,794,"1,521",$170 - $249
4,🌼🌼🇹🇼台灣現貨出貨 APP智能BMI體脂秤 超多功能體脂秤  電子體重機 充電體脂秤 電子秤,4.9,"1,177","2,149",$349.00
5,蝦皮優選【台灣現貨】小米體重計2 送電池 小米體脂秤2 測量體重 小米原廠公司貨 台灣出貨 米家 小米生態鏈 小米有品,5,792,"1,324",$375 - $709
6,安心買🛍 台灣現貨 24H出貨 小米體重計2體重計 體重秤 小米體重秤 小米運動,5,"1,008","1,584",$735.00
7,小米體脂秤2 台灣現貨 BMI 體脂率 基礎代謝 APP記錄 智能體重器 體重秤 米家原廠智能體重計 現貨+發票,4.9,311,564,$699.00
8,[超取免運]LED螢幕漸層藍芽體重計 USB充電 鋼化玻璃 圓角設計 防爆可秤180KG 馬卡龍色系 體重機,4.9,"1,071","1,925",$259.00
9,蝦皮優選【現貨-免運費！台灣寄出實拍+用給你看】Meilen電子秤 BMI 體重計 體重機 體重 電子體重計 體重器 體重秤,4.9,"2,074","3,591",$549.00
10,【繁體中文版台灣公司貨】 買再送皮尺 LED數字顯示體重計 鋼化玻璃 圓角設計 防爆可秤180KG,4.9,649,"1,343",$299.00
11,【台灣現貨 當天出貨】 小米 米家 二代 體重秤 2 體重機 體重計 bsmi 體脂 脂肪 體脂秤 體脂計 體脂機,5,123,235,$379 - $599
12,現貨可自取  小米體脂秤2  BMI 體脂率 基礎代謝 APP記錄 智能體重器 體重秤 米家原廠智能體重 台灣現貨,5,153,306,$669.00
13,蝦皮優選【台灣現貨】 BMI體重機 繁體中文版 USB充電體重計  電子體重計 美體機  。BUENA【B101089】,4.9,406,702,$299 - $388
14,蝦皮優選【coni mall】小米體重計2 現貨 當天出貨 APP記錄 原廠公司貨 米家 智能體重計 平衡力評估,5,"1,034","1,830",$390.00
15,【SPeed-快速出貨】LED藍芽體重計 LED螢幕漸層藍芽體重計 電子磅秤 電子秤 體重計 體重機 體重秤,4.9,"1,705","3,265",$259.00
16,蝦皮優選【台灣現貨 當天出貨】送電池 小米 正品 新款 二代 體重計2 體重機 體重計2 體重 BMI 多種身體數據,5,"1,450","2,580",$385 - $699
17,蝦皮優選【coni shop】小米體重計2 現貨 當天出貨 APP記錄 原廠公司貨 米家 智能體重計 體重機 體重秤 平衡力評估,5,760,"1,300",$390.00
18,台灣現貨 180kg 體重秤 體重計  電子體重秤 彩虹款 人體秤 強化安全玻璃 公斤 kg【點亮居家】,4.9,668,"1,199",$225.00
19,🔥免運特賣🔥升級小米2代 體脂稱 體脂計 體重稱 小米體重計 二代 藍牙 智慧體脂計 小米體脂計2 智能小米 體脂秤,4.9,531,"1,136",$166 - $706
20,臺灣出貨 松櫻 體脂計 體重計 減肥 脂肪 電子體重計 精準 體重機  體重器 BMI 體重機 體重秤 體脂秤,4.8,266,474,$348 - $399
21,[現貨]小米體重計2 APP記錄 原廠公司貨 當天出貨 米家 智能體重計 體重機 體重秤 平衡力評估【刀鋒】,5,190,402,$390.00
22,小米體重計2 現貨 當天出貨 APP記錄 原廠公司貨 米家 智能體重計 體重機 體重秤 平衡力評估,5,216,410,$350.00
23,【加關注價】進階版只要690元 小米體重計2 送電池 小米體重秤2 測量體重 小米原廠公司貨 小米體重機2 小米正品,5,613,940,$365 - $690
24,【免運熱銷中❗️】 iNO CB760 12合一 藍芽體重計 清新白/櫻花粉/紳士黑/小鴨黃 電子體重計 體重機,5,526,"1,030",$599 - $649
25,歐文購物 簡約時尚體重計（玻璃加厚款）體重計減肥秤重玻璃體重計,4.8,208,430,$195.00
26,🎈台灣現貨🎈小米米家體脂計2代 藍芽13項數據智能精准家用電子小型mini體重秤健康脂肪,4.9,117,238,$699.00
27,✨迅速出貨🎉電子體重針 體重體脂計 體脂秤 體脂計 充電 多功能 電子秤 體重秤 語音 體重機 脂肪秤 體重計送捲尺,4.9,179,337,$339 - $395
28,蝦皮優選小米體重計2 送電池 小米體重秤2 測量體重 原廠公司貨米家 小米生態鏈 小米有品 台灣賣家,5,321,565,$365 - $690
29,蝦皮優選TANITA UM051 極致典雅三合一體脂計(運動體脂計/體脂體重計/體脂肪計),5,"1,014","1,719",$790.00
30,蝦皮優選體重計 感應開關 體重機 電子秤 體重秤 玻璃  卡通 動物 體重計 Color me【M091】,4.9,211,367,$165.00
31,(代購) iNO CB760  藍芽體重計 白/粉/黑/黃/藍 12合一 智慧型體重計 電子體重計 體重機 體重計,5,45,95,$550.00
32,免運費【台灣現貨】當天寄出 Meilen電子秤 BMI體重計 減肥 體重秤 重儀器 電子稱 體重機全齡適用 體重計,4.9,189,507,$469.00
