,item,rate,num_product,num_sold,price
0,魔術頭巾買10送1可挑款骷顱骷髏面罩自行單車重機表演防曬冷氣房防風禦寒帽子跳街舞瑜珈護腕護膝彈性透氣吸汗領巾迷彩火焰素色,9959,688,13028,$11
1,買10送1{1-20號下標區}魔術頭巾面罩脖巾自行單車重機表演防曬冷氣房防風禦寒帽子跳街舞護腕護單車多功能透氣口罩,101270,1181,12275,$11
2,【買10送1】21-39號下標區{可挑款}魔術頭巾面罩脖巾自行單車重機表演防曬冷氣房防風禦寒帽子跳街舞護腕單車多功能透氣,101270,1181,9233,$11
3,七星山- 高爾夫球 袖套 (單車袖套) 機車.登山.防曬萊卡.冰絲涼感-排汗衣.車褲.頭巾.面罩.帽子.防曬外套.排汗衫,17368,350,5775,$100
4,現貨Adidas 愛迪達帽子 棒球帽nike 鴨舌帽 耐吉 遮陽帽 防嗮太陽帽 LOGO刺繡字運動帽 老帽 男女款可調節,55,9,5035,$350
5,BOY 權志龍 WOLF GD 高磅數素色帽 NY 眼睛 眼球 豹紋 翹鬍子 嘻哈帽 棒球帽子,10520,823,4947,$99
6,"""素面棒球帽""『買三送一』 ""高品質"" 硬挺 高磅 帽子 運動  潮流 男女鴨舌帽 可搭外套休閒  老帽 韓版 原宿",4217,94,4575,$99
7,《買10送1》1-20號{可挑款}魔術頭巾面罩脖巾自行單車重機表演防曬冷氣房防風禦寒帽子跳街舞透氣魔術口罩,101101,1187,4064,$11
8,"""鴨舌素面帽""『買三送一』"" 棒球帽 硬挺 高磅 帽子 男女 休閒 團購批發 老帽 韓版 原宿 TWICE 運動",4217,94,3690,$99
9,《無耳洞/有耳洞可戴》【獨家設計款】單個價/西德鋼鋼夾/磁鐵耳環 耳骨夾鋼針抗敏 另售帽子眼鏡框戒指項鍊IN2-S047,7944,336,3509,$79
10,椰子樹光版草帽素面鐵環長帶子水洗柴犬笑臉小狗權志龍平沿帽彎帽鴨舌帽老帽棒球帽子,10520,823,3252,$119
