,item,rate,num_product,num_sold,price
0,《現貨 /多功能三眼 / 防水防刮》 MEGIR 計時 日曆 防水 手錶 男錶 【SB02065G】『潮段班』,96118,761,45027,$980
1,《台灣現貨 三眼造型鋼帶錶 》CURREN 三眼造型/防刮鏡面/日期顯示/鋼帶手錶 【SB001013】『潮段班』,96053,756,39626,$390
2,《台灣現貨 防水機能電子錶》SKMEI 迷彩 防水 多功能 防水手錶 運動手錶 電子錶【SB001346】『潮段班』,96111,761,38538,$399
3,《台灣現貨 簡約運動錶》多功能雙顯示 運動手錶 電子錶 手錶 男錶【SB001343】『潮段班』,96078,761,33791,$390
4,《公司貨附保固》PAGANI DESIGN PD-2768  真皮錶帶 男錶 手錶【SBPD2768】『潮段班』,95985,758,30460,"$3,980"
5,《公司貨附保固》BENYAR 5114M 方形錶盤 獨立秒針日曆 防水 石英錶 真皮手錶 【SB000609】『潮段班』,95985,758,29434,$980
6,《公司貨附保固》 TEVISE T821  蜘蛛網狀 全自動機械錶  真皮手錶 機械錶 【SB00T821】『潮段班』,95985,758,28372,"$1,880"
7,《公司貨附保固》SKMEI 防水 多功能 運動錶 電子錶 手錶 男錶【SB001345】『潮段班』,96118,761,27067,$349
8,《台灣現貨 保固 支援LINE/防水》M4智慧手環  智能手環 智能手錶 計步/心率/接收訊息【VR030289】,96111,761,26621,$299
9,《公司貨附保固/免運》 TEVISE 水鬼系列 夜光 機械錶 鋼帶手錶 男錶 手錶【SB000050】『潮段班』,96111,761,25252,$980
10,BIDEN 0047 日本機芯 日期顯示 多功能手錶 男錶 手錶【SB00A001】『潮段班』,95957,757,24736,$790
11,《台灣現貨 日本熱銷WEID》UV1708B-2軍事風格 特殊無指針錶盤 防水 真皮錶帶 男錶 手錶【SB00A004】,96017,756,24296,"$1,380"
12,2032電池 ~ 3V 鈕扣 水銀 鋰電池/ 單車碼表 馬錶手錶電池【B0204】,230441,1305,24234,$3
13,《公司貨附保固》 PAGANI DESIGN CX-0005 鋼帶手錶 男錶 手錶【SBCX0005】『潮段班』,96087,761,24092,"$1,980"
14,《公司貨附保固》BENYAR 5104M 日曆顯示 石英錶 男錶 鋼帶手錶 皮帶手錶 手錶【SB000610】『潮段班』,96053,756,22458,$699
15,【日安】天球AG13鈕釦電池/LR44水銀電池/357鈕扣電池/L1154/A675計算機手錶助聽器計時器翻譯機計步器用,42295,1485,19236,$2
16,《公司貨附保固》BREAK 5601 大錶盤 多功能 防水 夜光 軍錶 運動錶 男錶 手錶【SB005601】『潮段班』,95985,758,19182,"$1,280"
17,《公司貨附保固》TEVISE 陀飛輪 日歷 星期 月份 機械錶 藍寶石鏡面 鋼帶手錶【SB0T806A】『潮段班』,95840,758,18020,"$1,580"
18,《現貨附保固/免運》 Naviforce 9050  雙顯示 戰術手錶 鋼帶手錶 男錶 【SB00A120】『潮段班』,96078,761,16739,$850
19,《公司貨附保固》BENYAR 5104M 日曆顯示 石英錶 男錶 鋼帶手錶 皮帶手錶【SB000610】『潮段班』,95985,758,16716,$699
20,CR2032 3v 水銀鈕扣電池 鋰電池 營繩燈 青蛙燈 主機板 手錶 計算機 遙控器 電子秤,2304,136,15165,$3
21,《台灣現貨 水鬼手錶》CHENXI 085A 水鬼系列  石英錶 鋼帶手錶 男錶 手錶【SB00085A】『潮段班』,96110,761,15099,$590
22,《台灣現貨 磨砂感電子錶》雙顯示/防水/夜光 運動手錶/防水手錶/電子錶 【SB000116】『潮段班』,96017,756,14900,$390
23,【露天銷量最高 小米手環4  繁體】小Mi智慧型手環 運動手環 智慧型手錶 健康手環 智慧手環 智能手環 小米手錶,11659,204,13486,$999
24,《公司貨附保固》LONGBO 80135 時分秒顯示 夜光 防水 鋼帶手錶 男錶【SB000604】『潮段班』,96111,761,13303,$590
25,【小米手環4 小米手環3 繁體 網友最愛 最雷商品】小米智慧手環 運動手環 智慧型手錶 健康手環 小Mi手環 小米錶帶,11665,204,13073,$999
26,【我最搶手-繁體小米手環4 小米手環3 保固一年】小Mi 智能手環 運動手環  健康手環 智慧手環 智慧型手錶 小米錶帶,11652,204,12744,$999
27,【非買不可-保固一年 繁體 小米手環4 小米手環3】小Mi智能手環 智慧型手錶 健康手環 智慧手環 小米運動手環,11657,204,12604,$999
28,【不買可惜-保固一年繁體 小米手環4 小米手環3】小Mi 智能手環 運動手環 智慧型手錶 健康手環 智慧手環 小米手環,11653,204,12465,$999
29,《台灣現貨 / 保固》全自動 雕花機械錶 日本機芯 防水防刮夜光 機械錶 男錶 手錶 【SB001206】『潮段班』,96078,761,10624,$790
30,《台灣現貨 熱銷款電子錶》SKMEI 多功能 雙顯示 夜光 防水 三地時間顯示 手錶 男錶 電子錶【SB001189】,96075,761,9364,$480
31,《公司貨附保固》JARGAR 516 自動機械  機械錶 手錶 男錶【SB000516】『潮段班』,95935,757,8984,$980
32,《公司貨附保固》PAGANI DESIGN  PD-1625 機械錶 鋼帶手錶『潮段班』【SBPD1625】,95985,758,8218,"$2,980"
33,2支免運 送電池 附發票★ 發光手錶 漢堡錶 果凍錶 LED手錶 流行 多功能電子錶 送人生日禮物 男錶 女錶,11359,45,8109,$153
34,【送保護貼】輸入折扣碼再現抵 小米手環4 標準版 彩色款 繁體中文 彩色螢幕 測心律 運動手環 Mi 智慧手錶 線上支付,44991,1196,7833,$710
35,🔥快速出貨🔥惡南宅急店【0532F】韓版手錶19款日內瓦經典三眼 羅馬雙眼皮帶錶LED女錶男錶情侶錶對錶,137965,2062,7794,$168
36,【斯徒華】Maxell SR626SW SR621SW SR920SW SR521SW 手錶電池 AG4 AG1,17177,113,6907,$10 - $20
37,🔥免運🔥惡南宅急店【0447F】情人節禮物73款防水錶 路跑錶男錶女錶對錶情侶錶情侶對錶LED錶數字手錶,137947,2062,6718,$278
38,《現貨附保固/免運》Naviforce 9097M 雙顯示  多功能 美國戰術錶 鋼帶手錶 男錶【SB000136】,96119,761,6280,$599
39,【酷露馬】AG10電池 鈕扣電池 AG10 LR1130 LR54 適氣嘴燈/計算機/手錶/時鐘 HL002,31693,714,6221,$2
40,【日安】天球AG13鈕釦電池/LR44水銀電池/357鈕扣電池/L1154/A675計算機手錶助聽器翻譯機計時器計步器用,42246,1483,6162,$2
41,【一日到貨】送錶盒  2支免運！韓風簡約金屬紋 質感手錶 生日禮物 情人節 女錶 男錶 對錶 穿搭 / 韓國森林系,20062,392,6159,$199
42,★免運★惡南宅急店【0493F】共22款香港品牌KEZZI專櫃時尚滑動彩鑽牡丹花增好運招桃花質感陶瓷手錶,137914,2062,6100,$450
