,item,rate,num_product,num_sold,price
0,《公司貨附保固》BENYAR 5104M 日曆顯示 石英錶 男錶 鋼帶手錶 皮帶手錶 手錶【SB000610】『潮段班』,96053,756,22458,$699
1,《公司貨附保固》BENYAR 5104M 日曆顯示 石英錶 男錶 鋼帶手錶 皮帶手錶【SB000610】『潮段班』,95985,758,16716,$699
2,《台灣現貨 雕花簍空 》機械錶 鋼帶機械錶 皮帶機械錶 【SB000004】『潮段班』,96111,761,15053,$599
3,[3DPW] 日本UNITTA 美國GATES 6mm 2GT 時規皮帶 非山寨 精準 耐用 3D印表機,32646,1232,13810,$10
4,🔥快速出貨🔥惡南宅急店【0532F】韓版手錶19款日內瓦經典三眼 羅馬雙眼皮帶錶LED女錶男錶情侶錶對錶,137965,2062,7794,$168
5,[3DPW] 6mm GT2 同步帶 10公分 皮帶 時規皮帶 3D印表機,32650,1233,6940,$8
6,【3DPRT 專賣店】日本美國 UNITTA GATES 2GT 寬 6MM 開口 時規皮帶 專利材質★L05B06★,14368,850,6679,$10
7,《台灣現貨 彈力皮帶》時尚編織腰帶 無孔透氣 伸縮皮帶 彈力腰帶 透氣皮帶 純色編織 腰帶 皮帶【VR030462】,96118,761,6526,$99 - $165
8,【油老師】 WURTH 皮帶噴劑 *全館滿2000免運 福士 皮帶 噴劑 噴 劑 防止打滑 異音 有用 好用,3384,75,4376,$429
9,【現貨-免運費！台灣寄出實拍+用給你看】自動扣皮帶 合金自動扣頭 真皮 皮帶 男皮帶 自動皮帶 腰帶 男生皮帶 男士皮帶,24438,494,4308,$198 - $299
10,[3DPW] 台灣製造 專利材質 GT2 時規皮帶 3D印表機,32646,1231,4149,$18
11,"【專速】原廠風扇皮帶 NH-50V,NH-509B,NH-60A,NH-L60Y,NH-L70Y,NH-L70YZ 圓形",24022,380,4121,$130
12,極簡便攜式皮帶風扇 隨身 USB 小風扇 桌扇 質感 風扇 辦公室【FA010】,10815,295,4076,$349
13,Leos小舖 【素面雙皮帶扣後背包】XB-036側背包手提包書包旅行包束口包包,34558,163,4013,$290
14,【微小馬達傳動皮帶】-----床頭音響、汽車音響、卡式錄音機…等播放器適用(現貨供應),3380,222,3671,$13
15,【3DPRT 專賣店】2GT 開口 時規皮帶 2MM 寬 6MM 強化複合材料鋼絲 聚氨酯材質★L05A06★,14357,850,3442,$11
16,現貨！男女百搭｜編織皮帶 彈性皮帶 彈力腰帶 編織腰帶 無需打孔 彈力舒適 清爽透氣 時尚皮革｜HFA7C1,42344,343,3363,$169
17,《公司貨附保固》PAGANI DESIGN PD-2764  鋼帶手錶 皮帶手錶 男錶 【SBPD2764】『潮段班』,95933,757,3206,"$1,880"
18,[昇和五金]最便宜 免運費 外銷日本 電動扳手 扭力 電動板手 輪胎 普利 洗衣機 傳動 皮帶  火焰扳手 火燄板手,9805,141,3027,"$120 - $1,070"
19,★新莊453套筒工具 火焰板手 扭力 電動板手拆傳動 火焰扳手 拆輪胎 拆 普利盤 傳動 皮帶 火燄板手,5126,163,2926,"$650 - $1,630"
20,【JOY小舖】腰帶 帆布腰帶 皮帶 熱賣潮流時尚新款男女通用褲帶 純色帆布腰帶 皮帶 限時下殺 運費不灌水,12848,658,2588,$69
21,[3DPW] GT2 2GT 9mm寬 日本UNITTA 開放式 皮帶 時規皮帶 同步皮帶 美國GATES 3D印表機,32646,1231,2346,$19
22,【JOY小舖】 皮帶 真皮皮帶 真皮腰帶 腰帶 頭層牛皮寬版針扣式皮帶 100%頭層牛皮 支持大尺碼 110~150cm,12866,660,2289,$375 - $385
23,"""買一送一""西裝外套"" 送項鍊  型男必備 超帥氣男士潮流 休閒 皮帶 襯衫 夾克 可搭牛仔褲 團購批發 西裝褲",4217,94,2243,$380
24,[3DPW] GT2 6mm 時規皮帶 鋼絲版 超強度 零彈性 白色PU材質,32678,1233,2108,$11
25,《殺到底!售完下架》送皮帶 韓國熱賣TOP1 韓版休閒褲棉褲工作褲七分褲短褲束腳褲牛仔褲束口褲褲子長褲男【26-179】,16271,185,2085,$299
