,item,rate,num_product,num_sold,price
0,大尺寸專用！買VR送手把☺抗藍光鏡片！【贈-資源+謎片】VR CASE 3D 眼鏡虛擬實境 Vive Gear 聖誕禮物,29081,199,32169,$299 - $699
1,【超商免運費】 零售每片1元 買3盒平均每片只要0.8元 彈性超細纖維 擦拭布 螢幕 鏡頭 眼鏡 整盒 零售 眼鏡布,6835,199,22530,$1
2,大尺寸專用！贈無線藍手把☺抗藍光鏡片！【贈-資源+謎片】VR CASE 3D 眼鏡虛擬實境 Vive Gear 寶可夢,29065,199,21815,$699
3,【12H出貨】送藍芽手把+海量資源+謎片 VR Box 3D眼鏡虛擬實境VR眼鏡 Case Vive 聖誕禮物交換禮物,34681,206,19377,$299
4,#嚴選眼鏡 日本製 藍標 透明矽膠鼻墊 鼻低塌及歐美名牌鏡架的救星 防滑 S M L LL 鼻貼 鼻托 鼻墊 貼片,2668,580,12909,$85
5,復古眼鏡 平光眼鏡黑框眼鏡 多款任選 顯小臉 雷朋文青風 男女皆可  惡南宅急店【0029M】,137942,2062,11296,$115
6,【12H當天出貨↘下殺288】再送海量資源+謎片+藍牙搖桿手把 VR Box Case 3D眼鏡虛擬實境,144111,694,10910,$188 - $288
7,多款任選復古眼鏡 平光眼鏡  顯小臉 男女皆可 惡南宅急店【0029M】,137944,2062,8741,$115
8,超細眼鏡布 高檔超細纖維棉質眼睛布印花擦拭布擦鏡布四色13*13眼鏡布,41649,3319,8611,$1
9,Leos小舖 【現貨當天寄】【豬鼻後背包】28款韓版豹紋眼鏡翹鬍子旅行包蝴蝶結嘴唇螢光長夾束口袋皮夾,34569,161,7327,$160
10,【螺絲專賣】m1 m1.2 m1.4 m1.6 m2 各尺寸歡迎詢價 微型螺絲 機械丸頭十字  航空模型 鐘錶 眼鏡,19969,830,7051,$2
11,"(買5送1,滿10免運)新款 3M 眼鏡矽膠鼻墊 M/L 黏性持久耐用 鼻貼 鼻墊 太陽眼鏡 防滑",3341,28,7050,$35
12,眼鏡耳勾 耳掛 矽膠材質(10元=1對=2個) ( 買10送1),2801,55,6041,$10
13,原廠四抗鏡片！保證抗衝擊！1.0強化鏡片+抗藍光+抗UV400+抗反射！近視族必備！包覆偏光太陽眼鏡TW-PRO,4397,78,5757,$150
14,原廠四抗鏡片！PC級抗衝擊！1.0安全強化+抗藍光+抗UV400+抗反射！近視族必備！包覆偏光太陽眼鏡,4066,7,5740,$89
15,【A-HUNG】高質感多功能 超細纖維擦拭布 手機螢幕擦拭布 相機鏡頭清潔布 眼鏡布 拭鏡布 除塵布,68549,1312,5176,$5
16,變色鏡片 ! 抗藍光+抗UV400+抗反射! 偏光太陽眼鏡 JN-1CHS,2369,79,5072,$299
17,原廠四抗(挑戰露天最低價) ! PC級抗衝擊+抗藍光+抗UV400+抗反射! 包覆式偏光太陽眼鏡,2372,79,4593,$85
18,[批發50付750元不附螺絲]*4付(8顆)100元*加贈螺絲  矽膠鼻墊 氣囊鼻墊  氣墊型鼻墊 抗過敏眼鏡鼻墊,5874,33,4570,$30 - $100
19,3M防滑增高眼鏡鼻墊 止滑鼻墊 增高鼻貼 止滑鼻貼 板材鼻墊 眼鏡矽膠鼻墊 SHAWN 尚恩鏡舖,5174,103,4489,$10 - $14
20,【硬芯】【波紋】氣墊鼻墊 贈隨身螺絲起子和螺絲 矽膠鼻墊 防滑鼻墊 氣囊鼻墊 眼鏡鼻墊 空氣鼻墊 SHAWN 尚恩鏡舖,5174,103,4005,$2 - $15
21,（免運）TORE 偏光 太陽眼鏡 (5片鏡片)附近視框 偏光眼鏡 運動眼鏡  自行車眼鏡 0701 【B0181】,230441,1305,3942,$299
22,★現貨★DIY Google VR紙盒眼鏡Cardboard-銅板價超便宜~熱銷中,221,229,3885,$50
23,●魅力十足●時尚.潮流無鏡片眼鏡鏡框 男女兩用鏡框 中性鏡框/眼鏡,36933,1239,3855,$19
24,(現貨)(附獨家繁體說明書)不銹鋼超音波清洗機 800ml 18段定時 超聲波洗淨機 超音波清洗器 眼鏡珠寶首飾假牙,16792,458,3679,"$1,300"
25,眼鏡耳勾 運動用矽膠耳勾 (黑大.中.小.透明) ( 買10送1),2801,55,3640,$10
26,《無耳洞/有耳洞可戴》【獨家設計款】單個價/西德鋼鋼夾/磁鐵耳環 耳骨夾鋼針抗敏 另售帽子眼鏡框戒指項鍊IN2-S047,7944,336,3509,$79
27,【送眼鏡袋、鏡布】眼鏡 復古正圓框 阿拉蕾小清新復古圓型金屬框金屬大圓框眼鏡 平光造型眼鏡框,4587,636,3476,$69
28,各式眼鏡螺絲批發.零售 鼻墊螺絲 鏡腳螺絲 墊片 套筒,5870,33,3443,$1
29,最新款 ! 夾鏡 ! 夾片 ! 可掀 ! 近視族 ! 抗反射! 抗藍光 ! 寶麗來偏光太陽眼鏡+UV400 ! GSRY,7706,675,3279,$199
30,"【龍柱量販百貨】"" 附發票 "" 正台灣製造 安全護目鏡 安全眼鏡  透明 自行車 機車  [1206010401]",55747,4620,3224,$45 - $420
31,現貨 至尊版 送無線手把搖控器 資原豐富VR 3D暴風魔鏡4代 3D眼鏡虛擬實境 穿戴裝置 手機電影遊戲iPhone安卓,58663,1185,3186,"$1,380"
32,犀牛盾 專用 魚眼鏡頭 廣角 鏡頭 自拍 美顏 iPhone i7 i8 iX Plus se i5 fish A001,44994,1196,3171,$500
33,3D眼鏡:紅藍紙眼鏡.可以看3D立體影片及圖案-最少下標數量:10個,1849,26,3042,$7
34,"WIN 五金 現貨供應  防飛沫 正台灣製 氣透安全眼鏡,工作護目鏡,防塵護目鏡 防飛沫 防護眼鏡 護目鏡 工安眼鏡",3526,476,3029,$40
35,【T3】限時免運 復古圓形平光鏡 明星同款 超輕鏡框鏡架 小清新 男女款圓形眼鏡架 亮面黑 磨砂黑 加送眼鏡盒【I01】,8769,1036,3025,$299
36,韓國大框造型眼鏡框眼鏡時尚復古平光鏡 男女適用,7953,631,3014,$59
37,【台灣現貨附發票】雙筒望遠鏡 高倍 高清 微光 夜視 軍望眼鏡 袖珍 便攜 非紅外 演唱會,3557,240,3002,$490
38,現貨｜㊣宇慶S舖㊣可刷卡分期｜安全眼鏡｜正台灣精品 安全護目鏡 安全眼鏡 透明 自行車 機車,72071,24048,2927,$26
39,愛美99精品舘--眼鏡擦拭布  |手機擦布,11127,718,2926,$1
40,「超新星」2019最新10色買2送1鏡盒男女韓版EXO邊伯賢白賢池昌旭金屬圓框眼鏡 鏡框鏡架阿拉蕾文青森林系鈦金屬鏡框,24272,209,2794,$80
41,強效清潔魔布 - 拭鏡布 液晶螢幕 機身 清潔保養 /  iPhone 數位相機單眼相機手機顯示器 LCD 高級眼鏡布,40811,181,2769,$25
42,【台灣現貨】日本進口 透明矽膠鼻墊 鼻托 防滑墊 眼鏡 增高 眼鏡框 防下滑 眼鏡托 鼻托 防滑,52104,339,2617,$15
43,@蛋蛋=藥丸筆批發網@1元=AG10鈕扣電池/用於發光眼鏡 口哨 演唱會 發光手環手鐲 閃光牛角髮箍 婚禮小物 學生贈品,6762,2696,2564,$1
44,韓妞朵莉．附袋+布 599免運 MIT台灣製檢驗合格 周子瑜李敏鎬權志龍相似款 粗框細框橢圓框水銀反光太陽眼鏡墨鏡 抗U,1428,96,2468,$65
45,眼鏡擦拭布-隨機出貨 相框 拭鏡布 眼鏡布 手機 相機 鏡頭 液晶螢幕-輕居家2052,5354,581,2348,$1
46,💖贈眼鏡收納袋 馬賽克 裝逼眼鏡 裝B神器 墨鏡 像素墨鏡 太陽眼鏡 嘻哈潮流 動漫  生日 送禮,926,162,2414,$50
47,【柑仔舖】免運費 送手把+資源+謎片 2018 VR BOX 6S VR虛擬實境撥放器 3D眼鏡 (電腦/平板/手機),9711,285,2329,$249 - $399
48,附袋+布  MIT台灣製檢驗合格 周子瑜李敏鎬權志龍相似款  粗框細框橢圓框水銀反光太陽眼鏡墨鏡 抗UV400,7952,617,2304,$99
49,鼻墊 鼻托 買4組送螺絲起子  最新專利 眼鏡專用 中空舒壓設計 透氣抗菌防滑矽膠鼻墊,1508,4,2283,$49
50,惡南宅急店【0001M】韓版品味太陽的後裔黑框 菱格設計 眼鏡墨鏡 平光眼鏡 平框眼鏡  鏡架 黑框眼鏡,137945,2062,2271,$175
51,惡南宅急店【0021M】抗UV400墨鏡 太陽眼鏡 水銀鏡片墨鏡綜藝玩很大反光墨鏡全黑墨鏡眼鏡情人節約會,137914,2062,2253,$99
52,熱賣! 送無線搖桿 暴風魔鏡4 VR眼鏡 3D眼鏡 虛擬實境 安卓版 IOS版 IPHONE7 8+ X S8 S9,23307,644,2242,$999
