,item,rate,num_product,num_sold,price
0,《單支價》特價＊男女情侶款 圓形吸鐵石耳釘 磁吸耳飾 磁鐵耳夾 圓形吸鐵石耳環環,36852,800,16928,$5
1,惡南宅急店【LT0010H】刻字服務(不含主商品) 畢業禮/情侶 鈦鋼戒指手環手鍊耳環腳鍊手工刻字1-8個字 刻字區,137961,2062,14385,$50
2,《316小舖》今天特價【100款316L鈦鋼戒指 生日禮物 情侶對戒 情侶戒指項鍊 男戒女戒鋼尾戒子/耳環手鍊手環腳鍊】,38846,2473,12544,$58 - $99
3,★麻豆瘋★B29【14色_星星 三角 耳骨夾 耳環】spexial 晨翔 耳掛式 無耳洞 耳夾 G-Dragon 權志龍,47003,1502,10966,$19
4,惡南宅急店【0046D】50款夾式耳環 西德鋼耳環 夾式耳環耳環龐克耳環沒耳洞可配戴 單顆,137942,2062,9855,$39
5,🔥買４送１🔥惡南宅急店【0138D】鈦鋼白鋼 耳針耳環 磁鐵耳環龐克素面耳環假擴耳西德鋼耳環另有項鍊手環戒指 單顆價,137937,2062,9569,$39
6,★加送耳環★惡南宅急店【0054G】熱銷萬頂男女生可素面毛帽長版毛帽反折毛帽 可搭圍巾手套 聖誕節交換禮物 保暖必備,137888,2063,8627,$75
7,【80款任選】送禮推薦 鈦鋼項鍊情人節禮物情侶項鍊情侶對鍊另有耳環手鍊手鏈戒指 單價(無贈品)惡南宅急店【8000AX】,137965,2062,7825,$115
8,★惡南宅急店【0308B】12星座十二星座情侶 鈦鋼戒指手環手鍊耳環腳鍊韓劇藍色海洋的傳說單條價,137944,2062,7812,$45
9,★買1對加送禮盒+提袋★惡南宅急店【0223B】情侶 鈦鋼情人節禮物生日禮物白鋼鈦鋼對鍊戒指手環手鍊耳環腳鍊單條價,137942,2062,7250,$230
10,★麻豆瘋★B89 磁鐵 磁石耳環0.4/0.5/0.6公分 (單個) 不痛 DIY 隱形耳夾 無耳洞不用穿耳洞,46997,1502,7078,$2
11,★買1對加送禮盒+提袋★惡南宅急店【0223B】情侶 鈦鋼情人節禮物生日禮物白鋼鈦鋼對鍊戒指手環手鍊耳環腳鍊單條價,137787,2047,6985,$230
12,★麻豆瘋★B1602【13色_耳夾 無耳洞 耳環】馬卡龍 帥氣 螢光 糖果 耳骨夾 G-Dragon 權志龍,46988,1504,6828,$18
13,♡水星球♡B29(七款)星星/三角形耳骨夾耳環(1個)Spexial晨翔 耳夾 有耳洞 無耳洞都可戴 潮款hit hop,4134,1142,6455,$19
14,🔥任選10對🔥惡南宅急店【0162D】金秘書為什麼那樣氣質款 男女磁鐵耳環 水鑽耳環 素面耳環《35款任選》,137965,2062,6234,$199
15,【加送好禮】惡南宅急店 鈦鋼項鍊40款 情人節禮物情侶項鍊情侶對鍊另有耳環手鍊手鏈戒指單價【7179A】,137947,2062,6191,$249
16,【加送好禮】惡南宅急店 鈦鋼項鍊40款 情人節禮物情侶項鍊情侶對鍊另有耳環手鍊手鏈戒指單價【7179A】,137944,2062,5414,$249
17,《316小舖》今天特價【100款鈦鋼情侶對鍊 生日禮物 情侶項鍊 十字架項鍊 長項鍊 情侶項鏈/腳鍊戒指手鍊子手環耳環】,38846,2478,5347,$128 - $169
18,【TZ時尚】V形耳骨夾耳環 SpeXial晨翔BTS防彈少年團【單耳價格】金/銀/黑/白色 終極惡女 曾沛慈 徐佳瑩,310,9,5138,$35
19,★鑫飾品★B29【14色_星星 三角 耳骨夾 耳環】spexial 晨翔 耳掛式 無耳洞 耳夾 G-Dragon 權志龍,46203,1950,4971,$19
20,★麻豆瘋★B47【18色_不用耳洞 耳夾】彩色 無耳洞 隱形 耳環 夾式  耳環架 耳骨夾 耳掛 免穿耳洞 【實品拍攝】,46988,1503,4873,$15
21,【50款手環】送禮推薦 鈦鋼手環情人節禮物情侶手鍊情侶手環情侶對鍊另有項鍊耳環戒指項鍊 無贈品惡南宅急店【0209BX】,137944,2062,4743,$159
22,★麻豆瘋★B611【大小款_圓釦無耳洞耳夾】不用耳洞 鈦鋼 spexial晨翔 韓國免穿耳洞耳骨夾 耳掛 耳環 壓扣鋼夾,46997,1502,4468,$32
23,【姆指媽媽】3mm銅質平台 不銹鋼 耳針 高品質316L 不鏽鋼 不鏽鋼耳針 醫療鋼 耳釘 耳環 醫療級DIY(1支2元,525,109,4305,$2
24,《316小舖》今天特價【100款白鋼項鍊 生日禮物 鈦鋼項鍊 星星項鍊 超長項鏈 十字架項鍊/戒指手環對鍊耳環手鍊腳鍊】,38846,2473,4199,$148 - $309
25,☆批發☆《C1-00120＊1支價》特價＊圓形無耳洞耳夾式鑽石水鑽耳環男生女生通用,36852,800,3995,$9
26,【50款手環】鈦鋼手環 情人節禮物情侶手鍊情侶手環情侶對鍊另有項鍊耳環戒指項鍊 無贈品惡南宅急店【0209BX】,137961,2062,3972,$159
27,【買十送一】圓釦無耳洞耳夾 (鈦鋼/不銹鋼) 不會痛免耳洞 耳骨耳環 bigbang壓扣鋼夾式耳環G-Dragon GD,13509,293,3899,$50
28,★麻豆瘋★B1408【多色_水鑽直獠牙耳環】尖牙 (單個 西德鋼) 權志龍 GD G-Dragon 中性款,46991,1504,3897,$29
29,《316小舖》今天特價【60款316L鈦鋼手環 白鋼手環 生日禮物 情侶手環 情侶對環/對戒指項鍊手鍊子耳環腳鍊條】,38846,2477,3861,$128 - $179
30,★鑫飾品★B611【大小款_圓釦無耳洞耳夾】不用耳洞 鈦鋼 spexial晨翔 韓國免穿耳洞耳骨夾 耳掛 耳環 壓扣鋼夾,46211,1950,3819,$32
31,★鑫飾品★B1602【13色_馬卡龍 無耳洞耳夾】螢光色 耳骨夾 免穿耳洞耳環 韓國 BigBang GD 權志龍 晨翔,46213,1950,3753,$18
32,鋼耳環 抗過敏鋼耳針 畢業禮物 生日禮物 撞色繽紛 六爪圓形 中性耳環 男耳環 女耳環 單個價格 AGL04,9727,3622,3718,$29
33,★麻豆瘋★ B1328【10色_U型水鑽 無耳洞耳夾】(單個) 耳環 U形耳扣 耳骨夾 利特 免耳洞 耳骨 中性款,46991,1504,3610,$10
34,🔥免運↘買2送1🔥惡南宅急店【7333A】水鑽項鍊60款 情人節禮物情侶項鍊情侶對鍊另有耳環手鍊手鏈戒指 現貨不用等,137902,2063,3575,$169
35,現貨！鹿角造型｜飾品掛架 展示架 飾品架 首飾收納 耳環 項鍊 戒指 手鐲 堅固耐用 簡約時尚｜HNR8A1,42389,343,3528,$79
36,★麻豆瘋★P25【5色_大空心圓珠圓球 DIY飾品手工配件】鈦鋼抗過敏 多用款串珠/耳環/項鍊/手環 自由搭配【實拍】,46983,1505,3525,$15
37,★麻豆瘋★B1739【1~15號_磁石 無耳洞 夾式耳環】韓國 免穿耳洞 耳骨夾 耳窩 耳夾 耳掛 星星 月亮 十字,46999,1502,3524,$28
38,《無耳洞/有耳洞可戴》【獨家設計款】單個價/西德鋼鋼夾/磁鐵耳環 耳骨夾鋼針抗敏 另售帽子眼鏡框戒指項鍊IN2-S047,7944,336,3509,$79
39,★鑫飾品★B47【15色_不用耳洞 耳夾】彩色 無耳洞 隱形 耳環 夾式 耳環架 耳骨夾 耳掛 免穿耳洞 【實品拍攝】,46192,1950,3482,$15
40,【姆指媽媽】6mm不鏽鋼平台 耳針 高品質316L 醫療級 不鏽鋼 不銹鋼 耳釘 耳環 醫療鋼 手作 DIY (1支3元,531,124,3303,$3
41,★送耳環★惡南宅急店【0054G】男女生可素面毛帽長版毛帽反折毛帽 可搭圍巾手套 聖誕節交換禮物 保暖必備,137826,2064,3061,$75
42,《316小舖》今天特價【100款鈦鋼情侶對鍊 生日禮物 情侶項鍊 情侶項鏈批發長項鍊子 十字項鍊/腳鍊戒指手鏈手環耳環】,38787,2481,3059,$168 - $209
43,★惡南宅急店【0308B】12星座十二星座情侶 鈦鋼戒指手環手鍊耳環腳鍊韓劇藍色海洋的傳說單條價,137914,2062,3020,$45
44,《單支價》特價＊男女情侶款 圓形吸鐵石耳釘 磁吸耳飾 磁鐵耳夾 耳 圓形吸鐵石耳環,36852,800,3005,$5
45,★鑫飾品★B500【20色_雙頭大小水鑽 耳環】鈦鋼 永不生鏽 捷克水鑽 多用款 耳釘 眉釘舌釘 肚臍環 日韓流行經典款,46213,1949,2872,$39
46,☆時尚 MODEL 批發☆《C1-00135》特價＊龐克糖果色螢光色小鬍子耳釘/鬍子螢光耳針/耳環,36843,804,2633,$9
47,【姆指媽媽】高品質316L 不鏽鋼 耳扣 醫療級 不銹鋼 醫療鋼 耳堵 後束 耳塞 耳環 蝴蝶扣 耳針扣 (1個2元),531,124,2608,$2
48,惡南宅急店【0311B】附禮盒 韓劇太陽的後裔宋仲基情侶 鈦鋼戒指手環手鍊耳環腳鍊四葉幸運草手繩,137937,2062,2560,$120
49,惡南宅急店【0105D】獨家太陽的後裔鋼針耳環『首爾漫遊』韓版雜誌介紹？單顆售價,137879,2064,2538,$25
50,★鑫飾品★B1408【多色_水鑽直獠牙耳環】尖牙 鋼 權志龍 GD G-Dragon 中性款【實品拍攝 不滿意可退】,46190,1931,2430,$29
51,《316小舖》今天特價【42款鈦鋼鍊條 不銹鋼鍊子 生日禮物 特價鍊條批發長項鍊 短項鍊 鏈子項鏈戒指手鍊手環耳環】,38846,2478,2426,$158 - $399
52,★加送鍊子★惡南宅急店【0370C】魔戒指 骷髏戒指 西德鋼戒指 女戒男戒 情侶對戒對鍊 另有耳環戒指手環手鍊 可當項鍊,137947,2062,2395,$199
53,《316小舖》今天特價【S252】(74款夾式耳環和鋼針耳環-單邊價 男耳環 女耳環 吊墜耳環 無耳洞耳環 有耳洞耳環),38833,2478,2383,$38 - $48
54,台灣製鈦鋼夾式耳環《無耳洞/有耳洞可戴》單個價/西德鋼鋼夾/磁鐵耳環 耳骨夾鋼針抗過敏無洞耳環,761,129,2370,$79
55,☆批發☆《C1-00193》《一支價》DIY材料 彈簧夾式耳環 帶彈簧珠子耳鉤 耳勾 彈簧耳夾 螺絲耳夾 螺旋耳夾,36852,800,2264,$8
56,◆艾豆◆B29【14色_星星 三角 耳骨夾 耳環】spexial 晨翔 耳掛式 無耳洞 耳夾 G-Dragon 權志龍,8380,1642,2253,$19
57,★鑫飾品★B1328【多色_U型水鑽 無耳洞耳夾】夾式耳掛 U形耳扣 耳骨夾 不用耳洞 簡約耳環 日韓流行甜美款,46200,1950,2232,$10
58,今日買一送一《韓國文青質感圓框造型眼鏡框 可配度 男女皆可》賣場還有情人戒指生日禮物耳環手環帽子太陽眼鏡IN2-N422,7944,336,2190,$249 - $274
59,★麻豆瘋★B1870【鋼耳針0.7*13號】養耳朵 隱形耳環 316L醫療鋼 鈦鋼 防過敏 可戴著洗澡 打耳洞 迷你耳針,46994,1504,2137,$3
60,多款飾品盒 幸運草飾品盒 耳環盒 戒指盒 項鍊盒 紙盒 包裝盒 禮品盒 隨機出貨 單個價【NFH001】Z.MO鈦鋼屋,26732,2756,2103,$20
61,★麻豆瘋★B1572【多款_DIY打耳洞 打洞器】穿耳器 按一下就穿好耳洞+戴上耳環 鈦鋼耳針防過敏 個人用防感染 批發,46994,1503,2082,$58
62,★鑫飾品★B89 磁鐵 磁石耳環(0.4/0.5/0.6公分單個=售價) 不痛 輕便式DIY 隱形耳夾 無耳洞不用穿耳洞,46211,1950,2049,$2
63,惡南宅急店【LT0010H】刻字服務(不含主商品) 畢業禮/情侶 鈦鋼戒指手環手鍊耳環腳鍊手工刻字1-8個字 刻字區,137819,2064,1894,$50
64,★麻豆瘋★B500【20色_雙頭水鑽(超細針)耳環】(單個 鈦鋼 捷克水鑽 超級閃亮) 多用款 耳釘耳針眉釘舌釘肚臍環,47003,1502,1883,$39
65,★麻豆瘋★B2811【多款_十字架 圓釦無耳洞耳夾】耳環 (單個 鈦鋼)改良型不會痛 免耳洞 耳骨夾 壓扣鋼夾式 中性款,46994,1503,1873,$58
66,★麻豆瘋★B1890【大小款_4色細款簡約亮面圓釦耳環】中性款 帥氣 SHINee KEY 鈦鋼防過敏【實拍】,46994,1503,1749,$39
67,【姆指媽媽】高品質316L 不鏽鋼 耳勾 不銹鋼 耳鈎 耳環 耳勾 醫療級 醫療鋼 耳鉤 DIY 手作手工藝(1支4元),531,124,1687,$4
68,惡南宅急店【4070A】正韓劇來自星星的你 太陽的後裔皮革鎖頭情侶 鈦鋼戒指手環手鍊耳環腳鍊中性男女可單條價,137888,2063,1642,$119
69,????任選二件180元????惡南宅急店【2023A】情人節 百搭情侶 鈦鋼戒指手環手鍊耳環腳鍊髮箍眼鏡手錶,137470,2042,1633,$180
70,★麻豆瘋★B1385【24色_捷克水鑽 磁石 無耳洞耳環】(鈦鋼閃鑽版)中性款 不用耳洞 耳骨 韓國明星飾品 實品拍攝,46994,1504,1583,$39
71,【姆指媽媽】3mm 不鏽鋼平台 耳針 高品質316L 醫療級 不鏽鋼 不銹鋼 耳釘 耳環 醫療鋼 手作DIY(1支2元),525,109,1550,$2
72,🔥買4送1🔥惡南宅急店【0178D】易扣式耳環 吳亦凡EXO鹿晗鈦鋼耳環 另有磁鐵耳環夾式耳環鈦鋼耳環（單支價）,137944,2062,1517,$39
73,★買1送7件贈品★惡南宅急店【0209B】情侶 鈦鋼情人節禮物生日禮物白鋼鈦鋼對鍊戒指手環手鍊耳環腳鍊單條價,137941,2062,1503,$175
74,★鑫飾品★B43【6色_大小款圓環圓耳扣 耳環】鈦鋼防過敏 男女適用 中性款 百搭經典款 東方神起 BTS防彈少年 潮流,46213,1950,1495,$25
75,★鑫飾品★B1739【16~34號_磁石 無耳洞 夾式耳環】韓國 免穿耳洞 耳骨夾 耳窩 耳夾 耳掛 愛心 嘴唇 海星,46187,1931,1454,$28
