,item,rate,num_product,num_sold,price
0,《免運費附發票》防水皮革背包/大容量背包/後背包/防水背包 /耐磨防刮 / 背包【VR030277】『潮段班』,96053,756,20001,$579
1,《現貨/免運/送側背包》防水帆布防盜大容量背包 學生包 後背包 旅行包 電腦包 書包 背包【VR00A234】,96078,761,11373,$479
2,《台灣現貨 防水防盜槍包》便攜輕量 防盜帆布 側背包 槍包 小包包 胸包 【VR00A232】『潮段班』,96118,761,11141,$390
3,《台灣現貨 / 防潑水充電背包》防盜/充電背包/雙肩包/後背包/電腦後杯包/防水背包【VR00A305】,96111,761,11109,$399
4,《新春限時促銷》防水帆布背包/大容量背包/充電背包/後背包/學生包/電腦包 背包【VR00A304】『潮段班』,96118,761,10930,$399
5,《台灣現貨 韓版皮革側背包》皮革側背/單肩包/後背包/可充電/隨身小包 側背包【VR00A303】,96111,761,10738,$239
6,《台灣現貨 質感水洗帆布/》防水大容量/充電背包/電腦包/後背包【VR00A302】,96078,761,10243,$399
7,《台灣現貨 豬鼻子充電背包》USB充電背包簡約學院風休閒大容量雙肩防水後背包學生包【VR00A306】,96111,761,10087,$479
8,厚棉帆布 BIGBANG 情人節禮物 TWICE EXO 束口袋 GOT7 少女時代 BTS 超人 後背包 TFBOYS,4176,920,10011,$125
9,《現貨 USB可充電背包》 胸包 運動包 側背包 防水背包【VR00A300】『潮段班』,96016,757,9956,$199
10,COZY【全館商品任選5件599】 / 買五送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18301,95,9752,$599
11,♥傑茂精品♥ 3件免運！皮革單肩包斜背包側背包斜挎包手提包手拿包女包包 水桶包小方包小包雙肩包後背包旅行包大包書包男47,355,876,8500,$278
12,♛Crown♛ 3件免運！皮革單肩包斜背包側背包斜挎包手提包手拿包女包包 水桶包小方包小包雙肩包後背包旅行包大包書包34,201,878,8289,$283
13,♥傑茂精品♥ 3件免運！日韓皮革長夾錢夾皮夾 另賣短夾小零錢包皮包男包女包 手提包手拿包側背包單肩包後背包雙肩包書包56,355,876,8277,$227
14,♛Crown♛三件免運！日韓皮革長夾錢夾皮夾 另賣短夾小零錢包皮包男包女包 手提包手拿包側背包單肩包後背包雙肩包書包55,201,878,8073,$233
15,COZY【全館商品任選1件120】 / 買五贈送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18301,95,7817,$120
16,COZY【全館商品任選1件120】 / 買五贈送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18301,95,7680,$120
17,♥傑茂精品♥ 3件免運！真皮商務公事包手提包 電腦包手拿包單肩包斜背包側背包男包包 後背包雙肩包旅行包書包胸包女皮夾15,355,876,7495,$478
18,Leos小舖 【現貨當天寄】【豬鼻後背包】28款韓版豹紋眼鏡翹鬍子旅行包蝴蝶結嘴唇螢光長夾束口袋皮夾,34569,161,7327,$160
19,♛Crown♛ 3件免運！真皮商務公事包手提包 電腦包手拿包單肩包斜背包側背包男包包 後背包雙肩包旅行包書包女包錢包20,201,878,7177,$483
20,Leos小舖【立體貓耳朵後背包】韓版側背包手提包書包翹鬍子豬鼻包旅行包皮夾束口包嘴唇包兔迷彩英文字母,34569,161,6877,$180
21,COZY【全館商品任選1件120】 / 買五贈送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18299,95,6252,$120
22,COZY【全館商品任選5件599】 / 買五送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18300,95,6159,$599
23,COZY【全館商品任選5件599】 / 買五送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18301,95,6007,$599
24,【⬆️368購物】韓版AHONG大容量媽媽包 後背包 手提包收納 防水媽媽包 嬰兒包 防潑包 媽咪包 媽咪旅行包 待產包,1110,249,5968,$430
25,《台灣現貨 帆布小包》 帆布小包 相機包 男女側背背包【VR00A236】,96110,761,5434,$139
26,2套免運鞋褲不濕【天德牌雨衣旗艦店】R5背包版 股溝無縫 新R2特仕背包版 有大尺寸 上衣雨褲含可拆隱藏雨鞋套雨帽收納袋,19808,69,5355,"$1,100"
27,COZY【全館商品任選1件120】 / 買五贈送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18301,95,5044,$120
28,COZY【全館商品任選1件120】 / 買五贈送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18300,95,4976,$120
29,【368購物】韓版AHONG媽媽包 多功能多口袋 牛津布防水 書包 雙肩後背包 轉型出清 特價,1162,255,4950,$399
30,【買一送一！單肩時尚斜背】台灣現貨 胸包 槍包 防盜包 運動腰包 公事包 側背包 後背包 斜背包包 單肩包 潮包 包包,144111,694,4623,$365
31,帆布包 英文字母 小資女孩 斜背包 帆布袋 帆布包 單肩手提帆布包 泡泡先生 帆布袋 環保袋 文青包 上課必備 側背包,8537,157,4589,$99
32,《台灣現貨 貓咪背包》大容量寵物太空包 寵物外出包  寵物背包 寵物後背包 貓咪太空包 【VR030460】,96078,761,4531,$699
33,美國潮牌Supreme&THE聯名雙肩包 雪山後背包 休閒包 旅行包 登山包 書包 防水尼龍帆布包 男女情侶包 交換禮物,133,30,4325,$750
34,【現貨-免運費！台灣寄出】型男潮包 後背包 韓版可充電 背包 包包 防水背包 電腦包 防水後背包 男生背包,24440,496,4310,$590
35,COZY【全館商品任選5件599】 / 買五送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18299,95,4274,$599
36,尼龍防潑水TWICE手環EXO束口袋TFBOYS無限團BIGBANG後背包BTS戒指少女時代GOT7情人節禮物aoa,4176,920,4051,$80
37,Leos小舖 【素面雙皮帶扣後背包】XB-036側背包手提包書包旅行包束口包包,34558,163,4013,$290
38,《台灣現貨 鎖防盜背包》防盜背包/後背包/USB充電背包/防水背包/電腦背包/背包【VR030276】『潮段班』,95988,758,4005,$579
39,【金屬五金手提包】韓版十字紋側背包肩背手提包書包翹鬍子旅行包皮夾束口包磨砂鎖扣英文字母後背包包,34569,161,3847,$320
40,現貨Adidas防水尼龍雙肩包 愛迪達後背包 潮流時尚印花帆布包 學生背包 書包 男包女包 情侶包 運動休閒包 電腦筆電,133,30,3844,$699
41,日本anello多功能黑鏡高密度尼龍雙肩包 旅行書包 防水學生背包 大容量後背包 運動休閒包 電腦包 騎行背包 生日禮物,133,30,3831,$890
42,絕地求生三級包 戰術背包 USB充電包 戶外吃雞多功能迷彩包 大逃殺書包 雙肩包 後背包 帆布包 運動休閒包 交換禮物,133,30,3830,$699
43,三葉草背包男2018新款雙肩包女大容量學生書包韓版戶外旅行潮包,131,30,3828,$1
44,現貨耐吉NIKE時尚百搭雙肩包 後背包 防水尼龍帆布包 背包 書包 運動休閒包 旅行包 登山包 男女情侶包 生日禮物,133,30,3823,$750
45,現貨！防潑水｜單肩斜背包 背包 胸包 單肩包 側背包 斜肩包 大容量 多隔層 簡約時尚｜HOS7A2,42389,343,3801,$349
46,超輕量速乾雨衣 褲管/下擺加寬 機車族必備 好穿脫 可背背包 加長 連身雨衣 兩件式雨衣 套裝雨衣 ARZ【B120】,233753,1044,3691,"$698 - $1,290"
47,現貨！素面簡約｜帆布雙肩包 後背包 雙肩包 筆電包 書包 大容量 可放15吋筆電 立體弧度｜HOS841,42402,343,3668,$229
48,AJ運動休閒男女學生旅行包袋雙肩包書包背包手提包,132,30,3508,$1
49,上班日台中發貨 吉田款 超多隔層獨家背帶加強訂製款 超滑順雙拉頭 防潑水尼龍 男生側背包/斜肩包/斜背包【3680】,21101,214,3418,$350 - $450
50,【台灣現貨爆多請趕快購買-附USB接線】多格層外置USB充電男女休閒胸包 槍包 帆布包 斜背包 後背包,850,156,3365,$99
51,現貨！簡約文青｜單肩帆布包 帆布包 單肩包 側背包 肩背包 堅固耐磨 滑順拉鍊 雙層內袋｜HOS891,42389,343,3351,$199
52,(現貨附發票)【 質感皮革時尚束口後背包A813系列 】另有售翹鬍子英倫豬鼻包十字紋側背包書包韓版長夾皮夾 女包包,30428,653,3333,$269
53,日單現貨anello條紋牛津布雙肩包 學院風校園書包 學生背包 防水旅行包 大容量後背包 情侶包 男女休閒包 帆布包筆電,133,30,3330,$750
54,【現貨 附發票】防盜軟皮鉚釘兩用包 可當後背包及側背包 編號6948 線繡 女包包,30449,658,3326,$330
55,(現貨附發票)【質感十字紋防水皮質束口袋兩用後背包A821】最佳休閒包款/時尚優雅皮質/另有售側背包皮夾  女包包,30437,655,3297,$299
56,單肩手提電腦背包 防潑水 防撞包 隱藏拉鍊 多夾層 行李拉桿固定帶 斜側背 筆電包 電腦包 3C收納包ARZ【A171】,233753,1044,3231,$490
57,=寵喵百貨= ５號 鋁合金快扣 快掛D字扣 鋁合金D型掛勾 D型扣 登山扣 D型扣環 安全扣 背包扣 水壺扣 鑰匙圈,18308,851,3213,$4
58,COZY【全館商品任選5件599】 / 買五送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18301,95,3206,$599
59,5折出清『現貨』五十款 韓系 男生包包 後背包 側背包 斜背包 手拿包 小包 男包 背包 皮包 手提包 韓系 歐美,3240,75,3166,$390
60,Leos小舖【壓花皮革後背包】韓版 側背肩背手提包書包翹鬍子旅行包皮夾束口包學院風海軍風迷彩英文字母後背包包,34569,161,3118,$320
61,【TSG】現貨 2020  adidas 黑武士 胸包 腰包 小背包 男女通用,2893,441,3064,$490
62,《現貨 多尺寸可選 男女通用背包》日系 防水後背包 大容量背包 充電後背包 後背包【VR030482】『潮段班』,96111,761,3050,$239 - $479
63,《台灣現貨 大容量韓系背包》韓系背包 大容量背包 男後背包 女後背包 雙肩包 後背包 防潑水設計【VR030528】,96053,756,3013,$579
64,《台灣現貨 充電側背包》3色 防潑水設計 胸包 槍包 防盜包 運動腰包 側背包 斜背包 單肩包 【VR030527】,96111,761,3012,$369
65,《台灣現貨 防水充電包》韓系 防潑水設計 斜背包 胸包 側背包 背包 男女通用【VR030529】『潮段班』,96111,761,3006,$369
66,現貨絕地求生PUBG吃雞遊戲三級包 特種軍迷彩雙肩包 多功能戶外登山騎行包 學生書包 旅行電腦包 背包,55,48,2992,$690
67,惡南宅急店【0004L】獨家太陽的後裔權志龍斜背包 or G-Dragon高磅尼龍大容量 側背包/肩背/手提皆可？單款價,137942,2062,2987,$320
68,出清! 實拍 熊本熊迪士尼米奇米妮維尼 史努比 史奴比 黛西唐老鴨小小兵信封包 卡通包 手拿包 斜背包 單肩包,4900,148,2981,$80
69,【JOY小舖】出清下殺! 單肩包 側背包 帆布背包 帆布包 韓版潮流男休閒胸包 時尚多功能單肩包 斜背包,12861,660,2929,$99
70,美國潮牌Supreme雙肩包 街拍百搭後背包 3M反光背包 學生男女情侶包 書包健身包 旅行包 帆布防水包 運動休閒包,133,30,2832,$699
71,背包防水雨罩 適用登山/攝影/旅遊/露營 防水 防沙塵 防髒汙 背包雨衣 後背包防雨套 防水套 防雨罩ARZ【B122】,233753,1044,2802,$69 - $99
72,Leos小舖【限時免運】 【防潑水十字紋後背包】韓版側背包肩背手提包書包旅行包皮夾束口包學院風後背包包,34569,161,2719,$350
73,【酷露馬】6.8CM 快掛D字扣 鋁合金D型掛勾 D型扣 D扣 D型扣環 S掛勾 背包扣 水壺扣 適魚骨釘 CH012,31689,714,2619,$10
74,【TSG】 現貨 2020 NIKE 雙肩包 後背包 男女通用,2893,438,2614,$690
75,【TSG】現貨 男女通用 MLB 洋基 胸包 腰包 小背包,2856,435,2605,$590
76,Leos小舖【MHL側背包】 XB-003韓版側背包肩背手提包書包旅行包皮夾束口包後背包包,34569,161,2518,$150
77,快速出貨《買一送一》USB充電背包斜背包側背包背包電腦包手拿包登山包書包多功能零錢休閒【27-217】,18542,194,2512,$520
78,多多印-客製化圖案大束口包訂做束口後背包訂製個性束口背包束口袋後揹包手提包手提袋購物袋寵物包肩揹包書包收納袋大量訂製批價,6575,319,2470,$250 - $300
79,現貨 附發票 嘉義出貨 女包包 HAHA防水尼龍後背包 BB03298 優質面料 另有售皮夾 手提包 側背包 寶來小舖,30450,658,2424,$160
80,全新現貨Adidas雙肩包後背包 學生書包 三葉草休閒背包 愛迪達運動背包 男女包 背包 防水包 旅行包,55,48,2349,$390 - $590
81,"""""買一送一""""無印風格百搭後背包""""現貨原宿 韓國 日本男女 帆布包 休閒 側背 斜背 旅行 代購皮夾",4217,94,2325,$299
82,(缺貨) 真牛皮防搶包 有耳機孔 防偷包 斜背包 胸前包 真皮包 外出出國必備 休閒包男士包女士包,16795,459,2323,"$8,901"
83,免運【總代理公司貨】NIID FINO 槍包※防盜包 斜背包 側背包 單肩包 腰包 胸包 後背包【D004】,2886,15,2294,$999
84,【酷露馬】6.8CM 快掛D字扣 鋁合金D型掛勾 D型扣 D扣 D型扣環 S掛鉤 背包扣 水壺扣 S掛勾 CH012,31639,710,2284,$10
85,熱銷現貨★ 10L休閒健行運動背包 QUECHUA NH100 後背包 肩背包 登山包 台灣迪卡儂 原裝正品【潮玩】,4165,185,2268,$299
86,【TSG】 2020 Supreme 反光防水側背包 側背包 男女通用,2856,435,2234,$690
87,GOT7 BIGBANG GD SHINee中毒EXO VIXX BTS少女時代INFINITE上癮BAP束口後背包,3839,86,2213,$99
88,【２件免運】現貨！日韓學院風 休閒牛津背包 後背包 郵差包 斜背包 側背包 帆布包 登山包 書包 筆電包 休閒包,3342,378,2189,$299
89,現貨 附發票 嘉義出貨 女包包 優質日系原宿風大開口後背包包Traveling 寶來小舖,30437,655,2166,$288
90,全新現貨Nike雙肩包後背包 學生書包 AJ休閒背包 飛人喬丹運動背包 男女包 背包 防水包 旅行包,55,48,2146,$390 - $590
91,【日系背包】】HB-002韓版側背包肩背手提包書包旅行包皮夾束口包後背包包,34573,160,2113,$180
92,【現貨五件免運】 紀梵希 BIGBANG GD 權志龍 BOY SHINee EXO 抽繩 束口包 束口袋 後背包,3838,86,2105,$120
93,COZY【全館商品任選5件599】 / 買五送一件再加贈免運 / 短T 短褲 背包 外套 / 全館滿599免運,18301,95,2089,$599
94,男包 潮流撞色混搭斜拉鍊側背包包 NEW STAR BL63,18940,270,2050,$459
95,全新現貨 Adidas 單肩包 三葉草 斜跨包 愛迪達休閒肩包 Nike 男女包 背包 防水包,55,48,2016,$350
96,全新現貨Puma雙肩包後背包 學生書包 撲馬休閒背包 運動背包 男女包 背包 防水包 旅行包,51,48,2002,$390 - $490
97,【現貨-免運費！台灣寄出】韓系背包 側背包 羽量級防潑水 包包 斜背包 腰包 背包 單肩包 男包 小背包 男生包包 胸包,24438,494,1977,$370
98,【優木森 箱包館】ins新款 韓風文青風 手提袋 帆布袋 單肩包 側背包 購物袋 肩背袋 環保袋 有內袋,51990,350,1973,$99
99,【網路佰客】極亮大眼蛙燈-最輕亮最久最佳頭盔燈-內附電池2顆-四代青蛙燈車尾燈警示燈背包燈防水營繩灯營釘燈帳篷小夜燈,14503,164,1925,$18
100,下殺MeiJieLuo【USB胸包】附USB線 韓系休閒男士側背包 男用斜背包 旅行充電接口單肩包 防潑水胸前包 前胸包,140813,1937,1877,$125
101,戰術腰包生存遊戲機車環島（單肩包GIVI腿包背包komine丹尼斯手提包斜跨包腿掛包MENAT登山包SWAT自行車包）,35909,120,1848,$230
102,【日安】多耐福DURAFLEX軍用雙頻口哨/求救哨/救生口哨高低音雙頻口哨高分貝防狼口哨求生哨-露營雙肩背包登山海釣魚用,42207,1483,1825,$20
103,(清倉)現貨 附發票 嘉義出貨 女包包 法國小鬍子後背包】 另有售韓劇豬鼻包英文撞色帆布英倫包長夾束口袋皮夾 寶來小舖,30412,654,1790,$160
104,(現貨附發票)【簡約百搭托特包】韓版側背包 另有售後背包豬鼻包書包復古十字紋皮夾單肩手提包  寶來小舖,30344,648,1728,$180
105,MHL帆布包 買包送包  韓國爆款 復古牛仔帆布包 手提袋 購物袋 大方包 後背包 側背包 生日禮物,4217,94,1715,$199
