,item,rate,num_product,num_sold,price
0,【群益襪子工廠】棉短襪12雙100元 MIT製作、棉襪、學生襪、船襪、襪套、踝襪、運動襪、滿800免運,19326,409,14933,$100
1,馬卡龍色系糖果棉襪 短襪 襪子 隱形 糖果色 純棉 純色 吸汗 防臭 隱形 舒適 高質感 糖果棉襪 日韓 批發 多色,4321,280,4906,$9
2,買十送二 MIT台灣製氣墊竹炭襪子 涼爽透氣舒適 毛巾底隱形襪 運動襪 上班族運動騎車最佳選擇,4602,86,4521,$25
3,《老K的襪子工廠》 工廠直營～薄利多銷～保證台灣製【船襪、1/2襪】促銷.....12雙99元,5732,342,4031,$99
4,★現貨.附發票★休閒襪 船型襪  特價 1雙10元  襪子 短襪 素色襪 1/2  MIT 男女短襪,3530,27,4021,$10 - $13
5,《交叉彈力襪 防滑襪》瑜珈襪 瑜珈交叉彈力襪 運動襪 襪子【VR030501】『潮段班』,96053,756,4003,$99
6,【現貨-免運費！台灣寄出】除臭襪 抗菌襪 短襪 船型襪 中筒襪 長襪 襪子 男襪 棉襪 純棉襪 台灣製造 大尺碼 裸襪,24440,494,3925,$69 - $110
7,十月媽咪屋【CS336409】新款嬰兒多款日單學爬襪套/春秋穿搭必備/袖套/護膝/護肘/襪子,62072,808,3717,$30
8,【現貨-免運費！台灣寄出】除臭襪 籃球襪 運動襪 護踝運動襪 抑菌襪 機能襪 男襪 短筒運動襪 籃球短筒 襪子 短筒襪,24291,490,3712,$69 - $98
9,[ Y.U ] [ 滿4雙 免運費 ] 1代 運動襪 籃球襪 中高筒 底部加厚 跑步 足球 登山 六色襪子 長襪,1404,53,3249,$155
10,買5送1.買10送3(贈品請勿下單)~排汗王~MIT~XMAX~足弓涼感氣墊襪-男款~襪子~透氣~排汗~抗菌~除臭,25075,1402,3224,$88
11,台灣製造~加大竹炭毛巾底短襪 26~29CM ~吸濕快乾 透氣乾爽1/2短襪棉襪男生襪子除臭襪NO.93998加厚短襪,28062,297,3195,$40
12,余文樂同款 雪花襪 日韓潮流 復古  麻花 襪子 中筒 長襪 隱形襪 船型襪 棉襪 舒適 透氣【STMO01】,6988,219,2845,$39
13,【群益襪子工廠】(黑色12雙200)毛巾短襪、氣墊襪、厚底襪、毛巾襪、短襪、踝襪、運動襪、襪子、混色額外告知,19325,409,2687,$200
14,無效退費 襪子10雙免運 15再送1 足立康treecom健康除臭襪輕壓力襪 船型運動襪最有效的除臭船型襪 長襪 中筒襪,4587,86,2663,$100
15,【群益襪子工廠】(黑色12雙250)毛巾1/2長襪、氣墊襪、厚底襪、運動襪、棉襪、長襪、短襪、踝襪、混色額外告知,19326,409,2661,$250
16,【現貨-免運費！台灣寄出 實拍+用給你看】除臭運動襪 吸汗棉襪 除臭襪 防臭襪 男襪 透氣襪 男短襪 襪子 裸襪,24371,494,2572,$128
17,【台灣現貨 D001】 北歐風 加厚多格收納盒 分格收納盒 衣物 內衣 內褲 小物收納 衣櫃收納 襪子 整理盒 收納箱,2544,132,2560,$119 - $139
18,嚴選襪子工廠(非五指襪 竹炭襪 毛襪 棉襪)船襪.超短襪.踝襪.超低襪.可拋棄式襪子 免洗襪 .隱形襪套【學生襪】12雙,16938,220,2407,$95
19,【牛牛柑仔店】極簡無印風格 短襪 紳士襪 船型襪 西裝襪 襪子 男襪,20262,553,2379,$10
20,【免運費-現貨！台灣寄出】瘦腿襪套 塑身襪 瘦腿襪 塑腿襪 美腿神器 塑身 襪套 褲襪 襪子 彈力襪,23447,473,2321,$150 - $299
21,【美承襪子工房】台灣製/社頭鄉/純棉短襪/襪套/船襪/學生襪/條紋襪/隱形襪/直角襪-男女通用隱形襪,784,24,2284,$20
22,【１５雙免運】腳跟超強力防滑落！純棉透氣可愛糖果襪隱形襪 船型襪 襪子 5道矽膠後跟防掉落 現貨 《Chiemi☆千笑》,2465,54,2252,$49
23,BANG◎船型襪任選12雙 120元 黑灰白 短襪 球襪 基本款 襪子 休閒襪【Z06】,19789,1108,2131,$120
24,【群益襪子工廠】棉隱形襪－棉襪、紡織、隱形襪、超短隱形襪、保證MIT、12雙180元,19321,409,2121,$180
25,【羊角坊☆現貨】cos/cosplay 天鵝絨大腿襪子膝上襪長筒襪高筒襪絲襪 黑色白色咖啡色淺綠色紅色深綠墨綠色淺紫色,6820,2097,2094,$100
26,【自由天狗】現貨）二條槓 純棉 民族風 獨立包裝帶吊卡買10送2 襪子 原宿復古襪學生襪 雙槓條紋長筒襪足球襪運動襪,1706,35,2083,$40
27,超柔不透明開襠絲襪/連身褲襪美腿絲襪 OL必備顯瘦襪子 各式性感睡衣情趣內衣角色扮演服美配件 情人節禮物流行E線B396,12308,617,1951,$199
28,【現貨】馬卡龍色船型襪女襪棉襪子純棉襪隱形淺口短襪船襪船型襪批發價,1545,32,1866,$15
29,台灣製造~男生加大竹炭細針船襪 26~29CM ~吸濕快乾 透氣乾爽 短襪棉襪男生襪子加大襪子 NO.93981,28065,297,1857,$35
30,露趾五指襪 瑜珈襪/運動襪/防滑女襪/純色中筒襪/秋冬/運動/瑜伽五指襪/襪子禮品/吸汗/舒適/休閒 現貨D18,5574,1603,1808,$45
