,item,rate,num_product,num_sold,price
0,《台灣現貨 男女通用防水拉鍊長夾》大容量多功能手拿包男士長夾卡夾零錢包防水拉鏈長夾【VR00A231】,96119,761,12329,$239
1,現貨！瘋馬皮｜牛皮皮夾 真皮皮夾 男生皮夾 拉鍊錢包 復古造型 皮革拉鍊頭 大容量 時尚｜HFW781,42389,343,12151,$299
2,【現貨12H出貨！下殺249元】韓版多卡位 零錢袋短夾 撞色皮夾 零錢包手拿包短皮包信用卡夾男用皮夾男夾【DE221】,144111,694,11951,$249
3,【誠信店鋪】支付寶/微信/紅包/QQ錢包/儲值/代儲/大陸銀行/匯款/淘寶代購/代付/咨詢教學,365,4,9900,$1
4,♥傑茂精品♥ 3件免運！日韓皮革長夾錢夾皮夾 另賣短夾小零錢包皮包男包女包 手提包手拿包側背包單肩包後背包雙肩包書包56,355,876,8277,$227
5,♛Crown♛三件免運！日韓皮革長夾錢夾皮夾 另賣短夾小零錢包皮包男包女包 手提包手拿包側背包單肩包後背包雙肩包書包55,201,878,8073,$233
6,♛Crown♛ 3件免運！真皮商務公事包手提包 電腦包手拿包單肩包斜背包側背包男包包 後背包雙肩包旅行包書包女包錢包20,201,878,7177,$483
7,【下殺299元！送充電線or證件吊牌】長夾手拿包 男夾 手機包 可放5.5吋手機 零錢包 長皮包 男用皮夾 錢包 手拿包,144111,694,6443,$299
8,【CK專櫃正品】Calvin Klein零錢袋短夾+鑰匙圈禮盒組◎附專櫃購買證明可附CK提袋 男用真皮皮夾錢包,3023,21,4883,"$980 - $1,010"
9,moneybookers Skrill 台幣 TWD 點數卡 電子錢包 可支付bet365 Skype,1104,5,4823,$1
10,貓耳FM  鑽石 錢包 代充 代儲 代付 猫耳FM,14357,94,3615,$49
11,現貨！簡約時尚｜商務短夾 男短夾 男皮夾 男生錢包 多卡位 可拆卸卡夾 大容量 零錢袋｜HFW7C1,42389,343,3480,$249
12,(布丁體育)NIKE 運動皮夾 FILA 尼龍錢包(三折式) 運動皮夾 另賣 斯伯丁 molten 籃球 打氣筒 籃球袋,38327,1470,3398,$350 - $380
13,【週年慶 正品下殺特惠】喜番屋真皮牛皮配帆布撞色男士皮夾皮包錢夾零錢包短橫款短豎款男夾男包【LH14】,5466,986,3371,$229
14,快速出貨《日韓最新.原價1680》黑角皮包拉鍊零錢袋設計零錢包真皮夾手提包生日禮物情人節禮物聖誕父親節【27-196】,18544,194,3194,$280
15,快速出貨《送禮盒.原價1680》黑角皮包拉鍊零錢袋設計(零錢包真皮夾生日禮物情人節禮物聖誕父親節【27-174】,18542,194,2701,$179
16,"(送長短掛繩) ""掛頸素面包"" ""高品質""""韓國版皮革 掛脖 繩小物包手機袋手機包零錢包隨身手提手拿包頸掛包",4217,94,2636,$135
