,item,rate,num_product,num_sold,price
0,《316小舖》今天特價【100款316L鈦鋼戒指 生日禮物 情侶對戒 情侶戒指項鍊 男戒女戒鋼尾戒子/耳環手鍊手環腳鍊】,38846,2473,12544,$58 - $99
1,🔥買４送１🔥惡南宅急店【0138D】鈦鋼白鋼 耳針耳環 磁鐵耳環龐克素面耳環假擴耳西德鋼耳環另有項鍊手環戒指 單顆價,137937,2062,9569,$39
2,【80款任選】送禮推薦 鈦鋼項鍊情人節禮物情侶項鍊情侶對鍊另有耳環手鍊手鏈戒指 單價(無贈品)惡南宅急店【8000AX】,137965,2062,7825,$115
3,☆《B1-00146》12 星座英文字母項鏈 鎖骨鏈 短項鏈 十二星座項鍊,36852,800,6300,$25
4,【加送好禮】惡南宅急店 鈦鋼項鍊40款 情人節禮物情侶項鍊情侶對鍊另有耳環手鍊手鏈戒指單價【7179A】,137947,2062,6191,$249
5,附禮盒提袋>鈦鋼情侶對鍊/西德鋼/情侶項鍊/情侶戒指/生日禮物/情人節禮物/情侶手環/送禮/情侶飾品/送女友/送男友,12159,474,6034,$298
6,【加送好禮】惡南宅急店 鈦鋼項鍊40款 情人節禮物情侶項鍊情侶對鍊另有耳環手鍊手鏈戒指單價【7179A】,137944,2062,5414,$249
7,《316小舖》今天特價【100款鈦鋼情侶對鍊 生日禮物 情侶項鍊 十字架項鍊 長項鍊 情侶項鏈/腳鍊戒指手鍊子手環耳環】,38846,2478,5347,$128 - $169
8,《316小舖》今天特價【100款316L鈦鋼戒指 生日禮物 情侶對戒 銀戒金戒 黑戒藍戒尾戒子 男戒女戒/項鍊手鍊手環】,38846,2473,5096,$98 - $139
9,【50款手環】送禮推薦 鈦鋼手環情人節禮物情侶手鍊情侶手環情侶對鍊另有項鍊耳環戒指項鍊 無贈品惡南宅急店【0209BX】,137944,2062,4743,$159
10,★限時$８８★惡南宅急店【7305A】玩命關頭8 唐老大項鍊馮迪索巨石強森保羅沃克水鑽項鍊十字架宗教項鍊嘻哈項鍊,137965,2062,4651,$88
11,🔥★買１送１★🔥惡南宅急店【0341C】純鋼12星座變色戒指 變色魔戒 情侶對戒 情侶對鍊 情侶項鍊,137913,2062,4648,$88
12,對鍊2條298元贈好禮《99款可選》可加購刻字 生日禮物送禮 情侶 鈦鋼項鍊 情侶對鍊 一對價 Z.MO鈦鋼屋,26732,2757,4482,$149
13,七夕情人節禮物《99款可選》可加購客製化刻字 生日禮物送禮 情侶項鍊 白鋼 情人對鍊 單條價 Z.MO鈦鋼屋,26686,2793,4472,$298
14,★免運★買2送1 惡南宅急店【7333A】正韓劇太陽的後裔 簡約四葉幸運草項鍊 鎖骨情侶合金風格幾何水鑽元素,137944,2062,4204,$149
15,《316小舖》今天特價【100款白鋼項鍊 生日禮物 鈦鋼項鍊 星星項鍊 超長項鏈 十字架項鍊/戒指手環對鍊耳環手鍊腳鍊】,38846,2473,4199,$148 - $309
16,【50款手環】鈦鋼手環 情人節禮物情侶手鍊情侶手環情侶對鍊另有項鍊耳環戒指項鍊 無贈品惡南宅急店【0209BX】,137961,2062,3972,$159
17,♞快速出貨♞鑰匙圈+四結鍊+龍蝦扣 DIY手作配件 鑰匙扣 高檔鑰匙圈 手鍊項鍊材料 手機繩配件 奶嘴鏈配件 手工材料,23547,341,3912,$6 - $8
18,《316小舖》今天特價【60款316L鈦鋼手環 白鋼手環 生日禮物 情侶手環 情侶對環/對戒指項鍊手鍊子耳環腳鍊條】,38846,2477,3861,$128 - $179
19,《316小舖》今天特價【現貨15款真金18K金項鍊  生日禮物 金沙項鍊 結婚金飾 仿真項鍊子 耐久不褪色 仿金鏈條】,38846,2473,3719,$298 - $439
20,SLS-100 防掉防汗水 IPX67運動耳機 無線耳機 重低音 磁吸 項鍊式 藍牙耳機,44994,1196,3695,$279
21,🔥免運↘買2送1🔥惡南宅急店【7333A】水鑽項鍊60款 情人節禮物情侶項鍊情侶對鍊另有耳環手鍊手鏈戒指 現貨不用等,137902,2063,3575,$169
22,現貨！鹿角造型｜飾品掛架 展示架 飾品架 首飾收納 耳環 項鍊 戒指 手鐲 堅固耐用 簡約時尚｜HNR8A1,42389,343,3528,$79
23,★麻豆瘋★P25【5色_大空心圓珠圓球 DIY飾品手工配件】鈦鋼抗過敏 多用款串珠/耳環/項鍊/手環 自由搭配【實拍】,46983,1505,3525,$15
