,item,rate,num_rate,num_sold,price
0,MIT可客製『親子款』素面漁夫帽 漁夫帽 硬挺版漁夫帽 穿搭必備 街頭 防曬帽 漁夫帽女#101003,5,"7,748",22000,$109.00
1,任天堂 switch / Lite 貓爪帽 joycon 搖桿帽 類比套 按鍵帽 NS配件 搖桿保護帽 現貨,4.9,260,"3,465",$1 - $9
2,蝦皮優選【N0301】2款19色 水洗棒球帽 基本款 棒球帽 復古 水洗棉 老帽  帽  帽子,4.9,"8,043",29000,$39 - $69
3,蝦皮優選S&K❤多款矽膠耳扣 耳堵【KO005】塑膠耳扣 透明耳扣 耳堵 塞子 耳帽 DIY配件 耳飾配件,5,602,24000,$1 - $2
4,抗UV 男童帽 女童帽 造型帽 兒童防曬帽 兒童遮陽帽 遮脖防曬帽 兒童帽 玩沙帽 小朋友遮陽帽 小孩遮陽帽 兒童漁夫帽,5,577,"1,643",$198.00
5,【HanVo】復古老帽鴨舌帽水洗刷舊 素色運動風棒球帽 現貨刺繡帽子棒球帽男女學生簡約遮陽百搭防曬帽 8105/8115,4.9,"1,201","4,130",$48 - $65
6,蝦皮優選🦄️免運! 台灣現貨🦄️7色 漁夫帽/遮陽帽/防曬帽/女帽/帽子 雙面可戴 贈防風繩【HT004】,4.9,571,"1,634",$139.00
7,蝦皮優選現貨-漁夫帽女夏天chic韓版休閒百搭日系潮人原宿文藝防曬軟妹遮陽刺繡帽子,4.9,"1,023","2,286",$169.00
8,「帽子專賣」12色 高磅數老帽 素面老帽 純棉老帽 台灣設計監工 休閒鴨舌帽 時尚遮陽帽 棒球帽 #102019,5,"2,269","5,412",$130.00
9,蝦皮優選現貨 實拍歐美韓版光版素色工裝帽 海邊度假風英倫風凹造型個性休閒百搭韓國遮陽漁夫帽春夏沙灘防曬帽子,4.9,"1,413","3,858",$8 - $99
10,蝦皮優選現貨/NS Switch Lite 通用 蘑菇頭 配件 JOYCON 控制器 貓爪帽 搖桿套 寶可夢 香菇頭 增高帽,5,"1,363","5,646",$20.00
11,【MOMO製品】双面戴 愛迪連渔夫帽  原宿风 男女情侣盆帽 时尚百搭 出游韩版潮 遮阳帽,4.8,232,"1,184",$85.00
