,item,rate,num_rate,num_sold,price
0,【支持專櫃驗貨】ARMANI阿瑪尼手錶 2018專櫃最熱銷男生手錶 阿曼尼男錶 Armani精鋼帶多功能三眼計時腕錶,1,1,2,"$492 - $1,386"
1,🔥免運🔥買1送1+送錶盒 韓版簡約金屬紋手錶 男錶 女錶 對錶,4.9,"2,579","5,871",$299.00
2,蝦皮直播下單區 ❤️麻煩先截圖後聊聊 ❤️,5,204,1126000,$1.00
3,下單刷卡請告知請看下面文章,5,64,429000,$1.00
4,直播手錶⌚自助下標專區,4.9,310,363000,$1.00
5,【現貨+免運費】手錶 送電池 簡約皮革 送電池 對錶 女錶 男錶 情侶 對錶,4.8,"3,314","9,699",$119 - $149
6,台灣現貨 原廠 智能手錶 健身追踪 心率監測器 血壓 腕帶樣式 運動手錶彩屏防雨防汗智慧手環,4.7,938,"2,225",$59 - $299
7,【現貨免運】兒童投影手錶 翻蓋手錶卡通玩具手錶翻蓋電子錶愛莎佩奇汪汪隊蜘蛛人佩佩豬投影手錶抖音同款,4.9,71,698,$43.00
8,蝦皮優選💟現貨8hr出👈Fumakilla 福馬未來150日主機＆補充包＆手錶型補充包 替換包,5,241,"1,170",$180 - $395
9,蝦皮優選手錶台灣現貨兩隻只要300 情人節對錶 文青金屬皮革手錶 指針手錶 女錶 男錶 出國 簡約錶 配件 WH03,4.9,"1,347","3,502",$168.00
10,蝦皮優選🔥10分鐘開通 Apple Watch 4 5 心電圖 ECG 台灣版 免越獄 遠端開通 各國版 蘋果手錶 S4 S5,5,752,853,$210.00
11,卡通投影手錶 / 兒童手錶  / 兒童投影手錶,5,303,815,$99.00
12,輕量化 C型架 組裝式手錶架 軟式塑膠 可任意彎曲角度 100個起每個4元 整箱1000個3000元 小物專用c型架批發,4.6,186,39000,$3 - $5
13,【錶帶家】10mm~24mm手錶配件全新不鏽鋼 錶耳針 表鍊針 手錶固定針 彈簧針 彈簧棒(一支價)單隻售價8元,5,160,"1,429",$8 - $12
14,台灣現貨 兒童手錶 拍拍錶 聖誕禮物 幼兒園禮物,4.9,176,"1,077",$30.00
15,男女孩冰雪奇緣米妮蜘蛛人鋼鐵人奧特曼兒童卡通投影手表,5,34,419,$49.00
