,item,rate,num_rate,num_sold,price
0,【SD】實拍沛納海 LUMINOR系列PAM01312腕錶 panerai 男士精品機械手錶 皮帶手錶 商務手錶,5,2,16,"$3,200.00"
1,現貨免運 3天到達門市 Levi’s皮帶 LEVIS青年男士真皮腰帶 牛皮皮帶 可旋轉扣頭 男用皮帶 李維斯牛仔褲腰帶,4.9,162,371,$450.00
2,送打孔器 Levis Levi's 李維斯 男皮帶 真皮皮帶 上班皮帶 商務皮帶 休閒皮帶 英倫皮帶 真皮皮帶 牛皮皮帶,4.9,397,679,$450.00
3,限時免運 買一送一【全新100%】COACH 22540 皮帶 真皮腰帶 雙釦頭男生褲腰帶 可旋轉扣頭 多款可選 附購證,4.8,380,861,$650.00
4,蝦皮優選🥇NEW2019🌸日韓歐美時尚風格 實拍 收腰 瘦腰 束腰 顯瘦  韓妞必備圓扣仿牛皮帶女簡約百搭韓國bf風桃心真,4.9,"5,405",18000,$10 - $59
5,娃娃機天車前/後/左/右滑輪皮帶 防止天車偷跑情形 娃機天車加速 防打滑 空轉 止滑 防甩片 加大輪 齒輪 爪套 Js爪,5,478,42000,$2.00
6,蝦皮優選免釘鈕扣 牛仔褲扣子 改腰圍 鈕釦 免裝釘工具 免皮帶 金屬鈕扣 螺絲 快速 改褲腰 收腰 方便 紐扣,5,216,"1,643",$20.00
7,娃娃機專用  天車前/後/左/右 滑輪皮帶 加速皮帶  止滑 (粗款 / 細款) => 台灣製造,5,59,"2,933",$3.00
8,娃娃機 天車 止滑皮帶 止滑橡圈 止滑圈 防打滑 防空轉  天車偷跑  天車加速 膠圈 細 中 粗 左右輪 愛妮寶樂園,5,216,12000,$3.00
9,JOJO現貨⚡韓國CHIC女孩百搭皮帶簡約復古方形圓形愛心扣環吊環黑色PU皮帶腰帶,4.9,"1,891","4,652",$39 - $59
10,[現貨] 簡約復古圓環皮帶 24H出貨 台灣現貨 【小麥購物】 【Y383】簡約時尚皮帶 簡約圓環金屬皮帶 休閒腰帶,4.8,"2,244","5,459",$25.00
11,【現貨免運】🎈免釘鈕扣 收腰鈕扣 可伸縮牛仔褲扣子 可調節可拆卸免釘鈕釦 免裝釘工具 免皮帶 金屬鈕扣（3個起拍）,5,56,"2,494",$12 - $20
12,蝦皮優選POM腰帶 腰帶 尼龍腰帶 POM塑鋼頭 可過安檢 戰術腰帶 防過敏腰帶 皮帶,5,495,"1,797",$55.00
13,蝦皮優選魔術褲架-不銹鋼伸縮褲架 橫放 豎放 直放衣架 免釘掛勾 衣架 皮帶架 領帶架 抖音衣架【AN SHOP】,4.7,417,"3,100",$56.00
14,【24H台灣現貨秒發】鈕扣　扣子　鈕釦　免皮帶　金屬鈕扣　收腰紐扣　牛仔褲扣子,5,35,298,$39.00
15,彩色彈性吊帶 26色全現貨 台灣當天寄出 #01,4.9,402,"2,285",$65.00
16,蝦皮優選低價清場 日韓歐美時尚風格 男女同款 實拍 收腰 瘦腰 束腰 顯瘦 美體 韓妞必備圓扣仿牛皮帶女簡約百搭韓國bf風桃心,4.9,"4,310",11000,$10 - $59
17,現貨秒出🔥［KOREA MOOS]  真實評價🏆實品拍攝經典方釦高品針扣皮帶,4.9,"1,635","3,154",$99.00
18,蝦皮優選現貨韓版針式三角金屬ins仿牛皮帶情侶款,4.9,775,"2,538",$59.00
19,蝦皮優選【現貨-免運費！台灣寄出實拍+用給你看】自動扣皮帶 合金自動扣頭 真皮 皮帶 男皮帶 自動皮帶 腰帶 男生皮帶 男士皮帶,4.9,"2,285","4,183",$168 - $269
20,台灣現貨 大碼皮帶/不是軟皮有皺褶/圓環/皮帶/腰圍43吋可/愛心新上市韓妞必備/大碼/大尺碼/牛仔褲/皮帶/腰帶/搭配,5,"1,323","2,522",$199 - $225
21,豪邁福利社》創意時尚新款懶人隱形腰帶 修身彈力皮帶 隱形腰帶 隱形皮帶 鬆緊腰帶 交換禮物 聖誕節禮物,4.9,252,"1,015",$49 - $59
22,[現貨]  編織帆布腰帶 24H出貨 台灣現貨 【小麥購物】【Y058】休閒腰帶 金屬雙環扣純色編織帆布皮帶 腰帶,4.9,"2,302","7,194",$29.00
23,皮帶 腰帶 個性少女皮帶腰帶潮妞必備時尚百搭簡約風學生新款褲帶,4.8,"1,040","2,522",$35.00
24,Element-代購-實物實拍GUCCI古馳男女生真皮皮帶 古銅金屬經典雙G扣 情侶 平滑扣褲帶女 皮帶男女款 #皮帶,4.8,172,422,$195.00
25,蝦皮優選皮帶打洞器皮帶打孔鉗打洞機打孔器打洞鉗 雙向旋轉式,4.9,"2,484","4,429",
26,蝦皮優選💥台灣出貨【大量現貨】💥《可繫皮帶色褲》高磅數布料 五分短褲 短褲 休閒短褲 五分短褲【四色】【28~38】,4.9,477,"1,281",$199.00
27,前/後/左/右-天車加速皮帶 （細款）（1個$10元）,5,397,12000,
28,現貨免運 3天到達門市 Levi’s皮帶 LEVIS青年男士真皮腰帶 牛皮皮帶 可旋轉扣頭 男用皮帶 李維斯牛仔褲腰帶,4.9,162,371,$450.00
29,蝦皮優選領結 領帶屋 台北現貨當日寄出 20款雙層素色領結、結婚領結、蝴蝶結，台北20年實體店，超值特價 29 元 QS,5,241,"1,932",$29.00
30,蝦皮優選(台灣現貨)編織帆布腰帶 素色休閒 圓扣 素色糖果色 潮流百搭休閑腰帶 金屬扣純色帆布皮帶 腰帶,4.9,"1,041","4,058",$35 - $45
31,多款可選👍美國熱賣Levi’s皮帶 LEVIS青年男士真皮腰帶 頭層皮可旋轉扣頭針扣皮帶 李維斯牛仔型男腰帶,4.9,501,954,$260 - $388
32,娃娃機 天車 止滑皮帶 止滑橡圈 止滑圈 防打滑 防空轉  天車偷跑  天車加速 膠圈 細 中 粗 前後輪 愛妮寶樂園,5,57,"1,499",$3.00
33,[現貨] YAMAHA 山葉原廠 Force Smax 空濾 海綿 齒輪油 機油 4X G200 皮帶 空氣濾清器 磁石,5,"1,337","6,237",$50 - $225
34,送打孔器 Levis Levi's 李維斯 男皮帶 真皮皮帶 上班皮帶 商務皮帶 休閒皮帶 英倫皮帶 真皮皮帶 牛皮皮帶,4.9,397,679,$450.00
35,蝦皮優選🥀旺斯女孩🥀皮帶女 洞洞皮帶 附腰鍊皮帶 街頭風 韓國素面訂製 黑皮革 金屬洞洞 可拆卸超級百搭 自留款,5,397,788,$59.00
36,蝦皮優選拉鍊領帶 領帶屋 台北現貨當日寄出 自動領帶 懶人領帶 寬版8公分 20款，台北20年實體店，超值特價 49 元 YX,5,453,"1,825",$49.00
37,Timberland  皮帶  可調整  雙面皮帶  專櫃熱賣款,5,45,125,$680.00
38,皮帶 女生腰帶 ins個性原宿朋克風歐美搖滾圓圈鏈條女簡約百搭凹造型褲腰帶復古 女生皮帶 時尚皮帶,4.9,864,"2,034",$69.00
39,蝦皮優選娃娃機配件 左右輪 前後輪 天車加速皮帶 防打滑 防空轉 皮帶圈 膠圈 止滑 （細款）,5,56,"1,834",$3.00
40,蝦皮優選男士腰帶 男式皮帶 仿皮腰帶 三色可選,4.4,139,528,$5.00
41,蝦皮優選娃娃機配件  前後輪 天車加速皮帶 防打滑 防空轉 皮帶圈 膠圈 止滑 （粗款）,5,63,"1,955",$5.00
42,【甄瑄貿易】通用 L型 洞洞鐵 冷氣吊板 收音機 音響吊板 霧燈吊板 鐵板 萬能吊板 發電機 冷氣馬達 皮帶尺 皮帶調整,5,153,"2,331",$15 - $25
43,蝦皮優選<台灣快速出貨>開發票 2019新品上市 現貨47款 韓式英倫風 領結 結婚領結 伴郎領結 新郎領結,5,667,"3,628",$25 - $99
44,蝦皮優選拉鍊領帶 領帶屋 台北現貨當日寄出 自動領帶 懶人領帶 窄版5cm 寬版8cm領帶 台北20年實體店，超值特價 29 元,4.9,320,"1,650",$29.00
45,【不滿意包退】現貨超低價 抖音網紅同款皮帶 女生衣著女生配件 氣質時尚百搭 女生皮帶 褲帶 簡約 腰帶,4.5,180,719,$19.00
46,現貨秒發🔥［KOREA MOOS] 經典圓釦圓釦針環仿皮皮帶+贈大環＋贈收納袋,5,"1,430","2,646",$159.00
47,【24H出貨】英倫風緹花正裝領結  結婚領結 台北寄出 #Z ★袋鼠小舖★,5,"1,299","6,565",$30 - $79
48,多款式 懶人隱形腰帶 修身彈力皮帶 隱形腰帶 隱形皮帶 鬆緊腰帶 父親節 情人節禮物,4.8,68,332,$39 - $55
49,蝦皮優選【台灣現貨⭐品質嚴選】皮帶-日韓金屬雙圓環個性皮帶/腰帶/歐美/古銅色-共3色,4.9,182,545,$10 - $99
50,蝦皮優選58款最新款  當天台北寄出 新款質優 禮盒選購 成人領結 新郎 伴郎 婚禮 -吊帶之家-A,5,633,"2,737",$79.00
