,item,rate,num_rate,num_sold,price
0,蝦皮優選🔥爆款🏆70款韓版眼鏡🍀買1送3🍀墨鏡/太陽眼鏡/圓框眼鏡/文青眼鏡/復古眼鏡【MGS2】,4.9,"3,487",12000,$35 - $169
1,24小時出貨 台北現貨 臺灣日環食眼鏡濾光片.日偏食觀測眼鏡 日蝕眼鏡 / 日食眼鏡 3D眼鏡 凝日修行 太陽濾鏡.,4.9,99,991,$500.00
2,蝦皮優選🔥爆款🏆50款韓版眼鏡🍀買1送3🍀圓框眼鏡/文青眼鏡/復古眼鏡/平光眼鏡【MGS】,4.8,"7,371",23000,$35 - $99
3,【批發】經典不敗款微圓框眼鏡 平框鏡 大框 粗框 細框 圓框 百搭 好看 網美 網紅 男女 情侶 自拍 外拍 出國 出門,4.7,"2,547","7,970",$10 - $60
4,台北市現貨 限自取 日環食專用眼鏡.日偏食觀測眼鏡 日蝕眼鏡 / 日食眼鏡 3D眼鏡 凝日眼鏡 太陽濾鏡.,5,51,673,$50.00
5,[不含螢光棒] 專用配件 5x200mm專用 螢光手環 螢光眼鏡 螢光髮箍 螢光飛碟 螢光圓球,4.9,313,"6,611",$5 - $15
6,蝦皮優選🏆銷量冠軍🏆現貨-韓版ulzzang時尚百搭情侶墨鏡 咖啡色 奶茶色 茶色鏡片墨鏡太陽眼鏡 復古小圓框197,4.9,"2,272","5,657",$99.00
7,蝦皮優選🏆銷量冠軍🏆現貨-韓國復古墨鏡韓版全智賢范冰冰古天樂半透明墨鏡潮圓框復古裸粉色太陽眼鏡 110,4.9,"1,760","3,925",$129.00
8,蝦皮優選韓版文青復古眼鏡 透明 鏡片 圓形 圓框 復古 文青 學生 書生 假 心機 超美 不敗 百搭 韓版 必買 必備 女生 女,4.7,"1,637","5,105",$10 - $99
9,蝦皮優選台灣現貨實拍📷買一送五 韓版小清新款 微圓框 眼鏡 平光鏡 男女可帶 可配度數 百搭 必備 必買 外出 小清新 微圓框,4.8,"1,003","2,561",$79 - $99
10,蝦皮優選🏆銷量冠軍🏆現貨-韓國ulzzang原宿復古情侶墨鏡個性復古小圓框男女墨鏡太陽眼鏡 圓框太陽眼鏡歐美明星款潮流12,4.8,"3,831",10000,$99.00
11,🔥台灣現貨🔥進口矽膠 鼻墊 防滑增高眼鏡鼻墊 止滑鼻墊 增高鼻墊 板材鼻墊 防滑鼻墊 眼鏡矽膠鼻墊 眼鏡框 增高托,4.9,219,"1,726",$15.00
12,墨鏡  附眼鏡盒+眼鏡布  銷售冠軍霸連排行榜爆款 檢驗合格太陽眼鏡 多款可選  67500 標檢局D74321,4.9,"4,619",11000,$99.00
13,時尚優活 小紅書同款派對裝飾眼鏡網紅搞怪趣味生日眼鏡生日派對裝飾眼鏡創意生日蛋糕搞怪墨鏡 奶油蛋糕生日快樂眼鏡,4.9,69,573,$35 - $39
14,臺灣現貨買五贈二，單價僅27/個日環食眼鏡.日偏食觀測眼鏡 日蝕眼鏡 / 日食眼鏡 3D眼鏡 凝日眼鏡 太陽濾鏡.,4.9,51,554,$38 - $43
15,臺灣現貨 2020年6月21日臺灣日環食眼鏡.日偏食觀測眼鏡 日蝕眼鏡 / 日食眼鏡 3D眼鏡 凝日眼鏡 太陽濾鏡.,5,33,426,$40 - $43
16,多色可選年度最新網紅款無邊框海洋漸層顯小臉抗UV多邊型太陽眼鏡 71254標檢局D74321,4.9,883,"2,376",$99.00
17,蝦皮優選㊣經濟部BSMI檢驗合格 近視族 太陽眼鏡夾片 偏光夾片 護眼遮光 偏光鏡夾片 墨鏡 太陽眼鏡 偏光鏡片 夾式墨鏡 眼鏡,5,"2,752","5,939",$139 - $600
18,蝦皮優選❤️銷售冠軍❤️大量現貨供應 當天出貨 正圓框復古文青眼鏡 學生 文青 復古 臉小 修飾 修臉 韓版 正圓 大框 超美,4.8,"4,156",11000,$10 - $99
19,蝦皮優選現貨-韓國ulzzang原宿復古墨鏡太陽眼鏡女2017韓版潮復古原宿風太陽鏡女眼鏡GD網紅同款12,4.8,715,"1,667",$99.00
20,JOJO現貨⚡韓風素顏必備黑框眼鏡裝飾拍照眼鏡瘦臉小臉復古黑框眼鏡,4.9,219,528,$69.00
21,☀正廠五件組 【41mm版】 偏光 太陽眼鏡夾片 / 太陽眼鏡夾鏡 夾式太陽眼鏡 夜視鏡 夾鏡 眼鏡夾片 偏光太陽眼鏡,4.9,766,"1,923",$28 - $129
22,👉庫存齊全👈止滑圈👓 隱形耳圈 防滑耳套固定環  眼鏡 墨鏡 框 止滑 運動耳勾 固定環 止滑尾套小圈 黑色透明圈,5,182,984,$9 - $20
23,99【免運】折不壞太陽眼鏡 兒童太陽眼鏡 凹不壞  抗UV400 墨鏡 網美 網紅款 必備 出國 出門 沙灘 玩水,5,641,"1,944",$100.00
24,蝦皮優選拭鏡 眼鏡擦 攜帶型 多功能 眼鏡清潔擦 清潔刷 攜帶式眼鏡擦 【Z216】Color me,4.9,839,"2,499",$7.00
25,現貨/可刷卡有折扣碼ppt合購熱銷防滑增高眼鏡鼻墊 2.5mm 眼鏡矽膠鼻墊 鼻貼 鼻墊貼 膠框眼鏡止滑 防滑加高,4.9,840,11000,$10.00
26,⭐現貨-買1送3⭐經典金框黑鏡太陽眼鏡情侶墨鏡流行經典復古韓國⭐送眼鏡盒+掛勾+擦拭布,4.8,330,"1,097",$39 - $99
27,【默朵小舖】台灣現貨 3M 眼鏡鼻墊 黏貼 矽膠 透明 水滴 防滑 增高 鼻托 鼻塌 氣囊 止滑鼻墊 批發 零售,4.9,140,"1,951",$8.00
28,❤️現貨‼️😎兒童矽膠太陽眼鏡+加送車子造型眼鏡盒❤️❤️❤️,5,391,"1,391",$100.00
29,蝦皮優選MIT 內有模特圖 兒童墨鏡 太陽眼鏡 潮流時尚風 抗UV400 檢驗合格 臺灣製,5,659,"1,758",$29 - $80
30,蝦皮優選【東青網】運動 太陽眼鏡 防爆抗UV400 防風男女適用  路跑 單車太陽眼鏡 抗uv 慢跑,4.9,"1,132","3,267",$30 - $99
31,蝦皮優選新款大框雙色漸層墨鏡 太陽眼鏡 網美 網紅 明星 抖音 同款 最新 IG 夏天 出門 防曬 出國 顯小臉 瘦臉 修臉素,4.9,146,353,$179.00
32,蝦皮優選偏光 抗UV400 偏光太陽眼鏡 偏光墨鏡 太陽眼鏡 墨鏡 愛的迫降 方框  黑色迫降墨鏡 個性時尚黑色圓框小臉太陽眼鏡,4.9,326,581,$145 - $399
33,15款 年度最新款潮流時尚智能男女通用偏光太陽眼鏡 71652標檢局D74321,4.9,598,"1,458",$129 - $199
34,台灣🇹🇼快速出貨 🈵️額免運費 優質平價 眼鏡耳勾 眼鏡配件 運動耳勾 眼鏡防滑勾,5,14,694,$2.00
35,【批發】經典不敗款正圓框眼鏡 平框鏡 大框 粗框 細框 圓框 百搭 好看 網美 網紅 男女 情侶 自拍 外拍 出國 出門,4.7,356,"1,176",$10 - $60
36,🎉超值價25元🎉老花眼鏡 矯正眼睛 光學鏡片 100度 150度 200度 250度 300度 350度 拭鏡 收納,5,64,493,$15 - $25
37,新款韓版大框多邊反光不規則復古墨鏡 太陽眼鏡  71305標檢局D74321,4.9,305,630,$149.00
38,蝦皮優選台灣現貨 特價99元 台灣現貨 特價99元 新款 復古 原宿風 金屬 街拍大框眼鏡框 平光鏡架 學生眼鏡,4.9,162,393,$99.00
39,墨鏡 附眼鏡盒+眼鏡布 多款多色可選 果凍夾心小臉神器太陽眼鏡 69602 標檢局D74321,4.9,"1,875","5,133",$99.00
40,蝦皮優選偏光-韓國復古個性太陽鏡女潮圓臉大臉大框明星款墨鏡百搭前衛眼鏡超黑彩膜 金邊黑框大明星墨鏡,5,"1,738","3,415",$100 - $349
