,item,rate,num_rate,num_sold,price
0,蝦皮優選歐美嘻哈經典款 316L西德鋼 醫療鋼 鈦鋼耳環 圈圈耳環 圓圈耳環 鈦鋼耳環 耳扣 鈦鋼圈圈 易扣式耳環 耳骨,5,665,"3,410",$60.00
1,蝦皮優選【64款】韓版大小款嘻哈經典款 鈦鋼耳夾 醫療鋼 夾式耳環 無耳洞 歐美耳環 耳環 耳針 男生 配件 圈圈耳環 圓圈耳環,5,"8,892",33000,$20 - $59
2,蝦皮優選【XZFang】直播下標區 真正的珍珠飾品珍珠戒指珍珠項鏈珍珠手鏈手環天然淡水珍珠耳環耳釘S925銀18K金,5,10000,273000,$10.00
3,直播下單區(單位為10元) s925純銀飾品 正韓 日系輕奢 戒指 微鑲 重工 耳環 耳圈 項鍊 手鍊,5,"2,113",159000,$10.00
4,直播自助下單區 限直播喊單商品,5,672,540000,$1.00
5,【珍妮家】🔥直播下單自助連結🔗,5,629,1196000,$1.00
6,316L醫療鋼3 4 5 6 8mm細針鈦鋼小圓球 耳環 耳骨 單支價 阿緹斯,4.9,"4,763",47000,$6 - $19
7,WUgirl耳環直播10元自助下單區蝦皮飾品戒指項鍊,5,"1,399",93000,$10.00
8,花色珍珠坊直播間下標10元鏈接珍珠髮髻珍珠耳環珍珠戒指珍珠項鏈,5,"1,070",105000,$10.00
9,🌸melodyyustyle🌸直播自助下單連結,5,614,419000,$1.00
10,✨🌈直播自助下單區，買多少寫多少金額🌈✨,5,563,727000,$1 - $5
11,直播得標者 請點選我 下標方式 得標金額多少就下標多少數量唷,5,912,750000,$1.00
12,❤️Miss KiKi❤️耳環直播自助下單區,5,"3,257",25000,$50 - $230
13,現貨免等附發票🌟一對39元 耳夾式耳環 夾式耳環 無耳洞耳夾 女生耳夾毛球 流蘇 正韓花朵 星星三角愛心耳墜方形字母,4.9,"4,765",45000,$39.00
14,花色珍珠坊直播間下標100元連接珍珠髮髻珍珠耳環珍珠戒指珍珠項鏈！,5,"1,259",15000,$100 - $350
15,🌟6/10日韓版衣服、耳環、銀飾直播下單專區,5,124,173000,$1.00
16,純銀耳針 耳棒 925耳環 純銀耳環圓珠小球五角星星女生配件 925銀 素銀耳針簡約款 養耳銀針現貨 台灣出貨人魚朵朵,4.9,"2,807",42000,$1 - $30
17,蝦皮優選▪ NANA ▪加購商品 全新現貨 日韓流行時尚 耳針 耳環 耳塞 耳阻 環保矽膠耳塞 金屬耳塞 飛盤耳塞 心型耳塞,5,"1,115",22000,$1 - $3
18,自助下單區  1元區,5,151,250000,$1.00
19,直播自助下單。直播自助下單,5,480,180000,$1.00
20,《Beauty&Co》耳環直播下單區,5,933,21000,$49 - $120
21,316L醫療鋼 2.5MM管徑 易扣式圈圈耳環 耳骨 小耳朵 單支價 阿緹斯 B7,4.9,"3,964",28000,$18.00
22,蝦皮優選直播下標區 - 【 耳環 】,5,218,"2,459",$20 - $100
23,直播下單區‼️耳環 耳針合金鋼針925銀針 可改耳夾 送夾鍊袋拭銀布 韓版 泰國飾品 可用耳夾轉換器 藥藥是賣飾品的,5,"2,271",13000,$80 - $150
24,蝦皮優選❃芹芹❃【現貨】【A50】實拍~316醫療鋼豆豆圓球耳環_鋼耳環_西德鋼_鈦鋼_鋼針耳針耳釘,5,"2,775",26000,$6.00
25,蝦皮優選【HQSHE】直播下標區 天然珍珠宝石飾品珍珠戒指珍珠項鏈珍珠手鏈手環天然淡水珍珠耳環耳釘S925銀14K金,5,492,31000,$10.00
26,蝦皮優選尋常的店 🌿 急速出貨24H改夾神器 ✨有現貨  螺旋耳夾/無需剪耳針/無耳洞耳環轉換/耳針轉換器/訂單滿99元才出貨,5,"1,802",65000,$4 - $10
27,蝦皮優選【XZFang】直播下標區 天然淡水珍珠項鏈耳環珍珠戒指吊飾大溪地黑珍珠南洋金珠海水珍珠項鏈手鏈女,5,"3,590",20000,"$1,000.00"
28,❤️Miss KiKi ❤️耳環直播（80元耳環）下單區,5,"3,312",26000,$80.00
29,蝦皮優選🔥42款鈦鋼圓圈耳環🔥圈圈耳環/圓環經典款耳環/圈型耳環【G301】,4.9,"3,129",24000,$18.00
30,水漾小舖-直播專用10元,5,393,24000,$10.00
31,💖MEDIN飾品💖耳環 改夾神器  diy手工耳釘改耳夾樹脂透明無耳洞耳環飾品配件 可插針轉換防過敏 耳夾神器,4.9,231,24000,$1.00
32,蝦皮優選【300款】♛鈦鋼圓球雙頭耳環♛ 多款多色/素色球球耳環/耳骨針/鋼針/耳釘/耳環,4.9,"2,715",28000,$6.00
33,耳環直播下單區，全館滿1000免運❤️,5,975,195000,$10.00
34,💕直播專區💕10元💕💕💕💕,5,629,21000,$10.00
35,蝦皮優選【300款】韓版鈦鋼耳環🍀LIZZWORLD🍀 無耳洞鋼耳夾/夾式耳環/圈圈耳環 圓圈耳環【G001】,4.9,"4,740",26000,$35.00
36,-coral直播下單區Ⅰ（耳環區）,5,172,20000,$10.00
37,耳環直播自助下單區★柚子的耳環小天地,5,"2,348",19000,$30 - $150
38,💐🌿耳環直播下單區🌿💐,5,48,53000,$1.00
39,Joke$Love 耳環直播下單區,5,354,187000,$1.00
40,316L醫療鋼3  4 5 6 8mm鈦鋼小圓球 耳環 耳骨 單支價 阿緹斯 A22 01,5,"1,345",14000,$6 - $19
41,直播抽獎下單區 耳環 髮飾 沒購買商品才需下單唷 下單數量1即可 藥藥是賣飾品的MmShop,5,242,169000,$1.00
42,【現貨】矽膠U型樹脂耳夾 耳針轉耳夾 改夾神器 U型耳夾 無耳洞耳環轉換 耳環耳釘轉換器 耳夾 免耳洞,5,135,"5,969",$5.00
43,蝦皮優選歐美嘻哈經典款 316L西德鋼 醫療鋼 鈦鋼耳環 圈圈耳環 圓圈耳環 鈦鋼耳環 耳扣 鈦鋼圈圈 易扣式耳環 耳骨,5,665,"3,412",$60.00
44,🇹🇼台灣現貨🇹🇼 改夾神器/夾式耳環 免工具 無需耳洞 耳環轉換器 耳夾材料 Diy  ＊花漾美人＊日韓飾品,4.9,928,26000,$2 - $10
45,蝦皮優選🎀芹芹🎀現貨醫療鋼耳環肚臍環舌環鈦鋼耳環耳骨環耳窩環鎖球鎖珠配件,5,"1,465",15000,$5 - $10
46,直播下單區 直接修改你購買的金額就可以囉！,5,99,52000,$1.00
47,直播一元自助下單區。,5,30,17000,$1.00
48,補差額下單區，自行填寫金額,5,30,"6,175",$1.00
49,直播下標區 購買金額直接下,5,394,292000,$1.00
50,直播下標鏈接 真正的珍珠飾品 珍珠髮夾 珍珠耳環 珍珠戒指 珍珠項鏈,4.9,"1,594",78000,$10.00
51,個人賣場（訂做系列）,5,281,96000,$1.00
52,直播間下100元標鏈接珍珠髮髻珍珠耳環珍珠戒指珍珠項鏈,4.9,247,"4,968",$100.00
53,銀針耳環批發 低成本創業,5,96,48000,$1.00
54,6/1（一）✡萌雅直播自助下單區✡,5,352,134000,$1.00
55,夾式耳環 防痛軟墊 耳夾軟墊 三角耳夾 青蛙夾 螺旋夾 改夾神器 ＊花漾美人＊日韓飾品,5,191,"9,988",$2.00
56,💥現貨💥直播專拍區（點關注享受活動價）,5,118,23000,$10.00
57,飾品耳環 直播-自助下單區,5,40,18000,$1.00
58,_直播耳環_>>下單區,5,42,24000,$1.00
59,直播得標下單處（下單後勿取消）,4.9,294,177000,$1.00
60,『HS』🌻直播下單區（陰森藝術）,4.9,93,43000,$1.00
61,耳環耳釘耳塞夾式耳環耳堵 耳環耳堵耳環配件DIY配件,5,"2,980",58000,$1 - $3
62,水漾小舖-直播專用1元,5,278,140000,$1.00
63,賣場直播後的自助下單區,5,251,128000,$1.00
64,蝦皮優選❤️正韓 耳環 項鍊 飾品下標處～下標前詳看內文,5,268,318000,$1.00
65,韓國 韓國百搭風格系列 夾式 針式 耳環 【Bonjouracc】,5,212,593,$139.00
66,⚡️Mr.CP⚡【現貨秒出】耳夾式耳環 夾式耳環 耳夾 無耳洞 女生耳夾毛球 流蘇 正韓 花朵 星星三角愛心耳墜方形字母,4.8,158,"1,037",$29.00
67,蝦皮優選💕美集社💕一周耳釘超多款式 七對裝一星期網紅氣質耳釘女學生韓版簡約百搭個性耳飾可愛耳針幾何耳環,4.9,608,"5,213",$18.00
68,耳環改夾神器 螺旋耳夾 U形耳夾 無耳洞可改夾可調節耳環耳釘穿洞式DIY耳環配件 耳針轉換器 無需剪耳針,4.9,"2,461",34000,$1 - $9
69,🌸Miss Wang🌸直播耳環自助下單區,5,37,26000,$1.00
70,滿千免運區💝💞直播下標專用賣場1️⃣💞💝,5,77,155000,$1.00
71,💖直播專區特價活動💖💖可看回放😁,5,217,36000,$10 - $50
72,蝦皮優選直播下標區【HQSHE】 天然珍珠宝石飾品珍珠戒指珍珠項鏈珍珠手鏈手環天然淡水珍珠耳環耳釘S925銀14K金,5,368,"2,830",$100.00
73,耳環耳堵耳勾耳釘專用優質耳堵1對1元,4.9,"1,700",32000,$1 - $2
