,item,rate,num_rate,num_sold,price
0,雪莉美國直播下單區🇺🇸,5,"1,125",3465000,$1.00
1,鬼滅之刃吊飾 現貨 Q版 可愛吊飾 萌系 水之呼吸 炭治郎 彌豆子 吊飾 鑰匙圈 透明挂件亞克力鑰匙扣背包掛件 收藏禮物,4.9,721,"9,767",$23.00
2,現貨 新款 鬼滅之刃吊飾 雙面壓克力鑰匙圈 鑰匙扣 炭治郎 禰豆子 善逸 義勇卡通動漫吊飾 後背包掛件 二次元卡漫周邊,4.9,235,"4,606",$1 - $10
3,批發價現貨 卡通動漫鬼滅之刃吊飾 雙面壓克力鑰匙扣鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,4.8,189,"5,324",$14.00
4,鬼滅之刃 鬼滅之刃鑰匙扣 背包掛件 竈門炭治郎 竈門禰豆子 我妻善逸 嘴平伊之助 富岡義勇 鑰匙圈,4.7,57,"1,505",$19.00
5,現貨 新款卡通動漫鬼滅之刃吊飾 雙面壓克力鑰匙扣 鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,4.9,792,20000,$13 - $14
6,JOJO現貨⚡韓國INS可愛小別針壓克力胸針背包裝飾帆布裝飾,4.9,798,"4,001",$10.00
7,同人鬼滅之刃 鬼滅之刃鑰匙扣 背包掛件 竈門炭治郎 竈門禰豆子 我妻善逸 嘴平伊之助 富岡義勇 鑰匙圈,4.9,800,"8,580",$30.00
8,現貨 新款 鬼滅之刃吊飾 動漫壓克力鑰匙扣 鑰匙圈 禰豆子 炭治郎 蝴蝶忍 義勇 善逸名字款吊飾 後背包掛飾 批發,4.9,170,"3,533",$12 - $13
9,【買5送1】鬼滅之刃吊飾鑰匙圈鑰匙扣 33款雙面亞克力吊飾 鬼面 炭治郎 豆子 雙面透明 包包掛飾 後背包掛件 動漫,5,100,"1,503",$14.00
10,【現貨】台灣秒出 鬼滅之刃 雙面吊飾 雙面壓克力鑰匙圈  背包掛飾 29款精美款式可以選擇 炭治郎 禰豆子 善逸 義勇,4.9,46,657,$18.00
11,批發價現貨 卡通動漫鬼滅之刃吊飾 雙面壓克力鑰匙扣鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,4.9,47,987,$1 - $12
12,自助 下單 單位1 80請下80 自助,4.9,47,25000,$1.00
13,現貨 新款卡通動漫鬼滅之刃吊飾 雙面壓克力鑰匙扣 鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,4.8,171,"1,173",$18.00
14,現貨 新款 鬼滅之刃吊飾 雙面壓克力鑰匙圈 鑰匙扣 炭治郎 禰豆子 善逸 義勇卡通動漫吊飾 後背包掛件 二次元卡漫周邊,4.9,75,"1,264",$1 - $11
15,【MDMS】直播下單區,5,337,147000,$1.00
16,R5 最新背包版 天德牌雨衣 兩件式風雨衣 側開拉鏈加寬 r5 側開加寬背包 非R2  天德,5,474,853,$190 - $950
17,防曬毛巾 最低價 台灣發貨 涼感巾 涼感毛巾 雙層二代魔幻冰涼巾 瞬間冷感自行車毛巾休閒 後背包 冰凉巾娛樂 收藏..,4.9,425,"7,551",$1 - $10
18,現貨 新款卡通動漫鬼滅之刃吊飾 雙面壓克力鑰匙扣 鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,4.8,76,876,$1 - $11
19,[現貨] 包包夾層掛勾 24H出貨 台灣現貨【小麥購物】【Y589】防丟包包內掛鉤 掛勾 鑰匙收納 小物 防丟 背包,4.9,"1,259","4,792",$6.00
20,【現貨】新款鬼滅之刃吊飾 橡膠鑰匙扣 鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件,4.9,36,532,$58.00
21,蝦皮優選【RCF-雨衣探索者】東伸-旅行者2代半開式背包雨衣-現貨-快速出貨,5,"1,201","2,004",$650.00
22,涼感巾 299免運台灣發貨 涼感毛巾 雙層二代魔幻冰涼巾 瞬間冷感自行車毛巾休閒 後背包 冷感毛巾 冰凉巾娛樂 收藏,4.9,95,"1,811",$1 - $10
23,現貨 新款卡通動漫鬼滅之刃吊飾 雙面壓克力鑰匙扣 鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,4.8,34,513,$1 - $12
24,蝦皮優選【現貨 免運費！防水背包套】加厚 反光條 防雨罩 防雨背包套 背包雨衣 防水罩 防水套 防水 後背包 背包保護套,4.9,822,"1,827",$68 - $88
25,蝦皮優選【RCF-雨衣探索者】東伸-開拓者斜開式背包雨衣-現貨-快速出貨,4.9,182,288,$650.00
26,批發價現貨 卡通動漫鬼滅之刃吊飾 雙面壓克力鑰匙扣鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,5,31,458,$14.00
27,蝦皮優選『金8嚴選商品』台灣現貨 快速寄送 防水雨罩 防水套 防水罩 背包罩 防水袋 行李箱 旅行箱 後背包 登山 旅遊 出國,4.9,602,"1,960",$25 - $30
28,蝦皮優選【SL】全家免運費 台灣出貨 雙肩三孔透氣寵物太空包 寵物外出包 三孔太空包 外出提籠 貓狗背包 透氣寵物包,4.9,"2,126","3,818",$329 - $350
29,蝦皮優選加厚背包防雨套 背包套 防雨罩 防水套 防水罩 背包雨衣 防雨罩 登山 旅遊 出國 包包雨衣 防灰塵 防汙防髒,4.9,692,"1,550",$109.00
30,🔥快速出貨🔥可刷卡 現貨 尺寸齊 天德牌 天德 R2終極完美版 雨衣 兩件式 三片式雨褲  隱藏式雨鞋套 R5 背包,5,166,331,$790 - $950
31,（含稅 開發票）全賣場六張以上郵局普掛免運 限量 買門票送背包 新竹 北埔 綠世界生態農場,5,280,"2,735",$275.00
32,批發價現貨 卡通動漫鬼滅之刃吊飾 雙面壓克力鑰匙扣鑰匙圈 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍掛飾 後背包掛件批發,5,22,443,$1 - $10
33,鬼滅之刃 吊飾 手機吊飾 雙面壓克力 卡通動漫 鑰匙扣 禰豆子 炭治郎 義勇 善逸 香奈乎 蝴蝶忍 掛飾 後揹包 掛件,4.8,24,453,$12 - $14
34,rise7775🔆Spao X 玩具總動員 聯名後背包 筆電包 半價限時折扣 🇰🇷,5,98,226,$659.00
35,New balance 圓筒包 指定活動賣場 請勿下單,5,46,"2,049",$1.00
36,[現貨] 反光背包防雨罩 24H出貨 台灣現貨【小麥購物】【Y582】背包防水套 背包套 背包罩 登山 旅行 防水套,4.9,626,"1,425",$59 - $89
37,鬼滅之刃 鬼滅之刃鑰匙扣 背包掛件 竈門炭治郎 竈門禰豆子 我妻善逸 嘴平伊之助 富岡義勇 鑰匙圈,4.9,"1,000",11000,$18.00
38,蝦皮優選兒童雨衣 - 前開式/後背包容量設計 書包雨衣 雙龍牌 輕便雨衣 背扣可調 兔子媽媽 小朋友雨衣W,5,802,"1,783",$120.00
39,蝦皮優選免運【24H出貨/公司貨附發票】耐重防雨多隔層後背包/尼龍防潑水多層次休閒背包/學生書包/14吋筆電背包,4.9,"3,297","5,505",$299.00
40,蝦皮優選免運🚚【24H出貨/公司貨附發票】運動休閒大容量後背包 耐重多隔層背包 多層次15.6吋筆電背包 商務背包,5,"4,502","7,543",$299.00
41,【全新現貨】正版救援小隊系列/汪汪隊立大功/佩佩豬/米奇/米妮/波力/羅伊/安寶 現貨抽拉式背包水槍,5,207,699,$145 - $195
42,現貨 鬼滅之刃飄帶掛件 動漫飄帶鑰匙扣 鑰匙圈 背包掛飾 吊飾 雙面鈴鐺飄帶 二次元動漫周邊掛件,4.9,220,"1,397",$30.00
43,✨LGKAR✨卡通角落生物PVC軟膠鑰匙鑰匙圈 哆啦A夢龍貓硅膠汽車鑰匙掛飾包包背包掛飾 創意贈品禮品,4.7,125,"4,457",$2.00
44,[小優電玩] 動物森友會-極速發貨 🔥背包40格任選🔥/ 動森 / 道具 / 鈴錢 / 旅行卷 / 傢俱,5,36,17000,$200.00
45,蝦皮優選【現貨保證】輕快風 多種口味 80g 乾燥飯 快煮米 乾燥飯 速泡飯 沖泡飯 登山 背包 自助 露營 地精 輕快風生活館,4.9,212,"1,861",$80 - $240
46,買五送二 新增款同人鬼滅之刃 鬼滅之刃鑰匙扣 背包掛件 鑰匙圈 掛飾 竈門炭治郎 竈門禰豆子 我妻善逸 伊之助 富岡義勇,5,110,"1,545",$36.00
47,♪自助上島♪任挑♪動物森友會 動森 家具 服裝 金礦 木材 壁紙 背包 地板 地毯 里程卷 花朵 材料素材 任意帶走,5,17,753,$10.00
48,蝦皮優選【現貨-免運費！蝦皮最優】韓系背包 側背包 羽量級防潑水 包包 斜背包 腰包 背包 單肩包 男包 小背包 男生包包 胸包,4.9,764,"1,851",$5 - $299
49,蝦皮優選兩款 原宿BECAWSE 英文 防盜後背包 大容量 防水 學生 校園 雙肩包 潮流簡約 字母 帆布後背包 背包【潮可】,4.9,462,"1,031",$5 - $299
50,後背包 🔥台灣現貨🔥韓版復古車縫線雙肩包 素色簡約 防盜後背包 多夾層雙肩包 後背防盜 學生書包 防潑水電腦包雙肩包,4.9,233,474,$320 - $350
51,✨LGKAR✨（36款）角落生物拉鏈款雙面帆布包包單肩包 角落小夥伴少女學生簡約百搭購物袋包,5,145,498,$79.00
52,蝦皮優選【Big唐】四拉鏈 多功能雨衣 男女雨披 加長款成人背包雨衣 風衣式雨衣 四合一雨衣 全身防潑水雨披 情侶一件式雨衣,4.8,134,298,$293 - $333
