,item,rate,num_rate,num_sold,price
0,蝦皮優選【L0101】馬卡龍色系糖果棉襪 短襪 襪子,4.9,20000,204000,$8.00
1,蝦皮優選✩台灣製造✩  MIT超值短襪 20~26cm 男女短襪 船型襪 休閒襪 短襪 襪子 船襪 學生襪 運動旅行出國襪 現貨,5,"1,049",24000,$10.00
2,[現貨免運] Anyshop韓國襪 《快速出貨》熱門款 ETNA經典 素色襪 女孩襪子 大量現貨 素襪,5,"9,871",72000,$29 - $33
3,⭐買10送1⭐四種15D 60D 80D 120D耐勾無痕不易勾破一線檔絲襪T檔絲襪透膚美肌的彈力絲襪 百搭美腿黑色絲襪,4.8,"2,383",80000,$15 - $60
4,蝦皮優選【L0501】10色韓款 學院風 小短襪 襪子  襪,4.9,"7,149",75000,$9.00
5,蝦皮優選【現貨免運】韓國襪子 基本款素色襪 快速出貨 正韓少女襪 男襪 中筒襪長襪 韓襪韓國襪船型襪短襪棉襪 韓妞必備 哈囉喬伊,5,23000,86000,$29 - $33
6,【現貨免運】韓國襪子 糖果純色條紋中筒襪 K0155 正韓少女襪 韓妞必備長襪 百搭素色基本款 韓系穿搭 阿華有事嗎,5,34000,139000,$39 - $199
7,Medis日韓少女心襪子 學生百搭襪子 秋冬襪 中筒襪  學院風 可愛 日系襪子 蠟筆小新 男女 派大星 情侶保暖襪,4.9,"3,679",47000,$14.00
8,⚡️Mr.CP⚡ 現貨秒出 小熊襪子 女 短襪 淺口 棉襪 船襪 薄款 秋季 韓版 秋冬 中筒 日系 ins 潮流 耐穿,4.9,"1,120",23000,$9.00
9,蝦皮優選【足美樂襪品】MIT超值優惠!!(一般尺寸、加大尺碼)工廠直銷價舒適、耐穿工作襪、學生襪、休閒襪、男女適穿,5,"2,513",83000,$7 - $12
10,[現貨] 日系純色針織 24H出貨 台灣現貨【小麥購物】【E004】針織短靴襪 純色款襪 短襪 女生襪 學生襪 學院風,4.9,"2,152",13000,$9.00
11,蝦皮優選【台灣現貨３日到貨】5雙組 春夏薄款 兒童襪子 寶寶襪子 全棉襪子 童襪 男童襪子 女童襪子 網眼襪 夏季透氣襪子 寶寶,5,536,"9,074",$15.00
12,蝦皮優選台灣現貨天天寄【枕邊玩物】一線襠絲襪 性感連褲襪直拼打底襪 褲襪 s101 31-0090、0093、0033、0001,4.9,"1,265",17000,$14 - $15
13,蝦皮優選3色短襪 男短襪 男生襪子 必備襪子 運動襪 撞色 透氣 棉襪 半統襪 彈性襪 吸汗 條紋筒襪【C37】,4.9,326,"8,068",$6.00
14,蝦皮優選工廠直營【台灣製+現貨】 全透膚絲襪/專櫃小姐 /日系黑絲襪 / OL絲襪 / 膚色 / AMG985 734【FAV】,4.9,"1,272",20000,$30 - $89
15,🔥🔥現貨秒出貨🔥🔥熱賣爆款韓國襪 潮襪 情侶襪 日系秋冬圖騰中筒襪子 中筒襪 長襪 籃球襪 襪子 韓妞潮男必備,4.9,"2,405",28000,$17 - $29
16,蝦皮優選韓系文青針織素色堆堆襪 超高CP值 男女都可穿 中統襪 捲捲襪復古百搭 長襪 棉襪 襪子【D01】,4.9,715,"8,708",$18.00
17,💕每雙5元聯繫客服下標💕 女襪 男襪 通用 襪子 男士 女生 低幫 純色 船襪 吸汗 透氣 淺口 防臭 短襪 學生,4.8,166,18000,$5.00
18,［現貨免運］Anyshop韓國襪 🇰🇷 etna素色短襪 素色襪子 經典短襪 女孩短襪 百搭素襪 熱銷短襪,5,"3,907",22000,$33.00
19,【HanVo】復古訂標短襪 熱銷款船型襪 基本款多色襪子 隱形襪純色彈性舒適高質感棉襪 6015,4.9,"7,437",54000,$9.00
20,【現貨免運】日系純色針織堆堆襪 長襪 S0272 韓系少女襪 純棉襪 韓妞必備長襪 百搭熱賣爆款 免運 阿華有事嗎,5,13000,60000,$29 - $99
21,【極速發貨+實拍】 好市多同步款 Puma 厚底毛巾襪 短襪 襪子 運動襪 男女襪 現貨,5,280,"4,185",$29.00
22,蝦皮優選[加購價5元]短襪/襪子 (男女適穿/台灣製造),4.9,"3,316",55000,$5 - $150
23,蝦皮優選【現貨免運費】熱賣男款簡約色系短襪 多色棉襪 純色襪子 隱形男襪 素色淺口短襪船型短襪,4.9,"2,539",54000,$12.00
24,蝦皮優選🌸❤️愛心義賣蕾絲隱形襪🌸矽膠防滑襪套 脫落 矽膠 蕾絲 襪子船型襪 隱形襪,4.9,"2,253",42000,$11 - $55
25,蝦皮優選襪子短襪 隱形襪 船襪 夏季薄款棉防臭吸汗矽膠防滑低幫淺口隱形襪,4.9,"2,722",29000,$19.00
26,馬卡龍色系糖果棉襪 短襪 襪子 隱形 糖果色 純棉 純色 吸汗 防臭 隱形 舒適 高質感 糖果棉襪 日韓 批發 多色,4.9,"5,442",95000,$9.00
27,蝦皮優選🌞夏日必備冰絲材質無痕隱形襪每雙$15🌞全矽膠環繞不脫落襪套超好穿矽膠 蕾絲 襪子 短襪 隱形襪,4.9,"2,158",27000,$15 - $29
28,阿寶愛蝦拚 直播自助下單區,5,219,173000,$1.00
29,日系風最新隱形襪 日系 矽膠防滑 無痕蕾絲隱形船襪 淺口船型隱形蕾絲襪防滑點膠 防脫落隱形襪 船型襪 短襪 船襪,4.9,"1,800",25000,$12.00
30,［現貨免運］Anyshop韓國襪 🇰🇷 後跟止滑短襪 ETNA 文青包色款素色襪子 極短襪 後跟止滑膠條 女孩短襪,5,"5,054",29000,$37.00
31,【HanVo】基本款男女百搭復古純色素色短襪 韓版 襪子 船型襪 隱形襪 韓系 韓國 襪 女生配件 現貨女生衣著6011,5,162,"1,859",$9.00
32,「現貨秒出」🔥買十送一🧦KOREA MOOS 訂製款百搭純棉中統襪 （毛巾底加厚升級版）毛巾襪 上班襪 學生襪子,5,"3,440",20000,$45 - $55
33,【現貨免運】韓國襪子 簡約純色條紋隱形襪 K0320 正韓少女襪 素色船襪 韓妞必備純棉襪 百搭熱賣踝襪 阿華有事嗎,5,12000,58000,$39 - $199
34,蝦皮優選韓國襪子【現貨滿額免運】船型襪 不易滑落隱形襪 韓妞必備 正韓條紋襪短襪素色襪淺口襪棉襪韓襪韓國襪女襪哈囉喬伊 交換禮物,5,"5,879",31000,$36 - $37
35,[現貨] 短版素色襪子 24H出貨 台灣現貨【小麥購物】【E010】純色短版襪 短版襪 襪子 長襪 短襪 中筒襪 日系襪,4.9,"1,709",13000,$8.00
36,[免運 現貨] 船襪 短襪 防滑吸汗 糖果襪 台灣SGS檢驗 無重金屬 棉質 襪子 隱形襪 棉襪 生日禮物 URS,4.8,"3,429",67000,$8.00
37,蝦皮優選直播自助下單區 價格多少 數量打多少,5,785,373000,$1.00
38,蝦皮優選大唐襪業 W09秒殺 襪子批發時尚薄短款通用船襪 兩條槓夏季運動休閒襪子,4.9,563,16000,$5.00
39,全館299折40下單送襪子 韓版小熊襪子 純棉舒適透氣女襪 日系女襪 襪子 踝襪 短襪 學生襪 純色襪子 船襪 現貨免運,4.9,629,13000,$7.00
40,現貨全實拍 24h出貨 Hi Pin🔥大量現貨🔥網路熱銷款! 60丹不易破全透膚絲襪 美腿神器,4.9,"1,388",32000,$35 - $79
