,item,rate,num_rate,num_sold,price
0,家樂福  錢包  1:1  無期限餘額型 等同現金使用   12H內出貨 可拿去買美食商品,5,986,34000,$1.00
1,GARBANA直播下單區,5,922,809000,$1.00
2,🉑️信用卡🉑️錢包🉑️支付寶 微信 儲值 相關教學諮詢,5,525,4581000,$1.00
3,家樂福 錢包 1：1.041,5,467,46000,$1.00
4,momo紅利金 現貨 錢包 轉帳 刷卡,5,888,40000,$1.00
5,(最後數量)家樂褔錢包 1：1  儲值家樂褔錢包,5,892,17000,$1.00
6,新古早味沙琪瑪 可用折扣碼 家樂福錢包 吃不完 家樂福量販,5,939,32000,$1.00
7,7月出貨古早味沙琪瑪 可用折扣碼 家樂福錢包 吃不完 家樂福量販,5,"1,422",219000,$1.00
8,直播下單 請拍1元連結,5,383,971000,$1.00
9,[台灣現貨] 角落生物零錢包 零錢袋 角落小夥伴 小錢包,4.9,106,"2,626",$1 - $12
10,家樂福 錢包 訂單金額大於100~ 1：1.02（24小時出貨）,5,58,23000,$1.00
11,家樂福餅乾 吃不完 家樂福錢包 家樂福量販,5,242,"6,593",$1.00
12,蝦皮優選【現貨免運費】 長夾 男生 皮夾 防水 錢包 禮物 男士錢包 男錢包 大容量 商務 多卡位 拉鏈長夾 青年手機包,4.9,"9,087",17000,$299.00
13,ㄧ元賣場下單區 請聊聊喔,5,47,88000,$1.00
14,街 口 代客儲值 歡迎刷卡  93,5,"1,213","1,581",$500 - $545
15,🔥信用卡🔥錢包🔥微信🔥支付寶  儲值  相關業務諮詢,5,101,585000,$1.00
16,代 24小時取貨 美食、伴手禮 家樂福錢包儲值 1:1,5,35,802,$1.00
17,蝦皮優選新品促銷✨韓版短夾🇰🇷 多卡位 大容量 耐刮 韓版皮夾 錢包 女生皮夾皮包 有拉鍊袋 防刮 多層零錢位 錢包 零錢袋,4.9,436,841,$49 - $225
18,蝦皮優選｜加大版皮夾專用｜耐磨耐刮帆布長夾專用🌟零錢扣男用新款皮夾適用/女用新錢包適用 男生包包與配件 長夾男生 皮夾男,4.9,"1,740","3,751",$5 - $279
19,蝦皮優選【現貨-免運費！台灣寄出】送充電線+禮盒 長夾 手拿包 男用皮夾 皮包 錢包 皮夾 長皮夾 男 皮夾 男錢包 男皮包,4.9,"4,488","8,815",$299.00
20,正品代購 Michael Kors MK 十字紋 牛皮 短夾 防刮 短款 拉鏈錢包 兩折 手拿包 多卡位 零錢包 照片位,5,31,262,"$1,180.00"
21,蝦皮優選台灣現貨當天出貨【B406】爆款韓系三折多卡位長夾女用錢包簡約時尚日系WENJIE,4.9,"1,643","3,206",$99.00
22,👑HONGK居家👑新款鬼滅之刃零錢包 竈門炭治郎 禰豆子 我妻善逸pu皮印花鑰匙包短款錢包禮物,4.8,59,"1,028",$13.00
23,蝦皮優選全店99免運 現貨中夾皮夾短夾 錢包 韓版爆款大容量多卡位質感雙扣式拉鍊短夾 5色零錢包 大零錢袋 Wallet,4.9,"7,577",13000,$45 - $190
24,「1：1」 客製 家樂福 配件 錢包 買50給 50,5,221,603,$5.00
25,可愛卡通零錢包兒童的小吃袋收納袋半圓  手拿零食包hello Kitty 卡包 卡通拉鏈PU零錢包 小錢包,4.9,62,756,$10.00
26,微信錢包支付 支付寶支付  淘寶 天貓 京東 拼多多 抖音充值 快手充值 大陸各大平台充值 代購,5,7,"1,913","$1,000.00"
27,[現貨]  卡片包 24H出貨 台灣現貨 【小麥購物】【Y566】收納 卡片 懶人 整理 信用卡收納 皮夾 卡套 信用卡,4.9,"1,311","2,832",$19.00
28,現貨 新款 鬼滅之刃錢包 卡通動漫零錢包 雜物收納包 禰豆子 炭治郎 善逸 卡漫周邊雙面圖案錢夾  方形拉錬小錢包批發,5,90,604,$18.00
29,✨LGKAR✨日本動漫新款鬼滅之刃零錢包動漫周邊pu皮印花鑰匙包短款錢包禮物,4.9,173,"1,622",$15.00
30,現貨批發 2020新款男士短款錢包壓紋多卡位時尚錢夾卡包皮夾,4.8,69,168,$72.00
31,██ 貓耳FM ██ 1000鑽石 貓耳鑽石 M站 錢包 儲值 充值 代充,5,302,"1,379",$470.00
32,🔥 每週限量🔥Coach零錢包  女士錢包 大號手拿包 鯊魚 櫻桃 星空錢包 附代購證 禮品袋,4.9,480,"1,012",$400.00
33,鬼滅之刃 收納包 女學生拉鏈小包 零錢包 動漫錢包 批發,5,19,293,$12.00
34,【現貨 免運費！男用短夾限時特賣188元】韓版多卡位錢包 皮包 皮夾 短夾  男用短夾 男生短夾 男用錢包 男生皮包,4.9,"1,961","3,493",$188.00
35,🇺🇸CK專櫃正品🇺🇸Calvin Klein零錢袋 短夾+鑰匙圈禮盒🈶附購買證明 真皮 男生皮夾 男用男士錢包,4.9,"3,757","6,647",$990.00
36,PS中壢 現貨  NIKE BASIC 三折式 錢包 零錢包 短夾 皮夾  黑 AC2353-001,4.9,527,"1,044",$330.00
37,台灣現貨 當天秒出 COACH 新款男士長款錢包 男生長夾 錢夾 多卡位皮夾 經典c紋防刮皮包 手拿包 禮盒包裝 附購證,4.9,295,515,$550.00
38,限時特惠 coach 手拿包 拉鏈 零錢包 長款 錢包 女夾 手機包 現貨 蔻馳 coach 手腕包,5,8,142,$5 - $199
39,✂可超商/刷卡✂ 微信 Wechat 支付 錢包 轉帳 紅包 掃碼 付款,4.8,16,26000,$1.00
40,ck【限時特價】現貨當天寄出 韓版短夾 真皮頭層牛皮錢包 男生皮夾 手拿包 短皮包 錢夾卡套信用卡夾 精品禮物 男用皮夾,4.8,397,778,$550.00
41,📢台灣現貨📢錢包 男士短款錢包橫款韓版學生錢夾超薄十字紋皮夾,4.9,160,"1,153",$23 - $179
42,【滿99限時免運】2020新款女士短款錢包女士短款皮夾多功能女士學生包卡包,4.9,55,153,$45.00
43,台北現貨秒出 仿真零食小錢包 創意趣味拉鏈零錢包 G270 都營淺草線,4.9,958,"3,296",$22.00
44,👑HONGK居家👑鬼滅之刃零錢包鑰匙包 5款 炭治郎禰豆子pu皮印花短款錢包 富岡義勇妻我善逸伊之助鑰匙包禮物,4.6,21,369,$14.00
45,🔥免運+台灣現貨出貨🔥防水 真皮錢包 超薄軟皮 長夾防水 軟錢夾手包 禮物 長款青年學生時尚 商務簡約,4.9,114,855,$25 - $169
46,蝦皮優選✨現貨不用等✨ 韓版短夾 10卡位 大容量 防刮 韓版皮夾 錢包 女用錢包皮夾 拉鍊錢包 女生短夾 女生皮夾皮包零錢袋,4.9,726,"1,363",$40 - $185
47,鬼滅之刃零钱包拉链方形小包杂物包 女士零钱包 学生钱包 批发,5,85,"1,872",$13 - $25
48,🇺🇸TOMMY專櫃正品🇺🇸美國TOMMY HILFIGER 專櫃購入可拆相片夾零錢袋 短夾禮盒 男生 皮夾 男用,4.9,"2,007","3,683","$1,080 - $1,120"
49,🎉ECHO🎉W153 角落生物 零錢包 新款 超多款式 日系PU小清新耳機零錢收納包 國小生小錢包,5,721,11000,$13.00
50,「1：1」 家樂福 配件 錢包 客製化 團購 補差額,5,66,568,$50.00
51,🔥免運+台灣現貨出貨🔥防水 真皮錢包 長夾防水 商務簡約軟錢夾手包 禮物 長款青年學生超薄軟皮時尚,5,47,818,$25 - $169
52,蝦皮優選【現貨-免運費！台灣寄出】極簡質感 短皮夾 韓版多卡位 撞色錢包 男用皮夾 男 錢包 短夾 男 皮夾 零錢包 男 皮包,4.9,"4,120","7,862",$279.00
53,蝦皮優選✨現貨不用等✨ 韓版短夾 10卡位 皮夾皮包 多卡位 大容量 耐刮 皮夾 錢包 女用錢包皮夾 拉鍊錢包 短夾 女生 錢包,4.9,319,677,$40 - $185
54,[台灣現貨] 卡通零錢包 零錢袋 零錢包 小錢包 小禮物 kitty 史迪奇 史努比 卡赫娜拉兔 雙子星,5,28,772,$15 - $20
