,item,rate,num_rate,num_sold,price
0,蝦皮優選【XZFang】直播下標區 真正的珍珠飾品珍珠戒指珍珠項鏈珍珠手鏈手環天然淡水珍珠耳環耳釘S925銀18K金,5,10000,273000,$10.00
1,直播下單區(單位為10元) s925純銀飾品 正韓 日系輕奢 戒指 微鑲 重工 耳環 耳圈 項鍊 手鍊,5,"2,113",159000,$10.00
2,Miss KiKi 飾品直播-飾品下單區（手鍊、戒指、項鍊）,5,"3,259",17000,$80 - $200
3,花色珍珠坊直播間下標10元鏈接珍珠髮髻珍珠耳環珍珠戒指珍珠項鏈,5,"1,070",105000,$10.00
4,花色珍珠坊直播間下標100元連接珍珠髮髻珍珠耳環珍珠戒指珍珠項鏈！,5,"1,259",15000,$100 - $350
5,直播【1元】自助下單區,5,81,35000,$1.00
6,蝦皮優選【HQSHE】直播下標區 天然珍珠宝石飾品珍珠戒指珍珠項鏈珍珠手鏈手環天然淡水珍珠耳環耳釘S925銀14K金,5,492,31000,$10.00
7,蝦皮優選【XZFang】直播下標區 天然淡水珍珠項鏈耳環珍珠戒指吊飾大溪地黑珍珠南洋金珠海水珍珠項鏈手鏈女,5,"3,590",20000,"$1,000.00"
8,香港代購 香港黃大仙代購 黃大仙廟親飛代購 黃大仙手鍊 黃大仙項鍊 黃大仙手鏈 黃大仙腳鏈 黃大仙戒指 黃大仙靈符 聖物,5,157,203000,$1.00
9,優質款耳環/項鍊....,5,118,"2,579",$26.00
10,直播間下10元標鏈接珍珠髮髻珍珠耳環珍珠戒指珍珠項鏈,4.9,258,17000,$10.00
11,"蝦皮優選頸鍊 頸鏈 ""台灣""出貨『超多款式』韓系日系 項鏈 時尚頸鍊 短項鍊 項鍊 墜飾 頸項鏈吊飾鎖骨鍊百搭頸帶【啥嚨嗚】",4.9,"3,991",18000,$15.00
12,0606自助下單區/ 滿千免運 -$60,5,134,328000,$1.00
13,直播下標鏈接 真正的珍珠飾品 珍珠髮夾 珍珠耳環 珍珠戒指 珍珠項鏈,4.9,"1,594",78000,$10.00
14,[免運] 【KELRA】防水防過敏項鏈,4.9,"2,245","5,735",$179.00
15,直播間下100元標鏈接珍珠髮髻珍珠耳環珍珠戒指珍珠項鏈,4.9,247,"4,968",$100.00
16,蝦皮優選❤️正韓 耳環 項鍊 飾品下標處～下標前詳看內文,5,268,318000,$1.00
17,▼妞妞飾品▼直播  吊墜  手鏈 項鏈  專拍  直播下標專區  下标前请聊聊咨询客服唷,5,205,"2,347",$10 - $50
18,蝦皮優選直播下標區【HQSHE】 天然珍珠宝石飾品珍珠戒指珍珠項鏈珍珠手鏈手環天然淡水珍珠耳環耳釘S925銀14K金,5,368,"2,830",$100.00
19,直播下標鏈接 真正的珍珠飾品 珍珠髮夾 珍珠耳環 珍珠戒指 珍珠項鏈,4.9,"1,356",11000,$100.00
20,✨Guo-Guo✨直播手工下單區,5,254,219000,$1.00
21,蝦皮優選現貨 批發價 夢幻藍色琉璃星球項鍊 藍色星空銀河系 鑰匙星球行星銀河 小清新學生鎖骨鍊 情人節七夕 韓國東大門 畢業禮物,4.9,"1,487","5,920",$39 - $69
22,花色珍珠坊直播間下標1000元鏈接珍珠髮髻珍珠耳環珍珠戒指珍珠項鏈,5,436,"2,932","$1,000.00"
23,▼妞妞飾品▼直播下標專區  手鏈 項鏈 鎖骨鏈 手環  專拍 下标前请聊聊咨询客服唷,5,215,"1,341",$100 - $500
24,【大芊飾界】鹿角吊墜 韓版100種語言 我愛你 鑲鉆鋯石投影 鹿角項鏈 簡約時尚首飾 一鹿有你相伴情侶項鏈,5,73,399,$49 - $170
25,《Beauty&Co》 手鍊、項鍊直播下單區,5,330,"1,097",$60 - $250
26,蝦皮優選直播間10元 自助下單鏈接  請自行計算好金額 謝謝,5,78,"3,926",$10.00
27,蝦皮優選🇹🇼現貨【醫療鋼鍍18K金】洗澡流汗都不怕鈦鋼不銹鋼鍊條/鏈子/鍊子/項鏈/項鍊 3色,5,579,"1,649",$80 - $269
28,FP17😊S925純銀 定位珠 手鏈項鏈收尾用,5,264,"6,454",$1 - $2
29,【大芊飾界】彩虹項鏈一對裝 女鎖骨鏈 學生 韓版 簡約頸墜吊墜 情侶閨蜜項鏈 生日禮物  時尚合金 小清新創意項鏈ins,5,118,958,$50 - $160
30,蝦皮優選超多款式 ins小清新項鏈 極簡百搭時尚頸鏈 氣質百搭復古鹿角項鍊 魚尾項鏈頸鏈 甜美愛心項鏈 氣質星月項鏈 鎖骨鍊,4.8,"1,475","5,876",$10 - $69
31,出清 項鍊/手鍊/耳環👋👋只要$65,5,75,429,$65.00
32,項鍊下單區 鈦鋼 抗過敏 不褪色 附延長鍊 可戴著洗澡 泰國項鍊 合金 藥藥是賣飾品的MMshop,5,593,"1,343",$150 - $390
33,HoMei珠寶直播下標鏈接 100元 天然淡水珍珠現場開蚌取珍珠DIY珍珠項鏈耳環耳釘手鏈手環海水珍珠飾品成品,4.9,"1,381",12000,$100.00
34,【沃德二店】台灣現貨 實拍 羽毛 鈦鋼項鏈 羽毛鏈 藍石 民族 嘻哈 街頭 潮流 毛衣鏈 男女 情侶 長鏈,5,12,11000,$198 - $280
35,蝦皮優選【40~80公分】鈦鋼O形鍊/鍊條/鋼鍊/鏈子/鋼鏈/鍊子/項鏈/項鍊/配鍊/不銹鋼鏈條/項鍊鍊條【F101】,4.9,"1,819","6,873",$29 - $80
36,直播賣場自行下單 耳環 項鍊 飾品 闆用心給你平價好品質,5,78,22000,$1.00
37,[免運] 【KELRA】韓國小資造型項鏈,4.9,650,"1,687",$99.00
38,蝦皮優選【Miss.情人節】S925純銀項鍊 水波鍊  水波鏈 元寶鏈 盒子鏈 瓜子鍊 銀項鏈 頸鏈 短鏈 頸鏈 MD510,4.9,228,"1,306",$50.00
39,黃大仙手鍊💕招財愛情💓單鑽手鍊🐱不敗款黃大仙風鈴🎐手鍊項鍊✨香港最靈驗的廟‼️黃大仙項鍊🔥🔥,5,"1,335","3,558",$199 - $299
40,蝦皮優選《316小舖》【AB23】 ( 白鋼扣頭/白鋼墬頭/不銹鋼扣頭/不銹鋼墬頭/項鍊扣頭/項鍊墬頭/不銹鋼圓環/白鋼圓環),4.9,270,"2,819",$4 - $19
